,Date,Trend
0,2015-08-23,15
1,2015-08-30,15
2,2015-09-06,15
3,2015-09-13,0
4,2015-09-20,0
5,2015-09-27,29
6,2015-10-04,14
7,2015-10-11,0
8,2015-10-18,14
9,2015-10-25,0
10,2015-11-01,14
11,2015-11-08,14
12,2015-11-15,14
13,2015-11-22,28
14,2015-11-29,28
15,2015-12-06,14
16,2015-12-13,36
17,2015-12-20,16
18,2015-12-27,24
19,2016-01-03,36
20,2016-01-10,15
21,2016-01-17,30
22,2016-01-24,20
23,2016-01-31,0
24,2016-02-07,30
25,2016-02-14,15
26,2016-02-21,29
27,2016-02-28,14
28,2016-03-06,37
29,2016-03-13,44
30,2016-03-20,38
31,2016-03-27,50
32,2016-04-03,74
33,2016-04-10,49
34,2016-04-17,79
35,2016-04-24,79
36,2016-05-01,50
37,2016-05-08,60
38,2016-05-15,90
39,2016-05-22,61
40,2016-05-29,51
41,2016-06-05,71
42,2016-06-12,70
43,2016-06-19,23
44,2016-06-26,31
45,2016-07-03,57
46,2016-07-10,100
47,2016-07-17,70
48,2016-07-24,59
49,2016-07-31,59
50,2016-08-07,94
51,2016-08-14,56
52,2016-08-21,48
53,2016-08-28,83
54,2016-09-04,31
55,2016-09-11,36
56,2016-09-18,0
57,2016-09-25,56
58,2016-10-02,35
59,2016-10-09,31
60,2016-10-16,15
61,2016-10-23,20
62,2016-10-30,41
63,2016-11-06,49
64,2016-11-13,60
65,2016-11-20,30
66,2016-11-27,24
67,2016-12-04,23
68,2016-12-11,36
69,2016-12-18,36
70,2016-12-25,32
71,2017-01-01,30
72,2017-01-08,14
73,2017-01-15,42
74,2017-01-22,28
75,2017-01-29,28
76,2017-02-05,41
77,2017-02-12,20
78,2017-02-19,14
79,2017-02-26,20
80,2017-03-05,33
81,2017-03-12,31
82,2017-03-19,21
83,2017-03-26,28
84,2017-04-02,28
85,2017-04-09,14
86,2017-04-16,21
87,2017-04-23,14
88,2017-04-30,19
89,2017-05-07,23
90,2017-05-14,15
91,2017-05-21,15
92,2017-05-28,45
93,2017-06-04,58
94,2017-06-11,29
95,2017-06-18,14
96,2017-06-25,25
97,2017-07-02,25
98,2017-07-09,15
99,2017-07-16,22
100,2017-07-23,15
101,2017-07-30,22
102,2017-08-06,14
103,2017-08-13,14
104,2017-08-20,14
105,2017-08-27,24
106,2017-09-03,28
107,2017-09-10,23
108,2017-09-17,0
109,2017-09-24,0
110,2017-10-01,19
111,2017-10-08,14
112,2017-10-15,23
113,2017-10-22,14
114,2017-10-29,14
115,2017-11-05,27
116,2017-11-12,27
117,2017-11-19,27
118,2017-11-26,40
119,2017-12-03,27
120,2017-12-10,20
121,2017-12-17,35
122,2017-12-24,30
123,2017-12-31,24
124,2018-01-07,40
125,2018-01-14,22
126,2018-01-21,19
127,2018-01-28,26
128,2018-02-04,33
129,2018-02-11,13
130,2018-02-18,20
131,2018-02-25,26
132,2018-03-04,0
133,2018-03-11,13
134,2018-03-18,0
135,2018-03-25,0
136,2018-04-01,13
137,2018-04-08,13
138,2018-04-15,26
139,2018-04-22,26
140,2018-04-29,13
141,2018-05-06,13
142,2018-05-13,0
143,2018-05-20,0
144,2018-05-27,13
145,2018-06-03,0
146,2018-06-10,13
147,2018-06-17,0
148,2018-06-24,13
149,2018-07-01,13
150,2018-07-08,0
151,2018-07-15,0
152,2018-07-22,13
153,2018-07-29,13
154,2018-08-05,0
155,2018-08-12,0
156,2018-08-19,0
157,2018-08-26,13
158,2018-09-02,0
159,2018-09-09,0
160,2018-09-16,13
161,2018-09-23,13
162,2018-09-30,0
163,2018-10-07,26
164,2018-10-14,13
165,2018-10-21,13
166,2018-10-28,13
167,2018-11-04,0
168,2018-11-11,0
169,2018-11-18,13
170,2018-11-25,0
171,2018-12-02,0
172,2018-12-09,0
173,2018-12-16,0
174,2018-12-23,0
175,2018-12-30,0
176,2019-01-06,0
177,2019-01-13,13
178,2019-01-20,12
179,2019-01-27,0
180,2019-02-03,0
181,2019-02-10,12
182,2019-02-17,12
183,2019-02-24,12
184,2019-03-03,0
185,2019-03-10,13
186,2019-03-17,13
187,2019-03-24,0
188,2019-03-31,0
189,2019-04-07,13
190,2019-04-14,13
191,2019-04-21,13
192,2019-04-28,0
193,2019-05-05,0
194,2019-05-12,25
195,2019-05-19,0
196,2019-05-26,13
197,2019-06-02,12
198,2019-06-09,12
199,2019-06-16,0
200,2019-06-23,0
201,2019-06-30,0
202,2019-07-07,13
203,2019-07-14,13
204,2019-07-21,0
205,2019-07-28,13
206,2019-08-04,13
207,2019-08-11,13
208,2019-08-18,13
209,2019-08-25,0
210,2019-09-01,0
211,2019-09-08,12
212,2019-09-15,0
213,2019-09-22,12
214,2019-09-29,0
215,2019-10-06,12
216,2019-10-13,0
217,2019-10-20,12
218,2019-10-27,0
219,2019-11-03,11
220,2019-11-10,12
221,2019-11-17,0
222,2019-11-24,12
223,2019-12-01,12
224,2019-12-08,12
225,2019-12-15,0
226,2019-12-22,13
227,2019-12-29,12
228,2020-01-05,0
229,2020-01-12,17
230,2020-01-19,0
231,2020-01-26,23
232,2020-02-02,11
233,2020-02-09,11
234,2020-02-16,11
235,2020-02-23,11
236,2020-03-01,11
237,2020-03-08,0
238,2020-03-15,10
239,2020-03-22,10
240,2020-03-29,10
241,2020-04-05,21
242,2020-04-12,14
243,2020-04-19,10
244,2020-04-26,10
245,2020-05-03,15
246,2020-05-10,15
247,2020-05-17,0
248,2020-05-24,11
249,2020-05-31,10
250,2020-06-07,10
251,2020-06-14,21
252,2020-06-21,11
253,2020-06-28,0
254,2020-07-05,11
255,2020-07-12,17
256,2020-07-19,0
257,2020-07-26,17
258,2020-08-02,22
259,2020-08-09,0
