Date,Close,Open,Low,High,Volume,Trades
2001-03-25,15900.0,15752.0,15750.0,15900.0,4050,11
2001-03-26,15990.0,15900.0,15900.0,16000.0,5126,16
2001-03-27,15700.0,15950.0,15700.0,15950.0,4461,18
2001-03-28,15698.0,15699.0,15698.0,15700.0,4493,10
2001-03-31,15789.0,15697.0,15695.0,15789.0,22308,44
2001-04-03,16300.0,16000.0,16000.0,16300.0,6678,15
2001-04-07,16016.0,16100.0,16000.0,16300.0,11650,27
2001-04-08,16100.0,16195.0,16020.0,16279.0,34413,61
2001-04-09,16101.0,16100.0,16099.0,16300.0,19785,58
2001-04-10,15980.0,16101.0,15900.0,16103.0,18980,63
2001-04-11,15850.0,15979.0,15820.0,15980.0,33007,53
2001-04-14,16394.0,15899.0,15850.0,16400.0,52368,102
2001-04-15,17002.0,16400.0,16390.0,17002.0,75364,122
2001-04-16,17030.0,17200.0,17030.0,17300.0,30087,69
2001-04-24,16000.0,16000.0,13600.0,16300.0,69446,94
2001-04-25,15975.0,15511.0,15500.0,15997.0,36189,64
2001-04-28,15900.0,15930.0,15850.0,15975.0,38367,65
2001-04-29,16005.0,15980.0,15950.0,16005.0,59746,97
2001-04-30,15850.0,16005.0,15850.0,16075.0,32333,56
2001-05-01,15500.0,15830.0,15500.0,15830.0,7225,6
2001-05-02,15400.0,15488.0,15100.0,15488.0,12443,25
2001-05-05,15700.0,15600.0,15500.0,15700.0,9211,23
2001-05-06,15853.0,15798.0,15700.0,15910.0,14466,38
2001-05-07,15700.0,15853.0,15700.0,15853.0,37462,44
2001-05-08,15699.0,15849.0,15601.0,15850.0,27528,46
2001-05-09,15599.0,15700.0,15599.0,15700.0,16322,33
2001-05-12,15599.0,15599.0,15596.0,15601.0,18508,39
2001-05-13,15900.0,15599.0,15590.0,15900.0,35299,64
2001-05-15,15989.0,15900.0,15900.0,15990.0,5223,21
2001-05-16,16000.0,15912.0,15801.0,16000.0,54610,63
2001-05-19,15960.0,15913.0,15900.0,15960.0,8096,23
2001-05-20,15950.0,15913.0,15913.0,15951.0,14290,24
2001-05-21,15910.0,15950.0,15910.0,16000.0,5369,11
2001-05-23,15800.0,15910.0,15800.0,15910.0,3949,16
2001-05-26,15890.0,15800.0,15800.0,15890.0,9285,23
2001-05-27,15700.0,15900.0,15700.0,15900.0,22818,58
2001-05-28,15750.0,15800.0,15650.0,15820.0,33371,40
2001-05-29,15751.0,15750.0,15750.0,15753.0,17587,33
2001-05-30,15755.0,15752.0,15751.0,15799.0,7484,18
2001-06-02,15755.0,15755.0,15753.0,15756.0,17784,34
2001-06-03,15818.0,15756.0,15755.0,15818.0,23794,43
2001-06-06,15966.0,15821.0,15819.0,15990.0,27499,56
2001-06-09,16223.0,16100.0,15966.0,16223.0,18639,45
2001-06-11,16751.0,16530.0,16252.0,16751.0,13974,25
2001-06-12,17028.0,17001.0,17000.0,17200.0,15564,40
2001-06-13,16850.0,17000.0,16800.0,17000.0,14453,33
2001-06-16,16850.0,16851.0,16850.0,16851.0,14661,48
2001-06-17,16850.0,16802.0,16802.0,16850.0,21085,47
2001-06-18,16890.0,16850.0,16848.0,16890.0,10243,24
2001-06-19,16950.0,16950.0,16890.0,17001.0,5068,19
2001-06-20,17100.0,17000.0,16998.0,17100.0,4383,18
2001-06-24,17101.0,17400.0,17101.0,17450.0,21791,47
2001-06-25,17006.0,17100.0,17000.0,17101.0,53789,70
2001-06-26,17010.0,17006.0,17005.0,17100.0,14807,37
2001-06-27,17097.0,17032.0,17012.0,17097.0,22517,36
2001-06-30,17216.0,17101.0,17101.0,17216.0,4000,16
2001-07-01,17599.0,17350.0,17234.0,17600.0,19714,45
2001-07-02,17732.0,17701.0,17599.0,17732.0,3139,11
2001-07-03,17773.0,17761.0,17743.0,17995.0,15793,42
2001-07-04,17225.0,17773.0,17212.0,17773.0,8642,21
2001-07-07,17500.0,17450.0,17225.0,17501.0,18133,41
2001-07-08,17500.0,17500.0,17411.0,17501.0,9019,27
2001-07-09,17400.0,17450.0,17400.0,17500.0,3570,10
2001-07-10,17200.0,17357.0,17100.0,17357.0,13678,41
2001-07-11,17200.0,17200.0,17200.0,17214.0,9668,29
2001-07-14,17200.0,17200.0,17119.0,17300.0,7665,32
2001-07-15,17198.0,17200.0,17197.0,17250.0,4651,15
2001-07-16,17100.0,17120.0,17050.0,17120.0,15456,37
2001-07-17,17199.0,17153.0,17102.0,17199.0,3437,13
2001-07-18,17065.0,17153.0,17010.0,17153.0,5061,13
2001-07-21,17120.0,17136.0,17071.0,17140.0,152430,16
2001-07-22,17100.0,17130.0,17098.0,17130.0,9422,14
2001-07-23,17106.0,17099.0,17095.0,17106.0,7188,19
2001-07-24,17190.0,17193.0,17126.0,17197.0,4295,20
2001-07-25,17190.0,17189.0,17188.0,17190.0,3900,16
2001-07-28,17450.0,17184.0,17184.0,17450.0,18500,15
2001-07-29,17260.0,17227.0,17227.0,17269.0,6712,20
2001-07-30,17301.0,17280.0,17220.0,17303.0,13911,32
2001-07-31,17520.0,17449.0,17400.0,17520.0,8182,18
2001-08-01,18110.0,18100.0,17700.0,18166.0,20904,52
2001-08-04,18406.0,18111.0,18110.0,18550.0,10668,23
2001-08-05,19000.0,18611.0,18588.0,19000.0,11515,28
2001-08-06,19010.0,19004.0,19000.0,19200.0,18789,53
2001-08-07,18705.0,19000.0,18705.0,19010.0,11256,39
2001-08-08,18703.0,18705.0,18700.0,18705.0,6133,14
2001-08-11,18950.0,18704.0,18704.0,18950.0,7155,17
2001-08-12,19000.0,18949.0,18949.0,19001.0,12300,24
2001-08-13,19200.0,19050.0,19000.0,19200.0,6583,14
2001-08-14,19350.0,19202.0,19200.0,19350.0,13049,28
2001-08-15,19350.0,19350.0,19349.0,19350.0,21014,33
2001-08-18,19328.0,19350.0,19327.0,19350.0,3504,17
2001-08-19,19200.0,19305.0,19200.0,19305.0,1800,7
2001-08-20,19055.0,19000.0,19000.0,19055.0,20766,29
2001-08-21,19000.0,19055.0,19000.0,19056.0,28996,42
2001-08-22,19030.0,19000.0,19000.0,19030.0,33684,51
2001-08-25,19530.0,19031.0,19031.0,19535.0,23421,41
2001-08-26,20024.0,19801.0,19800.0,20024.0,18747,23
2001-08-27,20800.0,20175.0,20175.0,20800.0,6173,11
2001-08-28,20700.0,20950.0,20700.0,21001.0,29239,55
2001-08-29,20700.0,20700.0,20389.0,20700.0,22350,51
2001-09-01,21000.0,20800.0,20700.0,21001.0,24753,35
2001-09-02,21300.0,21100.0,21006.0,21300.0,18301,40
2001-09-03,21304.0,21600.0,21303.0,21600.0,33243,61
2001-09-04,21190.0,21299.0,21190.0,21299.0,2019,10
2001-09-05,21170.0,21000.0,20900.0,21174.0,13485,33
2001-09-08,21297.0,21200.0,21160.0,21298.0,13571,30
2001-09-11,21523.0,21551.0,21523.0,21551.0,6385,11
2001-09-12,21000.0,21502.0,20899.0,21524.0,15134,41
2001-09-15,20919.0,21100.0,20917.0,21100.0,8945,31
2001-09-17,19874.0,20000.0,19874.0,20001.0,1283543,78
2001-09-18,19580.0,19790.0,19570.0,19790.0,70581,24
2001-09-19,20000.0,19290.0,18900.0,20000.0,89905,88
2001-09-22,20905.0,20000.0,20000.0,21000.0,6209,21
2001-09-23,21000.0,21000.0,20902.0,21505.0,25415,38
2001-09-24,20600.0,20501.0,20501.0,20605.0,5091,10
2001-09-25,20600.0,20500.0,20490.0,20601.0,20131,38
2001-09-26,20100.0,20600.0,20100.0,20600.0,18896,30
2001-09-29,19976.0,20000.0,19900.0,20000.0,36586,44
2001-09-30,20000.0,19973.0,19857.0,20000.0,37279,52
2001-10-02,20031.0,20000.0,20000.0,20031.0,8359,21
2001-10-03,20100.0,20033.0,20031.0,20103.0,14115,27
2001-10-06,20025.0,20041.0,20000.0,20042.0,18136,26
2001-10-07,19900.0,20000.0,19900.0,20023.0,15858,26
2001-10-08,19350.0,19300.0,19300.0,19500.0,20452,33
2001-10-09,19026.0,19300.0,19004.0,19350.0,38306,45
2001-10-10,18600.0,18499.0,18499.0,18900.0,18136,26
2001-10-13,18900.0,18898.0,18501.0,18900.0,39411,53
2001-10-14,19240.0,18997.0,18900.0,19240.0,25547,37
2001-10-16,19999.0,19290.0,19240.0,19999.0,40418,57
2001-10-17,20000.0,20015.0,19800.0,20017.0,56604,79
2001-10-20,20400.0,20100.0,20000.0,20400.0,11870,18
2001-10-21,20752.0,20500.0,20360.0,20753.0,13209,28
2001-10-22,21301.0,20800.0,20800.0,21400.0,17695,43
2001-10-23,20998.0,21301.0,20998.0,21349.0,25150,34
