,Date,Trend
0,2015-08-23,24
1,2015-08-30,48
2,2015-09-06,20
3,2015-09-13,47
4,2015-09-20,44
5,2015-09-27,23
6,2015-10-04,46
7,2015-10-11,47
8,2015-10-18,31
9,2015-10-25,54
10,2015-11-01,17
11,2015-11-08,50
12,2015-11-15,42
13,2015-11-22,46
14,2015-11-29,42
15,2015-12-06,38
16,2015-12-13,12
17,2015-12-20,56
18,2015-12-27,57
19,2016-01-03,62
20,2016-01-10,36
21,2016-01-17,48
22,2016-01-24,40
23,2016-01-31,80
24,2016-02-07,40
25,2016-02-14,68
26,2016-02-21,28
27,2016-02-28,59
28,2016-03-06,24
29,2016-03-13,32
30,2016-03-20,21
31,2016-03-27,32
32,2016-04-03,28
33,2016-04-10,36
34,2016-04-17,32
35,2016-04-24,44
36,2016-05-01,43
37,2016-05-08,52
38,2016-05-15,28
39,2016-05-22,41
40,2016-05-29,37
41,2016-06-05,41
42,2016-06-12,16
43,2016-06-19,62
44,2016-06-26,17
45,2016-07-03,30
46,2016-07-10,25
47,2016-07-17,30
48,2016-07-24,26
49,2016-07-31,44
50,2016-08-07,53
51,2016-08-14,100
52,2016-08-21,61
53,2016-08-28,46
54,2016-09-04,19
55,2016-09-11,38
56,2016-09-18,54
57,2016-09-25,65
58,2016-10-02,24
59,2016-10-09,57
60,2016-10-16,48
61,2016-10-23,61
62,2016-10-30,41
63,2016-11-06,51
64,2016-11-13,16
65,2016-11-20,28
66,2016-11-27,65
67,2016-12-04,57
68,2016-12-11,31
69,2016-12-18,43
70,2016-12-25,51
71,2017-01-01,66
72,2017-01-08,60
73,2017-01-15,60
74,2017-01-22,60
75,2017-01-29,41
76,2017-02-05,41
77,2017-02-12,37
78,2017-02-19,26
79,2017-02-26,29
80,2017-03-05,27
81,2017-03-12,38
82,2017-03-19,26
83,2017-03-26,19
84,2017-04-02,41
85,2017-04-09,54
86,2017-04-16,41
87,2017-04-23,41
88,2017-04-30,38
89,2017-05-07,41
90,2017-05-14,55
91,2017-05-21,60
92,2017-05-28,48
93,2017-06-04,27
94,2017-06-11,32
95,2017-06-18,58
96,2017-06-25,45
97,2017-07-02,49
98,2017-07-09,48
99,2017-07-16,24
100,2017-07-23,32
101,2017-07-30,35
102,2017-08-06,35
103,2017-08-13,31
104,2017-08-20,23
105,2017-08-27,23
106,2017-09-03,12
107,2017-09-10,45
108,2017-09-17,45
109,2017-09-24,26
110,2017-10-01,26
111,2017-10-08,30
112,2017-10-15,26
113,2017-10-22,33
114,2017-10-29,48
115,2017-11-05,44
116,2017-11-12,29
117,2017-11-19,43
118,2017-11-26,47
119,2017-12-03,40
120,2017-12-10,22
121,2017-12-17,57
122,2017-12-24,52
123,2017-12-31,19
124,2018-01-07,57
125,2018-01-14,43
126,2018-01-21,31
127,2018-01-28,28
128,2018-02-04,67
129,2018-02-11,60
130,2018-02-18,42
131,2018-02-25,41
132,2018-03-04,35
133,2018-03-11,45
134,2018-03-18,21
135,2018-03-25,36
136,2018-04-01,32
137,2018-04-08,32
138,2018-04-15,25
139,2018-04-22,31
140,2018-04-29,29
141,2018-05-06,37
142,2018-05-13,32
143,2018-05-20,22
144,2018-05-27,25
145,2018-06-03,36
146,2018-06-10,24
147,2018-06-17,39
148,2018-06-24,32
149,2018-07-01,32
150,2018-07-08,24
151,2018-07-15,47
152,2018-07-22,27
153,2018-07-29,53
154,2018-08-05,38
155,2018-08-12,28
156,2018-08-19,22
157,2018-08-26,35
158,2018-09-02,28
159,2018-09-09,48
160,2018-09-16,27
161,2018-09-23,48
162,2018-09-30,21
163,2018-10-07,35
164,2018-10-14,46
165,2018-10-21,35
166,2018-10-28,35
167,2018-11-04,24
168,2018-11-11,55
169,2018-11-18,38
170,2018-11-25,41
171,2018-12-02,45
172,2018-12-09,28
173,2018-12-16,50
174,2018-12-23,66
175,2018-12-30,56
176,2019-01-06,38
177,2019-01-13,44
178,2019-01-20,60
179,2019-01-27,47
180,2019-02-03,40
181,2019-02-10,20
182,2019-02-17,47
183,2019-02-24,30
184,2019-03-03,20
185,2019-03-10,31
186,2019-03-17,21
187,2019-03-24,34
188,2019-03-31,41
189,2019-04-07,41
190,2019-04-14,57
191,2019-04-21,56
192,2019-04-28,48
193,2019-05-05,68
194,2019-05-12,51
195,2019-05-19,24
196,2019-05-26,41
197,2019-06-02,30
198,2019-06-09,27
199,2019-06-16,41
200,2019-06-23,41
201,2019-06-30,38
202,2019-07-07,27
203,2019-07-14,45
204,2019-07-21,32
205,2019-07-28,39
206,2019-08-04,38
207,2019-08-11,48
208,2019-08-18,65
209,2019-08-25,17
210,2019-09-01,39
211,2019-09-08,33
212,2019-09-15,52
213,2019-09-22,32
214,2019-09-29,42
215,2019-10-06,39
216,2019-10-13,54
217,2019-10-20,22
218,2019-10-27,41
219,2019-11-03,57
220,2019-11-10,38
221,2019-11-17,0
222,2019-11-24,22
223,2019-12-01,51
224,2019-12-08,32
225,2019-12-15,58
226,2019-12-22,59
227,2019-12-29,47
228,2020-01-05,22
229,2020-01-12,54
230,2020-01-19,80
231,2020-01-26,30
232,2020-02-02,45
233,2020-02-09,39
234,2020-02-16,33
235,2020-02-23,35
236,2020-03-01,26
237,2020-03-08,49
238,2020-03-15,31
239,2020-03-22,49
240,2020-03-29,44
241,2020-04-05,45
242,2020-04-12,72
243,2020-04-19,47
