Date,Close,Open,Low,High,Volume,Trades
2001-06-30,5000.0,5000.0,5000.0,5000.0,1000,1
2001-07-09,5250.0,5250.0,5250.0,5250.0,1895,2
2001-07-14,5512.0,5512.0,5512.0,5512.0,2000,5
2001-07-15,5787.0,5787.0,5787.0,5787.0,3725,7
2001-08-20,6339.0,6139.0,6139.0,6339.0,1500,3
2001-08-26,6402.0,6402.0,6402.0,6402.0,1912,7
2001-08-27,6466.0,6466.0,6466.0,6466.0,2800,7
2001-08-28,6530.0,6530.0,6530.0,6530.0,10000,1
2001-08-29,6595.0,6595.0,6595.0,6595.0,2037336,91
2001-09-01,6660.0,6660.0,6660.0,6660.0,7138,1
2001-09-02,6726.0,6726.0,6726.0,6726.0,3925,8
2001-09-03,6793.0,6793.0,6793.0,6793.0,3000,19
2001-09-04,6860.0,6860.0,6860.0,6860.0,1050,2
2001-09-08,6928.0,6928.0,6928.0,6928.0,2537,13
2001-09-09,6997.0,6997.0,6997.0,6997.0,2971,4
2001-09-10,7066.0,7066.0,7066.0,7066.0,1545,8
2001-09-11,7136.0,7136.0,7136.0,7136.0,1300,3
2001-09-12,7207.0,7136.0,7065.0,7207.0,151389,123
2001-09-15,7279.0,7279.0,7279.0,7279.0,230,1
2001-09-16,7351.0,7351.0,7351.0,8000.0,3079408,23
2001-09-17,7424.0,7424.0,7424.0,7424.0,115872,79
2001-09-18,7350.0,7424.0,7350.0,7424.0,111950,31
2001-09-19,7349.0,7277.0,7277.0,7350.0,35552,20
2001-09-22,7348.0,7349.0,7346.0,7350.0,49200,37
2001-09-25,7421.0,7421.0,7421.0,7421.0,4101,3
2001-09-29,7495.0,7495.0,7495.0,7495.0,12157,13
2001-09-30,7569.0,7569.0,7569.0,7569.0,2972,4
2001-10-02,7644.0,7569.0,7569.0,7644.0,8445,10
2001-10-03,7570.0,7578.0,7570.0,7583.0,14738,16
2001-10-06,7572.0,7571.0,7571.0,7572.0,1381,6
2001-10-07,7640.0,7639.0,7620.0,7640.0,20170,15
2001-10-08,7574.0,7574.0,7574.0,7574.0,3000,2
2001-10-09,7570.0,7574.0,7501.0,7636.0,21922,12
2001-10-10,7495.0,7495.0,7495.0,7505.0,6287,14
2001-10-13,7421.0,7421.0,7421.0,7421.0,305,1
2001-10-14,7347.0,7347.0,7347.0,7421.0,1132,3
2001-10-16,7274.0,7274.0,7274.0,7274.0,680,1
2001-10-17,7202.0,7202.0,7202.0,7202.0,3000,3
2001-10-20,7130.0,7130.0,7130.0,7130.0,13530,14
2001-10-21,7129.0,7128.0,7125.0,7129.0,3860,6
2001-10-22,7200.0,7129.0,7129.0,7200.0,5438,7
2001-10-23,7200.0,7200.0,7199.0,7272.0,11908,13
2001-10-24,7199.0,7199.0,7199.0,7199.0,600,1
2001-10-27,7150.0,7190.0,7150.0,7196.0,2533,9
2001-11-03,7404.0,7410.0,7201.0,7412.0,10782,17
2001-11-04,7478.0,7404.0,7404.0,7478.0,2621,5
2001-11-06,7552.0,7552.0,7552.0,7552.0,1000,1
2001-11-10,7627.0,7627.0,7627.0,7627.0,2000,1
2001-11-11,7703.0,7703.0,7703.0,7703.0,3079,10
2001-11-12,7780.0,7780.0,7780.0,7780.0,4141,10
2001-11-13,7857.0,7857.0,7857.0,7857.0,5464,14
2001-11-14,7935.0,7935.0,7935.0,7935.0,24888,34
2001-11-17,7900.0,8014.0,7900.0,8014.0,2750,5
2001-11-18,7900.0,7898.0,7898.0,7900.0,4653,4
2001-11-19,7900.0,7900.0,7900.0,7900.0,3462,4
2001-11-20,7899.0,7900.0,7899.0,7900.0,4164,6
2001-11-21,7897.0,7897.0,7897.0,7897.0,500,1
2001-11-24,7889.0,7886.0,7880.0,7890.0,20332,14
2001-11-25,7889.0,7889.0,7889.0,7889.0,14549,13
2001-11-26,7889.0,7889.0,7811.0,7889.0,2565,5
2001-11-27,7895.0,7887.0,7886.0,7900.0,33120,16
2001-11-28,7894.0,7895.0,7894.0,7895.0,17155,11
2001-12-01,7895.0,7895.0,7893.0,7895.0,20700,13
2001-12-02,7895.0,7890.0,7890.0,7895.0,9652,14
2001-12-03,7890.0,7893.0,7838.0,7893.0,64185,37
2001-12-04,7890.0,7890.0,7890.0,7890.0,47690,23
2001-12-05,7820.0,7890.0,7820.0,7890.0,14340,18
2001-12-08,7890.0,7890.0,7890.0,7890.0,17173,15
2001-12-09,7890.0,7890.0,7890.0,7890.0,21133,15
2001-12-10,7890.0,7890.0,7889.0,7890.0,25650,18
2001-12-11,7890.0,7890.0,7890.0,7890.0,1000,1
2001-12-12,7889.0,7888.0,7888.0,7889.0,2918,13
2001-12-15,7967.0,7890.0,7890.0,7967.0,2987000,29
2001-12-17,8046.0,8014.0,8014.0,8046.0,5900,5
2001-12-18,8126.0,8126.0,8125.0,8126.0,489027,155
2001-12-19,8135.0,8207.0,8132.0,8207.0,100042,103
2001-12-22,8135.0,8135.0,8055.0,8136.0,66575,50
2001-12-23,8134.0,8135.0,8111.0,8135.0,152263,59
2001-12-24,8215.0,8133.0,8120.0,8215.0,403940,164
2001-12-25,8297.0,8297.0,8297.0,8297.0,3200,6
