Date,Close,Open,Low,High,Volume,Trades
2001-04-03,10811.0,10811.0,10811.0,10811.0,534,4
2001-04-07,10300.0,10300.0,10300.0,10300.0,3809,14
2001-04-08,10811.0,10310.0,10310.0,10811.0,1598,4
2001-04-10,10811.0,10811.0,10811.0,10811.0,780,3
2001-04-11,10811.0,10811.0,10811.0,10811.0,983,3
2001-04-14,10811.0,10811.0,10811.0,10811.0,2162,7
2001-04-15,11271.0,11271.0,11271.0,11271.0,1596,3
2001-04-17,11273.0,11273.0,11273.0,11274.0,557,3
2001-04-18,11273.0,11273.0,11273.0,11273.0,804,3
2001-04-21,11421.0,11400.0,11400.0,11421.0,1049,6
2001-04-22,11438.0,11438.0,11438.0,11438.0,366,2
2001-04-23,11800.0,11799.0,11470.0,11800.0,2723,5
2001-04-24,11951.0,11945.0,11945.0,11951.0,2204,4
2001-04-25,11999.0,11996.0,11960.0,11999.0,1034,3
2001-04-29,11998.0,12004.0,11998.0,12004.0,677,6
2001-04-30,11990.0,11990.0,11990.0,11990.0,1049,7
2001-05-01,11899.0,11898.0,11897.0,11899.0,4203,10
2001-05-05,11898.0,11890.0,11890.0,11898.0,2990,6
2001-05-06,11899.0,11898.0,11898.0,11899.0,1182,4
2001-05-07,11906.0,11906.0,11906.0,11906.0,366,1
2001-05-08,11910.0,11910.0,11909.0,11911.0,1555,8
2001-05-09,11912.0,11912.0,11912.0,11912.0,366,1
2001-05-12,11922.0,11928.0,11921.0,11928.0,4166,13
2001-05-13,11925.0,11910.0,11900.0,11925.0,8038,18
2001-05-15,11943.0,11943.0,11926.0,11943.0,3080,9
2001-05-16,12105.0,12000.0,11955.0,12105.0,3371,11
2001-05-19,12129.0,12116.0,12113.0,12129.0,2024,5
2001-05-20,12185.0,12156.0,12156.0,12185.0,778,3
2001-05-23,12794.0,12794.0,12794.0,12794.0,1108,5
2001-05-26,13433.0,13433.0,13433.0,13433.0,2370,4
2001-05-28,14104.0,14104.0,14104.0,14104.0,3049,9
2001-05-29,14809.0,14809.0,14809.0,14809.0,2278,4
2001-05-30,14847.0,14820.0,14820.0,15179.0,11888,31
2001-06-02,14809.0,14810.0,14809.0,14840.0,10799,21
2001-06-03,14851.0,14810.0,14810.0,14858.0,5234,13
2001-06-06,14851.0,14851.0,14851.0,14853.0,4297,13
2001-06-09,14838.0,14851.0,14838.0,14851.0,378,3
2001-06-11,14790.0,14837.0,14790.0,14837.0,695,3
2001-06-13,14760.0,14764.0,14760.0,14764.0,455,6
