Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-03-06,780.0,6590220.0,3.0,8449.0,8449.0,8886.0,8449.0,8892.0
2016-03-08,4668.0,40688774.0,19.0,9000.0,8442.0,8872.0,8442.0,8886.0
2016-03-15,225.0,1896525.0,2.0,8429.0,8429.0,8870.0,8429.0,8872.0
2016-03-27,875.0,7373625.0,1.0,8427.0,8427.0,8863.0,8427.0,8870.0
2016-04-02,128.0,1094400.0,1.0,8550.0,8550.0,8862.0,8550.0,8863.0
2016-04-05,225.0,1894275.0,1.0,8419.0,8419.0,8860.0,8419.0,8862.0
2016-04-09,5369.0,46430193.0,6.0,9140.0,8417.0,8840.0,9140.0,8860.0
2016-04-10,110.0,923780.0,1.0,8398.0,8398.0,8839.0,8398.0,8840.0
2016-04-13,2780.0,23346440.0,2.0,8398.0,8398.0,8817.0,8398.0,8839.0
2016-04-16,225.0,1884825.0,1.0,8377.0,8377.0,8815.0,8377.0,8817.0
2016-05-03,1320.0,11063500.0,3.0,9225.0,8375.0,8805.0,8375.0,8815.0
2016-05-07,9780.0,89430600.0,21.0,9245.0,8365.0,8863.0,9245.0,8805.0
2016-05-08,905.0,8069200.0,7.0,9306.0,8420.0,8864.0,9306.0,8863.0
2016-05-09,480.0,4467360.0,3.0,9307.0,9307.0,8868.0,9307.0,8864.0
2016-05-10,250.0,2327750.0,2.0,9311.0,9311.0,8870.0,9311.0,8868.0
2016-05-11,199.0,1853287.0,1.0,9313.0,9313.0,8872.0,9313.0,8870.0
2016-05-16,1314.0,12046150.0,4.0,9315.0,8450.0,8879.0,9315.0,8872.0
2016-05-17,375.0,3296350.0,3.0,9319.0,8436.0,8878.0,9319.0,8879.0
2016-05-18,15214.0,130798416.0,26.0,9299.0,8435.0,8802.0,9299.0,8878.0
2016-06-07,3585.0,33128550.0,12.0,9242.0,9240.0,8830.0,9242.0,8802.0
2016-06-08,2793.0,25893903.0,5.0,9271.0,9271.0,8852.0,9271.0,8830.0
2016-06-12,828.0,6963480.0,1.0,8410.0,8410.0,8846.0,8410.0,8852.0
2016-06-13,3314.0,28258638.0,8.0,9199.0,8404.0,8827.0,9000.0,8846.0
2016-06-14,600.0,5160000.0,1.0,8600.0,8600.0,8825.0,8600.0,8827.0
2016-06-15,4349.0,40260540.0,5.0,9266.0,9230.0,8858.0,9266.0,8825.0
2016-06-20,500.0,4208500.0,1.0,8417.0,8417.0,8854.0,8417.0,8858.0
2016-06-21,5078.0,44866896.0,4.0,9269.0,8413.0,8852.0,9251.0,8854.0
2016-06-26,8174.0,72507077.0,3.0,9249.0,8426.0,8855.0,9249.0,8852.0
2016-06-29,235.0,1988605.0,2.0,9253.0,8427.0,8853.0,8427.0,8855.0
2016-07-02,570.0,4996050.0,3.0,8990.0,8420.0,8852.0,8990.0,8853.0
2016-07-05,1040.0,8751600.0,3.0,8415.0,8415.0,8844.0,8415.0,8852.0
2016-07-10,1402.0,11980456.0,3.0,8998.0,8402.0,8837.0,8998.0,8844.0
2016-07-11,1000.0,8396000.0,1.0,8396.0,8396.0,8829.0,8396.0,8837.0
2016-07-12,1521.0,13169159.0,4.0,8999.0,8658.0,8824.0,8999.0,8829.0
2016-07-13,225.0,1889325.0,2.0,8397.0,8397.0,8822.0,8397.0,8824.0
2016-07-18,188.0,1691812.0,1.0,8999.0,8999.0,8823.0,8999.0,8822.0
2016-07-27,321.0,2690622.0,3.0,8382.0,8382.0,8821.0,8382.0,8823.0
2016-08-01,460.0,4036550.0,2.0,8780.0,8770.0,8821.0,8770.0,8821.0
2016-08-07,2185.0,18310300.0,6.0,8380.0,8380.0,8804.0,8380.0,8821.0
2016-08-08,450.0,3763800.0,3.0,8364.0,8364.0,8801.0,8364.0,8804.0
2016-08-09,7861.0,65727317.0,11.0,8362.0,8361.0,8740.0,8361.0,8801.0
2016-08-10,1300.0,10793900.0,2.0,8303.0,8303.0,8730.0,8303.0,8740.0
2016-08-13,1382.0,11462308.0,2.0,8294.0,8294.0,8719.0,8294.0,8730.0
2016-08-14,2000.0,16568000.0,5.0,8284.0,8284.0,8704.0,8284.0,8719.0
2016-08-15,200.0,1653800.0,1.0,8269.0,8269.0,8702.0,8269.0,8704.0
2016-08-16,2800.0,23147600.0,3.0,8267.0,8267.0,8681.0,8267.0,8702.0
2016-08-17,1422.0,11728134.0,3.0,8250.0,8247.0,8670.0,8247.0,8681.0
2016-08-20,1000.0,8237000.0,1.0,8237.0,8237.0,8662.0,8237.0,8670.0
2016-08-21,1094.0,9002526.0,2.0,8229.0,8229.0,8654.0,8229.0,8662.0
2016-08-22,320.0,2631040.0,2.0,8222.0,8222.0,8652.0,8222.0,8654.0
2016-08-23,450.0,3699000.0,4.0,8220.0,8220.0,8649.0,8220.0,8652.0
2016-08-24,225.0,1848825.0,9.0,8217.0,8217.0,8647.0,8217.0,8649.0
2016-08-28,1028.0,8447076.0,1.0,8217.0,8217.0,8639.0,8217.0,8647.0
2016-08-31,1033.0,8691132.0,2.0,9006.0,8208.0,8635.0,9006.0,8639.0
2016-09-07,6577.0,55904500.0,1.0,8500.0,8500.0,8620.0,8500.0,8635.0
2016-09-17,335.0,2797250.0,2.0,8350.0,8350.0,8618.0,8350.0,8620.0
