Date,Close,Open,Low,High,Volume,Trades
2001-05-16,6700.0,6700.0,6700.0,6700.0,1000,1
2001-05-19,6365.0,6365.0,6365.0,6365.0,1000,1
2001-05-20,6047.0,6047.0,6047.0,6047.0,4000,5
2001-05-21,5745.0,5745.0,5745.0,5745.0,6000,7
2001-05-26,5500.0,5500.0,5500.0,5500.0,1000,1
2001-06-13,5225.0,5225.0,5225.0,5225.0,3000,1
2001-06-19,5225.0,5225.0,5225.0,5225.0,100,4
2001-06-24,5224.0,5224.0,5224.0,5224.0,1000,1
2001-06-25,5190.0,5198.0,5190.0,5199.0,5050,4
2001-06-26,4964.0,4964.0,4964.0,5000.0,7404,9
2001-06-27,5000.0,4965.0,4965.0,5000.0,2500,5
2001-06-30,5001.0,5002.0,5001.0,5002.0,3632,3
2001-07-01,5000.0,5001.0,5000.0,5001.0,5068,11
2001-07-02,4950.0,5000.0,4950.0,5000.0,1520,7
2001-07-07,4750.0,4751.0,4750.0,4751.0,2000,3
2001-07-08,4513.0,4513.0,4513.0,4513.0,1000,2
2001-07-09,4400.0,4400.0,4399.0,4400.0,19050,18
2001-07-10,4400.0,4400.0,4400.0,4400.0,4080,10
2001-07-11,4400.0,4400.0,4400.0,4400.0,25479,13
2001-09-09,4000.0,4000.0,4000.0,4000.0,2900,5
2001-09-10,4000.0,4000.0,4000.0,4000.0,5200,5
2001-09-11,3999.0,3999.0,3999.0,3999.0,3556,3
2001-09-12,3997.0,3997.0,3997.0,3997.0,100,1
2001-09-16,3801.0,3802.0,3801.0,3802.0,7056,5
2001-09-18,3611.0,3611.0,3611.0,3611.0,5000,3
2001-09-23,3600.0,3600.0,3600.0,3600.0,400,1
2001-09-24,3600.0,3600.0,3600.0,3601.0,8193,13
2001-10-07,3600.0,3600.0,3600.0,3600.0,3802,6
2001-10-08,3602.0,3603.0,3602.0,3603.0,844,2
2001-10-09,3600.0,3601.0,3600.0,3601.0,1130,2
2001-10-13,3600.0,3600.0,3600.0,3600.0,826,4
2001-10-14,3600.0,3600.0,3600.0,3600.0,83,1
2001-10-17,3600.0,3601.0,3600.0,3601.0,892,3
2001-10-20,3600.0,3600.0,3600.0,3600.0,2700,3
2001-10-21,3601.0,3600.0,3600.0,3601.0,630,2
2001-10-23,3780.0,3607.0,3607.0,3780.0,5892,2
2001-10-28,3969.0,3969.0,3969.0,3969.0,9730,1
2001-10-29,3997.0,3997.0,3997.0,3997.0,116,1
2001-10-30,4196.0,4196.0,4196.0,4196.0,8825,5
2001-11-04,4405.0,4405.0,4405.0,4405.0,1000,1
2001-11-05,4625.0,4625.0,4625.0,4625.0,1000,1
2001-11-06,4856.0,4856.0,4856.0,4856.0,1000,2
2001-11-07,5098.0,5098.0,5098.0,5098.0,1000,2
2001-11-10,5352.0,5352.0,5352.0,5352.0,5765,9
2001-11-11,5352.0,5619.0,5352.0,5619.0,69901,42
2001-11-24,3000.0,3000.0,3000.0,3000.0,1000,1
2001-12-23,3150.0,3150.0,3150.0,3150.0,500,1
2001-12-30,3307.0,3307.0,3307.0,3307.0,692,2
2002-01-01,3472.0,3472.0,3472.0,3472.0,1000,2
2002-01-06,3645.0,3645.0,3645.0,3645.0,1000,2
2002-01-13,3827.0,3827.0,3827.0,3827.0,1000,2
2002-01-15,4018.0,4018.0,4018.0,4018.0,1391,1
2002-01-16,4218.0,4218.0,4218.0,4218.0,1000,2
2002-01-19,4323.0,4323.0,4323.0,4323.0,15416,8
2002-01-20,4431.0,4431.0,4431.0,4431.0,7000,4
2002-01-21,4323.0,4323.0,4322.0,4430.0,7028,9
2002-01-22,4250.0,4323.0,4250.0,4323.0,4903,10
2002-01-23,4250.0,4251.0,4250.0,4251.0,832,3
2002-01-26,4250.0,4249.0,4249.0,4250.0,4618,3
2002-01-27,4200.0,4250.0,4200.0,4250.0,1116,2
2002-01-28,4100.0,4100.0,4100.0,4100.0,6000,2
2002-01-29,4100.0,4100.0,4100.0,4100.0,1000,1
2002-01-30,4000.0,4000.0,4000.0,4000.0,1307,2
2002-02-02,3900.0,3900.0,3900.0,3900.0,1000,2
2002-02-04,3900.0,3900.0,3900.0,3900.0,229,1
2002-02-09,3900.0,3900.0,3900.0,3900.0,384,1
2002-05-06,5250.0,5250.0,5250.0,5250.0,1000,1
2002-05-07,5198.0,5227.0,5198.0,5227.0,40000,18
2002-06-17,3200.0,3200.0,3200.0,3200.0,3200,2
2002-06-18,3360.0,3360.0,3360.0,3360.0,1000,1
2002-06-19,3528.0,3528.0,3528.0,3528.0,1000,1
2002-06-22,3704.0,3704.0,3704.0,3704.0,1486,2
2002-06-29,3711.0,3712.0,3711.0,3712.0,1000,2
2002-07-01,3711.0,3715.0,3709.0,3716.0,13974,12
2002-07-03,3708.0,3700.0,3700.0,3711.0,6856,6
2002-07-06,3800.0,3798.0,3798.0,3800.0,6000,3
2002-07-08,3800.0,3800.0,3800.0,3800.0,2200,2
2002-07-09,3800.0,3800.0,3800.0,3800.0,474,1
2002-08-05,3948.0,3948.0,3948.0,3948.0,15000,3
2002-08-06,3850.0,3850.0,3850.0,3850.0,2000,2
2002-11-18,2000.0,2000.0,2000.0,2000.0,793,3
2002-11-20,2000.0,2000.0,2000.0,2000.0,207,1
2002-11-23,2000.0,2000.0,2000.0,2000.0,288,2
2002-11-30,2011.0,2011.0,2010.0,2011.0,3182,4
2002-12-02,2010.0,2010.0,2010.0,2010.0,7038,2
2002-12-07,1911.0,1911.0,1911.0,1911.0,3818,5
2002-12-24,1816.0,1816.0,1816.0,1816.0,1220,2
2003-01-04,1726.0,1726.0,1726.0,1726.0,3000,1
2003-01-05,1726.0,1726.0,1726.0,1726.0,29607,5
2003-01-07,1640.0,1640.0,1640.0,1640.0,18000,7
2003-01-08,1640.0,1640.0,1640.0,1640.0,13000,3
2003-01-11,1640.0,1640.0,1640.0,1640.0,1000,1
2003-01-18,1640.0,1640.0,1640.0,1640.0,10000,1
2003-01-22,1640.0,1640.0,1640.0,1640.0,100,1
2003-02-08,1558.0,1558.0,1558.0,1558.0,900,1
2003-07-12,1520.0,1520.0,1520.0,1520.0,1000,1
2003-07-16,1445.0,1445.0,1445.0,1445.0,1900,1
2003-07-23,1445.0,1445.0,1445.0,1445.0,4351,4
2003-07-26,1445.0,1445.0,1445.0,1445.0,20000,3
2003-07-28,1445.0,1445.0,1445.0,1445.0,793,1
2003-08-23,1445.0,1445.0,1445.0,1445.0,100,1
2003-08-26,1445.0,1445.0,1445.0,1445.0,2674,2
2003-08-30,1445.0,1445.0,1445.0,1445.0,1001,2
2003-09-03,1445.0,1445.0,1445.0,1445.0,500,1
2003-09-27,1445.0,1445.0,1445.0,1445.0,3026,3
2003-10-14,1445.0,1445.0,1445.0,1445.0,3000,3
2003-11-08,1515.0,1447.0,1447.0,1517.0,10210,3
2003-11-10,1590.0,1590.0,1590.0,1590.0,5000,2
2003-11-11,1590.0,1590.0,1590.0,1590.0,20000,4
2003-11-15,1654.0,1669.0,1654.0,1669.0,2929,2
2003-11-19,1736.0,1736.0,1736.0,1736.0,10000,5
2003-11-22,1822.0,1822.0,1822.0,1822.0,10000,1
2003-11-23,1913.0,1913.0,1913.0,1913.0,5000,2
2003-11-24,2008.0,2008.0,2008.0,2008.0,5000,1
2003-11-25,2108.0,2108.0,2108.0,2108.0,5000,1
2003-11-29,2213.0,2213.0,2213.0,2213.0,15000,5
2003-11-30,2287.0,2323.0,2213.0,2323.0,34190,13
2003-12-01,2401.0,2401.0,2401.0,2401.0,14500,3
2003-12-03,2458.0,2521.0,2401.0,2521.0,40646,13
2003-12-06,2379.0,2401.0,2336.0,2409.0,36880,17
2003-12-10,2379.0,2381.0,2379.0,2381.0,1510,2
2003-12-14,2492.0,2480.0,2480.0,2497.0,3725,3
2003-12-15,2499.0,2499.0,2497.0,2500.0,20210,7
2003-12-17,2492.0,2497.0,2485.0,2502.0,18916,4
2003-12-28,2492.0,2492.0,2492.0,2492.0,3590,2
2003-12-30,2469.0,2368.0,2368.0,2469.0,676,3
2003-12-31,2365.0,2364.0,2364.0,2366.0,19191,6
2004-01-06,2315.0,2265.0,2265.0,2315.0,1790,2
2004-01-10,2314.0,2311.0,2311.0,2314.0,60,2
2004-01-11,2300.0,2300.0,2300.0,2300.0,155000,16
2004-01-17,2295.0,2283.0,2283.0,2295.0,873,2
2004-01-19,2273.0,2268.0,2250.0,2300.0,59998,17
2004-01-20,2314.0,2314.0,2314.0,2314.0,5000,1
2004-02-04,2309.0,2307.0,2307.0,2309.0,2210,2
2004-02-07,2308.0,2308.0,2308.0,2308.0,2000,1
2004-02-08,2308.0,2308.0,2308.0,2308.0,290,1
2004-03-06,2307.0,2307.0,2307.0,2308.0,7010,3
2004-03-07,2422.0,2422.0,2422.0,2422.0,22000,3
2004-03-08,2423.0,2423.0,2423.0,2423.0,3690,1
2004-03-09,2544.0,2544.0,2544.0,2544.0,25500,4
2004-03-10,2547.0,2540.0,2540.0,2551.0,12960,7
2004-03-13,2631.0,2547.0,2547.0,2674.0,15010,4
2004-03-16,2714.0,2574.0,2574.0,2720.0,10406,3
2004-03-17,2849.0,2849.0,2849.0,2849.0,4528,3
2004-03-28,2847.0,2840.0,2840.0,2848.0,2010,7
2004-03-29,2989.0,2989.0,2989.0,2989.0,24000,5
2004-03-30,3138.0,3138.0,3138.0,3138.0,40000,4
2004-04-03,3294.0,3294.0,3294.0,3294.0,5000,5
2004-04-04,3458.0,3458.0,3458.0,3458.0,51041,21
2004-04-05,3630.0,3630.0,3630.0,3630.0,5000,4
2004-04-06,3811.0,3811.0,3811.0,3811.0,4800,3
2004-04-07,3994.0,4000.0,3815.0,4001.0,30168,17
2004-04-10,4177.0,4193.0,4141.0,4193.0,90349,45
2004-04-12,4017.0,4175.0,4000.0,4175.0,10212,17
2004-04-13,3865.0,3967.0,3818.0,3969.0,8820,6
2004-04-14,3672.0,3672.0,3672.0,3672.0,35340,12
2004-04-17,3671.0,3671.0,3671.0,3671.0,2300,3
2004-04-18,3631.0,3488.0,3488.0,3631.0,1034,2
2004-04-21,3596.0,3486.0,3486.0,3596.0,1148,3
2004-04-24,3486.0,3486.0,3485.0,3500.0,11983,12
2004-04-25,3450.0,3485.0,3350.0,3486.0,7903,5
2004-04-26,3341.0,3450.0,3294.0,3450.0,18337,15
2004-04-27,3340.0,3341.0,3339.0,3341.0,1099,4
2004-04-28,3328.0,3339.0,3300.0,3340.0,12010,7
2004-05-01,3414.0,3338.0,3338.0,3490.0,6089,7
2004-05-24,3342.0,2398.0,2398.0,3480.0,33961,15
2004-05-25,3342.0,3342.0,3342.0,3342.0,2000,1
2004-05-31,3498.0,3489.0,3489.0,3509.0,12272,12
2004-06-01,3503.0,3509.0,3503.0,3509.0,2270,2
2004-06-02,3584.0,3678.0,3584.0,3678.0,2237,3
2004-06-05,3733.0,3763.0,3733.0,3763.0,4010,2
2004-06-06,3919.0,3919.0,3919.0,3919.0,5236,1
2004-06-07,4114.0,4114.0,4114.0,4114.0,57350,17
2004-06-08,4319.0,4319.0,4319.0,4319.0,22320,11
2004-06-09,4316.0,4319.0,4300.0,4326.0,49718,27
2004-06-12,4499.0,4500.0,4499.0,4500.0,17727,10
2004-06-13,4578.0,4500.0,4500.0,4611.0,21237,13
2004-06-14,4615.0,4578.0,4578.0,4651.0,32432,19
2004-06-15,4620.0,4620.0,4620.0,4620.0,7807,5
2004-06-16,4620.0,4620.0,4620.0,4620.0,107,1
2004-06-19,4597.0,4389.0,4389.0,4597.0,478,2
2004-06-20,4368.0,4368.0,4368.0,4368.0,15151,5
2004-09-22,2730.0,2730.0,2730.0,2730.0,31000,4
2004-09-26,2738.0,2866.0,2738.0,2866.0,318,2
2004-09-28,2874.0,2874.0,2874.0,2874.0,12646,6
2004-10-04,2876.0,3017.0,2876.0,3017.0,110,2
2004-10-06,2927.0,3019.0,2927.0,3019.0,1730,2
2004-10-09,3027.0,3073.0,3027.0,3073.0,3298,3
2004-10-10,3077.0,3178.0,3077.0,3178.0,1600,3
2004-10-12,3169.0,3230.0,3169.0,3230.0,2903,2
2004-10-13,3225.0,3327.0,3225.0,3327.0,1730,3
2004-10-16,3370.0,3386.0,3370.0,3386.0,4362,8
2004-10-17,3412.0,3538.0,3412.0,3538.0,1236,3
