Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,73640,514754968,18,7050.0,6710.0,6942.0,7050.0,6914.0
2016-02-21,50275,342268350,22,7259.0,6711.0,6908.0,6711.0,6942.0
2016-02-22,255036,1785250780,12,7140.0,6998.0,7000.0,7000.0,6908.0
2016-02-23,5755,38904891,6,6761.0,6760.0,6993.0,6761.0,7000.0
2016-02-24,32726,222087200,10,6802.0,6730.0,6959.0,6802.0,6993.0
2016-02-27,31250,213662550,22,7079.0,6727.0,6940.0,6800.0,6959.0
2016-02-28,112879,796220594,44,7130.0,7005.0,7004.0,7025.0,6940.0
2016-02-29,21390,147969312,12,7000.0,6822.0,6995.0,6989.0,7004.0
2016-03-01,59530,420414584,25,7100.0,6750.0,7015.0,7100.0,6995.0
2016-03-02,413555,3002652525,83,7365.0,7010.0,7261.0,7365.0,7015.0
2016-03-05,305388,2327555420,51,7624.0,7367.0,7622.0,7624.0,7261.0
2016-03-06,115010,919987769,74,8003.0,7730.0,7839.0,7990.0,7622.0
2016-03-07,3907,31367370,9,8090.0,7710.0,7843.0,7710.0,7839.0
2016-03-08,42308,316161815,37,7800.0,7451.0,7765.0,7451.0,7843.0
2016-03-09,28969,213773193,19,7400.0,7377.0,7709.0,7378.0,7765.0
2016-03-12,29945,219451069,28,7349.0,7324.0,7652.0,7348.0,7709.0
2016-03-14,22593,170081560,25,7649.0,7272.0,7638.0,7648.0,7652.0
2016-03-15,308,2353120,1,7640.0,7640.0,7638.0,7640.0,7638.0
2016-03-16,319504,2336712119,44,7352.0,7257.0,7314.0,7307.0,7638.0
2016-03-26,5740,42351500,5,7381.0,7330.0,7316.0,7381.0,7314.0
2016-03-27,29207,215827128,12,7450.0,7331.0,7327.0,7331.0,7316.0
2016-03-28,9081,66584318,7,7380.0,7180.0,7327.0,7228.0,7327.0
2016-03-29,9773,71905750,13,7480.0,7350.0,7328.0,7480.0,7327.0
2016-03-30,11010,81776600,7,7480.0,7400.0,7333.0,7446.0,7328.0
2016-04-02,105951,780947280,28,7400.0,7370.0,7353.0,7372.0,7333.0
2016-04-03,63885,471503600,14,7400.0,7380.0,7362.0,7380.0,7353.0
2016-04-04,50197,374619725,24,7540.0,7385.0,7387.0,7501.0,7362.0
2016-04-05,13139,98876367,19,7540.0,7390.0,7396.0,7520.0,7387.0
2016-04-06,35555,267440995,21,7540.0,7427.0,7418.0,7429.0,7396.0
2016-04-09,148870,1110824700,26,7600.0,7434.0,7451.0,7560.0,7418.0
2016-04-10,34297,255616777,16,7500.0,7451.0,7451.0,7451.0,7451.0
2016-04-11,114405,852745689,15,7579.0,7430.0,7453.0,7440.0,7451.0
2016-04-12,203473,1514009371,34,7600.0,7421.0,7441.0,7431.0,7453.0
2016-04-13,19570,144255930,8,7440.0,7353.0,7434.0,7440.0,7441.0
2016-04-16,38562,280753630,18,7311.0,7222.0,7404.0,7251.0,7434.0
2016-04-17,514,3877900,3,7595.0,7301.0,7404.0,7500.0,7404.0
2016-04-18,2533,18984050,6,7690.0,7413.0,7405.0,7413.0,7404.0
2016-04-19,13250,98463590,10,7550.0,7409.0,7407.0,7410.0,7405.0
2016-04-20,16821,124156400,7,7400.0,7380.0,7405.0,7380.0,7407.0
2016-04-23,83484,646903373,35,7775.0,7400.0,7549.0,7698.0,7405.0
2016-04-24,30385,226125981,10,7775.0,7430.0,7533.0,7451.0,7549.0
2016-04-25,10592,79793772,10,7645.0,7423.0,7533.0,7431.0,7533.0
2016-04-26,816,6131320,4,7649.0,7420.0,7533.0,7649.0,7533.0
2016-04-27,5578,41732835,11,7600.0,7452.0,7532.0,7600.0,7533.0
2016-04-30,2465,18519574,13,7641.0,7400.0,7532.0,7588.0,7532.0
2016-05-01,185356,1454730875,42,7908.0,7450.0,7825.0,7908.0,7532.0
2016-05-02,150,1171605,2,7907.0,7800.0,7825.0,7907.0,7825.0
2016-05-03,4770,37638899,7,7900.0,7850.0,7827.0,7900.0,7825.0
2016-05-04,314680,2582846503,53,8218.0,7655.0,8208.0,7950.0,7827.0
2016-05-07,1271,10127480,5,8300.0,7860.0,8206.0,7860.0,8208.0
2016-05-08,2102424,17634679060,31,8400.0,7900.0,8388.0,8399.0,8206.0
2016-05-09,2607459,22490573310,146,8807.0,8299.0,8625.0,8790.0,8388.0
2016-05-10,7774,67525382,16,8800.0,8625.0,8627.0,8739.0,8625.0
2016-05-11,25433,213660658,26,8998.0,8200.0,8598.0,8500.0,8627.0
2016-05-14,825,7065975,7,8585.0,8500.0,8598.0,8500.0,8598.0
2016-05-15,5435,44532640,9,8400.0,8170.0,8587.0,8200.0,8598.0
2016-05-16,1367,11158334,6,8250.0,8158.0,8584.0,8158.0,8587.0
2016-05-17,9203,75237215,11,8200.0,8155.0,8565.0,8155.0,8584.0
2016-05-18,9917,80919310,24,8480.0,8137.0,8545.0,8137.0,8565.0
2016-05-21,21445,174090510,10,8118.0,8118.0,8499.0,8118.0,8545.0
2016-05-23,2336,18863200,5,8075.0,8075.0,8494.0,8075.0,8499.0
2016-05-25,2400,19368000,1,8070.0,8070.0,8489.0,8070.0,8494.0
2016-05-28,259,2088835,3,8065.0,8065.0,8488.0,8065.0,8489.0
2016-05-29,2764,22288896,3,8064.0,8064.0,8482.0,8064.0,8488.0
2016-05-30,8389,67598562,9,8058.0,8058.0,8464.0,8058.0,8482.0
2016-06-11,3920,28467570,7,7300.0,6937.0,7262.0,6938.0,7714.0
2016-06-12,20993,144862769,20,7050.0,6899.0,7224.0,6900.0,7262.0
2016-06-13,9375,64340625,7,6863.0,6863.0,7207.0,6863.0,7224.0
2016-06-14,11126,76179722,7,6847.0,6847.0,7187.0,6847.0,7207.0
2016-06-15,25801,176210230,24,6847.0,6828.0,7141.0,6847.0,7187.0
2016-06-18,3759,25509268,9,6847.0,6784.0,7134.0,6784.0,7141.0
2016-06-19,2870,19453940,6,6784.0,6778.0,7129.0,6778.0,7134.0
2016-06-20,6000,40638000,4,6773.0,6773.0,7118.0,6773.0,7129.0
2016-06-21,6400,43283200,3,6763.0,6763.0,7107.0,6763.0,7118.0
2016-06-22,83469,563673992,29,6930.0,6752.0,6959.0,6775.0,7107.0
2016-06-25,35243,234167748,11,6840.0,6612.0,6904.0,6840.0,6959.0
2016-06-26,13139,86966240,12,6840.0,6560.0,6885.0,6560.0,6904.0
2016-06-28,7868,52664000,6,6700.0,6650.0,6877.0,6690.0,6885.0
2016-06-29,2065,13734206,7,6670.0,6602.0,6875.0,6670.0,6877.0
2016-07-02,6760,44613505,15,6630.0,6542.0,6866.0,6600.0,6875.0
2016-07-03,32162,210748900,9,6850.0,6550.0,6816.0,6560.0,6866.0
2016-07-04,14593,98682318,10,6810.0,6511.0,6812.0,6529.0,6816.0
2016-07-05,12629,82087711,7,6551.0,6472.0,6792.0,6472.0,6812.0
2016-07-09,4081,26642360,6,6750.0,6453.0,6787.0,6460.0,6792.0
2016-07-11,3635,23558480,8,6600.0,6448.0,6781.0,6448.0,6787.0
2016-07-12,5500,35500500,7,6470.0,6443.0,6772.0,6443.0,6781.0
2016-07-13,567,3648078,2,6434.0,6434.0,6771.0,6434.0,6772.0
2016-07-16,7533,48576757,11,6760.0,6433.0,6759.0,6700.0,6771.0
2016-07-17,9117,58599664,10,6790.0,6422.0,6744.0,6422.0,6759.0
2016-07-18,19978,128039206,12,6420.0,6407.0,6711.0,6407.0,6744.0
2016-07-19,19981,127467586,20,6407.0,6376.0,6678.0,6376.0,6711.0
