,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692811782449188865,692811782449188865,1454014175000,2016-01-29,00:19:35,430,2463165061,bourseiness,بورسینس,,“#رتاپ”و پیش بینی درآمد هر سهم برای سال مالی منتهی به 1394/12/29: بورسینس دات‌کام: شرکت…  http://goo.gl/fb/HQDujS ,[],['http://goo.gl/fb/HQDujS'],[],0,0,0,['#رتاپ'],[],https://twitter.com/bourseiness/status/692811782449188865,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,700906854478651392,700906854478651392,1455944190000,2016-02-20,08:26:30,430,2463165061,bourseiness,بورسینس,,توقف نمادهاي معاملاتي #غنوش ، #تايرا، #سقاين، #پارسيان، #پتاير، #رتاپ  http://goo.gl/fb/dXPy9d  #اخبار,[],['http://goo.gl/fb/dXPy9d'],[],0,0,0,"['#غنوش', '#تايرا', '#سقاين', '#پارسيان', '#پتاير', '#رتاپ', '#اخبار']",[],https://twitter.com/bourseiness/status/700906854478651392,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,701327958007537664,701327958007537664,1456044589000,2016-02-21,12:19:49,430,2463165061,bourseiness,بورسینس,,بازگشايي نمادهاي معاملاتي #دعبيد،#رتاپ،#شدوص،#خكمك،#غشهد،#وايران،#خزر،#كرازي  http://goo.gl/fb/sYdJI8  #اقتصاد #بورس,[],['http://goo.gl/fb/sYdJI8'],[],0,0,0,"['#دعبيد', '#رتاپ', '#شدوص', '#خكمك', '#غشهد', '#وايران', '#خزر', '#كرازي', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/701327958007537664,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,701645134522413057,701645134522413057,1456120210000,2016-02-22,09:20:10,430,2463165061,bourseiness,بورسینس,,#رتاپ صف خرید  http://goo.gl/fb/mab0WH  #اقتصاد #بورس,[],['http://goo.gl/fb/mab0WH'],[],0,0,0,"['#رتاپ', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/701645134522413057,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,702365213606223874,702365213606223874,1456291890000,2016-02-24,09:01:30,430,2463165061,bourseiness,بورسینس,,صف فروش #رتاپ جمع شد  http://goo.gl/fb/13b1O1  #اقتصاد #بورس,[],['http://goo.gl/fb/13b1O1'],[],0,0,0,"['#رتاپ', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/702365213606223874,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,704192284598923264,704192284598923264,1456727498000,2016-02-29,10:01:38,430,2463165061,bourseiness,بورسینس,,#رتاپ تنها نماد انفورماتیکی مثبت  http://goo.gl/fb/bB5QaW  #اقتصاد,[],['http://goo.gl/fb/bB5QaW'],[],0,0,0,"['#رتاپ', '#اقتصاد']",[],https://twitter.com/bourseiness/status/704192284598923264,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,715057345961803777,715057345961803777,1459317931000,2016-03-30,10:35:31,430,2463165061,bourseiness,بورسینس,,اقدام جدید #رتاپ برای کسب درآمد ظاهرا شرکت تجارت الکترونیک پارسیان با همکاری بانک…  http://goo.gl/fb/F5sK1N  #اقتصاد,[],['http://goo.gl/fb/F5sK1N'],[],0,0,0,"['#رتاپ', '#اقتصاد']",[],https://twitter.com/bourseiness/status/715057345961803777,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,715070914073915392,715070914073915392,1459321165000,2016-03-30,11:29:25,430,2463165061,bourseiness,بورسینس,,گروه رایانه معاملات خوبی دارند #رتاپ صف خرید شد  http://goo.gl/fb/98IFFq  #اقتصاد,[],['http://goo.gl/fb/98IFFq'],[],0,0,0,"['#رتاپ', '#اقتصاد']",[],https://twitter.com/bourseiness/status/715070914073915392,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,716126115975282688,716126115975282688,1459572745000,2016-04-02,09:22:25,430,2463165061,bourseiness,بورسینس,,در گروه #انفورماتیک سه نماد #مدادان #مرقام و #رتاپ در مثبت حداکثری قرار دارند…  http://goo.gl/fb/vBV0LV  #اقتصاد,[],['http://goo.gl/fb/vBV0LV'],[],0,0,0,"['#انفورماتیک', '#مدادان', '#مرقام', '#رتاپ', '#اقتصاد']",[],https://twitter.com/bourseiness/status/716126115975282688,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,726289649203843072,726289649203843072,1461995920000,2016-04-30,10:28:40,430,2463165061,bourseiness,بورسینس,,#رتاپ آگهی دعوت به مجمع عمومی عادی سالیانه شرکت تجارت الکترونيک پارسيان برای سال…  http://goo.gl/fb/vJEcxz  #اقتصاد,[],['http://goo.gl/fb/vJEcxz'],[],0,0,0,"['#رتاپ', '#اقتصاد']",[],https://twitter.com/bourseiness/status/726289649203843072,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,726626377387118592,726626377387118592,1462076203000,2016-05-01,08:46:43,430,2463165061,bourseiness,بورسینس,,#رتاپ فرم مشخصات سهامداران جهت واریز سود سهام  http://goo.gl/fb/LgLWRw  #اقتصاد,[],['http://goo.gl/fb/LgLWRw'],[],0,0,0,"['#رتاپ', '#اقتصاد']",[],https://twitter.com/bourseiness/status/726626377387118592,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,729184331365679104,729184331365679104,1462686066000,2016-05-08,10:11:06,430,2463165061,bourseiness,بورسینس,,توقف نمادهاي معاملاتي #وبوعلي،#سقاين،#رتاپ  http://goo.gl/fb/sWn8TA  #اقتصاد,[],['http://goo.gl/fb/sWn8TA'],[],0,0,1,"['#وبوعلي', '#سقاين', '#رتاپ', '#اقتصاد']",[],https://twitter.com/bourseiness/status/729184331365679104,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,730297487622340608,730297487622340608,1462951463000,2016-05-11,11:54:23,430,2463165061,bourseiness,بورسینس,,#رتاپ #وبوعلی #سنیر و حق تقدم استفاده نشده #رکیش آماده گشایشند  http://goo.gl/fb/0hN40f  #اقتصاد,[],['http://goo.gl/fb/0hN40f'],[],0,0,0,"['#رتاپ', '#وبوعلی', '#سنیر', '#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/730297487622340608,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,930134126941876225,930134126941876225,1510596231000,2017-11-13,21:33:51,430,830770031705206788,radiosaham_ir,radiosaham,,"اولین محصول ABC و رابر #پتروشیمی_جم به بازار عرضه می شود
 http://radiosaham.ir/187568/ 
#رتاپ درباره صدور #مسترکارت شفاف سازی کرد
 http://radiosaham.ir/187562/ 

تحقق ۵۶ درصدی پیش بینی های #فولاد طی شش ماه
 http://radiosaham.ir/187561/ ",[],"['http://radiosaham.ir/187568/', 'http://radiosaham.ir/187562/', 'http://radiosaham.ir/187561/']",[],0,0,1,"['#پتروشیمی_جم', '#رتاپ', '#مسترکارت', '#فولاد']",[],https://twitter.com/radiosaham_ir/status/930134126941876225,False,,0,,,,,,,"[{'user_id': '830770031705206788', 'username': 'radiosaham_ir'}]",,,,,0.9912850856781006
