,Date,Trend
0,2015-08-09,5
1,2015-08-16,5
2,2015-08-23,4
3,2015-08-30,4
4,2015-09-06,4
5,2015-09-13,5
6,2015-09-20,5
7,2015-09-27,5
8,2015-10-04,5
9,2015-10-11,5
10,2015-10-18,5
11,2015-10-25,5
12,2015-11-01,5
13,2015-11-08,5
14,2015-11-15,5
15,2015-11-22,5
16,2015-11-29,5
17,2015-12-06,5
18,2015-12-13,6
19,2015-12-20,7
20,2015-12-27,7
21,2016-01-03,9
22,2016-01-10,11
23,2016-01-17,19
24,2016-01-24,43
25,2016-01-31,99
26,2016-02-07,85
27,2016-02-14,25
28,2016-02-21,12
29,2016-02-28,8
30,2016-03-06,7
31,2016-03-13,7
32,2016-03-20,6
33,2016-03-27,6
34,2016-04-03,7
35,2016-04-10,6
36,2016-04-17,8
37,2016-04-24,11
38,2016-05-01,7
39,2016-05-08,11
40,2016-05-15,8
41,2016-05-22,8
42,2016-05-29,6
43,2016-06-05,7
44,2016-06-12,6
45,2016-06-19,7
46,2016-06-26,7
47,2016-07-03,8
48,2016-07-10,6
49,2016-07-17,6
50,2016-07-24,6
51,2016-07-31,6
52,2016-08-07,5
53,2016-08-14,5
54,2016-08-21,5
55,2016-08-28,5
56,2016-09-04,5
57,2016-09-11,5
58,2016-09-18,4
59,2016-09-25,5
60,2016-10-02,4
61,2016-10-09,5
62,2016-10-16,5
63,2016-10-23,5
64,2016-10-30,5
65,2016-11-06,5
66,2016-11-13,6
67,2016-11-20,5
68,2016-11-27,5
69,2016-12-04,6
70,2016-12-11,7
71,2016-12-18,6
72,2016-12-25,7
73,2017-01-01,10
74,2017-01-08,10
75,2017-01-15,21
76,2017-01-22,43
77,2017-01-29,100
78,2017-02-05,86
79,2017-02-12,18
80,2017-02-19,9
81,2017-02-26,7
82,2017-03-05,6
83,2017-03-12,5
84,2017-03-19,5
85,2017-03-26,5
86,2017-04-02,6
87,2017-04-09,6
88,2017-04-16,6
89,2017-04-23,6
90,2017-04-30,6
91,2017-05-07,5
92,2017-05-14,5
93,2017-05-21,5
94,2017-05-28,6
95,2017-06-04,6
96,2017-06-11,5
97,2017-06-18,6
98,2017-06-25,5
99,2017-07-02,5
100,2017-07-09,4
101,2017-07-16,4
102,2017-07-23,5
103,2017-07-30,5
104,2017-08-06,4
105,2017-08-13,5
106,2017-08-20,6
107,2017-08-27,5
108,2017-09-03,5
109,2017-09-10,5
110,2017-09-17,4
111,2017-09-24,4
112,2017-10-01,5
113,2017-10-08,4
114,2017-10-15,5
115,2017-10-22,5
116,2017-10-29,5
117,2017-11-05,5
118,2017-11-12,4
119,2017-11-19,5
120,2017-11-26,5
121,2017-12-03,5
122,2017-12-10,5
123,2017-12-17,5
124,2017-12-24,7
125,2017-12-31,7
126,2018-01-07,9
127,2018-01-14,16
128,2018-01-21,31
129,2018-01-28,75
130,2018-02-04,80
131,2018-02-11,53
132,2018-02-18,9
133,2018-02-25,7
134,2018-03-04,6
135,2018-03-11,5
136,2018-03-18,4
137,2018-03-25,5
138,2018-04-01,5
139,2018-04-08,6
140,2018-04-15,7
141,2018-04-22,9
142,2018-04-29,5
143,2018-05-06,4
144,2018-05-13,6
145,2018-05-20,6
146,2018-05-27,5
147,2018-06-03,5
148,2018-06-10,5
149,2018-06-17,5
150,2018-06-24,5
151,2018-07-01,5
152,2018-07-08,4
153,2018-07-15,4
154,2018-07-22,5
155,2018-07-29,5
156,2018-08-05,4
157,2018-08-12,5
158,2018-08-19,6
159,2018-08-26,4
160,2018-09-02,4
161,2018-09-09,4
162,2018-09-16,4
163,2018-09-23,4
164,2018-09-30,5
165,2018-10-07,4
166,2018-10-14,4
167,2018-10-21,4
168,2018-10-28,4
169,2018-11-04,4
170,2018-11-11,4
171,2018-11-18,5
172,2018-11-25,5
173,2018-12-02,5
174,2018-12-09,5
175,2018-12-16,6
176,2018-12-23,6
177,2018-12-30,8
178,2019-01-06,11
179,2019-01-13,14
180,2019-01-20,25
181,2019-01-27,76
182,2019-02-03,83
183,2019-02-10,54
184,2019-02-17,12
185,2019-02-24,7
186,2019-03-03,6
187,2019-03-10,6
188,2019-03-17,5
189,2019-03-24,5
190,2019-03-31,5
191,2019-04-07,6
192,2019-04-14,7
193,2019-04-21,8
194,2019-04-28,6
195,2019-05-05,9
196,2019-05-12,8
197,2019-05-19,8
198,2019-05-26,7
199,2019-06-02,6
200,2019-06-09,6
201,2019-06-16,7
202,2019-06-23,6
203,2019-06-30,7
204,2019-07-07,6
205,2019-07-14,6
206,2019-07-21,13
207,2019-07-28,11
208,2019-08-04,9
209,2019-08-11,7
210,2019-08-18,5
211,2019-08-25,5
212,2019-09-01,6
213,2019-09-08,6
214,2019-09-15,6
215,2019-09-22,6
216,2019-09-29,5
217,2019-10-06,5
218,2019-10-13,10
219,2019-10-20,5
220,2019-10-27,5
221,2019-11-03,6
222,2019-11-10,7
223,2019-11-17,3
224,2019-11-24,5
225,2019-12-01,5
226,2019-12-08,6
227,2019-12-15,7
228,2019-12-22,7
229,2019-12-29,7
230,2020-01-05,7
231,2020-01-12,11
232,2020-01-19,16
233,2020-01-26,43
234,2020-02-02,74
235,2020-02-09,46
236,2020-02-16,10
237,2020-02-23,6
238,2020-03-01,5
239,2020-03-08,6
240,2020-03-15,5
241,2020-03-22,7
242,2020-03-29,6
243,2020-04-05,7
244,2020-04-12,6
245,2020-04-19,8
246,2020-04-26,10
247,2020-05-03,9
248,2020-05-10,9
249,2020-05-17,10
250,2020-05-24,7
251,2020-05-31,7
252,2020-06-07,6
253,2020-06-14,5
254,2020-06-21,7
255,2020-06-28,7
256,2020-07-05,6
257,2020-07-12,6
258,2020-07-19,7
259,2020-07-26,8
260,2020-08-02,9
