Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-03-02,185939.0,717954425.0,28.0,3902.0,3717.0,3861.0,3902.0,2961.0
2016-03-05,495582.0,2009089428.0,40.0,4054.0,4054.0,4054.0,4054.0,3861.0
2016-03-06,738651.0,3095675185.0,120.0,4256.0,3900.0,4191.0,4250.0,4054.0
2016-03-07,1021300.0,4291964403.0,115.0,4400.0,4101.0,4202.0,4399.0,4191.0
2016-03-08,121512.0,535980216.0,37.0,4412.0,4390.0,4398.0,4412.0,4202.0
2016-03-09,114465.0,527198366.0,58.0,4617.0,4410.0,4582.0,4614.0,4398.0
2016-03-12,110270.0,529208020.0,48.0,4811.0,4700.0,4799.0,4811.0,4582.0
2016-03-14,132981.0,660655001.0,69.0,5038.0,4868.0,4968.0,5038.0,4799.0
2016-03-15,363646.0,1895917136.0,62.0,5216.0,5070.0,5214.0,5216.0,4968.0
2016-03-16,188415.0,1024855503.0,69.0,5474.0,5151.0,5439.0,5474.0,5214.0
2016-03-26,67500.0,385425000.0,17.0,5710.0,5710.0,5638.0,5710.0,5439.0
2016-03-27,150187.0,888851954.0,69.0,5919.0,5900.0,5918.0,5919.0,5638.0
2016-03-28,123304.0,766087752.0,23.0,6213.0,6213.0,6213.0,6213.0,5918.0
2016-03-29,95000.0,619685000.0,13.0,6523.0,6523.0,6523.0,6523.0,6213.0
2016-03-30,76006.0,520565094.0,10.0,6849.0,6849.0,6793.0,6849.0,6523.0
2016-04-02,1574982.0,11046701343.0,368.0,7132.0,6454.0,7014.0,7132.0,6793.0
2016-04-03,707032.0,4743966116.0,158.0,7132.0,6664.0,6710.0,6730.0,7014.0
2016-04-04,213942.0,1503831563.0,32.0,7045.0,6944.0,7029.0,7045.0,6710.0
2016-04-05,258107.0,1904829660.0,29.0,7380.0,7380.0,7380.0,7380.0,7029.0
2016-04-06,121850.0,944215650.0,16.0,7749.0,7749.0,7749.0,7749.0,7380.0
2016-04-09,571905.0,4650861728.0,159.0,8136.0,7840.0,8132.0,8136.0,7749.0
2016-04-10,1066128.0,9094219430.0,382.0,8538.0,8430.0,8530.0,8510.0,8132.0
2016-04-11,859350.0,7140373488.0,371.0,8880.0,8104.0,8309.0,8104.0,8530.0
2016-04-12,432244.0,3432689805.0,205.0,8200.0,7894.0,7942.0,7894.0,8309.0
2016-04-13,234960.0,1807819901.0,52.0,7998.0,7545.0,7694.0,7545.0,7942.0
2016-04-16,64667.0,472715770.0,20.0,7310.0,7310.0,7312.0,7310.0,7694.0
2016-04-17,103264.0,717375008.0,38.0,6947.0,6947.0,6947.0,6947.0,7312.0
2016-04-18,410619.0,2771400355.0,130.0,7280.0,6600.0,6749.0,7000.0,6947.0
2016-04-19,33697.0,238774710.0,15.0,7086.0,7085.0,6924.0,7086.0,6749.0
2016-04-20,56415.0,410137050.0,20.0,7270.0,7270.0,7224.0,7270.0,6924.0
2016-04-23,9376.0,71116960.0,9.0,7585.0,7585.0,7273.0,7585.0,7224.0
2016-04-24,71000.0,542156000.0,19.0,7636.0,7636.0,7636.0,7636.0,7273.0
2016-04-25,394187.0,3070732276.0,121.0,8000.0,7450.0,7790.0,7780.0,7636.0
2016-04-26,75036.0,566576391.0,64.0,7878.0,7430.0,7551.0,7800.0,7790.0
2016-04-27,172247.0,1362240342.0,49.0,7928.0,7600.0,7909.0,7928.0,7551.0
2016-04-30,212357.0,1725653934.0,112.0,8304.0,7928.0,8126.0,8303.0,7909.0
2016-05-01,32552.0,267837053.0,37.0,8303.0,7930.0,8179.0,8248.0,8126.0
2016-05-02,40221.0,319608766.0,50.0,8300.0,7772.0,8031.0,7988.0,8179.0
2016-05-03,119127.0,909663712.0,75.0,7840.0,7630.0,7636.0,7630.0,8031.0
2016-05-23,5600.0,41393930.0,12.0,7653.0,7260.0,7614.0,7364.0,7636.0
2016-05-24,30948.0,226759049.0,27.0,7967.0,7234.0,7474.0,7234.0,7614.0
