Date,Close,Open,Low,High,Volume,Trades
2007-08-07,3350.0,3350.0,3350.0,3350.0,96400000,9051
2007-08-08,3417.0,3417.0,3417.0,3417.0,3600000,2082
2007-08-12,3485.0,3485.0,3485.0,3485.0,3019890,2158
2007-08-13,3554.0,3554.0,3554.0,3554.0,3017080,2061
2007-08-14,3625.0,3625.0,3625.0,3625.0,3644619,2207
2007-08-15,3662.0,3697.0,3662.0,3697.0,557874,626
2007-08-18,3735.0,3735.0,3735.0,3735.0,18370993,6209
2007-08-19,3739.0,3809.0,3739.0,3809.0,54953,46
2007-08-20,3744.0,3813.0,3744.0,3813.0,70223,74
2007-08-21,3768.0,3818.0,3768.0,3818.0,348209,346
2007-08-22,3776.0,3843.0,3776.0,3843.0,124266,159
2007-08-25,3780.0,3851.0,3780.0,3851.0,64644,98
2007-08-26,3797.0,3855.0,3797.0,3855.0,251467,192
2007-08-27,3814.0,3872.0,3814.0,3872.0,248213,205
2007-08-28,3828.0,3890.0,3828.0,3890.0,201839,135
2007-09-01,3840.0,3904.0,3840.0,3904.0,171781,168
2007-09-02,3846.0,3916.0,3846.0,3916.0,92762,85
2007-09-03,3865.0,3922.0,3865.0,3922.0,270864,181
2007-09-04,3871.0,3942.0,3871.0,3942.0,81634,99
2007-09-05,3875.0,3947.0,3875.0,3948.0,59547,54
2007-09-08,3880.0,3952.0,3880.0,3952.0,76638,65
2007-09-09,3882.0,3957.0,3882.0,3957.0,34405,25
2007-09-10,3887.0,3959.0,3887.0,3959.0,77371,68
2007-09-11,3890.0,3964.0,3890.0,3964.0,41225,33
2007-09-12,3893.0,3967.0,2175.0,3967.0,98687886,45
2007-09-15,3907.0,3970.0,3907.0,3970.0,201619,137
2007-09-16,3933.0,3985.0,3933.0,3985.0,370280,278
2007-09-17,3995.0,4011.0,3995.0,4011.0,868871,448
2007-09-18,4002.0,4074.0,4002.0,4074.0,102800,96
2007-09-19,4004.0,4082.0,4004.0,4082.0,29561,28
2007-09-22,4007.0,4084.0,4007.0,4084.0,37346,19
2007-09-23,4014.0,4087.0,4014.0,4087.0,92181,86
2007-09-24,4016.0,4094.0,4016.0,4094.0,23169,14
2007-09-25,4019.0,4096.0,4019.0,4096.0,42228,33
2007-09-26,4039.0,4099.0,4039.0,4099.0,271312,116
2007-09-29,4040.0,4119.0,4040.0,4119.0,18495,14
2007-09-30,4042.0,4120.0,4042.0,4120.0,28010,21
2007-10-01,4044.0,4122.0,4044.0,4122.0,23985,18
2007-10-02,4047.0,4124.0,4047.0,4124.0,43180,31
2007-10-06,4052.0,4127.0,4052.0,4127.0,70459,61
2007-10-07,4058.0,4133.0,4058.0,4133.0,74877,41
2007-10-08,4064.0,4139.0,4064.0,4139.0,78132,57
2007-10-09,4065.0,4145.0,4065.0,4145.0,17080,17
2007-10-10,4074.0,4146.0,4074.0,4146.0,127972,83
2007-10-14,4077.0,4155.0,4077.0,4155.0,45242,38
2007-10-15,4158.0,4158.0,4158.0,4158.0,5994,9
2007-10-16,4241.0,4241.0,4241.0,4241.0,14905,12
2007-10-17,4325.0,4325.0,4325.0,4325.0,2285,2
2007-10-20,4411.0,4411.0,4411.0,4411.0,8352,10
2007-10-21,4499.0,4499.0,4499.0,4499.0,60999,18
2007-10-22,4501.0,4588.0,4501.0,4588.0,27127,21
2007-10-23,4591.0,4591.0,4591.0,4591.0,49999,48
2007-10-24,4682.0,4682.0,4682.0,4682.0,10000,11
2007-10-27,4775.0,4775.0,4775.0,4775.0,7000,4
2007-10-28,4870.0,4870.0,4870.0,4870.0,87981,78
2007-10-29,4967.0,4967.0,4967.0,4967.0,45500,28
2007-10-30,4970.0,5066.0,4970.0,5066.0,36976,25
2007-10-31,5069.0,5069.0,5069.0,5069.0,26980,25
2007-11-11,4889.0,5080.0,4760.0,5290.0,40336634,10542
2007-11-12,4920.0,4986.0,4920.0,4986.0,346353,176
2007-11-13,4962.0,5018.0,4962.0,5018.0,464480,182
2007-11-14,4971.0,5000.0,4863.0,5061.0,8688849,2013
2007-11-17,5037.0,5070.0,4950.0,5070.0,8224887,2100
2007-11-18,4937.0,4937.0,4937.0,4939.0,5374449,1211
2007-11-19,4839.0,4839.0,4839.0,4841.0,6500720,1314
2007-11-20,4919.0,4860.0,4850.0,4935.0,1518558,455
2007-11-21,4943.0,5017.0,4943.0,5017.0,263860,95
2007-11-24,5007.0,5041.0,4881.0,5041.0,7144335,1612
2007-11-25,4915.0,4920.0,4907.0,4970.0,2393730,572
2007-11-26,4910.0,4916.0,4821.0,4930.0,1001369,279
2007-11-27,5006.0,4937.0,4871.0,5008.0,5009423,839
2007-11-28,5015.0,5088.0,5001.0,5091.0,1229772,226
2007-12-01,4992.0,5003.0,4921.0,5028.0,566897,178
2007-12-02,4971.0,4900.0,4893.0,4971.0,227665,70
2007-12-03,4872.0,4872.0,4872.0,4872.0,2279752,401
2007-12-04,4779.0,4777.0,4775.0,4819.0,2831809,707
2007-12-05,4874.0,4874.0,4874.0,4874.0,2233747,306
2007-12-08,4876.0,4971.0,4876.0,4971.0,22166,14
2007-12-09,4878.0,4973.0,4878.0,4973.0,25366,10
2007-12-10,4878.0,4975.0,4878.0,4975.0,3060,5
2007-12-11,4879.0,4975.0,4879.0,4975.0,16395,4
2007-12-12,4903.0,4976.0,4903.0,4976.0,269082,103
2007-12-15,4911.0,5001.0,4911.0,5001.0,91015,47
2007-12-16,5009.0,5009.0,5009.0,5009.0,5514084,799
2007-12-17,4957.0,4909.0,4909.0,5061.0,2209683,610
2007-12-18,4930.0,4988.0,4882.0,4988.0,507618,140
2007-12-19,4863.0,4858.0,4832.0,4870.0,948457,223
2007-12-22,4863.0,4810.0,4804.0,4871.0,91362,43
2007-12-23,4875.0,4863.0,4863.0,4960.0,177618,64
2007-12-24,4897.0,4972.0,4891.0,4972.0,369744,139
2007-12-25,4925.0,4950.0,4925.0,4994.0,395806,124
2007-12-26,5022.0,4999.0,4999.0,5023.0,1118614,235
2007-12-30,5116.0,5110.0,5022.0,5122.0,1770100,317
2007-12-31,5140.0,5218.0,5140.0,5218.0,258316,76
2008-01-01,5186.0,5242.0,5186.0,5242.0,497278,82
2008-01-02,5234.0,5289.0,5234.0,5289.0,515511,85
2008-01-05,5260.0,5338.0,5260.0,5338.0,275839,60
2008-01-06,5363.0,5365.0,5271.0,5365.0,4275993,798
2008-01-08,5398.0,5390.0,5376.0,5470.0,412736,127
2008-01-09,5440.0,5505.0,5440.0,5505.0,427623,59
2008-01-12,5454.0,5548.0,5454.0,5548.0,139404,34
2008-01-13,5479.0,5563.0,5479.0,5563.0,251310,40
2008-01-14,5588.0,5588.0,5588.0,5588.0,1255106,232
2008-01-15,5681.0,5699.0,5681.0,5699.0,920362,267
2008-01-16,5729.0,5794.0,5729.0,5794.0,468223,164
2008-01-20,5841.0,5843.0,5721.0,5843.0,3321631,840
2008-01-21,5956.0,5957.0,5949.0,5957.0,1526212,419
2008-01-22,6006.0,6075.0,6006.0,6075.0,457420,128
2008-01-23,6024.0,6126.0,6024.0,6126.0,168273,75
2008-01-26,6125.0,6144.0,6026.0,6144.0,4059762,993
2008-01-27,6004.0,6003.0,6003.0,6078.0,1653187,409
2008-01-28,5817.0,5942.0,5720.0,6129.0,2403052,612
2008-01-29,5796.0,5817.0,5701.0,5927.0,638813,174
2008-01-30,5689.0,5681.0,5681.0,5898.0,3169736,842
2008-02-02,5627.0,5797.0,5576.0,5802.0,1101342,281
2008-02-03,5515.0,5515.0,5515.0,5515.0,1219857,159
2008-02-04,5437.0,5410.0,5405.0,5600.0,1043681,282
2008-02-05,5362.0,5345.0,5329.0,5450.0,1455572,333
2008-02-06,5274.0,5440.0,5255.0,5440.0,1220259,322
2008-02-09,5244.0,5335.0,5169.0,5335.0,359878,110
2008-02-10,5159.0,5140.0,5140.0,5300.0,1013687,310
2008-02-12,5149.0,5210.0,5080.0,5262.0,537568,145
2008-02-13,5231.0,5182.0,5110.0,5251.0,1152455,319
2008-02-16,5333.0,5334.0,5280.0,5335.0,1375192,329
2008-02-17,5289.0,5269.0,5227.0,5289.0,455561,122
2008-02-18,5282.0,5184.0,5184.0,5282.0,71533,23
2008-02-19,5237.0,5177.0,5177.0,5252.0,483158,159
2008-02-20,5217.0,5236.0,5133.0,5236.0,211950,68
2008-02-23,5123.0,5150.0,5113.0,5200.0,1024715,230
2008-02-24,5021.0,5021.0,5021.0,5123.0,1631745,318
2008-02-25,5086.0,5021.0,4954.0,5121.0,918460,248
2008-02-26,5056.0,5183.0,4985.0,5183.0,634370,188
2008-02-27,5052.0,4984.0,4955.0,5052.0,48361,26
2008-03-01,5051.0,4951.0,4951.0,5051.0,12510,5
2008-03-02,5051.0,4950.0,4950.0,5051.0,30,2
2008-03-03,5051.0,4950.0,4950.0,5051.0,2422,4
2008-03-04,5051.0,4950.0,4950.0,5051.0,410,2
2008-03-05,4979.0,4950.0,4950.0,4979.0,785552,105
2008-03-09,4918.0,4890.0,4880.0,4947.0,765144,206
2008-04-08,5637.0,5802.0,5526.0,5899.0,6912366,1512
2008-04-09,5565.0,5555.0,5525.0,5679.0,1266908,324
2008-04-12,5454.0,5454.0,5454.0,5520.0,1096000,301
2008-04-13,5429.0,5345.0,5345.0,5429.0,250074,63
2008-04-14,5379.0,5321.0,5321.0,5536.0,1887612,544
2008-04-15,5443.0,5486.0,5443.0,5486.0,665986,187
2008-04-16,5465.0,5551.0,5465.0,5551.0,221028,49
2008-04-19,5572.0,5574.0,5377.0,5574.0,2158599,487
2008-04-20,5584.0,5580.0,5550.0,5651.0,757193,226
2008-04-21,5561.0,5577.0,5490.0,5578.0,308753,122
2008-04-22,5557.0,5500.0,5451.0,5590.0,333929,124
2008-04-23,5585.0,5600.0,5557.0,5668.0,321109,107
2008-04-26,5637.0,5696.0,5637.0,5696.0,514228,156
2008-04-27,5683.0,5749.0,5683.0,5749.0,454362,149
2008-04-28,5783.0,5796.0,5580.0,5796.0,8771291,1535
2008-04-29,5897.0,5898.0,5895.0,5898.0,1292341,349
2008-04-30,5963.0,5970.0,5899.0,6009.0,1421166,415
