Date,Close,Open,Low,High,Volume,Trades
2002-06-15,1851.0,1855.0,1850.0,1900.0,603000,107
2002-06-16,1943.0,1943.0,1943.0,1943.0,597000,108
2002-06-17,2040.0,2040.0,2040.0,2040.0,1000,1
2002-06-18,2142.0,2142.0,2142.0,2142.0,2000,2
2002-06-19,2195.0,2195.0,2189.0,2195.0,91900,41
2002-06-22,2182.0,2196.0,2181.0,2249.0,102723,34
2002-06-23,2128.0,2128.0,2128.0,2128.0,15390,10
2002-06-24,2075.0,2123.0,2075.0,2123.0,180483,55
2002-07-17,2010.0,2003.0,2003.0,2010.0,25000,3
2002-07-20,2010.0,2010.0,2010.0,2110.0,1201500,7
2002-07-21,2110.0,2110.0,2110.0,2110.0,386650,11
2002-07-23,2080.0,2080.0,2080.0,2080.0,3500,1
2002-07-24,2050.0,2050.0,2050.0,2050.0,5000,3
2002-07-27,2000.0,2000.0,2000.0,2000.0,12677,7
2002-07-28,2000.0,2000.0,2000.0,2000.0,15000,2
2002-07-30,1998.0,1996.0,1996.0,1998.0,29195,6
2002-07-31,2002.0,2002.0,2002.0,2002.0,137200,15
2002-08-03,2004.0,2004.0,2003.0,2004.0,17500,5
2002-08-04,2004.0,2004.0,2004.0,2004.0,10000,2
2002-08-05,2050.0,2009.0,2009.0,2050.0,24000,4
2002-08-10,2050.0,2050.0,2050.0,2050.0,23000,7
2002-08-11,2050.0,2050.0,2050.0,2050.0,20000,2
2002-08-13,2050.0,2050.0,2050.0,2050.0,1000,1
2002-08-14,2050.0,2050.0,2050.0,2050.0,10000,2
2002-08-18,2049.0,2049.0,2049.0,2049.0,10000,2
2002-08-20,2001.0,2000.0,2000.0,2002.0,8600,8
2002-08-21,2001.0,2001.0,2001.0,2001.0,2200,1
2002-08-24,2001.0,2000.0,2000.0,2001.0,6984,4
2002-09-04,1901.0,1901.0,1901.0,1901.0,13000,8
2002-09-08,1899.0,1899.0,1899.0,1899.0,6973,1
2002-09-09,1880.0,1880.0,1880.0,1880.0,240,1
2002-09-11,1880.0,1880.0,1880.0,1880.0,6860,3
2002-09-17,1810.0,1810.0,1810.0,1810.0,14000,8
2002-09-23,1720.0,1720.0,1720.0,1720.0,7090,7
2002-09-29,1720.0,1720.0,1720.0,1720.0,9270,3
2002-10-01,1720.0,1720.0,1720.0,1720.0,2042,2
2002-10-14,1806.0,1806.0,1806.0,1806.0,2000,10
2002-10-15,1850.0,1810.0,1810.0,1850.0,20000,76
2002-10-16,1940.0,1890.0,1890.0,1940.0,11974,71
2002-10-19,2030.0,2030.0,2030.0,2030.0,16200,86
2002-10-20,2030.0,2030.0,2030.0,2030.0,10010,52
2002-10-21,2070.0,2070.0,2070.0,2070.0,10000,63
2002-10-23,2110.0,2110.0,2110.0,2110.0,16027,63
2002-10-26,2150.0,2150.0,2150.0,2150.0,9793,40
2002-10-27,2200.0,2190.0,2190.0,2200.0,6000,36
2002-10-28,2230.0,2230.0,2230.0,2230.0,9850,53
