,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0,0,0,0,0,1161689804737847296,1161689804737847296,1565803407000,2019-08-14,21:53:27,430,2843783986,behnamsamadi_ir,Behnam Samadi | بهنام صمدی,,"#فسازان دوشنبه هفته آینده #عرضه_اولیه می‌شود

با فرض مشارکت ۶۰۰ هزار نفر حداکثر ۱۰۰ هزار تومان نقدینگی برای خرید این سهم کافی است pic.twitter.com/9dFJcBGSTj",[],[],['https://pbs.twimg.com/media/EB8mtohWkAEckN3.jpg'],0,1,17,"['#فسازان', '#عرضه_اولیه']",[],https://twitter.com/behnamsamadi_ir/status/1161689804737847296,False,,0,,,,,,,"[{'user_id': '2843783986', 'username': 'behnamsamadi_ir'}]",,,,,0.9432693123817444
1,1,1,1,1,1,1,1162585002326089728,1162585002326089728,1566016838000,2019-08-17,09:10:38,430,1141279193252036609,tadbirgaranf,TadbirgaranFarda,,"#فسازان مجمع عمومی عادی سالیانه برای سال مالی 97خود را  قبل از ورود به بازار سرمایه برگزار کرد. از 872 ریال سود محقق شده سال 97 خود، در مجمع 436 ریال را تقسیم کرد.
پس با این حساب مجمعی برای تقسیم سود تا سال 99،برای این سهم نخواهیم داشت .
#بورس_تهران",[],[],[],0,0,1,"['#فسازان', '#بورس_تهران']",[],https://twitter.com/TadbirgaranF/status/1162585002326089728,False,,0,,,,,,,"[{'user_id': '1141279193252036609', 'username': 'TadbirgaranF'}]",,,,,0.4167129397392273
2,2,2,2,2,2,2,1162610586888396801,1162610586888396801,1566022938000,2019-08-17,10:52:18,430,1141279193252036609,tadbirgaranf,TadbirgaranFarda,,"#عرضه_اولیه #فسازان

تاریخ عرضه: دوشنبه 1398/05/28
دامنه قیمت:  8000 الی 8400 ریال
⚖سهمیه هر کد: حداکثر 200 سهم
حداکثر نقدینگی مورد نیاز: 1،687،800 ریال

#کارگزاری_تدبیرگران_فردا pic.twitter.com/NcADIU38Rz",[],[],[],0,0,5,"['#عرضه_اولیه', '#فسازان', '#کارگزاری_تدبیرگران_فردا']",[],https://twitter.com/TadbirgaranF/status/1162610586888396801,False,,1,,,,,,,"[{'user_id': '1141279193252036609', 'username': 'TadbirgaranF'}]",,,,,0.9626158475875854
3,3,3,3,3,3,3,1162613366474461184,1162613366474461184,1566023601000,2019-08-17,11:03:21,430,1227276901,sahamyab,سهامیاب,,"📣📣 #عرضه_اولیه #فسازان
⏰تاریخ عرضه: دوشنبه 1398/05/28
💶دامنه قیمت:  8000 الی 8400 ریال
⚖️سهمیه هر کد: حداکثر 200 سهم
💰حداکثر نقدینگی مورد نیاز: 1،687،800 ریال  pic.twitter.com/7OyyInObIq",[],[],['https://pbs.twimg.com/media/ECJuru9UcAAI09q.jpg'],0,1,7,"['#عرضه_اولیه', '#فسازان']",[],https://twitter.com/sahamyab/status/1162613366474461184,False,,0,,,,,,,"[{'user_id': '1227276901', 'username': 'sahamyab'}]",,,,,0.9332340955734252
4,4,4,4,4,4,4,1162785677123248128,1162785677123248128,1566064683000,2019-08-17,22:28:03,430,2495983316,hbourse77,hbours77,,"💢عرضه اولیه #فسازان
♦️تاریخ عرضه :دوشنبه 28 مرداد
 
♦️تعداد عرضه: 75 میلیون سهم

♦️حداکثر سهمیه هر کد: 200 سهم

♦️دامنه قیمت در روز عرضه: 8000 تا8400 ریال
💰 سرمایه مورد نیاز 1680000﷼
#عرضه_اولیه #بورس_ایران #بورس…  https://www.instagram.com/p/B1RjTXQldFJ/?igshid=1cg5rvyhq1yn7 …",[],['https://www.instagram.com/p/B1RjTXQldFJ/?igshid=1cg5rvyhq1yn7'],[],0,0,0,"['#فسازان', '#عرضه_اولیه', '#بورس_ایران', '#بورس']",[],https://twitter.com/hbourse77/status/1162785677123248128,False,,0,,,,,,,"[{'user_id': '2495983316', 'username': 'hbourse77'}]",,,,,0.050198763608932495
5,5,5,5,5,5,5,1162954151292264448,1162954151292264448,1566104850000,2019-08-18,09:37:30,430,1141279193252036609,tadbirgaranf,TadbirgaranFarda,,"شرایط رایگان بودن عرضه اولیه #فسازان در لینک زیر

 http://bit.ly/2K1o1oO 
#کارگزاری_تدبیرگران_فردا #عرضه_اولیه",[],['http://bit.ly/2K1o1oO'],[],0,0,0,"['#فسازان', '#کارگزاری_تدبیرگران_فردا', '#عرضه_اولیه']",[],https://twitter.com/TadbirgaranF/status/1162954151292264448,False,,0,,,,,,,"[{'user_id': '1141279193252036609', 'username': 'TadbirgaranF'}]",,,,,0.18639305233955386
6,6,6,6,6,6,6,1162992190789967872,1162992190789967872,1566113920000,2019-08-18,12:08:40,430,971264702612430850,boursenews_ir,بورس نیوز,,عرضه اولیه #فسازان  pic.twitter.com/7g1vhgGAsx,[],[],['https://pbs.twimg.com/media/ECPHNN1WwAAalNO.png'],0,0,1,['#فسازان'],[],https://twitter.com/boursenews_ir/status/1162992190789967872,False,,0,,,,,,,"[{'user_id': '971264702612430850', 'username': 'boursenews_ir'}]",,,,,0.7181307077407837
7,7,7,7,7,7,7,1163013837622087681,1163013837622087681,1566119081000,2019-08-18,13:34:41,430,1227276901,sahamyab,سهامیاب,,"📣قابل توجه مشتریان محترم
امکان ثبت پیش سفارش #عرضه_اولیه #فسازان از طریق سامانه یکپارچه معاملات #سهام_یاب فراهم شد
مهلت ثبت درخواست پیش خرید تا ساعت ۸ صبح فردا
از لینک زیر وارد شوید:
👇👇👇
 https://online.sahamyab.com ",[],['https://online.sahamyab.com'],[],0,0,1,"['#عرضه_اولیه', '#فسازان', '#سهام_یاب']",[],https://twitter.com/sahamyab/status/1163013837622087681,False,,0,,,,,,,"[{'user_id': '1227276901', 'username': 'sahamyab'}]",,,,,0.1754557192325592
8,8,8,8,8,8,8,1163367818131312640,1163367818131312640,1566203476000,2019-08-19,13:01:16,430,971264702612430850,boursenews_ir,بورس نیوز,,"در جریان عرضه اولیه امروز #فسازان به هر کد معاملاتی حداکثر ۱۱۷ سهم تخصیص یافت.
#نبض_بازار",[],[],[],0,0,3,"['#فسازان', '#نبض_بازار']",[],https://twitter.com/boursenews_ir/status/1163367818131312640,False,,0,,,,,,,"[{'user_id': '971264702612430850', 'username': 'boursenews_ir'}]",,,,,0.9624730348587036
9,9,9,9,9,9,9,1163375017922564101,1163375017922564101,1566205193000,2019-08-19,13:29:53,430,2843783986,behnamsamadi_ir,Behnam Samadi | بهنام صمدی,,"ثبت رکورد جدید در #عرضه‌_اولیه 

براساس آمارهای اولیه، ۶۴۱ هزار نفر در عرضه اولیه #فسازان مشارکت داشتند 

به نظر می رسد بازار سرمایه کم کم در حال گسترش بین عموم مردم است

اینکه بورس بتواند با جمع آوری سرمایه‌های خرد مردم، بنگاه‌های اقتصادی را تامین مالی کند، خبر خوبی است  https://twitter.com/behnamsamadi_ir/status/1161689804737847296 …",[],['https://twitter.com/behnamsamadi_ir/status/1161689804737847296'],[],0,3,19,"['#عرضه\u200c_اولیه', '#فسازان']",[],https://twitter.com/behnamsamadi_ir/status/1163375017922564101,False,https://twitter.com/behnamsamadi_ir/status/1161689804737847296,0,,,,,,,"[{'user_id': '2843783986', 'username': 'behnamsamadi_ir'}]",,,,,0.8682452440261841
