,Date,Trend
0,2015-08-23,17
1,2015-08-30,16
2,2015-09-06,16
3,2015-09-13,29
4,2015-09-20,20
5,2015-09-27,18
6,2015-10-04,17
7,2015-10-11,15
8,2015-10-18,13
9,2015-10-25,17
10,2015-11-01,17
11,2015-11-08,17
12,2015-11-15,17
13,2015-11-22,19
14,2015-11-29,17
15,2015-12-06,15
16,2015-12-13,19
17,2015-12-20,21
18,2015-12-27,21
19,2016-01-03,20
20,2016-01-10,21
21,2016-01-17,24
22,2016-01-24,26
23,2016-01-31,26
24,2016-02-07,22
25,2016-02-14,22
26,2016-02-21,21
27,2016-02-28,18
28,2016-03-06,19
29,2016-03-13,17
30,2016-03-20,15
31,2016-03-27,18
32,2016-04-03,21
33,2016-04-10,20
34,2016-04-17,20
35,2016-04-24,18
36,2016-05-01,19
37,2016-05-08,20
38,2016-05-15,20
39,2016-05-22,18
40,2016-05-29,18
41,2016-06-05,20
42,2016-06-12,20
43,2016-06-19,18
44,2016-06-26,17
45,2016-07-03,21
46,2016-07-10,19
47,2016-07-17,19
48,2016-07-24,18
49,2016-07-31,17
50,2016-08-07,18
51,2016-08-14,18
52,2016-08-21,25
53,2016-08-28,19
54,2016-09-04,18
55,2016-09-11,18
56,2016-09-18,19
57,2016-09-25,18
58,2016-10-02,15
59,2016-10-09,13
60,2016-10-16,21
61,2016-10-23,23
62,2016-10-30,22
63,2016-11-06,18
64,2016-11-13,20
65,2016-11-20,19
66,2016-11-27,18
67,2016-12-04,20
68,2016-12-11,20
69,2016-12-18,20
70,2016-12-25,24
71,2017-01-01,21
72,2017-01-08,19
73,2017-01-15,19
74,2017-01-22,20
75,2017-01-29,20
76,2017-02-05,20
77,2017-02-12,18
78,2017-02-19,19
79,2017-02-26,19
80,2017-03-05,39
81,2017-03-12,22
82,2017-03-19,18
83,2017-03-26,18
84,2017-04-02,23
85,2017-04-09,25
86,2017-04-16,21
87,2017-04-23,21
88,2017-04-30,22
89,2017-05-07,22
90,2017-05-14,18
91,2017-05-21,22
92,2017-05-28,23
93,2017-06-04,20
94,2017-06-11,19
95,2017-06-18,21
96,2017-06-25,36
97,2017-07-02,48
98,2017-07-09,29
99,2017-07-16,25
100,2017-07-23,22
101,2017-07-30,26
102,2017-08-06,35
103,2017-08-13,28
104,2017-08-20,31
105,2017-08-27,24
106,2017-09-03,22
107,2017-09-10,26
108,2017-09-17,24
109,2017-09-24,18
110,2017-10-01,19
111,2017-10-08,24
112,2017-10-15,22
113,2017-10-22,20
114,2017-10-29,25
115,2017-11-05,22
116,2017-11-12,21
117,2017-11-19,23
118,2017-11-26,23
119,2017-12-03,23
120,2017-12-10,27
121,2017-12-17,26
122,2017-12-24,26
123,2017-12-31,23
124,2018-01-07,32
125,2018-01-14,26
126,2018-01-21,34
127,2018-01-28,37
128,2018-02-04,39
129,2018-02-11,34
130,2018-02-18,33
131,2018-02-25,34
132,2018-03-04,37
133,2018-03-11,34
134,2018-03-18,26
135,2018-03-25,40
136,2018-04-01,28
137,2018-04-08,32
138,2018-04-15,34
139,2018-04-22,35
140,2018-04-29,34
141,2018-05-06,40
142,2018-05-13,45
143,2018-05-20,41
144,2018-05-27,38
145,2018-06-03,29
146,2018-06-10,35
147,2018-06-17,36
148,2018-06-24,34
149,2018-07-01,32
150,2018-07-08,39
151,2018-07-15,48
152,2018-07-22,60
153,2018-07-29,63
154,2018-08-05,67
155,2018-08-12,63
156,2018-08-19,54
157,2018-08-26,50
158,2018-09-02,45
159,2018-09-09,30
160,2018-09-16,24
161,2018-09-23,30
162,2018-09-30,36
163,2018-10-07,37
164,2018-10-14,33
165,2018-10-21,35
166,2018-10-28,34
167,2018-11-04,34
168,2018-11-11,39
169,2018-11-18,48
170,2018-11-25,41
171,2018-12-02,42
172,2018-12-09,40
173,2018-12-16,41
174,2018-12-23,42
175,2018-12-30,43
176,2019-01-06,39
177,2019-01-13,49
178,2019-01-20,38
179,2019-01-27,37
180,2019-02-03,37
181,2019-02-10,40
182,2019-02-17,37
183,2019-02-24,34
184,2019-03-03,39
185,2019-03-10,35
186,2019-03-17,30
187,2019-03-24,45
188,2019-03-31,32
189,2019-04-07,36
190,2019-04-14,35
191,2019-04-21,36
192,2019-04-28,34
193,2019-05-05,42
194,2019-05-12,48
195,2019-05-19,47
196,2019-05-26,34
197,2019-06-02,38
198,2019-06-09,37
199,2019-06-16,36
200,2019-06-23,40
201,2019-06-30,48
202,2019-07-07,47
203,2019-07-14,39
204,2019-07-21,42
205,2019-07-28,40
206,2019-08-04,37
207,2019-08-11,35
208,2019-08-18,36
209,2019-08-25,37
210,2019-09-01,30
211,2019-09-08,25
212,2019-09-15,35
213,2019-09-22,32
214,2019-09-29,33
215,2019-10-06,37
216,2019-10-13,33
217,2019-10-20,33
218,2019-10-27,45
219,2019-11-03,35
220,2019-11-10,34
221,2019-11-17,3
222,2019-11-24,33
223,2019-12-01,46
224,2019-12-08,43
225,2019-12-15,46
226,2019-12-22,47
227,2019-12-29,51
228,2020-01-05,36
229,2020-01-12,37
230,2020-01-19,42
231,2020-01-26,36
232,2020-02-02,39
233,2020-02-09,32
234,2020-02-16,36
235,2020-02-23,32
236,2020-03-01,32
237,2020-03-08,34
238,2020-03-15,34
239,2020-03-22,42
240,2020-03-29,41
241,2020-04-05,36
242,2020-04-12,35
243,2020-04-19,36
244,2020-04-26,43
245,2020-05-03,39
246,2020-05-10,33
247,2020-05-17,41
248,2020-05-24,43
249,2020-05-31,39
250,2020-06-07,39
251,2020-06-14,37
252,2020-06-21,43
253,2020-06-28,100
254,2020-07-05,49
255,2020-07-12,43
256,2020-07-19,46
257,2020-07-26,46
258,2020-08-02,42
259,2020-08-09,41
