,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1229679142221860870,1229679142221860870,1582013328000,2020-02-18,11:38:48,430,1220072309958029312,mranis68750360,انیستین,,"حتی به اندازه خریدن #عرضه_اولیه فردا هم پول برام نمونده!
#قرن
#بورس",[],[],[],0,0,3,"['#عرضه_اولیه', '#قرن', '#بورس']",[],https://twitter.com/MRAnis68750360/status/1229679142221860870,False,,0,,,,,,,"[{'user_id': '1220072309958029312', 'username': 'MRAnis68750360'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1229832656923353088,1229832656923353088,1582049929000,2020-02-18,21:48:49,430,1061257282472820737,twit_bourse,توییتر بورس,,"معامله قرن به بازار سرمایه ایران رسید...
فردا تخمین زده میشه بالای ۱.۵ میلیون نفر  در معامله #قرن شرکت کنند!
از امشب کدها رو شارژ کنین که #قرن رو در اواخر سال ۹۸ بخریم😎
#بورس
#سهام
#کارگزاری",[],[],[],1,1,27,"['#قرن', '#قرن', '#بورس', '#سهام', '#کارگزاری']",[],https://twitter.com/twit_bourse/status/1229832656923353088,False,,0,,,,,,,"[{'user_id': '1061257282472820737', 'username': 'twit_bourse'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1230072177388662786,1230072177388662786,1582107035000,2020-02-19,13:40:35,430,37622683,amirfs,Amir,,در عرضه اولیه نماد #قرن در #بورس نزدیک به یک میلیون و پانصد هزار نفر شرکت کردند. رشد بیش از ۱۰۰ هزار نفری نسبت به عرضه اولیه هفته قبل. با همین فرمون جلو بریم، در عرضه اولیه‌های سال بعد به رکورد ۸۰ میلیون کد آنلاین می‌رسیم.,[],[],[],1,0,5,"['#قرن', '#بورس']",[],https://twitter.com/amirfs/status/1230072177388662786,False,,0,,,,,,,"[{'user_id': '37622683', 'username': 'amirfs'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1230076182013579264,1230076182013579264,1582107990000,2020-02-19,13:56:30,430,1850526758,meysam_bahrami,meysam bahrami,,"عرضه اولیه سهام شرکت پدیده شیمی #قرن رکورد مشارکت را شکست.
 1.470.588 نفر در این عرضه اولیه  شرکت کردند.

#بورس",[],[],[],0,1,18,"['#قرن', '#بورس']",[],https://twitter.com/meysam_bahrami/status/1230076182013579264,False,,0,,,,,,,"[{'user_id': '1850526758', 'username': 'meysam_bahrami'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1230115241561853955,1230115241561853955,1582117302000,2020-02-19,16:31:42,430,1024749624802902016,aghayebazar,aghayebazar,,"نگاهی به وضعیت بازار ۱۳۹۸/۱۱/۳۰
#قرن #شتران #ثاخت #بترانس #چکاپا #ذوب #حکشتی #خساپا #وبملت #خودرو #شاخص_کل_بورس  #شاخص_کل #دلار #نرخ_ارز #مس #نفت #نفت_برنت #طلا #انس_طلا #بورس_تهران #بورس #ارزش_معاملات  #فرابورس…  https://www.instagram.com/p/B8v9gfVAvKy/?igshid=erc5rl5j6fsk …",[],['https://www.instagram.com/p/B8v9gfVAvKy/?igshid=erc5rl5j6fsk'],[],0,0,0,"['#قرن', '#شتران', '#ثاخت', '#بترانس', '#چکاپا', '#ذوب', '#حکشتی', '#خساپا', '#وبملت', '#خودرو', '#شاخص_کل_بورس', '#شاخص_کل', '#دلار', '#نرخ_ارز', '#مس', '#نفت', '#نفت_برنت', '#طلا', '#انس_طلا', '#بورس_تهران', '#بورس', '#ارزش_معاملات', '#فرابورس']",[],https://twitter.com/aghayebazar/status/1230115241561853955,False,,0,,,,,,,"[{'user_id': '1024749624802902016', 'username': 'aghayebazar'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1236900007422410752,1236900007422410752,1583734916000,2020-03-09,09:51:56,430,714718768929308672,soroushof,سروش خان,,"۱۰۰۰۰ میلیارد فقط تو صف خرید #تملت و #شگویا و #قرن هستن.
ای من ریدم به عرضه اولیه
چقد من از توی لجن بدم میاد #بورس",[],[],[],1,0,5,"['#تملت', '#شگویا', '#قرن', '#بورس']",[],https://twitter.com/SoroushOF/status/1236900007422410752,False,,0,,,,,,,"[{'user_id': '714718768929308672', 'username': 'SoroushOF'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1238758413368266752,1238758413368266752,1584177995000,2020-03-14,12:56:35,430,1024749624802902016,aghayebazar,aghayebazar,,"نگاهی به وضعیت بازار ۱۳۹۸/۱۲/۲۱
#غگل #خگستر #شکلر #غسالم #خودرو #شپاکسا #قرن #بکام #بورس #فملی #شاخص_کل_بورس  #شاخص_کل #دلار #نرخ_ارز #مس #نفت #نفت_برنت #طلا #انس_طلا #بورس_تهران #بورس #ارزش_معاملات  #فرابورس…  https://www.instagram.com/p/B9tX94iA3aF/?igshid=1xei0lj5qx112 …",[],['https://www.instagram.com/p/B9tX94iA3aF/?igshid=1xei0lj5qx112'],[],0,0,0,"['#غگل', '#خگستر', '#شکلر', '#غسالم', '#خودرو', '#شپاکسا', '#قرن', '#بکام', '#بورس', '#فملی', '#شاخص_کل_بورس', '#شاخص_کل', '#دلار', '#نرخ_ارز', '#مس', '#نفت', '#نفت_برنت', '#طلا', '#انس_طلا', '#بورس_تهران', '#بورس', '#ارزش_معاملات', '#فرابورس']",[],https://twitter.com/aghayebazar/status/1238758413368266752,False,,0,,,,,,,"[{'user_id': '1024749624802902016', 'username': 'aghayebazar'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1240212919431897088,1240212919431897088,1584524776000,2020-03-18,13:16:16,430,1024749624802902016,aghayebazar,aghayebazar,,"نگاهی به وضعیت بازار ۱۳۹۸/۱۲/۲۸
#غگل #وبملت #قرن #غسالم #فرابورس #فملی #شپدیس #ومعادن #قثابت #ومهان #شاخص_کل_بورس  #شاخص_کل #دلار #نرخ_ارز #مس #نفت #نفت_برنت #طلا #انس_طلا #بورس_تهران #بورس #ارزش_معاملات  #فرابورس…  https://www.instagram.com/p/B93tZmSgH-G/?igshid=tqfj4opfpqg …",[],['https://www.instagram.com/p/B93tZmSgH-G/?igshid=tqfj4opfpqg'],[],0,0,0,"['#غگل', '#وبملت', '#قرن', '#غسالم', '#فرابورس', '#فملی', '#شپدیس', '#ومعادن', '#قثابت', '#ومهان', '#شاخص_کل_بورس', '#شاخص_کل', '#دلار', '#نرخ_ارز', '#مس', '#نفت', '#نفت_برنت', '#طلا', '#انس_طلا', '#بورس_تهران', '#بورس', '#ارزش_معاملات', '#فرابورس']",[],https://twitter.com/aghayebazar/status/1240212919431897088,False,,0,,,,,,,"[{'user_id': '1024749624802902016', 'username': 'aghayebazar'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1246875341332701184,1246830365135777793,1586113221000,2020-04-05,23:30:21,430,1115321706095230977,mrtn49_mt,MT,,"سلام
شما و دوستان دیگر ممکنه تحلیل کنید نماد #قرن که همیشه صف خرید چندین میلیونی داشت بر چه اساسی امروز دو بار قیمتش از +5 تا +2.5 هم پایین اومد و همه فروشنده بودند؟ عرصه اولیه بوده و همیشه +5 بوده. نگهداریم یا بفروشیم؟ البته تو بازاز آشفته امروز تعدادی خریدم. ممنون
#بورس
#قرن",['behnamsamadi_ir'],[],[],1,0,1,"['#قرن', '#بورس', '#قرن']",[],https://twitter.com/mrtn49_mt/status/1246875341332701184,False,,0,,,,,,,"[{'user_id': '1115321706095230977', 'username': 'mrtn49_mt'}, {'user_id': '2843783986', 'username': 'behnamsamadi_ir'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1248528797294624770,1248528797294624770,1586507436000,2020-04-10,13:00:36,430,1024749624802902016,aghayebazar,aghayebazar,,"نگاهی به وضعیت بازار ۱۳۹۹/۰۱/۲۰
#صبا #رانفور #شتران #دماوند #قرن #وبملت #ذوب #غگل #فرابورس #ونوین #شاخص_کل_بورس #شاخص_کل #دلار #نرخ_ارز #مس #نفت #نفت_برنت #طلا #انس_طلا #بورس_تهران #بورس #ارزش_معاملات #فرابورس #بازار_سرمایه #آقای_بازار
@aghayebazar pic.twitter.com/gnfNcwu03Y",['aghayebazar'],[],['https://pbs.twimg.com/media/EVOqT2SUcAE87mU.jpg'],0,0,0,"['#صبا', '#رانفور', '#شتران', '#دماوند', '#قرن', '#وبملت', '#ذوب', '#غگل', '#فرابورس', '#ونوین', '#شاخص_کل_بورس', '#شاخص_کل', '#دلار', '#نرخ_ارز', '#مس', '#نفت', '#نفت_برنت', '#طلا', '#انس_طلا', '#بورس_تهران', '#بورس', '#ارزش_معاملات', '#فرابورس', '#بازار_سرمایه', '#آقای_بازار']",[],https://twitter.com/aghayebazar/status/1248528797294624770,False,,0,,,,,,,"[{'user_id': '1024749624802902016', 'username': 'aghayebazar'}]",,,,,0.9912850856781006
