,Date,Trend
0,2015-08-09,0
1,2015-08-16,7
2,2015-08-23,0
3,2015-08-30,0
4,2015-09-06,6
5,2015-09-13,6
6,2015-09-20,0
7,2015-09-27,0
8,2015-10-04,12
9,2015-10-11,0
10,2015-10-18,6
11,2015-10-25,6
12,2015-11-01,6
13,2015-11-08,6
14,2015-11-15,6
15,2015-11-22,6
16,2015-11-29,0
17,2015-12-06,0
18,2015-12-13,0
19,2015-12-20,0
20,2015-12-27,0
21,2016-01-03,13
22,2016-01-10,0
23,2016-01-17,6
24,2016-01-24,6
25,2016-01-31,7
26,2016-02-07,13
27,2016-02-14,13
28,2016-02-21,6
29,2016-02-28,0
30,2016-03-06,6
31,2016-03-13,6
32,2016-03-20,7
33,2016-03-27,0
34,2016-04-03,0
35,2016-04-10,11
36,2016-04-17,20
37,2016-04-24,6
38,2016-05-01,10
39,2016-05-08,6
40,2016-05-15,7
41,2016-05-22,7
42,2016-05-29,7
43,2016-06-05,7
44,2016-06-12,0
45,2016-06-19,7
46,2016-06-26,7
47,2016-07-03,0
48,2016-07-10,7
49,2016-07-17,7
50,2016-07-24,0
51,2016-07-31,7
52,2016-08-07,7
53,2016-08-14,7
54,2016-08-21,7
55,2016-08-28,0
56,2016-09-04,7
57,2016-09-11,7
58,2016-09-18,13
59,2016-09-25,7
60,2016-10-02,0
61,2016-10-09,7
62,2016-10-16,0
63,2016-10-23,0
64,2016-10-30,7
65,2016-11-06,6
66,2016-11-13,0
67,2016-11-20,6
68,2016-11-27,12
69,2016-12-04,10
70,2016-12-11,6
71,2016-12-18,0
72,2016-12-25,0
73,2017-01-01,0
74,2017-01-08,0
75,2017-01-15,9
76,2017-01-22,16
77,2017-01-29,0
78,2017-02-05,6
79,2017-02-12,6
80,2017-02-19,6
81,2017-02-26,6
82,2017-03-05,9
83,2017-03-12,0
84,2017-03-19,12
85,2017-03-26,6
86,2017-04-02,6
87,2017-04-09,6
88,2017-04-16,6
89,2017-04-23,6
90,2017-04-30,6
91,2017-05-07,6
92,2017-05-14,6
93,2017-05-21,10
94,2017-05-28,6
95,2017-06-04,6
96,2017-06-11,10
97,2017-06-18,6
98,2017-06-25,7
99,2017-07-02,7
100,2017-07-09,11
101,2017-07-16,16
102,2017-07-23,13
103,2017-07-30,13
104,2017-08-06,6
105,2017-08-13,0
106,2017-08-20,6
107,2017-08-27,6
108,2017-09-03,0
109,2017-09-10,6
110,2017-09-17,12
111,2017-09-24,18
112,2017-10-01,12
113,2017-10-08,0
114,2017-10-15,0
115,2017-10-22,9
116,2017-10-29,6
117,2017-11-05,6
118,2017-11-12,0
119,2017-11-19,6
120,2017-11-26,6
121,2017-12-03,6
122,2017-12-10,6
123,2017-12-17,6
124,2017-12-24,7
125,2017-12-31,0
126,2018-01-07,6
127,2018-01-14,6
128,2018-01-21,0
129,2018-01-28,0
130,2018-02-04,0
131,2018-02-11,6
132,2018-02-18,11
133,2018-02-25,6
134,2018-03-04,6
135,2018-03-11,6
136,2018-03-18,0
137,2018-03-25,0
138,2018-04-01,6
139,2018-04-08,6
140,2018-04-15,0
141,2018-04-22,6
142,2018-04-29,6
143,2018-05-06,0
144,2018-05-13,6
145,2018-05-20,6
146,2018-05-27,6
147,2018-06-03,11
148,2018-06-10,0
149,2018-06-17,6
150,2018-06-24,6
151,2018-07-01,6
152,2018-07-08,6
153,2018-07-15,6
154,2018-07-22,6
155,2018-07-29,6
156,2018-08-05,6
157,2018-08-12,6
158,2018-08-19,6
159,2018-08-26,6
160,2018-09-02,0
161,2018-09-09,11
162,2018-09-16,11
163,2018-09-23,11
164,2018-09-30,6
165,2018-10-07,0
166,2018-10-14,6
167,2018-10-21,7
168,2018-10-28,0
169,2018-11-04,6
170,2018-11-11,6
171,2018-11-18,11
172,2018-11-25,0
173,2018-12-02,0
174,2018-12-09,6
175,2018-12-16,6
176,2018-12-23,6
177,2018-12-30,12
178,2019-01-06,6
179,2019-01-13,6
180,2019-01-20,11
181,2019-01-27,0
182,2019-02-03,5
183,2019-02-10,5
184,2019-02-17,8
185,2019-02-24,5
186,2019-03-03,6
187,2019-03-10,11
188,2019-03-17,6
189,2019-03-24,5
190,2019-03-31,6
191,2019-04-07,6
192,2019-04-14,9
193,2019-04-21,8
194,2019-04-28,11
195,2019-05-05,7
196,2019-05-12,0
197,2019-05-19,8
198,2019-05-26,5
199,2019-06-02,0
200,2019-06-09,0
201,2019-06-16,8
202,2019-06-23,5
203,2019-06-30,11
204,2019-07-07,9
205,2019-07-14,11
206,2019-07-21,14
207,2019-07-28,6
208,2019-08-04,6
209,2019-08-11,6
210,2019-08-18,0
211,2019-08-25,5
212,2019-09-01,7
213,2019-09-08,8
214,2019-09-15,10
215,2019-09-22,5
216,2019-09-29,9
217,2019-10-06,10
218,2019-10-13,16
219,2019-10-20,8
220,2019-10-27,8
221,2019-11-03,5
222,2019-11-10,8
223,2019-11-17,0
224,2019-11-24,35
225,2019-12-01,33
226,2019-12-08,67
227,2019-12-15,72
228,2019-12-22,89
229,2019-12-29,76
230,2020-01-05,30
231,2020-01-12,47
232,2020-01-19,37
233,2020-01-26,54
234,2020-02-02,57
235,2020-02-09,33
236,2020-02-16,49
237,2020-02-23,69
238,2020-03-01,50
239,2020-03-08,31
240,2020-03-15,18
241,2020-03-22,18
242,2020-03-29,28
243,2020-04-05,42
244,2020-04-12,44
245,2020-04-19,60
246,2020-04-26,78
247,2020-05-03,70
248,2020-05-10,43
249,2020-05-17,42
250,2020-05-24,17
251,2020-05-31,24
252,2020-06-07,64
253,2020-06-14,50
254,2020-06-21,58
255,2020-06-28,80
256,2020-07-05,74
257,2020-07-12,87
258,2020-07-19,78
259,2020-07-26,64
260,2020-08-02,100
