Date,Close,Open,Low,High,Volume,Trades
2001-03-26,30000.0,30000.0,30000.0,30000.0,500,1
2001-03-31,29600.0,29997.0,29600.0,29997.0,2200,14
2001-04-03,29501.0,29600.0,29501.0,29600.0,2096,5
2001-04-07,29000.0,29400.0,29000.0,29400.0,1862,6
2001-04-08,29000.0,29000.0,29000.0,29000.0,1348,6
2001-04-09,29001.0,29001.0,29001.0,29001.0,638,2
2001-04-10,29002.0,29002.0,29002.0,29002.0,1000,2
2001-04-11,29500.0,29500.0,29500.0,29500.0,1500,4
2001-04-15,30000.0,30000.0,30000.0,30000.0,2125,1
2001-04-16,30400.0,30400.0,30400.0,30400.0,2500,1
2001-04-21,31201.0,31202.0,31201.0,31202.0,1000,2
2001-04-22,31580.0,31201.0,31201.0,31580.0,2100,7
2001-04-24,31820.0,31820.0,31820.0,31820.0,1000,1
2001-04-28,32301.0,32303.0,32301.0,32308.0,6200,6
2001-04-29,32738.0,32750.0,32000.0,32750.0,6532,7
2001-04-30,31950.0,32200.0,31950.0,32200.0,1300,5
2001-05-01,31400.0,31550.0,31400.0,31550.0,2207,5
2001-05-02,31350.0,31399.0,31350.0,31400.0,1300,4
2001-05-05,31850.0,31349.0,31349.0,31850.0,4819,8
2001-05-06,32000.0,31800.0,31800.0,32000.0,2823,11
2001-05-08,31999.0,31990.0,31990.0,31999.0,2150,5
2001-05-13,31500.0,31500.0,31500.0,31500.0,1000,2
2001-05-15,31500.0,31899.0,31500.0,31999.0,3690,14
2001-05-19,31500.0,31500.0,31500.0,31500.0,250,2
2001-05-20,31500.0,31500.0,31500.0,31500.0,538,3
2001-05-21,31500.0,31500.0,31000.0,31500.0,6936,7
2001-05-27,31990.0,31990.0,31990.0,31990.0,5000,1
2001-05-29,31990.0,31990.0,31990.0,31990.0,78,1
2001-06-03,31889.0,31501.0,31500.0,31981.0,2513,8
2001-06-11,31879.0,31879.0,31879.0,31879.0,140,1
2001-06-23,31499.0,31490.0,31490.0,31500.0,1115,3
2001-08-01,31500.0,31500.0,31500.0,31500.0,1252,6
2001-08-05,31500.0,31500.0,31500.0,31500.0,2286,3
2001-08-06,31500.0,31500.0,31500.0,31500.0,78,1
2001-08-07,31500.0,31497.0,31497.0,31500.0,578,4
2001-08-08,31500.0,31500.0,31500.0,31500.0,100,1
2001-08-20,31398.0,31398.0,31398.0,31398.0,1850,2
2001-08-21,31398.0,31398.0,31398.0,31398.0,1080,3
