,Date,Trend
0,2015-08-09,1
1,2015-08-16,1
2,2015-08-23,0
3,2015-08-30,2
4,2015-09-06,2
5,2015-09-13,3
6,2015-09-20,4
7,2015-09-27,3
8,2015-10-04,3
9,2015-10-11,1
10,2015-10-18,2
11,2015-10-25,1
12,2015-11-01,3
13,2015-11-08,1
14,2015-11-15,1
15,2015-11-22,4
16,2015-11-29,3
17,2015-12-06,1
18,2015-12-13,3
19,2015-12-20,3
20,2015-12-27,2
21,2016-01-03,1
22,2016-01-10,2
23,2016-01-17,3
24,2016-01-24,4
25,2016-01-31,2
26,2016-02-07,6
27,2016-02-14,3
28,2016-02-21,5
29,2016-02-28,3
30,2016-03-06,5
31,2016-03-13,4
32,2016-03-20,2
33,2016-03-27,3
34,2016-04-03,1
35,2016-04-10,3
36,2016-04-17,2
37,2016-04-24,2
38,2016-05-01,5
39,2016-05-08,2
40,2016-05-15,4
41,2016-05-22,2
42,2016-05-29,2
43,2016-06-05,2
44,2016-06-12,3
45,2016-06-19,1
46,2016-06-26,1
47,2016-07-03,2
48,2016-07-10,2
49,2016-07-17,3
50,2016-07-24,3
51,2016-07-31,3
52,2016-08-07,1
53,2016-08-14,1
54,2016-08-21,3
55,2016-08-28,3
56,2016-09-04,4
57,2016-09-11,4
58,2016-09-18,3
59,2016-09-25,2
60,2016-10-02,2
61,2016-10-09,0
62,2016-10-16,2
63,2016-10-23,4
64,2016-10-30,5
65,2016-11-06,3
66,2016-11-13,4
67,2016-11-20,4
68,2016-11-27,2
69,2016-12-04,4
70,2016-12-11,3
71,2016-12-18,3
72,2016-12-25,3
73,2017-01-01,2
74,2017-01-08,2
75,2017-01-15,3
76,2017-01-22,2
77,2017-01-29,2
78,2017-02-05,2
79,2017-02-12,2
80,2017-02-19,3
81,2017-02-26,3
82,2017-03-05,3
83,2017-03-12,3
84,2017-03-19,1
85,2017-03-26,2
86,2017-04-02,1
87,2017-04-09,4
88,2017-04-16,1
89,2017-04-23,1
90,2017-04-30,3
91,2017-05-07,1
92,2017-05-14,2
93,2017-05-21,2
94,2017-05-28,2
95,2017-06-04,0
96,2017-06-11,2
97,2017-06-18,1
98,2017-06-25,2
99,2017-07-02,1
100,2017-07-09,2
101,2017-07-16,2
102,2017-07-23,2
103,2017-07-30,3
104,2017-08-06,2
105,2017-08-13,2
106,2017-08-20,1
107,2017-08-27,3
108,2017-09-03,3
109,2017-09-10,4
110,2017-09-17,2
111,2017-09-24,2
112,2017-10-01,2
113,2017-10-08,2
114,2017-10-15,1
115,2017-10-22,2
116,2017-10-29,2
117,2017-11-05,3
118,2017-11-12,2
119,2017-11-19,2
120,2017-11-26,2
121,2017-12-03,1
122,2017-12-10,6
123,2017-12-17,3
124,2017-12-24,4
125,2017-12-31,3
126,2018-01-07,2
127,2018-01-14,3
128,2018-01-21,4
129,2018-01-28,5
130,2018-02-04,2
131,2018-02-11,2
132,2018-02-18,3
133,2018-02-25,3
134,2018-03-04,2
135,2018-03-11,4
136,2018-03-18,3
137,2018-03-25,2
138,2018-04-01,2
139,2018-04-08,3
140,2018-04-15,2
141,2018-04-22,1
142,2018-04-29,2
143,2018-05-06,2
144,2018-05-13,1
145,2018-05-20,2
146,2018-05-27,3
147,2018-06-03,2
148,2018-06-10,2
149,2018-06-17,3
150,2018-06-24,3
151,2018-07-01,3
152,2018-07-08,2
153,2018-07-15,4
154,2018-07-22,3
155,2018-07-29,4
156,2018-08-05,5
157,2018-08-12,3
158,2018-08-19,10
159,2018-08-26,7
160,2018-09-02,4
161,2018-09-09,5
162,2018-09-16,4
163,2018-09-23,7
164,2018-09-30,8
165,2018-10-07,5
166,2018-10-14,5
167,2018-10-21,5
168,2018-10-28,5
169,2018-11-04,4
170,2018-11-11,4
171,2018-11-18,3
172,2018-11-25,3
173,2018-12-02,3
174,2018-12-09,3
175,2018-12-16,3
176,2018-12-23,3
177,2018-12-30,3
178,2019-01-06,3
179,2019-01-13,2
180,2019-01-20,3
181,2019-01-27,3
182,2019-02-03,4
183,2019-02-10,1
184,2019-02-17,5
185,2019-02-24,4
186,2019-03-03,2
187,2019-03-10,5
188,2019-03-17,3
189,2019-03-24,2
190,2019-03-31,2
191,2019-04-07,4
192,2019-04-14,4
193,2019-04-21,4
194,2019-04-28,4
195,2019-05-05,2
196,2019-05-12,3
197,2019-05-19,3
198,2019-05-26,3
199,2019-06-02,2
200,2019-06-09,5
201,2019-06-16,3
202,2019-06-23,4
203,2019-06-30,4
204,2019-07-07,2
205,2019-07-14,3
206,2019-07-21,6
207,2019-07-28,5
208,2019-08-04,6
209,2019-08-11,6
210,2019-08-18,4
211,2019-08-25,5
212,2019-09-01,4
213,2019-09-08,4
214,2019-09-15,7
215,2019-09-22,4
216,2019-09-29,6
217,2019-10-06,5
218,2019-10-13,4
219,2019-10-20,4
220,2019-10-27,3
221,2019-11-03,5
222,2019-11-10,3
223,2019-11-17,0
224,2019-11-24,2
225,2019-12-01,5
226,2019-12-08,5
227,2019-12-15,5
228,2019-12-22,5
229,2019-12-29,5
230,2020-01-05,4
231,2020-01-12,6
232,2020-01-19,9
233,2020-01-26,5
234,2020-02-02,7
235,2020-02-09,5
236,2020-02-16,8
237,2020-02-23,15
238,2020-03-01,8
239,2020-03-08,9
240,2020-03-15,8
241,2020-03-22,8
242,2020-03-29,9
243,2020-04-05,18
244,2020-04-12,21
245,2020-04-19,27
246,2020-04-26,42
247,2020-05-03,57
248,2020-05-10,48
249,2020-05-17,42
250,2020-05-24,35
251,2020-05-31,41
252,2020-06-07,69
253,2020-06-14,56
254,2020-06-21,56
255,2020-06-28,71
256,2020-07-05,72
257,2020-07-12,92
258,2020-07-19,99
259,2020-07-26,100
260,2020-08-02,97
