Date,Close,Open,Low,High,Volume,Trades
2001-04-07,9420.0,9420.0,9420.0,9420.0,5190,6
2001-04-11,9800.0,9800.0,9800.0,9800.0,1570,2
2001-04-15,9813.0,9813.0,9813.0,9813.0,1500,1
2001-04-16,10200.0,9994.0,9994.0,10200.0,5757,4
2001-04-17,10214.0,10203.0,10203.0,10214.0,720,3
2001-04-29,10724.0,10724.0,10724.0,10724.0,1841,4
2001-05-01,11260.0,11260.0,11260.0,11260.0,500,1
2001-05-02,11271.0,11271.0,11271.0,11271.0,2000,3
2001-05-05,11271.0,11271.0,11271.0,11271.0,1039,4
2001-05-06,11271.0,11271.0,11271.0,11271.0,1908,2
2001-05-08,11274.0,11272.0,11272.0,11274.0,1944,9
2001-05-09,11274.0,11274.0,11274.0,11274.0,2453,5
2001-05-12,11274.0,11274.0,11274.0,11274.0,1579,3
2001-05-13,11274.0,11274.0,11273.0,11274.0,3100,8
2001-05-15,11274.0,11274.0,11274.0,11274.0,60,1
2001-05-19,11274.0,11274.0,11274.0,11274.0,230,1
2001-05-20,11275.0,11275.0,11275.0,11275.0,300,1
2001-05-21,11277.0,11276.0,11276.0,11277.0,570,3
2001-05-23,11276.0,11277.0,11276.0,11278.0,1757,4
2001-05-26,11276.0,11277.0,11276.0,11277.0,1493,4
2001-05-30,11270.0,11270.0,11270.0,11270.0,4200,4
2001-06-02,11270.0,11269.0,11269.0,11270.0,1500,2
2001-06-03,11270.0,11270.0,11270.0,11270.0,500,1
2001-06-06,11300.0,11270.0,11270.0,11300.0,1756,2
2001-06-09,11300.0,11300.0,11300.0,11300.0,2067,3
2001-06-12,11300.0,11300.0,11300.0,11300.0,1000,1
2001-06-20,11300.0,11300.0,11300.0,11300.0,50,1
2001-06-23,11300.0,11300.0,11300.0,11300.0,1646,3
2001-06-24,11300.0,11300.0,11299.0,11300.0,8500,5
2001-06-25,11300.0,11300.0,11300.0,11300.0,1000,1
2001-06-30,11300.0,11299.0,11299.0,11300.0,2300,8
2001-07-02,11300.0,11299.0,11299.0,11300.0,300,2
2001-07-03,11300.0,11300.0,11300.0,11300.0,7288,9
2001-07-04,11300.0,11300.0,11300.0,11300.0,600,1
2001-07-07,11300.0,11300.0,11300.0,11300.0,498,3
2001-07-10,11300.0,11300.0,11300.0,11300.0,700,1
2001-07-11,11300.0,11300.0,11300.0,11300.0,370,1
2001-07-14,11303.0,11303.0,11303.0,11303.0,870,1
2001-07-17,11303.0,11303.0,11303.0,11303.0,300,2
2001-07-24,11316.0,11317.0,11316.0,11317.0,900,7
2001-07-25,11315.0,11316.0,11315.0,11316.0,1300,3
2001-07-31,11315.0,11315.0,11315.0,11315.0,60,1
2001-08-05,11316.0,11316.0,11316.0,11316.0,239,2
2001-08-08,11316.0,11316.0,11316.0,11316.0,60,1
2001-08-12,11316.0,11316.0,11316.0,11316.0,1500,2
2001-08-13,11880.0,11880.0,11880.0,11880.0,1000,1
2001-08-15,12474.0,12474.0,12474.0,12474.0,1500,6
2001-08-18,12474.0,12474.0,12474.0,12474.0,1387,2
2001-08-19,12476.0,12476.0,12476.0,12476.0,500,2
2001-08-20,12475.0,12475.0,12475.0,12475.0,1000,1
2001-08-21,12475.0,12474.0,12474.0,12475.0,5200,7
2001-08-22,12475.0,12475.0,12475.0,12475.0,5170,6
2001-08-29,12800.0,12800.0,12800.0,12800.0,1027,6
2001-09-01,12800.0,12800.0,12800.0,12801.0,8750,6
2001-09-02,12804.0,12804.0,12804.0,12804.0,1273,3
2001-09-03,12805.0,12805.0,12805.0,12805.0,4026,5
2001-09-05,12805.0,12805.0,12805.0,12805.0,4000,3
2001-09-08,12805.0,12805.0,12805.0,12805.0,500,1
2001-09-10,13000.0,12807.0,12807.0,13000.0,3390,3
2001-09-11,13000.0,13000.0,13000.0,13000.0,3800,3
2001-09-16,13000.0,12998.0,12900.0,13000.0,25503,17
2001-09-17,13000.0,12950.0,12900.0,13000.0,5500,5
2001-09-18,13000.0,12999.0,12999.0,13000.0,5955,4
2001-09-19,13000.0,13000.0,13000.0,13000.0,1312,2
2001-09-22,13000.0,13001.0,13000.0,13001.0,6000,6
2001-09-24,13000.0,13002.0,13000.0,13002.0,6171,7
2001-10-03,13001.0,13001.0,13001.0,13001.0,20,1
2001-10-06,13000.0,13001.0,13000.0,13001.0,1000,2
2001-10-07,13001.0,13000.0,13000.0,13002.0,1511,4
2001-10-08,13001.0,13001.0,13001.0,13001.0,2000,2
2001-10-10,13000.0,12996.0,12996.0,13000.0,9340,5
2001-10-13,13070.0,13000.0,13000.0,13070.0,1170,2
2001-10-14,13070.0,13070.0,13070.0,13070.0,426,1
2001-10-17,13153.0,13153.0,13153.0,13153.0,1000,1
2001-10-21,13500.0,13301.0,13301.0,13500.0,11505,15
2001-10-23,13630.0,13630.0,13630.0,13630.0,660,2
2001-10-30,13850.0,13850.0,13850.0,13850.0,1000,1
2001-11-03,13901.0,13901.0,13901.0,13901.0,1000,1
2001-11-04,14003.0,14003.0,14003.0,14003.0,1000,4
2001-11-05,14201.0,14100.0,14100.0,14201.0,2150,3
2001-11-07,14301.0,14301.0,14301.0,14301.0,1500,3
2001-11-11,14601.0,14700.0,14551.0,15000.0,26009,12
2001-11-13,14601.0,14601.0,14600.0,14601.0,5264,9
2001-12-31,13781.0,13782.0,12500.0,13783.0,23028,24
2002-01-01,14100.0,13850.0,13850.0,14100.0,5500,6
2002-01-02,14276.0,14250.0,14200.0,14276.0,3750,13
2002-01-05,14300.0,14300.0,14300.0,14300.0,6000,7
2002-01-06,15015.0,15015.0,14500.0,15015.0,6265,10
2002-01-07,15015.0,15015.0,15015.0,15015.0,5735,5
2002-01-08,15015.0,15021.0,15015.0,15022.0,7500,10
2002-01-12,15000.0,14858.0,14858.0,15017.0,5708,8
2002-01-13,14999.0,14990.0,14990.0,15000.0,9594,15
2002-01-15,14975.0,14975.0,14975.0,14975.0,202,1
2002-01-19,14959.0,14959.0,14959.0,14959.0,325,1
2002-01-20,14945.0,14945.0,14945.0,14945.0,40,1
