Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,798502.0,4192387496.0,201.0,5450.0,5216.0,5250.0,5216.0,5490.0
2016-02-21,173294.0,870996152.0,66.0,5300.0,4988.0,5026.0,4988.0,5250.0
2016-02-22,206503.0,986254225.0,41.0,4781.0,4775.0,4776.0,4775.0,5026.0
2016-02-23,683818.0,3107037753.0,121.0,4772.0,4538.0,4544.0,4538.0,4776.0
2016-02-24,302490.0,1306633926.0,71.0,4538.0,4317.0,4320.0,4317.0,4544.0
2016-02-27,233898.0,1047317292.0,84.0,4536.0,4200.0,4478.0,4536.0,4320.0
2016-02-28,100384.0,460371791.0,41.0,4700.0,4430.0,4572.0,4480.0,4478.0
2016-02-29,94941.0,412653752.0,36.0,4380.0,4344.0,4387.0,4344.0,4572.0
2016-03-01,1023232.0,4313077774.0,215.0,4400.0,4168.0,4215.0,4173.0,4387.0
2016-03-02,396487.0,1614929961.0,106.0,4277.0,4005.0,4073.0,4005.0,4215.0
2016-03-05,353783.0,1370772356.0,133.0,3916.0,3870.0,3875.0,3870.0,4073.0
2016-03-06,10604134.0,39241662132.0,155.0,3899.0,3682.0,3701.0,3720.0,3875.0
2016-03-07,129355.0,500959128.0,44.0,3886.0,3799.0,3873.0,3886.0,3701.0
2016-03-08,72586.0,295134676.0,20.0,4066.0,4066.0,3987.0,4066.0,3873.0
2016-03-09,745463.0,3104773107.0,166.0,4186.0,4061.0,4165.0,4099.0,3987.0
2016-03-12,442174.0,1751780000.0,113.0,4200.0,3957.0,3962.0,3957.0,4165.0
2016-03-14,226174.0,891054182.0,92.0,4040.0,3780.0,3940.0,3900.0,3962.0
2016-03-15,85081.0,335595516.0,32.0,4080.0,3790.0,3943.0,3819.0,3940.0
2016-03-16,66225.0,252817612.0,45.0,3945.0,3765.0,3874.0,3900.0,3943.0
2016-03-26,2181.0,8553936.0,7.0,4000.0,3831.0,3875.0,3888.0,3874.0
2016-03-27,26519.0,102439174.0,20.0,3968.0,3801.0,3873.0,3900.0,3875.0
2016-03-28,389672.0,1575761960.0,109.0,4066.0,3900.0,4044.0,4000.0,3873.0
2016-03-29,185756.0,717324607.0,64.0,4000.0,3842.0,3862.0,3842.0,4044.0
2016-03-30,34688.0,133066067.0,22.0,3900.0,3800.0,3855.0,3899.0,3862.0
2016-04-02,109237.0,416338627.0,20.0,3910.0,3780.0,3818.0,3840.0,3855.0
2016-04-03,62316.0,239226752.0,19.0,3929.0,3755.0,3828.0,3800.0,3818.0
2016-04-04,6919.0,25869414.0,6.0,3780.0,3700.0,3823.0,3700.0,3828.0
2016-04-05,67355.0,250520107.0,26.0,3875.0,3672.0,3769.0,3681.0,3823.0
2016-04-06,81870.0,306535909.0,20.0,3890.0,3703.0,3753.0,3703.0,3769.0
2016-04-09,5955.0,21959765.0,8.0,3750.0,3673.0,3750.0,3673.0,3753.0
2016-04-10,285202.0,1051684076.0,71.0,3838.0,3565.0,3688.0,3710.0,3750.0
2016-04-11,261143.0,926638564.0,41.0,3630.0,3510.0,3548.0,3515.0,3688.0
2016-04-12,447104.0,1657831908.0,79.0,3725.0,3530.0,3708.0,3725.0,3548.0
2016-04-13,107567.0,385412917.0,44.0,3810.0,3523.0,3607.0,3523.0,3708.0
2016-04-16,96428.0,330636388.0,21.0,3450.0,3427.0,3483.0,3427.0,3607.0
2016-04-17,220741.0,730555448.0,44.0,3580.0,3309.0,3310.0,3309.0,3483.0
2016-04-18,115619.0,394853738.0,24.0,3475.0,3312.0,3398.0,3312.0,3310.0
2016-04-19,85517.0,286580871.0,26.0,3458.0,3300.0,3369.0,3458.0,3398.0
2016-04-20,11500.0,38423000.0,6.0,3429.0,3310.0,3367.0,3429.0,3369.0
2016-04-23,1469.0,4972565.0,1.0,3385.0,3385.0,3367.0,3385.0,3367.0
2016-04-24,73515.0,244141538.0,31.0,3360.0,3290.0,3344.0,3316.0,3367.0
2016-04-25,19206.0,65058087.0,13.0,3458.0,3299.0,3350.0,3440.0,3344.0
2016-04-26,24300.0,82832500.0,9.0,3510.0,3310.0,3360.0,3420.0,3350.0
2016-04-27,10058.0,33830228.0,10.0,3420.0,3346.0,3360.0,3346.0,3360.0
2016-04-30,3314.0,11406020.0,5.0,3490.0,3430.0,3362.0,3430.0,3360.0
2016-05-01,2307.0,7751234.0,2.0,3362.0,3355.0,3362.0,3355.0,3362.0
2016-05-02,36990.0,122725328.0,26.0,3389.0,3229.0,3351.0,3389.0,3362.0
2016-05-03,30509.0,100012955.0,8.0,3400.0,3255.0,3336.0,3255.0,3351.0
2016-05-04,20876.0,69079283.0,19.0,3450.0,3260.0,3332.0,3450.0,3336.0
2016-05-07,10371.0,34206739.0,5.0,3427.0,3261.0,3330.0,3409.0,3332.0
2016-05-08,98527.0,339959803.0,27.0,3496.0,3261.0,3409.0,3360.0,3330.0
2016-05-09,19000.0,63818060.0,4.0,3440.0,3350.0,3403.0,3350.0,3409.0
2016-05-10,544279.0,1941734613.0,59.0,3573.0,3500.0,3568.0,3573.0,3403.0
2016-05-11,1421682.0,5219899508.0,156.0,3746.0,3600.0,3672.0,3690.0,3568.0
2016-05-14,109490.0,399670156.0,30.0,3691.0,3600.0,3655.0,3600.0,3672.0
2016-05-15,108599.0,398568655.0,29.0,3770.0,3620.0,3667.0,3720.0,3655.0
2016-05-16,295964.0,1135303622.0,46.0,3850.0,3720.0,3836.0,3850.0,3667.0
2016-05-17,365436.0,1462724182.0,67.0,4027.0,3830.0,4003.0,3920.0,3836.0
2016-05-18,205011.0,799648460.0,59.0,4005.0,3810.0,3901.0,3990.0,4003.0
2016-05-21,98000.0,376757656.0,43.0,3890.0,3794.0,3858.0,3839.0,3901.0
2016-05-23,70592.0,269826490.0,21.0,3865.0,3720.0,3838.0,3720.0,3858.0
2016-05-24,102254.0,396538627.0,30.0,3995.0,3707.0,3870.0,3900.0,3838.0
2016-05-25,7650.0,29138550.0,9.0,3850.0,3750.0,3866.0,3850.0,3870.0
2016-05-28,71408.0,270397190.0,22.0,3940.0,3680.0,3822.0,3939.0,3866.0
2016-05-29,504891.0,2010452686.0,86.0,4013.0,3710.0,3982.0,4012.0,3822.0
2016-05-30,6760.0,27032190.0,7.0,4000.0,3998.0,3983.0,4000.0,3982.0
2016-05-31,6244.0,24036262.0,10.0,3990.0,3791.0,3977.0,3791.0,3983.0
2016-06-01,31996.0,121191222.0,18.0,3897.0,3779.0,3930.0,3779.0,3977.0
2016-06-05,251397.0,1020533136.0,73.0,4105.0,3940.0,4059.0,4100.0,3930.0
2016-06-06,1018990.0,4338233125.0,144.0,4261.0,4000.0,4257.0,4261.0,4059.0
2016-06-07,564994.0,2291803138.0,99.0,4400.0,4045.0,4056.0,4045.0,4257.0
2016-06-08,76339.0,299785360.0,31.0,4190.0,3855.0,3979.0,3856.0,4056.0
2016-06-11,32546.0,126342173.0,23.0,4080.0,3786.0,3954.0,3786.0,3979.0
2016-06-12,84036.0,316134080.0,29.0,3900.0,3757.0,3826.0,3760.0,3954.0
2016-06-13,49942.0,182286085.0,9.0,3762.0,3635.0,3756.0,3635.0,3826.0
2016-06-14,78151.0,306441585.0,34.0,3943.0,3750.0,3859.0,3900.0,3756.0
2016-06-15,154352.0,570054734.0,34.0,4008.0,3667.0,3693.0,3667.0,3859.0
2016-06-18,22000.0,84462540.0,4.0,3860.0,3830.0,3717.0,3830.0,3693.0
2016-06-19,17419.0,62859608.0,12.0,3650.0,3556.0,3703.0,3556.0,3717.0
2016-06-20,55730.0,196228126.0,18.0,3600.0,3518.0,3628.0,3518.0,3703.0
2016-06-21,61552.0,212171052.0,17.0,3448.0,3447.0,3546.0,3447.0,3628.0
2016-06-22,116204.0,413088615.0,25.0,3723.0,3447.0,3554.0,3723.0,3546.0
2016-06-25,36212.0,133165302.0,17.0,3723.0,3640.0,3586.0,3645.0,3554.0
2016-06-26,50690.0,177752652.0,19.0,3680.0,3482.0,3557.0,3482.0,3586.0
2016-06-28,21884.0,76634125.0,9.0,3725.0,3400.0,3548.0,3500.0,3557.0
2016-06-29,72052.0,258491358.0,17.0,3698.0,3500.0,3568.0,3670.0,3548.0
2016-07-02,91261.0,340196937.0,42.0,3746.0,3698.0,3672.0,3746.0,3568.0
2016-07-03,136340.0,521000404.0,26.0,3849.0,3750.0,3817.0,3800.0,3672.0
2016-07-04,256880.0,936799914.0,43.0,3998.0,3627.0,3647.0,3627.0,3817.0
2016-07-05,344217.0,1195602058.0,55.0,3600.0,3465.0,3473.0,3600.0,3647.0
2016-07-09,21263.0,76926348.0,9.0,3636.0,3470.0,3494.0,3633.0,3473.0
2016-07-10,32184.0,112742940.0,16.0,3598.0,3500.0,3496.0,3550.0,3494.0
2016-07-11,8002.0,28407318.0,4.0,3659.0,3550.0,3499.0,3550.0,3496.0
2016-07-12,19062.0,67383175.0,12.0,3660.0,3455.0,3504.0,3565.0,3499.0
2016-07-13,29408.0,103073300.0,15.0,3640.0,3500.0,3504.0,3500.0,3504.0
2016-07-16,64975.0,225360801.0,16.0,3655.0,3449.0,3488.0,3449.0,3504.0
2016-07-17,367307.0,1227791720.0,64.0,3630.0,3314.0,3343.0,3418.0,3488.0
2016-07-18,94110.0,317138477.0,19.0,3508.0,3288.0,3361.0,3340.0,3343.0
2016-07-19,18800.0,64419500.0,7.0,3489.0,3350.0,3370.0,3350.0,3361.0
2016-07-20,101250.0,350140187.0,21.0,3478.0,3371.0,3433.0,3469.0,3370.0
2016-07-23,39440.0,135213034.0,21.0,3480.0,3400.0,3432.0,3400.0,3433.0
2016-07-24,103443.0,351796138.0,9.0,3430.0,3400.0,3410.0,3400.0,3432.0
2016-07-25,49586.0,168638338.0,11.0,3449.0,3390.0,3407.0,3449.0,3410.0
2016-07-26,214642.0,765747849.0,48.0,3577.0,3366.0,3568.0,3577.0,3407.0
2016-07-27,32267.0,114054566.0,16.0,3604.0,3468.0,3561.0,3580.0,3568.0
2016-07-31,203655.0,736601826.0,35.0,3662.0,3570.0,3617.0,3627.0,3561.0
2016-08-01,47102.0,172349064.0,20.0,3759.0,3570.0,3631.0,3570.0,3617.0
2016-08-02,12095.0,41999865.0,3.0,3600.0,3467.0,3617.0,3467.0,3631.0
2016-08-03,11162.0,39416020.0,11.0,3669.0,3460.0,3610.0,3659.0,3617.0
2016-08-06,6000.0,21965500.0,3.0,3666.0,3660.0,3612.0,3666.0,3610.0
2016-08-07,27617.0,97072500.0,10.0,3540.0,3500.0,3593.0,3500.0,3612.0
2016-08-08,78857.0,287578129.0,13.0,3720.0,3620.0,3624.0,3715.0,3593.0
2016-08-09,21438.0,75670694.0,7.0,3532.0,3513.0,3609.0,3531.0,3624.0
2016-08-10,44006.0,155850360.0,15.0,3633.0,3490.0,3588.0,3514.0,3609.0
2016-08-13,255870.0,878759823.0,58.0,3520.0,3409.0,3434.0,3409.0,3588.0
2016-08-14,647102.0,2136960079.0,130.0,3408.0,3263.0,3302.0,3408.0,3434.0
2016-08-20,19300.0,64825627.0,8.0,3408.0,3327.0,3309.0,3327.0,3302.0
2016-08-21,40857.0,135685978.0,17.0,3333.0,3300.0,3312.0,3300.0,3309.0
2016-08-22,6002.0,19699204.0,7.0,3300.0,3263.0,3311.0,3263.0,3312.0
2016-08-23,29917.0,97978884.0,12.0,3290.0,3267.0,3304.0,3267.0,3311.0
2016-08-24,9850.0,33150500.0,8.0,3380.0,3305.0,3308.0,3305.0,3304.0
2016-08-27,6400.0,21310000.0,4.0,3400.0,3300.0,3309.0,3300.0,3308.0
2016-08-28,480863.0,1662500018.0,123.0,3474.0,3310.0,3457.0,3457.0,3309.0
2016-08-29,251721.0,878481478.0,70.0,3540.0,3300.0,3490.0,3452.0,3457.0
2016-08-30,14276.0,48977808.0,10.0,3500.0,3350.0,3484.0,3499.0,3490.0
2016-08-31,70549.0,244833957.0,15.0,3569.0,3407.0,3478.0,3407.0,3484.0
2016-09-03,48033.0,162206310.0,10.0,3480.0,3356.0,3444.0,3400.0,3478.0
2016-09-04,49643.0,165916292.0,15.0,3488.0,3320.0,3409.0,3320.0,3444.0
2016-09-05,55413.0,190679429.0,5.0,3452.0,3321.0,3421.0,3433.0,3409.0
2016-09-06,249362.0,875734822.0,61.0,3592.0,3434.0,3512.0,3592.0,3421.0
2016-09-07,148349.0,539153531.0,43.0,3650.0,3599.0,3634.0,3648.0,3512.0
2016-09-10,471985.0,1753541478.0,79.0,3770.0,3630.0,3715.0,3760.0,3634.0
2016-09-11,551078.0,2132220541.0,94.0,3900.0,3701.0,3869.0,3885.0,3715.0
2016-09-13,190661.0,773661068.0,49.0,4062.0,3944.0,4058.0,4062.0,3869.0
2016-09-14,510052.0,2160409679.0,87.0,4260.0,4020.0,4236.0,4178.0,4058.0
2016-09-17,349450.0,1550902650.0,73.0,4447.0,4260.0,4438.0,4447.0,4236.0
2016-09-18,109832.0,481749198.0,46.0,4550.0,4217.0,4390.0,4300.0,4438.0
2016-09-19,238709.0,1000872226.0,62.0,4400.0,4171.0,4193.0,4171.0,4390.0
2016-09-21,113239.0,482841998.0,28.0,4339.0,4180.0,4261.0,4339.0,4193.0
2016-09-24,125676.0,562172188.0,29.0,4474.0,4470.0,4473.0,4474.0,4261.0
2016-09-25,196076.0,920772896.0,19.0,4696.0,4696.0,4696.0,4696.0,4473.0
2016-09-26,3711197.0,18276509687.0,300.0,4930.0,4771.0,4925.0,4928.0,4696.0
2016-09-27,982676.0,5066474996.0,97.0,5171.0,4810.0,5156.0,5171.0,4925.0
2016-09-28,2497387.0,13380604064.0,196.0,5413.0,5100.0,5358.0,5156.0,5156.0
2016-10-01,9642433.0,50134753307.0,236.0,5390.0,5091.0,5199.0,5300.0,5358.0
2016-10-02,1724076.0,9401656760.0,160.0,5458.0,5200.0,5453.0,5458.0,5199.0
2016-10-03,1281764.0,6990665188.0,208.0,5705.0,5181.0,5454.0,5480.0,5453.0
2016-10-04,1044745.0,5826626439.0,147.0,5726.0,5350.0,5577.0,5555.0,5454.0
2016-10-05,518637.0,2840156783.0,114.0,5675.0,5354.0,5476.0,5380.0,5577.0
2016-10-08,604600.0,3149431965.0,131.0,5320.0,5203.0,5209.0,5203.0,5476.0
2016-10-09,6938052.0,36493873109.0,255.0,5429.0,5061.0,5260.0,5401.0,5209.0
2016-10-10,5657402.0,30136365164.0,273.0,5523.0,5255.0,5327.0,5471.0,5260.0
2016-10-15,148321.0,797264789.0,36.0,5500.0,5312.0,5375.0,5319.0,5327.0
2016-10-16,6467828.0,33998767759.0,187.0,5401.0,5123.0,5257.0,5123.0,5375.0
2016-10-17,8082113.0,42010325878.0,209.0,5395.0,5050.0,5198.0,5062.0,5257.0
2016-10-18,8517965.0,43534411282.0,276.0,5378.0,4955.0,5111.0,4991.0,5198.0
2016-10-19,845222.0,4159166074.0,128.0,5159.0,4856.0,4921.0,4942.0,5111.0
2016-10-22,128819.0,636404795.0,46.0,5080.0,4890.0,4940.0,4901.0,4921.0
2016-10-23,634447.0,3096497912.0,60.0,5000.0,4693.0,4881.0,4890.0,4940.0
2016-10-24,185517.0,891507719.0,59.0,4990.0,4650.0,4806.0,4900.0,4881.0
2016-10-25,344568.0,1726689427.0,77.0,5046.0,4820.0,5011.0,4999.0,4806.0
2016-10-26,308298.0,1483746247.0,86.0,5089.0,4762.0,4813.0,4762.0,5011.0
2016-10-29,340497.0,1561765558.0,104.0,4777.0,4573.0,4587.0,4655.0,4813.0
2016-10-30,365638.0,1720062541.0,81.0,4809.0,4600.0,4704.0,4800.0,4587.0
2016-10-31,150519.0,699071004.0,42.0,4879.0,4566.0,4644.0,4590.0,4704.0
2016-11-01,320715.0,1428870130.0,74.0,4645.0,4412.0,4455.0,4425.0,4644.0
2016-11-02,175431.0,817281777.0,33.0,4677.0,4635.0,4659.0,4677.0,4455.0
2016-11-05,553982.0,2702293843.0,91.0,4891.0,4750.0,4878.0,4891.0,4659.0
2016-11-06,671805.0,3377842189.0,118.0,5098.0,4800.0,5028.0,4800.0,4878.0
2016-11-07,178974.0,889259913.0,59.0,5010.0,4790.0,4969.0,4901.0,5028.0
2016-11-08,343994.0,1730971182.0,72.0,5120.0,4961.0,5032.0,4980.0,4969.0
2016-11-09,335272.0,1608763124.0,49.0,5100.0,4781.0,4798.0,4791.0,5032.0
2016-11-12,316769.0,1488894497.0,29.0,4790.0,4601.0,4700.0,4651.0,4798.0
2016-11-13,333205.0,1584031814.0,73.0,4900.0,4602.0,4754.0,4900.0,4700.0
2016-11-14,580812.0,2829470214.0,53.0,4939.0,4720.0,4872.0,4720.0,4754.0
2016-11-15,159672.0,793680509.0,64.0,5100.0,4760.0,4971.0,5100.0,4872.0
2016-11-16,285691.0,1447445999.0,31.0,5099.0,4913.0,5066.0,5019.0,4971.0
2016-11-19,74519.0,366806690.0,16.0,5083.0,4870.0,4958.0,5026.0,5066.0
2016-11-21,257238.0,1248081408.0,43.0,5070.0,4711.0,4852.0,4832.0,4958.0
2016-11-22,98789.0,479252872.0,30.0,4960.0,4790.0,4851.0,4791.0,4852.0
2016-11-23,202490.0,965165809.0,51.0,4930.0,4644.0,4766.0,4850.0,4851.0
2016-11-26,804707.0,3896940492.0,37.0,4859.0,4626.0,4843.0,4840.0,4766.0
2016-11-27,576122.0,2853313558.0,29.0,4957.0,4850.0,4953.0,4920.0,4843.0
