,Date,Trend
0,2015-08-09,11
1,2015-08-16,12
2,2015-08-23,8
3,2015-08-30,8
4,2015-09-06,7
5,2015-09-13,6
6,2015-09-20,6
7,2015-09-27,4
8,2015-10-04,12
9,2015-10-11,6
10,2015-10-18,7
11,2015-10-25,7
12,2015-11-01,8
13,2015-11-08,12
14,2015-11-15,8
15,2015-11-22,8
16,2015-11-29,8
17,2015-12-06,7
18,2015-12-13,6
19,2015-12-20,9
20,2015-12-27,5
21,2016-01-03,6
22,2016-01-10,6
23,2016-01-17,10
24,2016-01-24,11
25,2016-01-31,7
26,2016-02-07,6
27,2016-02-14,5
28,2016-02-21,6
29,2016-02-28,9
30,2016-03-06,8
31,2016-03-13,12
32,2016-03-20,9
33,2016-03-27,9
34,2016-04-03,10
35,2016-04-10,8
36,2016-04-17,23
37,2016-04-24,16
38,2016-05-01,15
39,2016-05-08,16
40,2016-05-15,17
41,2016-05-22,13
42,2016-05-29,10
43,2016-06-05,15
44,2016-06-12,14
45,2016-06-19,14
46,2016-06-26,13
47,2016-07-03,16
48,2016-07-10,12
49,2016-07-17,27
50,2016-07-24,18
51,2016-07-31,29
52,2016-08-07,12
53,2016-08-14,15
54,2016-08-21,22
55,2016-08-28,19
56,2016-09-04,17
57,2016-09-11,14
58,2016-09-18,6
59,2016-09-25,13
60,2016-10-02,15
61,2016-10-09,18
62,2016-10-16,15
63,2016-10-23,25
64,2016-10-30,25
65,2016-11-06,25
66,2016-11-13,18
67,2016-11-20,17
68,2016-11-27,18
69,2016-12-04,20
70,2016-12-11,17
71,2016-12-18,18
72,2016-12-25,18
73,2017-01-01,17
74,2017-01-08,13
75,2017-01-15,15
76,2017-01-22,28
77,2017-01-29,12
78,2017-02-05,23
79,2017-02-12,20
80,2017-02-19,12
81,2017-02-26,10
82,2017-03-05,13
83,2017-03-12,6
84,2017-03-19,6
85,2017-03-26,15
86,2017-04-02,10
87,2017-04-09,16
88,2017-04-16,13
89,2017-04-23,7
90,2017-04-30,18
91,2017-05-07,18
92,2017-05-14,8
93,2017-05-21,10
94,2017-05-28,11
95,2017-06-04,15
96,2017-06-11,14
97,2017-06-18,18
98,2017-06-25,13
99,2017-07-02,6
100,2017-07-09,16
101,2017-07-16,17
102,2017-07-23,14
103,2017-07-30,15
104,2017-08-06,18
105,2017-08-13,12
106,2017-08-20,14
107,2017-08-27,14
108,2017-09-03,14
109,2017-09-10,13
110,2017-09-17,19
111,2017-09-24,19
112,2017-10-01,11
113,2017-10-08,18
114,2017-10-15,16
115,2017-10-22,13
116,2017-10-29,14
117,2017-11-05,14
118,2017-11-12,14
119,2017-11-19,18
120,2017-11-26,20
121,2017-12-03,12
122,2017-12-10,14
123,2017-12-17,14
124,2017-12-24,29
125,2017-12-31,17
126,2018-01-07,19
127,2018-01-14,15
128,2018-01-21,16
129,2018-01-28,21
130,2018-02-04,19
131,2018-02-11,15
132,2018-02-18,16
133,2018-02-25,14
134,2018-03-04,13
135,2018-03-11,12
136,2018-03-18,10
137,2018-03-25,14
138,2018-04-01,15
139,2018-04-08,15
140,2018-04-15,22
141,2018-04-22,15
142,2018-04-29,11
143,2018-05-06,18
144,2018-05-13,16
145,2018-05-20,15
146,2018-05-27,10
147,2018-06-03,10
148,2018-06-10,27
149,2018-06-17,17
150,2018-06-24,32
151,2018-07-01,29
152,2018-07-08,23
153,2018-07-15,19
154,2018-07-22,16
155,2018-07-29,20
156,2018-08-05,25
157,2018-08-12,23
158,2018-08-19,11
159,2018-08-26,28
160,2018-09-02,23
161,2018-09-09,29
162,2018-09-16,16
163,2018-09-23,23
164,2018-09-30,21
165,2018-10-07,26
166,2018-10-14,31
167,2018-10-21,18
168,2018-10-28,21
169,2018-11-04,17
170,2018-11-11,16
171,2018-11-18,27
172,2018-11-25,25
173,2018-12-02,19
174,2018-12-09,20
175,2018-12-16,21
176,2018-12-23,34
177,2018-12-30,35
178,2019-01-06,31
179,2019-01-13,40
180,2019-01-20,38
181,2019-01-27,34
182,2019-02-03,24
183,2019-02-10,25
184,2019-02-17,25
185,2019-02-24,24
186,2019-03-03,19
187,2019-03-10,20
188,2019-03-17,16
189,2019-03-24,14
190,2019-03-31,17
191,2019-04-07,25
192,2019-04-14,37
193,2019-04-21,27
194,2019-04-28,25
195,2019-05-05,16
196,2019-05-12,23
197,2019-05-19,31
198,2019-05-26,20
199,2019-06-02,23
200,2019-06-09,25
201,2019-06-16,26
202,2019-06-23,31
203,2019-06-30,18
204,2019-07-07,32
205,2019-07-14,32
206,2019-07-21,26
207,2019-07-28,33
208,2019-08-04,25
209,2019-08-11,28
210,2019-08-18,35
211,2019-08-25,30
212,2019-09-01,29
213,2019-09-08,26
214,2019-09-15,28
215,2019-09-22,34
216,2019-09-29,31
217,2019-10-06,29
218,2019-10-13,29
219,2019-10-20,26
220,2019-10-27,30
221,2019-11-03,24
222,2019-11-10,29
223,2019-11-17,6
224,2019-11-24,20
225,2019-12-01,24
226,2019-12-08,29
227,2019-12-15,30
228,2019-12-22,32
229,2019-12-29,37
230,2020-01-05,23
231,2020-01-12,26
232,2020-01-19,34
233,2020-01-26,30
234,2020-02-02,36
235,2020-02-09,36
236,2020-02-16,30
237,2020-02-23,30
238,2020-03-01,26
239,2020-03-08,34
240,2020-03-15,31
241,2020-03-22,33
242,2020-03-29,42
243,2020-04-05,45
244,2020-04-12,51
245,2020-04-19,49
246,2020-04-26,61
247,2020-05-03,75
248,2020-05-10,68
249,2020-05-17,63
250,2020-05-24,41
251,2020-05-31,40
252,2020-06-07,46
253,2020-06-14,55
254,2020-06-21,69
255,2020-06-28,75
256,2020-07-05,86
257,2020-07-12,100
258,2020-07-19,81
259,2020-07-26,64
260,2020-08-02,69
