Date,Close,Open,Low,High,Volume,Trades
2004-03-07,7000.0,7000.0,7000.0,7000.0,485000,482
2004-03-09,7350.0,7350.0,4175.0,7350.0,243372,227
2004-03-10,7717.0,7717.0,7717.0,7717.0,271628,68
2004-03-13,7359.0,7717.0,7332.0,7717.0,147735,144
2004-03-14,7219.0,7200.0,7200.0,7297.0,39824,55
2004-03-15,7115.0,7292.0,7080.0,7292.0,4486,9
2004-03-16,6878.0,7058.0,6760.0,7058.0,9433,12
2004-03-17,6611.0,6750.0,6550.0,6750.0,7215,10
2004-03-28,6429.0,6570.0,6281.0,6580.0,14878,16
2004-03-29,6144.0,6120.0,6108.0,6409.0,5610,7
2004-03-30,6146.0,6149.0,6144.0,6151.0,7840,10
2004-04-03,6271.0,6251.0,6184.0,6359.0,8416,13
2004-04-04,6391.0,6350.0,6350.0,6584.0,3660,7
2004-04-05,6581.0,6710.0,6581.0,6710.0,3831,10
2004-04-06,6601.0,6910.0,6601.0,6910.0,410,2
2004-04-07,6930.0,6930.0,6930.0,6931.0,9555,6
2004-04-10,7050.0,7050.0,7050.0,7051.0,7310,13
2004-04-12,7049.0,7050.0,7049.0,7050.0,853,5
2004-04-13,6972.0,7000.0,6933.0,7000.0,8510,7
2004-04-18,6667.0,6624.0,6624.0,6667.0,5610,11
2004-04-21,6613.0,6599.0,6599.0,6624.0,9610,13
2004-04-24,6561.0,6610.0,6283.0,6624.0,27482,22
2004-04-25,6560.0,6560.0,6560.0,6561.0,690,3
2004-04-26,6558.0,6557.0,6549.0,6560.0,35464,17
2004-04-27,6543.0,6543.0,6543.0,6543.0,10000,2
2004-05-01,6381.0,6440.0,6292.0,6441.0,25433,18
2004-05-02,6344.0,6063.0,6063.0,6344.0,751,2
2004-05-03,6340.0,6333.0,6333.0,6340.0,2010,2
2004-05-04,6339.0,6319.0,6319.0,6367.0,12671,11
2004-05-05,6304.0,6366.0,6263.0,6367.0,5010,6
2004-05-08,6285.0,6264.0,6264.0,6285.0,2960,5
2004-05-09,6272.0,6263.0,6263.0,6272.0,3760,10
2004-05-10,6267.0,6263.0,6260.0,6299.0,29566,19
2004-05-11,6274.0,6298.0,6274.0,6299.0,1492,4
2004-05-15,6273.0,6273.0,6273.0,6274.0,5310,6
2004-05-16,6274.0,6274.0,6274.0,6281.0,5610,9
2004-05-17,6281.0,6284.0,6281.0,6285.0,5010,11
2004-05-18,6281.0,6284.0,6281.0,6284.0,92,2
2004-05-19,6199.0,6023.0,6023.0,6284.0,6039,8
2004-05-22,6199.0,6199.0,6199.0,6200.0,1010,5
2004-05-23,6165.0,6165.0,6165.0,6165.0,7520,1
2004-05-25,6101.0,6126.0,6043.0,6126.0,6070,6
2004-05-26,6063.0,6000.0,6000.0,6063.0,3213,6
2004-05-29,6050.0,5993.0,5993.0,6050.0,1154,3
2004-05-30,6039.0,5801.0,5801.0,6352.0,32119,25
2004-05-31,6092.0,6340.0,6092.0,6340.0,1144,3
2004-06-01,6115.0,6396.0,6115.0,6396.0,510,2
2004-06-02,6420.0,6420.0,6420.0,6420.0,7520,1
2004-06-05,6424.0,6425.0,6424.0,6426.0,6381,6
2004-06-06,6741.0,6741.0,6741.0,6745.0,15941,12
2004-06-07,7066.0,7078.0,7049.0,7078.0,8684,6
2004-06-08,7289.0,7180.0,7180.0,7388.0,19633,18
2004-06-09,7333.0,7380.0,7270.0,7390.0,20731,32
2004-06-12,7160.0,7333.0,7100.0,7333.0,22768,17
2004-06-13,7149.0,7160.0,6974.0,7165.0,32672,14
2004-09-26,7456.0,7350.0,7200.0,7601.0,66620,31
2004-09-27,7448.0,7450.0,7439.0,7450.0,51931,20
2004-09-28,7399.0,7399.0,7301.0,7448.0,19642,15
2004-09-29,7412.0,7399.0,7399.0,7440.0,2831,8
2004-10-02,7408.0,7410.0,7400.0,7410.0,5096,6
2004-10-03,7374.0,7400.0,7301.0,7400.0,2707,4
2004-10-06,7338.0,7260.0,7260.0,7338.0,2010,3
2004-10-09,7326.0,7100.0,7100.0,7326.0,310,3
2004-10-19,7373.0,7200.0,7200.0,7550.0,51503,25
2004-10-20,7358.0,7373.0,7330.0,7689.0,147010,5
2004-10-23,7358.0,7400.0,7358.0,7400.0,20,2
2004-10-25,7273.0,7000.0,6991.0,7273.0,1510,3
2004-10-26,7250.0,6991.0,6991.0,7250.0,510,2
2004-10-27,7019.0,6888.0,6888.0,7019.0,4510,7
2004-10-30,6919.0,6700.0,6700.0,6919.0,2010,3
2004-11-01,6574.0,6574.0,6574.0,6574.0,9708,5
2004-11-03,6629.0,6689.0,6629.0,6699.0,2873,3
2004-11-06,6960.0,6960.0,6960.0,6960.0,10000,6
2004-11-08,6981.0,7239.0,6981.0,7239.0,510,3
2004-11-09,7000.0,7000.0,7000.0,7000.0,15000,4
2004-11-10,7261.0,7000.0,7000.0,7350.0,29254,14
2004-11-13,7397.0,7450.0,7350.0,7450.0,14368,7
2004-11-16,7766.0,7766.0,7766.0,7766.0,6400,3
2004-11-17,8109.0,8153.0,7990.0,8154.0,117266,37
2004-11-20,8269.0,8154.0,8153.0,8353.0,72969,23
