,Date,Trend
0,2015-08-23,24
1,2015-08-30,24
2,2015-09-06,0
3,2015-09-13,8
4,2015-09-20,0
5,2015-09-27,8
6,2015-10-04,8
7,2015-10-11,0
8,2015-10-18,15
9,2015-10-25,18
10,2015-11-01,12
11,2015-11-08,0
12,2015-11-15,0
13,2015-11-22,8
14,2015-11-29,0
15,2015-12-06,8
16,2015-12-13,8
17,2015-12-20,9
18,2015-12-27,9
19,2016-01-03,14
20,2016-01-10,8
21,2016-01-17,16
22,2016-01-24,13
23,2016-01-31,24
24,2016-02-07,12
25,2016-02-14,12
26,2016-02-21,8
27,2016-02-28,12
28,2016-03-06,0
29,2016-03-13,0
30,2016-03-20,8
31,2016-03-27,0
32,2016-04-03,12
33,2016-04-10,8
34,2016-04-17,0
35,2016-04-24,16
36,2016-05-01,0
37,2016-05-08,8
38,2016-05-15,8
39,2016-05-22,8
40,2016-05-29,11
41,2016-06-05,11
42,2016-06-12,24
43,2016-06-19,0
44,2016-06-26,0
45,2016-07-03,17
46,2016-07-10,0
47,2016-07-17,9
48,2016-07-24,9
49,2016-07-31,22
50,2016-08-07,13
51,2016-08-14,9
52,2016-08-21,14
53,2016-08-28,17
54,2016-09-04,0
55,2016-09-11,8
56,2016-09-18,0
57,2016-09-25,16
58,2016-10-02,12
59,2016-10-09,12
60,2016-10-16,8
61,2016-10-23,8
62,2016-10-30,14
63,2016-11-06,11
64,2016-11-13,0
65,2016-11-20,0
66,2016-11-27,8
67,2016-12-04,10
68,2016-12-11,8
69,2016-12-18,12
70,2016-12-25,8
71,2017-01-01,13
72,2017-01-08,0
73,2017-01-15,7
74,2017-01-22,15
75,2017-01-29,30
76,2017-02-05,7
77,2017-02-12,7
78,2017-02-19,11
79,2017-02-26,12
80,2017-03-05,10
81,2017-03-12,26
82,2017-03-19,7
83,2017-03-26,7
84,2017-04-02,12
85,2017-04-09,31
86,2017-04-16,7
87,2017-04-23,17
88,2017-04-30,15
89,2017-05-07,7
90,2017-05-14,12
91,2017-05-21,8
92,2017-05-28,0
93,2017-06-04,0
94,2017-06-11,0
95,2017-06-18,0
96,2017-06-25,8
97,2017-07-02,8
98,2017-07-09,20
99,2017-07-16,20
100,2017-07-23,13
101,2017-07-30,13
102,2017-08-06,8
103,2017-08-13,8
104,2017-08-20,8
105,2017-08-27,15
106,2017-09-03,23
107,2017-09-10,7
108,2017-09-17,15
109,2017-09-24,8
110,2017-10-01,7
111,2017-10-08,13
112,2017-10-15,7
113,2017-10-22,7
114,2017-10-29,12
115,2017-11-05,12
116,2017-11-12,11
117,2017-11-19,7
118,2017-11-26,11
