,Date,Trend
0,2015-08-09,79
1,2015-08-16,82
2,2015-08-23,84
3,2015-08-30,89
4,2015-09-06,79
5,2015-09-13,74
6,2015-09-20,74
7,2015-09-27,73
8,2015-10-04,71
9,2015-10-11,71
10,2015-10-18,55
11,2015-10-25,76
12,2015-11-01,80
13,2015-11-08,74
14,2015-11-15,69
15,2015-11-22,70
16,2015-11-29,67
17,2015-12-06,76
18,2015-12-13,84
19,2015-12-20,83
20,2015-12-27,91
21,2016-01-03,84
22,2016-01-10,72
23,2016-01-17,86
24,2016-01-24,76
25,2016-01-31,80
26,2016-02-07,79
27,2016-02-14,70
28,2016-02-21,73
29,2016-02-28,70
30,2016-03-06,77
31,2016-03-13,72
32,2016-03-20,66
33,2016-03-27,72
34,2016-04-03,79
35,2016-04-10,90
36,2016-04-17,82
37,2016-04-24,70
38,2016-05-01,70
39,2016-05-08,73
40,2016-05-15,72
41,2016-05-22,85
42,2016-05-29,70
43,2016-06-05,83
44,2016-06-12,71
45,2016-06-19,100
46,2016-06-26,82
47,2016-07-03,71
48,2016-07-10,74
49,2016-07-17,77
50,2016-07-24,84
51,2016-07-31,89
52,2016-08-07,83
53,2016-08-14,98
54,2016-08-21,85
55,2016-08-28,65
56,2016-09-04,65
57,2016-09-11,66
58,2016-09-18,60
59,2016-09-25,56
60,2016-10-02,61
61,2016-10-09,56
62,2016-10-16,66
63,2016-10-23,65
64,2016-10-30,56
65,2016-11-06,58
66,2016-11-13,53
67,2016-11-20,62
68,2016-11-27,49
69,2016-12-04,58
70,2016-12-11,64
71,2016-12-18,68
72,2016-12-25,65
73,2017-01-01,65
74,2017-01-08,58
75,2017-01-15,59
76,2017-01-22,55
77,2017-01-29,54
78,2017-02-05,52
79,2017-02-12,46
80,2017-02-19,54
81,2017-02-26,43
82,2017-03-05,46
83,2017-03-12,46
84,2017-03-19,43
85,2017-03-26,41
86,2017-04-02,43
87,2017-04-09,49
88,2017-04-16,43
89,2017-04-23,45
90,2017-04-30,42
91,2017-05-07,38
92,2017-05-14,36
93,2017-05-21,34
94,2017-05-28,40
95,2017-06-04,43
96,2017-06-11,40
97,2017-06-18,43
98,2017-06-25,42
99,2017-07-02,38
100,2017-07-09,37
101,2017-07-16,41
102,2017-07-23,40
103,2017-07-30,45
104,2017-08-06,42
105,2017-08-13,46
106,2017-08-20,32
107,2017-08-27,35
108,2017-09-03,32
109,2017-09-10,43
110,2017-09-17,40
111,2017-09-24,48
112,2017-10-01,54
113,2017-10-08,51
114,2017-10-15,48
115,2017-10-22,46
116,2017-10-29,61
117,2017-11-05,44
118,2017-11-12,47
119,2017-11-19,44
120,2017-11-26,62
121,2017-12-03,70
122,2017-12-10,84
123,2017-12-17,63
124,2017-12-24,60
125,2017-12-31,51
126,2018-01-07,57
127,2018-01-14,48
128,2018-01-21,50
129,2018-01-28,48
130,2018-02-04,41
131,2018-02-11,47
132,2018-02-18,40
133,2018-02-25,36
134,2018-03-04,35
135,2018-03-11,37
136,2018-03-18,36
137,2018-03-25,37
138,2018-04-01,40
139,2018-04-08,40
140,2018-04-15,40
141,2018-04-22,32
142,2018-04-29,39
143,2018-05-06,35
144,2018-05-13,35
145,2018-05-20,34
146,2018-05-27,30
147,2018-06-03,29
148,2018-06-10,43
149,2018-06-17,34
150,2018-06-24,32
151,2018-07-01,33
152,2018-07-08,33
153,2018-07-15,31
154,2018-07-22,40
155,2018-07-29,37
156,2018-08-05,37
157,2018-08-12,34
158,2018-08-19,38
159,2018-08-26,44
160,2018-09-02,40
161,2018-09-09,42
162,2018-09-16,31
163,2018-09-23,37
164,2018-09-30,34
165,2018-10-07,34
166,2018-10-14,45
167,2018-10-21,37
168,2018-10-28,35
169,2018-11-04,34
170,2018-11-11,40
171,2018-11-18,41
172,2018-11-25,35
173,2018-12-02,38
174,2018-12-09,40
175,2018-12-16,35
176,2018-12-23,41
177,2018-12-30,43
178,2019-01-06,35
179,2019-01-13,34
180,2019-01-20,34
181,2019-01-27,39
182,2019-02-03,29
183,2019-02-10,36
184,2019-02-17,36
185,2019-02-24,36
186,2019-03-03,34
187,2019-03-10,33
188,2019-03-17,30
189,2019-03-24,33
190,2019-03-31,31
191,2019-04-07,37
192,2019-04-14,35
193,2019-04-21,36
194,2019-04-28,40
195,2019-05-05,32
196,2019-05-12,33
197,2019-05-19,37
198,2019-05-26,35
199,2019-06-02,35
200,2019-06-09,37
201,2019-06-16,36
202,2019-06-23,32
203,2019-06-30,35
204,2019-07-07,33
205,2019-07-14,36
206,2019-07-21,39
207,2019-07-28,34
208,2019-08-04,36
209,2019-08-11,32
210,2019-08-18,33
211,2019-08-25,33
212,2019-09-01,38
213,2019-09-08,29
214,2019-09-15,36
215,2019-09-22,41
216,2019-09-29,36
217,2019-10-06,38
218,2019-10-13,42
219,2019-10-20,39
220,2019-10-27,36
221,2019-11-03,37
222,2019-11-10,31
223,2019-11-17,5
224,2019-11-24,38
225,2019-12-01,36
226,2019-12-08,34
227,2019-12-15,40
228,2019-12-22,41
229,2019-12-29,39
230,2020-01-05,35
231,2020-01-12,34
232,2020-01-19,45
233,2020-01-26,44
234,2020-02-02,42
235,2020-02-09,43
236,2020-02-16,50
237,2020-02-23,47
238,2020-03-01,56
239,2020-03-08,75
240,2020-03-15,48
241,2020-03-22,47
242,2020-03-29,47
243,2020-04-05,73
244,2020-04-12,62
245,2020-04-19,67
246,2020-04-26,66
247,2020-05-03,63
248,2020-05-10,89
249,2020-05-17,71
250,2020-05-24,60
251,2020-05-31,56
252,2020-06-07,63
253,2020-06-14,64
254,2020-06-21,68
255,2020-06-28,70
256,2020-07-05,74
257,2020-07-12,69
258,2020-07-19,75
259,2020-07-26,76
260,2020-08-02,71
