Date,Close,Open,Low,High,Volume,Trades
2005-08-17,1800.0,1800.0,1800.0,1800.0,4850000,3013
2005-08-20,1890.0,1890.0,1890.0,1890.0,2500000,1324
2005-08-21,1984.0,1984.0,1984.0,1984.0,500000,358
2005-08-22,2083.0,2083.0,2083.0,2083.0,500000,288
2005-08-23,2187.0,2187.0,2187.0,2187.0,279250,169
2005-08-24,2296.0,2296.0,2296.0,2296.0,201380,165
2005-08-27,2410.0,2410.0,2410.0,2410.0,264952,195
2005-08-28,2530.0,2530.0,2530.0,2530.0,279994,154
2005-08-29,2656.0,2656.0,2656.0,2656.0,46376,43
2005-08-30,2788.0,2788.0,2788.0,2788.0,703550,516
2005-08-31,2927.0,2927.0,2927.0,2927.0,69090,68
2005-09-03,3073.0,3073.0,3073.0,3073.0,85164,73
2005-09-04,3226.0,3226.0,3226.0,3226.0,225810,161
2005-09-05,3387.0,3387.0,3387.0,3387.0,202433,202
2005-09-06,3556.0,3556.0,3556.0,3556.0,4659787,2532
2005-09-25,3468.0,3733.0,1372.0,3733.0,2012333,796
2005-09-26,3641.0,3641.0,3641.0,3641.0,1341919,593
2005-09-27,3823.0,3823.0,3823.0,3823.0,320214,191
2005-09-28,4014.0,4014.0,4014.0,4014.0,130257,60
2005-10-01,4204.0,4214.0,4204.0,4214.0,38010,25
2005-10-02,4414.0,4414.0,4414.0,4414.0,45645,27
2005-10-03,4634.0,4634.0,4634.0,4634.0,328250,147
2005-10-04,4865.0,4865.0,4865.0,4865.0,308321,149
2005-10-05,5108.0,5108.0,5108.0,5108.0,1103366,366
2005-10-08,5296.0,5363.0,4950.0,5363.0,3645636,1333
2005-10-09,5065.0,5276.0,5034.0,5296.0,1122350,465
2005-10-10,4916.0,5000.0,4812.0,5030.0,603052,275
2005-11-26,6625.0,6995.0,6000.0,7999.0,2087418,858
2005-11-27,6833.0,6956.0,6493.0,6956.0,1928595,612
2005-11-29,6697.0,6697.0,6697.0,6697.0,67406,24
2005-11-30,6593.0,6564.0,6564.0,6697.0,2142384,518
2005-12-03,6565.0,6606.0,6462.0,6899.0,516548,228
2005-12-04,6237.0,6237.0,6237.0,6241.0,224126,84
2005-12-05,6056.0,5926.0,5926.0,6056.0,23285,10
2005-12-06,5754.0,5754.0,5754.0,5754.0,51128,17
2005-12-10,5467.0,5467.0,5467.0,5467.0,43600,14
2005-12-11,5235.0,5194.0,5194.0,5740.0,1362355,421
2005-12-12,5176.0,5251.0,5031.0,5266.0,160093,78
2005-12-13,4929.0,4965.0,4918.0,5148.0,313249,124
2005-12-14,5159.0,5106.0,4920.0,5175.0,328973,112
2005-12-17,5077.0,5362.0,4902.0,5362.0,344061,134
2005-12-18,4852.0,5000.0,4824.0,5096.0,294603,110
2005-12-19,4783.0,4950.0,4611.0,5000.0,603101,204
2005-12-20,4560.0,4700.0,4544.0,4700.0,355272,158
2005-12-21,4589.0,4533.0,4533.0,4678.0,151286,65
2005-12-24,4775.0,4658.0,4658.0,4818.0,214286,93
2005-12-25,4635.0,4802.0,4537.0,4888.0,504822,135
2005-12-26,4635.0,4635.0,4603.0,4767.0,366328,97
2005-12-27,4664.0,4648.0,4635.0,4700.0,49455,29
2005-12-28,4707.0,4673.0,4672.0,4750.0,140335,66
2005-12-31,4737.0,4749.0,4698.0,4800.0,117013,40
2006-01-01,4838.0,4737.0,4737.0,4900.0,199458,65
2006-01-02,4909.0,4762.0,4761.0,4950.0,245631,57
2006-01-03,4940.0,4889.0,4820.0,4950.0,238764,60
2006-01-04,4908.0,4860.0,4839.0,4940.0,104164,38
2006-01-07,4831.0,4709.0,4709.0,4831.0,15580,13
2006-01-08,4691.0,4608.0,4601.0,4829.0,77592,30
2006-01-09,4764.0,4691.0,4691.0,4795.0,55708,18
2006-01-10,4732.0,4618.0,4618.0,4734.0,29025,9
2006-01-14,4521.0,4610.0,4496.0,4610.0,93790,33
2006-01-15,4337.0,4468.0,4295.0,4468.0,72120,40
2006-01-16,4208.0,4302.0,4161.0,4302.0,71910,26
2006-01-17,4361.0,4303.0,4221.0,4394.0,78918,34
2006-01-18,4392.0,4411.0,4361.0,4411.0,46876,25
2006-01-21,4374.0,4337.0,4184.0,4374.0,4510,9
2006-01-22,4341.0,4195.0,4192.0,4341.0,8510,6
2006-01-23,4196.0,4125.0,4124.0,4196.0,26560,20
2006-01-24,4090.0,4120.0,4030.0,4124.0,48252,35
2006-01-25,4096.0,4110.0,4005.0,4140.0,16322,8
2006-01-28,4095.0,4096.0,4011.0,4096.0,201865,25
2006-01-29,4125.0,4095.0,4071.0,4266.0,57251,36
2006-01-30,4279.0,4100.0,4100.0,4331.0,2318972,135
2006-01-31,4114.0,4280.0,4066.0,4280.0,2240160,101
2006-02-01,4172.0,4100.0,4080.0,4235.0,80983,48
2006-02-04,4098.0,4200.0,4014.0,4200.0,47110,28
2006-02-05,3899.0,3895.0,3894.0,4040.0,387396,122
2006-02-06,3846.0,3894.0,3760.0,3894.0,95682,48
2006-02-07,3837.0,3803.0,3800.0,3859.0,40282,33
2006-02-12,3684.0,3750.0,3646.0,3751.0,81484,25
2006-02-13,3540.0,3511.0,3500.0,3855.0,91392,33
2006-02-14,3529.0,3470.0,3470.0,3529.0,6010,4
2006-02-15,3508.0,3459.0,3459.0,3599.0,142283,45
2006-02-18,3578.0,3578.0,3578.0,3578.0,40000,13
2006-02-19,3649.0,3649.0,3649.0,3649.0,42553,9
2006-02-20,3719.0,3721.0,3719.0,3721.0,39006,11
2006-02-21,3761.0,3793.0,3719.0,3793.0,88850,48
2006-02-22,3688.0,3686.0,3686.0,3691.0,48381,18
2006-02-25,3643.0,3650.0,3615.0,3750.0,80250,28
2006-02-26,3692.0,3715.0,3620.0,3715.0,64514,20
2006-02-27,3765.0,3765.0,3765.0,3765.0,60313,27
2006-02-28,3806.0,3840.0,3750.0,3840.0,271049,92
2006-03-01,3854.0,3810.0,3753.0,3882.0,116994,38
2006-03-04,3777.0,3844.0,3777.0,3844.0,50002,11
2006-03-05,3744.0,3702.0,3702.0,3749.0,21005,19
2006-03-06,3678.0,3670.0,3670.0,3678.0,35310,16
2006-03-07,3750.0,3740.0,3740.0,3751.0,68875,23
2006-03-08,3721.0,3710.0,3700.0,3721.0,26675,15
2006-03-18,3715.0,3647.0,3647.0,3715.0,2828,4
2006-03-25,3645.0,3641.0,3641.0,3740.0,234197,75
2006-03-26,3717.0,3717.0,3717.0,3717.0,50200,13
2006-03-27,3698.0,3740.0,3646.0,3740.0,28090,19
2006-03-28,3682.0,3625.0,3625.0,3682.0,8710,5
2006-04-04,3681.0,3609.0,3609.0,3681.0,310,2
2006-04-05,3639.0,3608.0,3608.0,3639.0,22510,4
2006-04-08,3572.0,3572.0,3567.0,3577.0,68948,24
2006-04-09,3556.0,3537.0,3522.0,3556.0,17510,12
2006-04-10,3618.0,3503.0,3503.0,3627.0,93640,43
2006-04-11,3577.0,3580.0,3546.0,3600.0,25086,22
2006-04-12,3624.0,3596.0,3590.0,3648.0,146632,48
2006-04-15,3663.0,3624.0,3624.0,3696.0,60920,19
2006-04-17,3735.0,3736.0,3699.0,3736.0,317595,85
2006-04-18,3668.0,3661.0,3661.0,3680.0,156510,19
2006-04-19,3741.0,3741.0,3741.0,3741.0,41700,16
2006-04-22,3775.0,3815.0,3775.0,3815.0,18510,9
2006-04-23,3850.0,3850.0,3850.0,3850.0,91981,32
2006-04-24,3927.0,3927.0,3927.0,3927.0,40476,17
2006-04-25,3973.0,4005.0,3973.0,4005.0,23782,13
2006-04-26,4052.0,4052.0,4052.0,4052.0,44031,18
2006-04-29,4133.0,4133.0,4133.0,4133.0,42122,18
2006-04-30,4214.0,4215.0,4197.0,4215.0,395020,170
2006-05-01,4298.0,4298.0,4298.0,4298.0,171992,49
2006-05-02,4383.0,4383.0,4383.0,4383.0,70000,26
2006-05-03,4470.0,4470.0,4470.0,4470.0,66137,29
2006-05-06,4514.0,4559.0,4514.0,4559.0,20010,6
2006-05-07,4604.0,4604.0,4604.0,4604.0,40000,16
2006-05-08,4691.0,4696.0,4604.0,4696.0,823817,233
