,Date,Trend
0,2015-08-09,14
1,2015-08-16,15
2,2015-08-23,13
3,2015-08-30,14
4,2015-09-06,13
5,2015-09-13,12
6,2015-09-20,12
7,2015-09-27,11
8,2015-10-04,12
9,2015-10-11,11
10,2015-10-18,12
11,2015-10-25,13
12,2015-11-01,14
13,2015-11-08,25
14,2015-11-15,12
15,2015-11-22,11
16,2015-11-29,10
17,2015-12-06,11
18,2015-12-13,12
19,2015-12-20,12
20,2015-12-27,12
21,2016-01-03,12
22,2016-01-10,13
23,2016-01-17,12
24,2016-01-24,15
25,2016-01-31,14
26,2016-02-07,14
27,2016-02-14,11
28,2016-02-21,10
29,2016-02-28,11
30,2016-03-06,10
31,2016-03-13,8
32,2016-03-20,7
33,2016-03-27,9
34,2016-04-03,13
35,2016-04-10,12
36,2016-04-17,13
37,2016-04-24,14
38,2016-05-01,12
39,2016-05-08,11
40,2016-05-15,12
41,2016-05-22,12
42,2016-05-29,11
43,2016-06-05,12
44,2016-06-12,13
45,2016-06-19,13
46,2016-06-26,13
47,2016-07-03,14
48,2016-07-10,13
49,2016-07-17,13
50,2016-07-24,13
51,2016-07-31,13
52,2016-08-07,13
53,2016-08-14,13
54,2016-08-21,15
55,2016-08-28,13
56,2016-09-04,14
57,2016-09-11,13
58,2016-09-18,13
59,2016-09-25,14
60,2016-10-02,13
61,2016-10-09,11
62,2016-10-16,14
63,2016-10-23,13
64,2016-10-30,13
65,2016-11-06,12
66,2016-11-13,13
67,2016-11-20,13
68,2016-11-27,13
69,2016-12-04,15
70,2016-12-11,15
71,2016-12-18,19
72,2016-12-25,16
73,2017-01-01,16
74,2017-01-08,14
75,2017-01-15,16
76,2017-01-22,16
77,2017-01-29,18
78,2017-02-05,16
79,2017-02-12,15
80,2017-02-19,14
81,2017-02-26,14
82,2017-03-05,14
83,2017-03-12,11
84,2017-03-19,8
85,2017-03-26,10
86,2017-04-02,15
87,2017-04-09,14
88,2017-04-16,13
89,2017-04-23,13
90,2017-04-30,15
91,2017-05-07,12
92,2017-05-14,11
93,2017-05-21,12
94,2017-05-28,12
95,2017-06-04,11
96,2017-06-11,13
97,2017-06-18,18
98,2017-06-25,12
99,2017-07-02,14
100,2017-07-09,13
101,2017-07-16,13
102,2017-07-23,13
103,2017-07-30,13
104,2017-08-06,14
105,2017-08-13,14
106,2017-08-20,15
107,2017-08-27,14
108,2017-09-03,13
109,2017-09-10,13
110,2017-09-17,13
111,2017-09-24,11
112,2017-10-01,13
113,2017-10-08,13
114,2017-10-15,13
115,2017-10-22,13
116,2017-10-29,12
117,2017-11-05,12
118,2017-11-12,13
119,2017-11-19,14
120,2017-11-26,14
121,2017-12-03,14
122,2017-12-10,15
123,2017-12-17,19
124,2017-12-24,17
125,2017-12-31,15
126,2018-01-07,15
127,2018-01-14,15
128,2018-01-21,16
129,2018-01-28,16
130,2018-02-04,18
131,2018-02-11,16
132,2018-02-18,15
133,2018-02-25,15
134,2018-03-04,14
135,2018-03-11,13
136,2018-03-18,9
137,2018-03-25,12
138,2018-04-01,14
139,2018-04-08,15
140,2018-04-15,16
141,2018-04-22,16
142,2018-04-29,16
143,2018-05-06,16
144,2018-05-13,16
145,2018-05-20,18
146,2018-05-27,16
147,2018-06-03,15
148,2018-06-10,25
149,2018-06-17,27
150,2018-06-24,17
151,2018-07-01,14
152,2018-07-08,14
153,2018-07-15,15
154,2018-07-22,19
155,2018-07-29,22
156,2018-08-05,19
157,2018-08-12,19
158,2018-08-19,29
159,2018-08-26,34
160,2018-09-02,38
161,2018-09-09,22
162,2018-09-16,16
163,2018-09-23,46
164,2018-09-30,31
165,2018-10-07,17
166,2018-10-14,18
167,2018-10-21,16
168,2018-10-28,13
169,2018-11-04,12
170,2018-11-11,14
171,2018-11-18,15
172,2018-11-25,15
173,2018-12-02,17
174,2018-12-09,17
175,2018-12-16,19
176,2018-12-23,19
177,2018-12-30,18
178,2019-01-06,22
179,2019-01-13,21
180,2019-01-20,14
181,2019-01-27,15
182,2019-02-03,19
183,2019-02-10,19
184,2019-02-17,31
185,2019-02-24,21
186,2019-03-03,17
187,2019-03-10,16
188,2019-03-17,12
189,2019-03-24,11
190,2019-03-31,12
191,2019-04-07,16
192,2019-04-14,21
193,2019-04-21,20
194,2019-04-28,25
195,2019-05-05,21
196,2019-05-12,19
197,2019-05-19,21
198,2019-05-26,20
199,2019-06-02,17
200,2019-06-09,22
201,2019-06-16,19
202,2019-06-23,16
203,2019-06-30,18
204,2019-07-07,17
205,2019-07-14,20
206,2019-07-21,20
207,2019-07-28,20
208,2019-08-04,20
209,2019-08-11,17
210,2019-08-18,17
211,2019-08-25,18
212,2019-09-01,16
213,2019-09-08,14
214,2019-09-15,15
215,2019-09-22,15
216,2019-09-29,16
217,2019-10-06,17
218,2019-10-13,15
219,2019-10-20,16
220,2019-10-27,15
221,2019-11-03,17
222,2019-11-10,18
223,2019-11-17,1
224,2019-11-24,13
225,2019-12-01,21
226,2019-12-08,24
227,2019-12-15,21
228,2019-12-22,23
229,2019-12-29,22
230,2020-01-05,21
231,2020-01-12,22
232,2020-01-19,25
233,2020-01-26,26
234,2020-02-02,31
235,2020-02-09,31
236,2020-02-16,27
237,2020-02-23,26
238,2020-03-01,17
239,2020-03-08,16
240,2020-03-15,11
241,2020-03-22,10
242,2020-03-29,11
243,2020-04-05,12
244,2020-04-12,13
245,2020-04-19,15
246,2020-04-26,25
247,2020-05-03,22
248,2020-05-10,48
249,2020-05-17,42
250,2020-05-24,100
251,2020-05-31,83
252,2020-06-07,55
253,2020-06-14,18
254,2020-06-21,15
255,2020-06-28,16
256,2020-07-05,23
257,2020-07-12,25
258,2020-07-19,18
259,2020-07-26,27
260,2020-08-02,53
