Date,Close,Open,Low,High,Volume,Trades
2001-03-28,2050.0,2083.0,2050.0,2083.0,34062,11
2001-03-31,2050.0,2050.0,2050.0,2050.0,786,2
2001-04-07,2095.0,2050.0,2050.0,2095.0,9917,3
2001-04-10,2097.0,2097.0,2097.0,2097.0,921,1
2001-04-11,2098.0,2098.0,2098.0,2098.0,4000,1
2001-04-15,2120.0,2120.0,2120.0,2120.0,228,1
2001-04-18,2135.0,2135.0,2135.0,2135.0,929,1
2001-04-21,2120.0,2131.0,2120.0,2131.0,1923,4
2001-04-22,2099.0,2099.0,2099.0,2099.0,343,3
2001-04-23,2099.0,2099.0,2099.0,2099.0,2115,4
2001-04-24,2134.0,2135.0,2099.0,2135.0,4837,8
2001-04-29,2134.0,2134.0,2134.0,2135.0,4262,5
2001-04-30,2133.0,2133.0,2133.0,2133.0,512,2
2001-05-01,2134.0,2133.0,2132.0,2134.0,7500,12
2001-05-02,2134.0,2134.0,2134.0,2134.0,1162,2
2001-05-05,2133.0,2134.0,2133.0,2134.0,8146,7
2001-05-07,2133.0,2133.0,2133.0,2133.0,1505,3
2001-05-09,2129.0,2130.0,2129.0,2130.0,698,3
2001-05-13,2200.0,2124.0,2110.0,2200.0,226422,79
2001-05-16,2300.0,2300.0,2300.0,2300.0,11971,3
2001-05-20,2318.0,2320.0,2318.0,2320.0,1503,2
2001-05-23,2333.0,2333.0,2333.0,2333.0,384,1
2001-05-26,2415.0,2335.0,2335.0,2415.0,6693,5
2001-05-27,2535.0,2535.0,2416.0,2535.0,5200,3
2001-05-28,2661.0,2661.0,2661.0,2661.0,27305,13
2001-05-29,2790.0,2793.0,2666.0,2793.0,44810,26
2001-05-30,2791.0,2790.0,2790.0,2900.0,13058,10
2001-06-02,2790.0,2791.0,2790.0,2791.0,10921,5
2001-06-03,2800.0,2790.0,2789.0,2800.0,4937,6
2001-06-06,2798.0,2797.0,2797.0,2798.0,1352,3
2001-06-11,2789.0,2795.0,2789.0,2795.0,675,3
2001-06-13,2780.0,2780.0,2780.0,2780.0,4848,3
2001-06-18,2650.0,2650.0,2650.0,2650.0,1102,1
2001-06-19,2649.0,2649.0,2649.0,2649.0,20,1
2001-06-20,2629.0,2630.0,2629.0,2630.0,750,2
2001-06-23,2550.0,2550.0,2550.0,2550.0,3000,3
2001-06-26,2500.0,2540.0,2500.0,2540.0,3568,3
2001-06-30,2450.0,2450.0,2450.0,2450.0,1550,2
2001-07-01,2444.0,2444.0,2444.0,2444.0,121,1
2001-07-03,2395.0,2395.0,2395.0,2395.0,3500,1
2001-07-04,2322.0,2375.0,2322.0,2376.0,25000,11
2001-07-07,2322.0,2322.0,2322.0,2322.0,6000,2
2001-07-08,2321.0,2321.0,2321.0,2321.0,1291,1
2001-07-09,2300.0,2280.0,2280.0,2318.0,28787,18
2001-07-10,2301.0,2301.0,2301.0,2301.0,130,1
2001-07-11,2350.0,2318.0,2318.0,2350.0,11649,5
2001-07-14,2410.0,2354.0,2354.0,2410.0,448,3
2001-07-15,2420.0,2420.0,2410.0,2420.0,42194,15
2001-07-16,2480.0,2480.0,2480.0,2480.0,359,1
2001-08-19,2000.0,2000.0,2000.0,2000.0,500,1
2001-08-21,2001.0,2000.0,2000.0,2001.0,5356,9
2001-08-22,2000.0,2000.0,2000.0,2000.0,3633,4
2001-08-28,2004.0,2005.0,2004.0,2005.0,1177,3
2001-08-29,2100.0,2100.0,2100.0,2100.0,2760,4
2001-09-02,2090.0,2086.0,2086.0,2090.0,10140,8
2001-09-04,2090.0,2090.0,2090.0,2090.0,236,1
