,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36079861139386368,36079861139386368,1297437083000,2011-02-11,18:41:23,430,216321421,mariam__m,Mariam M. 👨‍👩‍👧‍👧,,"ماااااظل بيييها
ياجماعة الخير!!!

#ملل
#بالبر
#بشار
#شكوو",[],[],[],0,0,0,"['#ملل', '#بالبر', '#بشار', '#شكوو']",[],https://twitter.com/Mariam__M/status/36079861139386368,False,,0,,,,,,,"[{'user_id': '216321421', 'username': 'Mariam__M'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,111134569025114112,111134569025114112,1315331520000,2011-09-06,22:22:00,430,233113361,close467,.,,خلص الشوط اشكر كل المتابعين #بالتلفاز #بالملعب #بالقهاوي #بالسفر #بالدوام #بالبر #بالبحر #بالجو وبكل بقاع الارض #جعله بريك الراحة والفوز,[],[],[],0,0,0,"['#بالتلفاز', '#بالملعب', '#بالقهاوي', '#بالسفر', '#بالدوام', '#بالبر', '#بالبحر', '#بالجو', '#جعله']",[],https://twitter.com/close467/status/111134569025114112,False,,0,,,,,,,"[{'user_id': '233113361', 'username': 'close467'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,127262302947913728,127262302947913728,1319176672000,2011-10-21,09:27:52,430,287777037,hadoy88,hadeel,,بالبر يلبسؤوون الجاكيت شفتووو يابنات #بالبر مو بالديرة فاتمنى لحد يلبس بوتات وجأكيت # ونشكر حسن تعاونكم,[],[],[],0,0,0,['#بالبر'],[],https://twitter.com/HaDoy88/status/127262302947913728,False,,0,,,,,,,"[{'user_id': '287777037', 'username': 'HaDoy88'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,137553986592055296,137553986592055296,1321630400000,2011-11-18,19:03:20,430,319872657,madridsta_1,sktooni,,"“@loooly92: 

بعد قليل ............ 

مباراه القادسيه والسالميه
 
بالتوفيج للملكي

”
#بالبر والرسيفر خوون(",['loooly92'],[],[],0,4,0,['#بالبر'],[],https://twitter.com/Madridsta_1/status/137553986592055296,False,,0,,,,,,,"[{'user_id': '319872657', 'username': 'Madridsta_1'}, {'user_id': '1247171330', 'username': 'Loooly92'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,138173034447110144,138173034447110144,1321777993000,2011-11-20,12:03:13,430,248774412,jm0on,jumanah,,والله يستأهلون الكادر إلي بالنفط لازم يزيدونهم بعد بدل سيرفس #تلفوناتهم كله مغلق #بالبر ماكو سيرفس,[],[],[],0,0,0,"['#تلفوناتهم', '#بالبر']",[],https://twitter.com/jm0on/status/138173034447110144,False,,0,,,,,,,"[{'user_id': '248774412', 'username': 'jm0on'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,142956422508974080,142956422508974080,1322918441000,2011-12-03,16:50:41,430,243102163,a_alfdlhi,﮼عبدالرحمن،,,"طريق چبد الحين ولا الدائري الاول وقت الدوامات 

#حتى #بالبر #زحمه",[],[],[],1,0,0,"['#حتى', '#بالبر', '#زحمه']",[],https://twitter.com/A_alfdlhi/status/142956422508974080,False,,0,,,,,,,"[{'user_id': '243102163', 'username': 'A_alfdlhi'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,143559527646765056,143559527646765056,1323062233000,2011-12-05,08:47:13,430,277853494,q8love004,law ⚖️,,اذا الجو بالديرة جذي #بالبر شلووووون,[],[],[],0,0,0,['#بالبر'],[],https://twitter.com/Q8love004/status/143559527646765056,False,,0,,,,,,,"[{'user_id': '277853494', 'username': 'Q8love004'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,144789714875056128,144778176546082816,1323355532000,2011-12-08,18:15:32,430,267933423,kakawkinder,ADEL,,@GucciaH #بالبر راح تصير,['gucciah'],[],[],0,0,0,['#بالبر'],[],https://twitter.com/kakawkinder/status/144789714875056128,False,,0,,,,,,,"[{'user_id': '267933423', 'username': 'kakawkinder'}, {'user_id': '153188154', 'username': 'GucciaH'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,147632861577625601,147632861577625601,1324033391000,2011-12-16,14:33:11,430,73718710,falqaisy,Faisal Al-Qaisy,,بقانون الطبيعه: كل الكائنات الحية تختبئ  من البرد او تهاجر لأماكن أكثر دفء ! إلا الكويتيين يخلون بيوتهم وينامون #بالبر !!,[],[],[],0,0,0,['#بالبر'],[],https://twitter.com/falqaisy/status/147632861577625601,False,,0,,,,,,,"[{'user_id': '73718710', 'username': 'falqaisy'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,147646521159061504,147646521159061504,1324036648000,2011-12-16,15:27:28,430,272866683,aishaaalajeel,Aisha A. Al Ajeel,,بقانون الطبيعه: كل الكائنات الحية تختبئ  من البرد او تهاجر لأماكن أكثر دفء ! إلا الكويتيين يخلون بيوتهم وينامون #بالبر !! :'(=D,[],[],[],0,0,0,['#بالبر'],[],https://twitter.com/aishaaalajeel/status/147646521159061504,False,,0,,,,,,,"[{'user_id': '272866683', 'username': 'aishaaalajeel'}]",,,,,0.9912850856781006
