Date,Close,Open,Low,High,Volume,Trades
2017-02-28,4851.0,4925.0,4850.0,4925.0,1249000,25
2017-03-06,4794.0,4794.0,4794.0,4794.0,1666665,17
2017-03-13,4608.0,4608.0,4608.0,4608.0,2000000,20
2017-03-15,4690.0,4690.0,4690.0,4690.0,3000000,30
2017-03-25,4707.0,4707.0,4707.0,4707.0,2000000,20
2017-03-26,4770.0,4770.0,4770.0,4770.0,3000000,30
2017-05-21,4272.0,4350.0,4350.0,4350.0,80000,1
2017-09-10,3813.0,3813.0,3813.0,3813.0,3316665,34
2017-09-11,3623.0,3623.0,3623.0,3623.0,1000,1
2017-09-13,3575.0,3397.0,3397.0,3397.0,1000,1
2017-09-16,3610.0,3622.0,3622.0,3622.0,416665,5
2017-09-19,3400.0,3623.0,3400.0,3623.0,833342,26
2017-09-20,3615.0,3615.0,3615.0,3615.0,1666000,29
2017-10-22,3777.0,3777.0,3777.0,3777.0,2900000,29
2017-10-23,3753.0,3753.0,3753.0,3753.0,4500000,45
2017-10-31,3753.0,3753.0,3753.0,3753.0,500000,5
2017-11-07,3583.0,3583.0,3583.0,3583.0,4928322,122
2017-11-13,3583.0,3583.0,3583.0,3583.0,780000,8
2017-12-03,3666.0,3755.0,3755.0,3755.0,500,1
2017-12-04,3668.0,3754.0,3754.0,3754.0,500,1
2017-12-27,3694.0,3694.0,3694.0,3694.0,1650000,17
2018-01-14,3947.0,3887.0,3887.0,3887.0,116665,7
2018-01-17,4555.0,4544.0,4544.0,4544.0,50000,1
2018-02-14,4152.0,4108.0,4108.0,4108.0,399000,4
2018-02-17,4153.0,3979.0,3979.0,3979.0,83332,1
2018-02-18,3969.0,4000.0,3892.0,4000.0,1608867,27
2018-02-19,4091.0,4020.0,4020.0,4020.0,980,1
2018-02-24,4080.0,4080.0,4080.0,4080.0,400000,4
2018-02-25,4010.0,4010.0,4010.0,4010.0,200000,2
2018-02-26,3928.0,4000.0,4000.0,4000.0,200997,4
2018-03-14,3038.0,3038.0,3038.0,3038.0,416665,7
2018-03-17,3070.0,3188.0,3188.0,3188.0,66165,1
2018-03-26,3056.0,3038.0,3038.0,3038.0,416665,5
2018-06-12,3246.0,3183.0,3183.0,3184.0,366321,7
2018-06-17,3750.0,3750.0,3750.0,3750.0,5099999,251
2018-06-20,3809.0,3920.0,3920.0,3920.0,73233,3
2018-06-23,3982.0,3920.0,3920.0,3920.0,11768,1
2018-07-10,5066.0,5106.0,4955.0,5106.0,430000,12
2018-07-11,5209.0,5209.0,5209.0,5209.0,20000,1
2018-08-29,4698.0,4698.0,4698.0,4698.0,750000,33
2018-09-01,4806.0,4806.0,4806.0,4806.0,250000,3
2018-09-02,4725.0,4725.0,4725.0,4725.0,1000000,10
2018-09-05,4822.0,4823.0,4823.0,4939.0,350002,9
2018-09-08,4830.0,4830.0,4830.0,4830.0,1000000,42
2018-09-09,4880.0,4880.0,4880.0,4880.0,1000000,43
2018-09-17,5320.0,5320.0,5310.0,5320.0,2800002,29
2018-09-18,5651.0,5331.0,5331.0,5712.0,4399200,53
2018-09-22,5901.0,5900.0,5900.0,5964.0,3550000,37
2018-10-01,7904.0,7904.0,7904.0,7904.0,3518802,36
2018-10-27,6443.0,6173.0,6173.0,6173.0,100000,1
2018-10-28,5871.0,5871.0,5871.0,5871.0,4099200,41
2018-10-29,5773.0,5773.0,5773.0,5773.0,3000000,30
2019-04-14,6759.0,6562.0,6562.0,6562.0,100000,1
2019-08-11,9619.0,9167.0,9167.0,9167.0,50003,2
2019-09-18,12760.0,12700.0,12700.0,12700.0,499998,5
2019-09-23,13850.0,13850.0,13850.0,13850.0,800000,8
2019-12-16,17818.0,17900.0,17900.0,17900.0,550000,18
2019-12-17,18800.0,18800.0,18800.0,18800.0,750000,34
2020-02-18,50476.0,52938.0,52938.0,52938.0,5000,1
2020-02-19,52951.0,55584.0,55584.0,55584.0,1074,1
2020-02-22,55629.0,58363.0,58362.0,58363.0,3074,2
2020-02-23,59393.0,61281.0,61281.0,61281.0,66671,1
2020-04-20,81044.0,81044.0,81044.0,81044.0,320000,4
2020-04-22,80000.0,80000.0,80000.0,80000.0,850000,9
2020-04-25,81111.0,80000.0,80000.0,80000.0,500000,5
2020-04-27,82981.0,80084.0,80084.0,80084.0,250000,5
2020-04-28,83093.0,79436.0,79436.0,79436.0,100000,1
2020-05-06,104964.0,100343.0,100343.0,100343.0,100000,1
2020-05-26,98959.0,98944.0,98944.0,109607.0,200000,6
2020-06-30,119140.0,131200.0,131200.0,131200.0,300,1
2020-07-05,133960.0,127270.0,127270.0,127270.0,500,1
2020-07-26,137620.0,130740.0,130740.0,130740.0,500,1
