Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-03-07,10,90290,1,9029.0,9029.0,9504.0,9029.0,9504.0
2016-04-10,101770,918270710,44,9023.0,9023.0,9023.0,9023.0,9497.0
2016-04-11,500,4286000,1,8572.0,8572.0,9019.0,8572.0,9023.0
2016-04-19,234,2005146,2,8569.0,8569.0,9017.0,8569.0,9019.0
2016-04-20,1000,8567000,1,8567.0,8567.0,9009.0,8567.0,9017.0
2016-04-23,117,1001403,1,8559.0,8559.0,9008.0,8559.0,9009.0
2016-04-30,930,7958940,2,8558.0,8558.0,9000.0,8558.0,9008.0
2016-09-10,117,1000350,1,8550.0,8550.0,8999.0,8550.0,9000.0
2016-10-29,200,1710000,1,8550.0,8550.0,8997.0,8550.0,8999.0
2016-11-01,1827,15617196,2,8548.0,8548.0,8982.0,8548.0,8997.0
2016-12-21,100,853300,1,8533.0,8533.0,8981.0,8533.0,8982.0
2016-12-27,1300,11091600,1,8532.0,8532.0,8971.0,8532.0,8981.0
2017-01-29,1733,14770359,3,8523.0,8523.0,8957.0,8523.0,8971.0
2017-02-01,250,2127500,3,8510.0,8510.0,8955.0,8510.0,8957.0
2017-02-05,56000,476448000,4,8508.0,8508.0,8508.0,8508.0,8955.0
2017-02-06,55950,452243850,8,8083.0,8083.0,8083.0,8083.0,8508.0
2017-02-07,113692,880836853,62,8210.0,7679.0,7748.0,7760.0,8083.0
2017-02-08,104228,844328865,66,8135.0,8000.0,8101.0,8135.0,7748.0
2017-02-11,16508,128750096,28,8100.0,7696.0,8020.0,7790.0,8101.0
2017-02-12,27424,208943796,20,7620.0,7619.0,7842.0,7619.0,8020.0
2017-02-13,30600,228064810,40,7500.0,7450.0,7649.0,7450.0,7842.0
2017-02-15,13752,100132654,12,7300.0,7268.0,7567.0,7282.0,7649.0
2017-02-18,34907,267243863,22,7945.0,7280.0,7614.0,7800.0,7567.0
2017-02-19,5845,42464256,6,7285.0,7244.0,7583.0,7244.0,7614.0
2017-02-20,200,1576000,1,7880.0,7880.0,7584.0,7880.0,7583.0
