,Date,Trend
0,2015-08-09,9
1,2015-08-16,17
2,2015-08-23,13
3,2015-08-30,19
4,2015-09-06,26
5,2015-09-13,11
6,2015-09-20,18
7,2015-09-27,16
8,2015-10-04,16
9,2015-10-11,7
10,2015-10-18,5
11,2015-10-25,19
12,2015-11-01,22
13,2015-11-08,8
14,2015-11-15,16
15,2015-11-22,9
16,2015-11-29,13
17,2015-12-06,16
18,2015-12-13,15
19,2015-12-20,15
20,2015-12-27,12
21,2016-01-03,10
22,2016-01-10,9
23,2016-01-17,15
24,2016-01-24,24
25,2016-01-31,21
26,2016-02-07,19
27,2016-02-14,20
28,2016-02-21,18
29,2016-02-28,15
30,2016-03-06,14
31,2016-03-13,11
32,2016-03-20,10
33,2016-03-27,17
34,2016-04-03,15
35,2016-04-10,17
36,2016-04-17,15
37,2016-04-24,30
38,2016-05-01,17
39,2016-05-08,21
40,2016-05-15,13
41,2016-05-22,11
42,2016-05-29,17
43,2016-06-05,28
44,2016-06-12,17
45,2016-06-19,13
46,2016-06-26,17
47,2016-07-03,18
48,2016-07-10,55
49,2016-07-17,14
50,2016-07-24,15
51,2016-07-31,28
52,2016-08-07,79
53,2016-08-14,32
54,2016-08-21,16
55,2016-08-28,9
56,2016-09-04,23
57,2016-09-11,16
58,2016-09-18,27
59,2016-09-25,15
60,2016-10-02,17
61,2016-10-09,6
62,2016-10-16,13
63,2016-10-23,21
64,2016-10-30,23
65,2016-11-06,13
66,2016-11-13,23
67,2016-11-20,17
68,2016-11-27,11
69,2016-12-04,13
70,2016-12-11,24
71,2016-12-18,19
72,2016-12-25,18
73,2017-01-01,20
74,2017-01-08,8
75,2017-01-15,12
76,2017-01-22,13
77,2017-01-29,19
78,2017-02-05,19
79,2017-02-12,36
80,2017-02-19,19
81,2017-02-26,27
82,2017-03-05,20
83,2017-03-12,10
84,2017-03-19,10
85,2017-03-26,10
86,2017-04-02,29
87,2017-04-09,45
88,2017-04-16,31
89,2017-04-23,27
90,2017-04-30,33
91,2017-05-07,24
92,2017-05-14,26
93,2017-05-21,26
94,2017-05-28,15
95,2017-06-04,18
96,2017-06-11,18
97,2017-06-18,34
98,2017-06-25,19
99,2017-07-02,57
100,2017-07-09,21
101,2017-07-16,37
102,2017-07-23,28
103,2017-07-30,25
104,2017-08-06,68
105,2017-08-13,36
106,2017-08-20,20
107,2017-08-27,23
108,2017-09-03,28
109,2017-09-10,46
110,2017-09-17,21
111,2017-09-24,26
112,2017-10-01,32
113,2017-10-08,22
114,2017-10-15,26
115,2017-10-22,19
116,2017-10-29,14
117,2017-11-05,12
118,2017-11-12,14
119,2017-11-19,24
120,2017-11-26,30
121,2017-12-03,14
122,2017-12-10,30
123,2017-12-17,35
124,2017-12-24,34
125,2017-12-31,28
126,2018-01-07,10
127,2018-01-14,20
128,2018-01-21,26
129,2018-01-28,34
130,2018-02-04,23
131,2018-02-11,18
132,2018-02-18,29
133,2018-02-25,21
134,2018-03-04,14
135,2018-03-11,19
136,2018-03-18,12
137,2018-03-25,19
138,2018-04-01,10
139,2018-04-08,26
140,2018-04-15,31
141,2018-04-22,28
142,2018-04-29,12
143,2018-05-06,25
144,2018-05-13,18
145,2018-05-20,18
146,2018-05-27,28
147,2018-06-03,22
148,2018-06-10,40
149,2018-06-17,29
150,2018-06-24,72
151,2018-07-01,38
152,2018-07-08,23
153,2018-07-15,30
154,2018-07-22,29
155,2018-07-29,100
156,2018-08-05,58
157,2018-08-12,25
158,2018-08-19,37
159,2018-08-26,24
160,2018-09-02,24
161,2018-09-09,45
162,2018-09-16,32
163,2018-09-23,34
164,2018-09-30,36
165,2018-10-07,28
166,2018-10-14,23
167,2018-10-21,31
168,2018-10-28,11
169,2018-11-04,22
170,2018-11-11,18
171,2018-11-18,14
172,2018-11-25,8
173,2018-12-02,21
174,2018-12-09,23
175,2018-12-16,13
176,2018-12-23,16
177,2018-12-30,19
178,2019-01-06,16
179,2019-01-13,19
180,2019-01-20,14
181,2019-01-27,23
182,2019-02-03,13
183,2019-02-10,28
184,2019-02-17,23
185,2019-02-24,28
186,2019-03-03,14
187,2019-03-10,14
188,2019-03-17,12
189,2019-03-24,22
190,2019-03-31,18
191,2019-04-07,42
192,2019-04-14,16
193,2019-04-21,29
194,2019-04-28,27
195,2019-05-05,21
196,2019-05-12,38
197,2019-05-19,19
198,2019-05-26,14
199,2019-06-02,13
200,2019-06-09,19
201,2019-06-16,24
202,2019-06-23,39
203,2019-06-30,46
204,2019-07-07,36
205,2019-07-14,29
206,2019-07-21,26
207,2019-07-28,23
208,2019-08-04,65
209,2019-08-11,29
210,2019-08-18,28
211,2019-08-25,28
212,2019-09-01,21
213,2019-09-08,20
214,2019-09-15,50
215,2019-09-22,27
216,2019-09-29,40
217,2019-10-06,27
218,2019-10-13,33
219,2019-10-20,33
220,2019-10-27,30
221,2019-11-03,15
222,2019-11-10,19
223,2019-11-17,4
224,2019-11-24,11
225,2019-12-01,21
226,2019-12-08,34
227,2019-12-15,21
228,2019-12-22,25
229,2019-12-29,20
230,2020-01-05,12
231,2020-01-12,28
232,2020-01-19,24
233,2020-01-26,21
234,2020-02-02,22
235,2020-02-09,21
236,2020-02-16,32
237,2020-02-23,22
238,2020-03-01,28
239,2020-03-08,24
240,2020-03-15,23
241,2020-03-22,22
242,2020-03-29,19
243,2020-04-05,29
244,2020-04-12,33
245,2020-04-19,28
246,2020-04-26,31
247,2020-05-03,37
248,2020-05-10,32
249,2020-05-17,31
250,2020-05-24,30
251,2020-05-31,34
252,2020-06-07,36
253,2020-06-14,43
254,2020-06-21,50
255,2020-06-28,46
256,2020-07-05,56
257,2020-07-12,74
258,2020-07-19,62
259,2020-07-26,65
260,2020-08-02,65
