,Date,Trend
0,2015-08-23,0
1,2015-08-30,0
2,2015-09-06,15
3,2015-09-13,0
4,2015-09-20,0
5,2015-09-27,15
6,2015-10-04,0
7,2015-10-11,0
8,2015-10-18,0
9,2015-10-25,0
10,2015-11-01,0
11,2015-11-08,0
12,2015-11-15,14
13,2015-11-22,14
14,2015-11-29,0
15,2015-12-06,0
16,2015-12-13,0
17,2015-12-20,0
18,2015-12-27,0
19,2016-01-03,0
20,2016-01-10,15
21,2016-01-17,15
22,2016-01-24,0
23,2016-01-31,15
24,2016-02-07,0
25,2016-02-14,15
26,2016-02-21,14
27,2016-02-28,0
28,2016-03-06,0
29,2016-03-13,0
30,2016-03-20,0
31,2016-03-27,0
32,2016-04-03,0
33,2016-04-10,0
34,2016-04-17,0
35,2016-04-24,0
36,2016-05-01,0
37,2016-05-08,0
38,2016-05-15,15
39,2016-05-22,0
40,2016-05-29,0
41,2016-06-05,0
42,2016-06-12,15
43,2016-06-19,0
44,2016-06-26,0
45,2016-07-03,0
46,2016-07-10,0
47,2016-07-17,0
48,2016-07-24,16
49,2016-07-31,0
50,2016-08-07,0
51,2016-08-14,0
52,2016-08-21,0
53,2016-08-28,0
54,2016-09-04,0
55,2016-09-11,0
56,2016-09-18,0
57,2016-09-25,0
58,2016-10-02,0
59,2016-10-09,0
60,2016-10-16,0
61,2016-10-23,0
62,2016-10-30,0
63,2016-11-06,0
64,2016-11-13,0
65,2016-11-20,0
66,2016-11-27,14
67,2016-12-04,14
68,2016-12-11,14
69,2016-12-18,0
70,2016-12-25,16
71,2017-01-01,0
72,2017-01-08,0
73,2017-01-15,0
74,2017-01-22,0
75,2017-01-29,0
76,2017-02-05,0
77,2017-02-12,0
78,2017-02-19,0
79,2017-02-26,0
80,2017-03-05,13
81,2017-03-12,0
82,2017-03-19,0
83,2017-03-26,0
84,2017-04-02,0
85,2017-04-09,0
86,2017-04-16,0
87,2017-04-23,14
88,2017-04-30,0
89,2017-05-07,0
90,2017-05-14,0
91,2017-05-21,15
92,2017-05-28,20
93,2017-06-04,24
94,2017-06-11,39
95,2017-06-18,19
96,2017-06-25,15
97,2017-07-02,30
98,2017-07-09,20
99,2017-07-16,20
100,2017-07-23,15
101,2017-07-30,14
102,2017-08-06,50
103,2017-08-13,14
104,2017-08-20,28
105,2017-08-27,29
106,2017-09-03,28
107,2017-09-10,14
108,2017-09-17,14
109,2017-09-24,14
110,2017-10-01,0
111,2017-10-08,28
112,2017-10-15,19
113,2017-10-22,14
114,2017-10-29,27
115,2017-11-05,13
116,2017-11-12,0
117,2017-11-19,0
118,2017-11-26,13
119,2017-12-03,14
120,2017-12-10,18
121,2017-12-17,14
122,2017-12-24,15
123,2017-12-31,14
124,2018-01-07,0
125,2018-01-14,13
126,2018-01-21,0
127,2018-01-28,0
128,2018-02-04,0
129,2018-02-11,20
130,2018-02-18,0
131,2018-02-25,13
132,2018-03-04,13
133,2018-03-11,13
134,2018-03-18,0
135,2018-03-25,0
136,2018-04-01,0
137,2018-04-08,0
138,2018-04-15,0
139,2018-04-22,13
140,2018-04-29,0
141,2018-05-06,13
142,2018-05-13,13
143,2018-05-20,0
144,2018-05-27,13
145,2018-06-03,13
146,2018-06-10,26
147,2018-06-17,0
148,2018-06-24,26
149,2018-07-01,0
150,2018-07-08,0
151,2018-07-15,0
152,2018-07-22,13
153,2018-07-29,0
154,2018-08-05,0
155,2018-08-12,13
156,2018-08-19,0
157,2018-08-26,13
158,2018-09-02,13
159,2018-09-09,13
160,2018-09-16,25
161,2018-09-23,19
162,2018-09-30,26
163,2018-10-07,0
164,2018-10-14,0
165,2018-10-21,0
166,2018-10-28,13
167,2018-11-04,0
168,2018-11-11,0
169,2018-11-18,13
170,2018-11-25,0
171,2018-12-02,0
172,2018-12-09,13
173,2018-12-16,0
174,2018-12-23,0
175,2018-12-30,0
176,2019-01-06,0
177,2019-01-13,25
178,2019-01-20,12
179,2019-01-27,25
180,2019-02-03,13
181,2019-02-10,12
182,2019-02-17,12
183,2019-02-24,12
184,2019-03-03,13
185,2019-03-10,38
186,2019-03-17,13
187,2019-03-24,13
188,2019-03-31,0
189,2019-04-07,13
190,2019-04-14,13
191,2019-04-21,17
192,2019-04-28,13
193,2019-05-05,25
194,2019-05-12,17
195,2019-05-19,12
196,2019-05-26,12
197,2019-06-02,19
198,2019-06-09,12
199,2019-06-16,13
200,2019-06-23,12
201,2019-06-30,13
202,2019-07-07,13
203,2019-07-14,19
204,2019-07-21,39
205,2019-07-28,32
206,2019-08-04,30
207,2019-08-11,19
208,2019-08-18,25
209,2019-08-25,37
210,2019-09-01,24
211,2019-09-08,12
212,2019-09-15,24
213,2019-09-22,18
214,2019-09-29,16
215,2019-10-06,18
216,2019-10-13,12
217,2019-10-20,12
218,2019-10-27,12
219,2019-11-03,12
220,2019-11-10,23
221,2019-11-17,12
222,2019-11-24,12
223,2019-12-01,18
