,Date,Trend
0,2015-08-23,10
1,2015-08-30,0
2,2015-09-06,0
3,2015-09-13,0
4,2015-09-20,0
5,2015-09-27,9
6,2015-10-04,9
7,2015-10-11,9
8,2015-10-18,0
9,2015-10-25,0
10,2015-11-01,9
11,2015-11-08,13
12,2015-11-15,13
13,2015-11-22,0
14,2015-11-29,18
15,2015-12-06,0
16,2015-12-13,9
17,2015-12-20,0
18,2015-12-27,20
19,2016-01-03,19
20,2016-01-10,9
21,2016-01-17,9
22,2016-01-24,9
23,2016-01-31,14
24,2016-02-07,19
25,2016-02-14,12
26,2016-02-21,14
27,2016-02-28,41
28,2016-03-06,9
29,2016-03-13,9
30,2016-03-20,0
31,2016-03-27,19
32,2016-04-03,9
33,2016-04-10,28
34,2016-04-17,0
35,2016-04-24,12
36,2016-05-01,10
37,2016-05-08,25
38,2016-05-15,25
39,2016-05-22,19
40,2016-05-29,26
41,2016-06-05,19
42,2016-06-12,24
43,2016-06-19,29
44,2016-06-26,24
45,2016-07-03,10
46,2016-07-10,10
47,2016-07-17,20
48,2016-07-24,10
49,2016-07-31,10
50,2016-08-07,21
51,2016-08-14,11
52,2016-08-21,20
53,2016-08-28,20
54,2016-09-04,16
55,2016-09-11,29
56,2016-09-18,16
57,2016-09-25,19
58,2016-10-02,19
59,2016-10-09,0
60,2016-10-16,19
61,2016-10-23,10
62,2016-10-30,16
63,2016-11-06,14
64,2016-11-13,24
65,2016-11-20,14
66,2016-11-27,0
67,2016-12-04,18
68,2016-12-11,9
69,2016-12-18,14
70,2016-12-25,30
71,2017-01-01,14
72,2017-01-08,0
73,2017-01-15,9
74,2017-01-22,17
75,2017-01-29,12
76,2017-02-05,17
77,2017-02-12,14
78,2017-02-19,26
79,2017-02-26,17
80,2017-03-05,21
81,2017-03-12,17
82,2017-03-19,9
83,2017-03-26,29
84,2017-04-02,17
85,2017-04-09,18
86,2017-04-16,18
87,2017-04-23,22
88,2017-04-30,15
89,2017-05-07,9
90,2017-05-14,9
91,2017-05-21,9
92,2017-05-28,9
93,2017-06-04,15
94,2017-06-11,14
95,2017-06-18,18
96,2017-06-25,10
97,2017-07-02,0
98,2017-07-09,9
99,2017-07-16,0
100,2017-07-23,9
101,2017-07-30,9
102,2017-08-06,9
103,2017-08-13,9
104,2017-08-20,0
105,2017-08-27,9
106,2017-09-03,9
107,2017-09-10,9
108,2017-09-17,9
109,2017-09-24,9
110,2017-10-01,9
111,2017-10-08,0
112,2017-10-15,0
113,2017-10-22,17
114,2017-10-29,9
115,2017-11-05,17
116,2017-11-12,17
117,2017-11-19,13
118,2017-11-26,13
119,2017-12-03,17
120,2017-12-10,9
121,2017-12-17,9
122,2017-12-24,10
123,2017-12-31,15
124,2018-01-07,11
125,2018-01-14,17
126,2018-01-21,20
127,2018-01-28,11
128,2018-02-04,12
129,2018-02-11,25
130,2018-02-18,12
131,2018-02-25,24
132,2018-03-04,32
133,2018-03-11,16
134,2018-03-18,16
135,2018-03-25,14
136,2018-04-01,22
137,2018-04-08,11
138,2018-04-15,19
139,2018-04-22,16
140,2018-04-29,17
