,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0,0,0,0,704565715890786305,704565715890786305,1456816531000,2016-03-01,10:45:31,430,2463165061,bourseiness,بورسینس,,#کسعدی شفاف سازی در خصوص فروش زمین شرکت  http://goo.gl/fb/tbGoSP  #اقتصاد,[],['http://goo.gl/fb/tbGoSP'],[],0,0,0,"['#کسعدی', '#اقتصاد']",[],https://twitter.com/bourseiness/status/704565715890786305,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.2988622188568115
1,1,1,1,1,1,713966911407546368,713966911407546368,1459057951000,2016-03-27,10:22:31,430,2463165061,bourseiness,بورسینس,,نمادهای #دسانکو #آکنتور #خزر #خکاوه #کسعدی #فجر #خشرق #خودرو #خساپا #شفارس #خزامیا…  http://goo.gl/fb/D1STo2  #اقتصاد,[],['http://goo.gl/fb/D1STo2'],[],0,0,0,"['#دسانکو', '#آکنتور', '#خزر', '#خکاوه', '#کسعدی', '#فجر', '#خشرق', '#خودرو', '#خساپا', '#شفارس', '#خزامیا', '#اقتصاد']",[],https://twitter.com/bourseiness/status/713966911407546368,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9918479919433594
2,2,2,2,2,2,714692461239672832,714692461239672832,1459230935000,2016-03-29,10:25:35,430,2463165061,bourseiness,بورسینس,,نمادهای #قشکر #دلر #دسینا #شیراز #کسعدی #ذوب #کرمان #هرمز #وکوثر صف فروش هستند  http://goo.gl/fb/OPu4lk  #اقتصاد,[],['http://goo.gl/fb/OPu4lk'],[],0,0,0,"['#قشکر', '#دلر', '#دسینا', '#شیراز', '#کسعدی', '#ذوب', '#کرمان', '#هرمز', '#وکوثر', '#اقتصاد']",[],https://twitter.com/bourseiness/status/714692461239672832,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.7355283498764038
3,3,3,3,3,3,717242735875457028,717242735875457028,1459838968000,2016-04-05,11:19:28,430,2463165061,bourseiness,بورسینس,,نمادهای #فخاس #وتوس #دفارا #کحافظ #شسینا #کسعدی #چکاوه صف فروش هستند  http://goo.gl/fb/09O66D  #اقتصاد,[],['http://goo.gl/fb/09O66D'],[],0,0,0,"['#فخاس', '#وتوس', '#دفارا', '#کحافظ', '#شسینا', '#کسعدی', '#چکاوه', '#اقتصاد']",[],https://twitter.com/bourseiness/status/717242735875457028,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.7355283498764038
4,4,4,4,4,4,717612486820831232,717612486820831232,1459927124000,2016-04-06,11:48:44,430,2463165061,bourseiness,بورسینس,,نمادهای #دفارا #فجر #کحافظ #کسعدی #ساروم #لخزر صف فروش تشکیل داده اند  http://goo.gl/fb/WR7P9f  #اقتصاد,[],['http://goo.gl/fb/WR7P9f'],[],0,0,0,"['#دفارا', '#فجر', '#کحافظ', '#کسعدی', '#ساروم', '#لخزر', '#اقتصاد']",[],https://twitter.com/bourseiness/status/717612486820831232,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.7708683609962463
5,5,5,5,5,5,719409298942648320,719409298942648320,1460355517000,2016-04-11,10:48:37,430,2463165061,bourseiness,بورسینس,,نمادهای #دلر #فخاس #فاما #پدرخش #کسعدی صف فروش تشکیل داده اند  http://goo.gl/fb/TqmrEh  #اقتصاد,[],['http://goo.gl/fb/TqmrEh'],[],0,0,0,"['#دلر', '#فخاس', '#فاما', '#پدرخش', '#کسعدی', '#اقتصاد']",[],https://twitter.com/bourseiness/status/719409298942648320,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.7708683609962463
6,6,6,6,6,6,727380644616089600,727380644616089600,1462256034000,2016-05-03,10:43:54,430,2463165061,bourseiness,بورسینس,,نمادهای #وبشهر #فراور #چفیبر #فلوله #دلر #کسعدی #سصفها صف فروش هستند  http://goo.gl/fb/nplhEP  #اقتصاد,[],['http://goo.gl/fb/nplhEP'],[],0,0,0,"['#وبشهر', '#فراور', '#چفیبر', '#فلوله', '#دلر', '#کسعدی', '#سصفها', '#اقتصاد']",[],https://twitter.com/bourseiness/status/727380644616089600,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.7355283498764038
7,7,7,7,7,7,732110962912841729,732110962912841729,1463383830000,2016-05-16,12:00:30,430,2463165061,bourseiness,بورسینس,,بازگشايي نمادهاي معاملاتي #ما،#ساروم،#سخوز،#كسعدي،#ددام  http://goo.gl/fb/3VtyRf  #اقتصاد,[],['http://goo.gl/fb/3VtyRf'],[],0,0,0,"['#ما', '#ساروم', '#سخوز', '#كسعدي', '#ددام', '#اقتصاد']",[],https://twitter.com/bourseiness/status/732110962912841729,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9752411842346193
8,8,8,8,8,8,734620142362099712,734620142362099712,1463982065000,2016-05-23,10:11:05,430,2463165061,bourseiness,بورسینس,,توقف نمادهاي معاملاتي #شاراك،#درازك،#كسعدي،#سفارس،#غشان،#ولصنم،#نبروج،#شاراكح  http://goo.gl/fb/0eUcgc  #اقتصاد,[],['http://goo.gl/fb/0eUcgc'],[],0,0,0,"['#شاراك', '#درازك', '#كسعدي', '#سفارس', '#غشان', '#ولصنم', '#نبروج', '#شاراكح', '#اقتصاد']",[],https://twitter.com/bourseiness/status/734620142362099712,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9984127283096312
9,9,9,9,9,9,736420706968305664,736420706968305664,1464411353000,2016-05-28,09:25:53,430,2463165061,bourseiness,بورسینس,,در مجمع #کسعدی سود تقسیمی هر سهم به مبلغ ۵۰۱ ریال تصویب شد #خبهمن بیش…  http://goo.gl/fb/mSu9qO  #اقتصاد,[],['http://goo.gl/fb/mSu9qO'],[],0,0,0,"['#کسعدی', '#خبهمن', '#اقتصاد']",[],https://twitter.com/bourseiness/status/736420706968305664,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9324047565460204
10,10,10,10,10,10,741889655965093888,741889655965093888,1465715252000,2016-06-12,11:37:32,430,2463165061,bourseiness,بورسینس,,بازگشايي نمادهاي معاملاتي #ختراك،#كسعدي،#كفرا،#رتكو،#كمنگنز،#دلرح اخبار و #شنیده ها…  http://goo.gl/fb/kjZgs2  #اقتصاد,[],['http://goo.gl/fb/kjZgs2'],[],0,0,1,"['#ختراك', '#كسعدي', '#كفرا', '#رتكو', '#كمنگنز', '#دلرح', '#شنیده', '#اقتصاد']",[],https://twitter.com/bourseiness/status/741889655965093888,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9964959025382996
11,11,11,11,11,11,1003181565986263040,1003181565986263040,1528012098000,2018-06-03,12:18:18,430,986116312920453120,abandidgah,دیدگاه آبان,,"معاملات نمادهای گروه کاشی و سرامیک نیز متعادل مثبت دنبال می شود و تنها نمادهای #کهرام و #کسعدی منفی می باشند و نماد #کلوند نیز در مثبت کامل معامله می شود. 
#بورس",[],[],[],0,0,0,"['#کهرام', '#کسعدی', '#کلوند', '#بورس']",[],https://twitter.com/abandidgah/status/1003181565986263040,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.897400975227356
12,12,12,12,12,12,1015453289398145024,1015453289398145024,1530937905000,2018-07-07,09:01:45,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های فروش
#کالا 4.7 میلیون سهم
#کشرق 1.5 میلیون سهم
#سمازن 709 هزار سهم
#کسعدی 325 هزار سهم 
#بورس",[],[],[],0,0,0,"['#کالا', '#کشرق', '#سمازن', '#کسعدی', '#بورس']",[],https://twitter.com/abandidgah/status/1015453289398145024,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.39668357372283936
13,13,13,13,13,13,1020888123608219648,1020888123608219648,1532233670000,2018-07-22,08:57:50,430,986116312920453120,abandidgah,دیدگاه آبان,,"#کسعدی
بررسی #اطلاعیه 97/04/30
*کارخانجات کاشي و سراميک سعدي*
3 ماهه منتهی به 97/03/31 (حسابرسی نشده)  مبلغ  (۳۹) ريال زیان به ازای هر سهم محقق نمود.
129درصد افزایش زیان  نسبت به مدت مشابه سال گذشته
#بورس",[],[],[],0,0,0,"['#کسعدی', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1020888123608219648,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9941455125808716
14,14,14,14,14,14,1058603009972654080,1058603009972654080,1541225600000,2018-11-03,09:43:20,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های فروش
#فاما 3.3 میلیون سهم
#کفپارس 1.4 میلیون سهم
#کسعدی 1 میلیون سهم
#سخزر 656 هزار سهم
#خریخت 575 هزار سهم
#بورس",[],[],[],0,0,0,"['#فاما', '#کفپارس', '#کسعدی', '#سخزر', '#خریخت', '#بورس']",[],https://twitter.com/abandidgah/status/1058603009972654080,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.4970457851886749
15,15,15,15,15,15,1059318136585936897,1059318136585936897,1541396099000,2018-11-05,09:04:59,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های فروش
#فاما 2.9 میلیون سهم
#تلیسهح 2 میلیون سهم
#سصوفی 1.9 میلیون سهم
#کسعدی 1.2 میلیون سهم
#سدشت 476 هزار سهم
#بورس",[],[],[],0,0,0,"['#فاما', '#تلیسهح', '#سصوفی', '#کسعدی', '#سدشت', '#بورس']",[],https://twitter.com/abandidgah/status/1059318136585936897,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.5779431462287903
16,16,16,16,16,16,1063682163017625600,1063682163017625600,1542436564000,2018-11-17,10:06:04,430,986116312920453120,abandidgah,دیدگاه آبان,,"نمادهای #غگلستا و #سدبیر به دلیل نوسان قیمت بیش از 20 درصد و نماد #شتوکا با توجه به افشای اطلاعات با اهمیت گروه الف متوقف شند. نمادهای #چفیبر، #کسعدی، #وتوصا با محدودیت نوسان قیمت و نمادهاي #شبندر و #حفارس با توجه به افشاي اطلاعات با اهميت گروه الف بازگشایی می شوند.
#بورس",[],[],[],0,0,0,"['#غگلستا', '#سدبیر', '#شتوکا', '#چفیبر', '#کسعدی', '#وتوصا', '#شبندر', '#حفارس', '#بورس']",[],https://twitter.com/abandidgah/status/1063682163017625600,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9161763787269592
17,17,17,17,17,17,1079659014697377793,1079659014697377793,1546245742000,2018-12-31,12:12:22,430,986116312920453120,abandidgah,دیدگاه آبان,,"در کاشی و سرامیکی ها نیز #کترام، #کلوند و #کسعدی به سقف مجاز قیمتی رسیده اند.
#بورس",[],[],[],0,0,0,"['#کترام', '#کلوند', '#کسعدی', '#بورس']",[],https://twitter.com/abandidgah/status/1079659014697377793,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9947980642318726
18,18,18,18,18,18,1086886563148050432,1086886563148050432,1547968924000,2019-01-20,10:52:04,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه کاشی و سرامیک دو نماد #کلوند و #کسعدی به سقف مجاز قیمت رسیده اند و #کپارس و #کترام نیز رشد بیش از دو درصدی دارند.
#بورس",[],[],[],0,0,0,"['#کلوند', '#کسعدی', '#کپارس', '#کترام', '#بورس']",[],https://twitter.com/abandidgah/status/1086886563148050432,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.10133932530879974
