,Date,Trend
0,2015-08-23,0
1,2015-08-30,0
2,2015-09-06,0
3,2015-09-13,0
4,2015-09-20,0
5,2015-09-27,33
6,2015-10-04,44
7,2015-10-11,0
8,2015-10-18,22
9,2015-10-25,22
10,2015-11-01,22
11,2015-11-08,0
12,2015-11-15,22
13,2015-11-22,44
14,2015-11-29,0
15,2015-12-06,22
16,2015-12-13,0
17,2015-12-20,24
18,2015-12-27,0
19,2016-01-03,23
20,2016-01-10,22
21,2016-01-17,34
22,2016-01-24,23
23,2016-01-31,23
24,2016-02-07,23
25,2016-02-14,22
26,2016-02-21,0
27,2016-02-28,0
28,2016-03-06,0
29,2016-03-13,23
30,2016-03-20,23
31,2016-03-27,0
32,2016-04-03,38
33,2016-04-10,23
34,2016-04-17,23
35,2016-04-24,34
36,2016-05-01,23
37,2016-05-08,46
38,2016-05-15,0
39,2016-05-22,62
40,2016-05-29,31
41,2016-06-05,0
42,2016-06-12,0
43,2016-06-19,47
44,2016-06-26,23
45,2016-07-03,25
46,2016-07-10,32
47,2016-07-17,0
48,2016-07-24,24
49,2016-07-31,0
50,2016-08-07,100
51,2016-08-14,26
52,2016-08-21,25
53,2016-08-28,0
54,2016-09-04,24
55,2016-09-11,24
56,2016-09-18,23
57,2016-09-25,23
58,2016-10-02,0
59,2016-10-09,23
60,2016-10-16,23
61,2016-10-23,23
62,2016-10-30,23
63,2016-11-06,22
64,2016-11-13,23
65,2016-11-20,22
66,2016-11-27,44
67,2016-12-04,21
68,2016-12-11,29
69,2016-12-18,23
70,2016-12-25,24
71,2017-01-01,22
72,2017-01-08,0
73,2017-01-15,22
74,2017-01-22,21
75,2017-01-29,32
76,2017-02-05,21
77,2017-02-12,0
78,2017-02-19,35
79,2017-02-26,21
80,2017-03-05,41
81,2017-03-12,0
82,2017-03-19,21
83,2017-03-26,21
84,2017-04-02,21
85,2017-04-09,22
86,2017-04-16,21
87,2017-04-23,0
88,2017-04-30,0
89,2017-05-07,0
90,2017-05-14,33
91,2017-05-21,23
92,2017-05-28,34
93,2017-06-04,0
94,2017-06-11,0
95,2017-06-18,44
96,2017-06-25,0
97,2017-07-02,0
98,2017-07-09,23
99,2017-07-16,23
100,2017-07-23,22
101,2017-07-30,29
102,2017-08-06,32
103,2017-08-13,22
104,2017-08-20,0
105,2017-08-27,22
106,2017-09-03,0
107,2017-09-10,21
108,2017-09-17,21
109,2017-09-24,36
110,2017-10-01,0
111,2017-10-08,42
112,2017-10-15,0
113,2017-10-22,21
114,2017-10-29,21
115,2017-11-05,31
116,2017-11-12,20
117,2017-11-19,20
118,2017-11-26,20
119,2017-12-03,0
120,2017-12-10,31
121,2017-12-17,22
122,2017-12-24,23
123,2017-12-31,22
124,2018-01-07,30
125,2018-01-14,20
126,2018-01-21,20
127,2018-01-28,20
128,2018-02-04,40
129,2018-02-11,60
130,2018-02-18,0
131,2018-02-25,0
132,2018-03-04,19
133,2018-03-11,0
134,2018-03-18,0
135,2018-03-25,0
136,2018-04-01,0
137,2018-04-08,0
138,2018-04-15,0
139,2018-04-22,30
140,2018-04-29,20
141,2018-05-06,0
142,2018-05-13,20
143,2018-05-20,20
144,2018-05-27,20
145,2018-06-03,20
146,2018-06-10,20
147,2018-06-17,40
148,2018-06-24,20
149,2018-07-01,20
150,2018-07-08,20
151,2018-07-15,41
152,2018-07-22,30
153,2018-07-29,30
154,2018-08-05,40
155,2018-08-12,20
156,2018-08-19,0
157,2018-08-26,20
158,2018-09-02,20
159,2018-09-09,19
160,2018-09-16,0
161,2018-09-23,0
162,2018-09-30,20
163,2018-10-07,0
164,2018-10-14,0
165,2018-10-21,59
166,2018-10-28,0
167,2018-11-04,19
168,2018-11-11,0
169,2018-11-18,19
170,2018-11-25,0
171,2018-12-02,39
172,2018-12-09,0
173,2018-12-16,0
174,2018-12-23,44
175,2018-12-30,21
176,2019-01-06,20
177,2019-01-13,39
178,2019-01-20,44
179,2019-01-27,19
180,2019-02-03,19
181,2019-02-10,19
182,2019-02-17,19
183,2019-02-24,28
184,2019-03-03,0
185,2019-03-10,19
186,2019-03-17,19
187,2019-03-24,19
188,2019-03-31,19
189,2019-04-07,38
190,2019-04-14,20
191,2019-04-21,20
192,2019-04-28,19
193,2019-05-05,29
194,2019-05-12,19
195,2019-05-19,48
196,2019-05-26,26
197,2019-06-02,19
198,2019-06-09,57
199,2019-06-16,52
200,2019-06-23,19
201,2019-06-30,39
202,2019-07-07,48
203,2019-07-14,19
204,2019-07-21,20
205,2019-07-28,40
206,2019-08-04,30
207,2019-08-11,19
208,2019-08-18,39
209,2019-08-25,38
210,2019-09-01,28
211,2019-09-08,18
212,2019-09-15,37
213,2019-09-22,24
214,2019-09-29,48
215,2019-10-06,55
216,2019-10-13,18
217,2019-10-20,24
218,2019-10-27,18
219,2019-11-03,18
220,2019-11-10,36
221,2019-11-17,18
222,2019-11-24,18
223,2019-12-01,48
