,Date,Trend
0,2015-08-09,15
1,2015-08-16,22
2,2015-08-23,32
3,2015-08-30,20
4,2015-09-06,15
5,2015-09-13,16
6,2015-09-20,21
7,2015-09-27,21
8,2015-10-04,21
9,2015-10-11,26
10,2015-10-18,20
11,2015-10-25,19
12,2015-11-01,18
13,2015-11-08,22
14,2015-11-15,17
15,2015-11-22,24
16,2015-11-29,24
17,2015-12-06,14
18,2015-12-13,14
19,2015-12-20,13
20,2015-12-27,16
21,2016-01-03,55
22,2016-01-10,25
23,2016-01-17,39
24,2016-01-24,27
25,2016-01-31,29
26,2016-02-07,13
27,2016-02-14,16
28,2016-02-21,18
29,2016-02-28,21
30,2016-03-06,19
31,2016-03-13,21
32,2016-03-20,8
33,2016-03-27,13
34,2016-04-03,25
35,2016-04-10,17
36,2016-04-17,13
37,2016-04-24,12
38,2016-05-01,12
39,2016-05-08,24
40,2016-05-15,16
41,2016-05-22,19
42,2016-05-29,29
43,2016-06-05,23
44,2016-06-12,31
45,2016-06-19,14
46,2016-06-26,29
47,2016-07-03,7
48,2016-07-10,20
49,2016-07-17,23
50,2016-07-24,11
51,2016-07-31,17
52,2016-08-07,33
53,2016-08-14,23
54,2016-08-21,23
55,2016-08-28,18
56,2016-09-04,25
57,2016-09-11,14
58,2016-09-18,19
59,2016-09-25,27
60,2016-10-02,23
61,2016-10-09,48
62,2016-10-16,23
63,2016-10-23,22
64,2016-10-30,16
65,2016-11-06,42
66,2016-11-13,31
67,2016-11-20,18
68,2016-11-27,18
69,2016-12-04,20
70,2016-12-11,29
71,2016-12-18,16
72,2016-12-25,26
73,2017-01-01,21
74,2017-01-08,18
75,2017-01-15,21
76,2017-01-22,16
77,2017-01-29,23
78,2017-02-05,21
79,2017-02-12,26
80,2017-02-19,27
81,2017-02-26,19
82,2017-03-05,19
83,2017-03-12,11
84,2017-03-19,21
85,2017-03-26,24
86,2017-04-02,20
87,2017-04-09,12
88,2017-04-16,14
89,2017-04-23,20
90,2017-04-30,14
91,2017-05-07,16
92,2017-05-14,14
93,2017-05-21,15
94,2017-05-28,9
95,2017-06-04,27
96,2017-06-11,21
97,2017-06-18,26
98,2017-06-25,23
99,2017-07-02,15
100,2017-07-09,17
101,2017-07-16,31
102,2017-07-23,17
103,2017-07-30,14
104,2017-08-06,19
105,2017-08-13,26
106,2017-08-20,15
107,2017-08-27,19
108,2017-09-03,13
109,2017-09-10,16
110,2017-09-17,17
111,2017-09-24,16
112,2017-10-01,16
113,2017-10-08,17
114,2017-10-15,20
115,2017-10-22,16
116,2017-10-29,10
117,2017-11-05,30
118,2017-11-12,25
119,2017-11-19,11
120,2017-11-26,19
121,2017-12-03,25
122,2017-12-10,20
123,2017-12-17,44
124,2017-12-24,23
125,2017-12-31,21
126,2018-01-07,22
127,2018-01-14,18
128,2018-01-21,19
129,2018-01-28,19
130,2018-02-04,20
131,2018-02-11,12
132,2018-02-18,16
133,2018-02-25,31
134,2018-03-04,13
135,2018-03-11,18
136,2018-03-18,15
137,2018-03-25,20
138,2018-04-01,13
139,2018-04-08,16
140,2018-04-15,20
141,2018-04-22,19
142,2018-04-29,17
143,2018-05-06,27
144,2018-05-13,15
145,2018-05-20,14
146,2018-05-27,19
147,2018-06-03,33
148,2018-06-10,41
149,2018-06-17,84
150,2018-06-24,70
151,2018-07-01,16
152,2018-07-08,19
153,2018-07-15,10
154,2018-07-22,24
155,2018-07-29,28
156,2018-08-05,10
157,2018-08-12,27
158,2018-08-19,17
159,2018-08-26,17
160,2018-09-02,14
161,2018-09-09,26
162,2018-09-16,18
163,2018-09-23,17
164,2018-09-30,23
165,2018-10-07,20
166,2018-10-14,20
167,2018-10-21,13
168,2018-10-28,16
169,2018-11-04,17
170,2018-11-11,16
171,2018-11-18,10
172,2018-11-25,14
173,2018-12-02,15
174,2018-12-09,14
175,2018-12-16,15
176,2018-12-23,26
177,2018-12-30,16
178,2019-01-06,32
179,2019-01-13,27
180,2019-01-20,44
181,2019-01-27,29
182,2019-02-03,25
183,2019-02-10,19
184,2019-02-17,21
185,2019-02-24,13
186,2019-03-03,15
187,2019-03-10,15
188,2019-03-17,17
189,2019-03-24,16
190,2019-03-31,17
191,2019-04-07,23
192,2019-04-14,13
193,2019-04-21,14
194,2019-04-28,21
195,2019-05-05,32
196,2019-05-12,34
197,2019-05-19,27
198,2019-05-26,28
