Date,Close,Open,Low,High,Volume,Trades
2005-03-15,2000.0,2000.0,2000.0,2000.0,970000,964
2005-03-16,2100.0,2100.0,2100.0,2100.0,3527725,1002
2005-03-28,2205.0,2205.0,2205.0,2205.0,1000500,544
2005-03-29,2315.0,2315.0,2315.0,2315.0,1000000,578
2005-03-30,2315.0,2430.0,2315.0,2430.0,500,2
2005-04-03,2430.0,2430.0,2430.0,2430.0,1025150,423
2005-04-05,2551.0,2551.0,2551.0,2551.0,9041300,2378
2005-04-06,2678.0,2678.0,2678.0,2678.0,1002100,486
2005-04-10,2811.0,2811.0,2811.0,2811.0,2500000,1141
2005-04-11,2813.0,2951.0,2813.0,2951.0,4910,5
2005-04-12,2953.0,2953.0,2953.0,2953.0,6002526,2418
2005-04-13,3100.0,3100.0,3100.0,3100.0,10017264,2807
2005-04-16,3255.0,3255.0,3255.0,3255.0,6123598,1567
2005-04-17,3417.0,3417.0,3417.0,3417.0,2295627,639
2005-04-18,3571.0,3587.0,3417.0,3587.0,14703119,3822
2005-04-19,3469.0,3500.0,3400.0,3570.0,4247233,1606
2005-04-20,3480.0,3402.0,3312.0,3641.0,3516567,1220
2005-04-23,3654.0,3654.0,3654.0,3654.0,1212962,458
2005-04-24,3640.0,3700.0,3569.0,3700.0,3558972,1417
2005-05-01,3521.0,3620.0,3460.0,3620.0,1384854,448
2005-05-02,3363.0,3452.0,3345.0,3452.0,1060155,378
2005-05-03,3432.0,3298.0,3295.0,3490.0,1302032,444
2005-05-04,3575.0,3490.0,3489.0,3598.0,1232190,428
2005-05-07,3485.0,3502.0,3450.0,3569.0,749914,230
2005-05-08,3453.0,3485.0,3413.0,3510.0,568323,217
2005-05-09,3441.0,3444.0,3401.0,3486.0,616837,203
2005-05-10,3516.0,3497.0,3497.0,3550.0,756780,282
2005-05-11,3591.0,3550.0,3550.0,3650.0,1651592,518
2005-05-14,3486.0,3591.0,3449.0,3591.0,573155,228
2005-05-15,3455.0,3500.0,3441.0,3520.0,491622,177
2005-05-16,3491.0,3450.0,3440.0,3518.0,745484,257
2005-05-17,3612.0,3505.0,3505.0,3650.0,2181086,639
2005-05-18,3745.0,3792.0,3680.0,3792.0,2156504,664
2005-05-21,3642.0,3673.0,3602.0,3690.0,693154,254
2005-05-22,3604.0,3607.0,3580.0,3638.0,640264,239
2005-05-23,3708.0,3650.0,3650.0,3735.0,594376,233
2005-05-24,3692.0,3725.0,3652.0,3733.0,740382,300
2005-05-25,3689.0,3668.0,3663.0,3734.0,879538,299
2005-05-28,3872.0,3873.0,3800.0,3873.0,2893770,845
2005-05-29,4011.0,4065.0,4011.0,4065.0,230873,122
2005-05-30,4183.0,4211.0,4183.0,4211.0,276522,158
2005-05-31,4246.0,4300.0,4050.0,4392.0,3267657,1192
2005-06-01,4439.0,4400.0,4257.0,4458.0,3336267,1101
2005-06-06,4642.0,4462.0,4440.0,4660.0,917869,382
2005-06-07,4874.0,4874.0,4874.0,4874.0,350005,148
2005-06-08,5105.0,5117.0,4877.0,5117.0,12458276,2694
2005-06-11,5003.0,5150.0,4850.0,5329.0,4143517,1228
2005-06-12,5097.0,5000.0,4859.0,5247.0,2263974,922
2005-06-13,5317.0,5100.0,5097.0,5351.0,2105449,717
2005-06-14,5551.0,5360.0,5350.0,5582.0,1896265,702
2005-06-15,5818.0,5828.0,5650.0,5828.0,1390939,611
2005-06-18,6105.0,6108.0,6011.0,6108.0,1445081,584
2005-06-19,5900.0,6108.0,5800.0,6150.0,2967871,1254
2005-06-20,6076.0,5621.0,5621.0,6199.0,3691268,1383
2005-06-21,6187.0,6379.0,6070.0,6379.0,2104343,1059
2005-06-22,6350.0,6190.0,6090.0,6490.0,2506785,1039
2005-06-25,6280.0,6033.0,6033.0,6280.0,69800,30
2005-06-26,5966.0,5966.0,5966.0,5966.0,4654034,1354
2005-06-27,5748.0,5965.0,5668.0,5970.0,1962234,696
2005-06-28,5461.0,5461.0,5461.0,5461.0,3037824,422
2005-06-29,5188.0,5188.0,5188.0,5188.0,1052651,147
2005-07-02,5142.0,4929.0,4929.0,5142.0,56296,21
2005-07-03,5140.0,4885.0,4885.0,5140.0,1266,3
2005-07-04,4883.0,4883.0,4883.0,4883.0,1003620,133
2005-07-05,4639.0,4639.0,4639.0,4639.0,1073518,156
2005-07-06,4408.0,4408.0,4408.0,4408.0,1002587,142
2005-07-09,4188.0,4188.0,4188.0,4188.0,1004116,152
2005-07-11,3979.0,3979.0,3979.0,3979.0,1001739,144
2005-07-12,3785.0,3781.0,3781.0,3979.0,8269163,1590
2005-07-13,3596.0,3596.0,3596.0,3596.0,1048179,192
2005-07-16,3419.0,3417.0,3417.0,3589.0,1377264,411
2005-07-17,3249.0,3249.0,3249.0,3249.0,1030239,162
2005-07-18,3087.0,3087.0,3087.0,3087.0,4136256,640
2005-08-21,3241.0,3241.0,3241.0,3241.0,400412,108
2005-08-22,3241.0,3403.0,3241.0,3403.0,1366,5
2005-08-23,3403.0,3403.0,3403.0,3403.0,436000,164
2005-08-24,3573.0,3573.0,3573.0,3573.0,453612,163
2005-08-27,3750.0,3751.0,3573.0,3751.0,1978965,703
2005-08-28,3856.0,3937.0,3700.0,3937.0,1301124,477
2005-08-29,3672.0,3741.0,3664.0,3800.0,567568,252
2005-08-30,3691.0,3600.0,3599.0,3745.0,292293,171
2005-08-31,3602.0,3690.0,3563.0,3691.0,357194,167
2005-09-03,3501.0,3510.0,3422.0,3510.0,191812,64
2005-09-04,3326.0,3326.0,3326.0,3326.0,762209,187
2005-09-05,3267.0,3259.0,3169.0,3379.0,20280758,179
2005-09-06,3161.0,3227.0,3104.0,3240.0,10454693,151
2005-09-07,3284.0,3175.0,3150.0,3319.0,748047,315
2005-09-10,3358.0,3290.0,3288.0,3448.0,6558573,130
2005-09-11,3369.0,3525.0,3270.0,3525.0,421010,169
2005-09-12,3245.0,3250.0,3201.0,3287.0,253397,103
2005-09-13,3213.0,3181.0,3170.0,3240.0,196544,89
2005-09-14,3191.0,3200.0,3169.0,3240.0,658965,165
2005-09-17,3315.0,3300.0,3260.0,3350.0,380587,133
2005-09-18,3180.0,3200.0,3150.0,3287.0,293700,127
2005-09-19,3165.0,3170.0,3122.0,3237.0,215237,107
2005-09-21,3094.0,3054.0,3012.0,3153.0,185676,103
2005-09-24,3112.0,3163.0,3050.0,3229.0,715113,236
2005-09-25,2999.0,2957.0,2957.0,2999.0,232367,49
2005-09-26,2980.0,2850.0,2850.0,2980.0,39230,17
2005-09-27,2979.0,2831.0,2831.0,2979.0,910,3
2005-09-28,2976.0,2831.0,2831.0,2976.0,6316,5
2005-10-01,2828.0,2828.0,2828.0,2831.0,1331733,292
2005-10-02,2837.0,2949.0,2764.0,2949.0,432036,139
2005-10-03,2775.0,2830.0,2696.0,2841.0,198259,95
2005-10-04,2750.0,2640.0,2637.0,2750.0,55774,20
2005-10-05,2716.0,2690.0,2637.0,2750.0,257681,93
2005-10-08,2814.0,2720.0,2720.0,2851.0,263920,105
