Date,Close,Open,Low,High,Volume,Trades
2019-01-23,2050.0,2050.0,2050.0,2050.0,505373562,360083
2019-01-26,2062.0,2152.0,2152.0,2152.0,242265,232
2019-01-27,2159.0,2165.0,2165.0,2165.0,1888345,918
2019-01-29,2266.0,2266.0,2266.0,2266.0,2404198,927
2019-01-30,2379.0,2379.0,2379.0,2379.0,6935364,3926
2019-02-02,2443.0,2497.0,2261.0,2497.0,140628139,86809
2019-02-03,2322.0,2321.0,2321.0,2350.0,66345970,41491
2019-02-04,2274.0,2273.0,2211.0,2349.0,113377785,69429
2019-02-05,2255.0,2255.0,2228.0,2301.0,40208386,22325
2019-02-06,2245.0,2250.0,2231.0,2288.0,31042916,13598
2019-02-10,2253.0,2242.0,2220.0,2289.0,35020203,17493
2019-02-12,2294.0,2275.0,2242.0,2349.0,50358618,22214
2019-02-13,2296.0,2294.0,2262.0,2329.0,47108163,29317
2019-02-16,2300.0,2295.0,2256.0,2330.0,36915874,19366
2019-02-17,2302.0,2311.0,2291.0,2322.0,24754828,6480
2019-02-18,2289.0,2292.0,2282.0,2299.0,20103569,5774
2019-02-19,2283.0,2290.0,2260.0,2293.0,17120344,5784
2019-02-20,2267.0,2284.0,2251.0,2284.0,20374489,5423
2019-02-23,2240.0,2260.0,2221.0,2265.0,22027148,6821
2019-02-24,2234.0,2220.0,2212.0,2261.0,16499846,5087
2019-02-25,2224.0,2224.0,2200.0,2245.0,11432002,4429
2019-02-26,2208.0,2200.0,2182.0,2229.0,11478140,3507
2019-02-27,2264.0,2208.0,2208.0,2291.0,15618436,3827
2019-03-02,2315.0,2265.0,2264.0,2330.0,22665469,5444
2019-03-03,2343.0,2320.0,2310.0,2361.0,25318437,5400
2019-03-04,2343.0,2373.0,2250.0,2400.0,14330434,4029
2019-03-05,2283.0,2300.0,2261.0,2320.0,7325877,2479
2019-03-06,2287.0,2273.0,2273.0,2319.0,4994591,1875
2019-03-09,2311.0,2291.0,2281.0,2367.0,7118298,2490
2019-03-10,2313.0,2301.0,2290.0,2330.0,21769517,3222
2019-03-11,2354.0,2301.0,2298.0,2411.0,37758724,6938
2019-03-18,2052.0,2060.0,2011.0,2060.0,5115497,1049
2019-03-19,2058.0,2081.0,2029.0,2084.0,12517902,2589
2019-03-25,2059.0,2073.0,2044.0,2086.0,6685836,1669
2019-03-26,2050.0,2059.0,2042.0,2075.0,6293720,1845
2019-03-27,2061.0,2069.0,2048.0,2082.0,4610586,1421
2019-03-30,2076.0,2084.0,2050.0,2110.0,8001133,1613
2019-03-31,2103.0,2106.0,2077.0,2140.0,7041796,1463
2019-04-06,2098.0,2119.0,2083.0,2120.0,7741313,1706
2019-04-07,2118.0,2090.0,2090.0,2140.0,11394411,1997
2019-04-08,2102.0,2130.0,2080.0,2130.0,15215589,1874
2019-04-09,2080.0,2088.0,2065.0,2117.0,7577680,1761
2019-04-10,2098.0,2099.0,2070.0,2119.0,6319478,1748
2019-04-13,2076.0,2082.0,2060.0,2100.0,7731192,1797
2019-04-14,2075.0,2065.0,2065.0,2095.0,6715822,1757
2019-04-15,2099.0,2080.0,2080.0,2120.0,8834769,2177
2019-04-16,2077.0,2095.0,2065.0,2095.0,7199175,1566
2019-04-17,2080.0,2076.0,2069.0,2090.0,11569170,1462
2019-04-20,2109.0,2090.0,2083.0,2128.0,7240219,1436
2019-04-22,2074.0,2101.0,2057.0,2111.0,8400165,1635
2019-04-23,2080.0,2064.0,2064.0,2095.0,4726038,1098
2019-04-24,2097.0,2080.0,2075.0,2110.0,6442228,1163
2019-04-27,2094.0,2109.0,2082.0,2109.0,5492638,1875
2019-04-28,2076.0,2085.0,2068.0,2094.0,8370857,2521
2019-04-29,2070.0,2067.0,2060.0,2090.0,10023544,4091
2019-04-30,2142.0,2081.0,2081.0,2173.0,13656562,2530
2019-05-01,2219.0,2167.0,2155.0,2245.0,10937893,2106
2019-05-04,2261.0,2250.0,2241.0,2286.0,11200962,1684
2019-05-05,2249.0,2252.0,2180.0,2308.0,9817703,1582
2019-05-06,2161.0,2195.0,2137.0,2225.0,10715234,1441
