Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2019-01-23,505373562,1036015802100,360083,2050.0,2050.0,2050.0,2050.0,1000.0
2019-01-26,242265,521354280,232,2152.0,2152.0,2062.0,2152.0,2050.0
2019-01-27,1888345,4088266925,918,2165.0,2165.0,2159.0,2165.0,2062.0
2019-01-28,0,0,0,0.0,0.0,2159.0,2165.0,2159.0
2019-01-29,2404198,5447912668,927,2266.0,2266.0,2266.0,2266.0,2159.0
2019-01-30,6935364,16499230956,3926,2379.0,2379.0,2379.0,2379.0,2266.0
2019-02-02,140628139,343496256018,86809,2497.0,2261.0,2443.0,2284.0,2379.0
2019-02-03,66345970,154055999752,41491,2350.0,2321.0,2322.0,2321.0,2443.0
2019-02-04,113377785,257824904259,69429,2349.0,2211.0,2274.0,2254.0,2322.0
2019-02-05,40208386,90681135535,22325,2301.0,2228.0,2255.0,2253.0,2274.0
2019-02-06,31042916,69692375545,13598,2288.0,2231.0,2245.0,2241.0,2255.0
2019-02-10,35020203,78914994252,17493,2289.0,2220.0,2253.0,2252.0,2245.0
2019-02-12,50358618,115529533113,22214,2349.0,2242.0,2294.0,2284.0,2253.0
2019-02-13,47108163,108142702633,29317,2329.0,2262.0,2296.0,2296.0,2294.0
2019-02-16,36915874,84901372715,19366,2330.0,2256.0,2300.0,2315.0,2296.0
2019-02-17,24754828,56986568111,6480,2322.0,2291.0,2302.0,2294.0,2300.0
2019-02-18,20103569,46025997112,5774,2299.0,2282.0,2289.0,2290.0,2302.0
2019-02-19,17120344,39082664220,5784,2293.0,2260.0,2283.0,2264.0,2289.0
2019-02-20,20374489,46184827534,5423,2284.0,2251.0,2267.0,2269.0,2283.0
2019-02-23,22027148,49345133086,6821,2265.0,2221.0,2240.0,2225.0,2267.0
2019-02-24,16499846,36858010127,5087,2261.0,2212.0,2234.0,2247.0,2240.0
2019-02-25,11432002,25421184161,4429,2245.0,2200.0,2224.0,2207.0,2234.0
2019-02-26,11478140,25348485545,3507,2229.0,2182.0,2208.0,2199.0,2224.0
2019-02-27,15618436,35367528456,3827,2291.0,2208.0,2264.0,2249.0,2208.0
2019-03-02,22665469,52473993512,5444,2330.0,2264.0,2315.0,2322.0,2264.0
2019-03-03,25318437,59328488660,5400,2361.0,2310.0,2343.0,2351.0,2315.0
2019-03-04,14330434,33569113739,4029,2400.0,2250.0,2343.0,2319.0,2343.0
2019-03-05,7325877,16722816462,2479,2320.0,2261.0,2283.0,2300.0,2343.0
2019-03-06,4994591,11420170246,1875,2319.0,2273.0,2287.0,2281.0,2283.0
2019-03-09,7118298,16449145902,2490,2367.0,2281.0,2311.0,2307.0,2287.0
2019-03-10,21769517,50344600288,3222,2330.0,2290.0,2313.0,2300.0,2311.0
2019-03-11,37758724,88892398683,6938,2411.0,2298.0,2354.0,2402.0,2313.0
2019-03-18,5115497,10495558126,1049,2060.0,2011.0,2052.0,2051.0,1934.0
2019-03-19,12517902,25756270245,2589,2084.0,2029.0,2058.0,2084.0,2052.0
2019-03-25,6685836,13766722490,1669,2086.0,2044.0,2059.0,2049.0,2058.0
2019-03-26,6293720,12899439616,1845,2075.0,2042.0,2050.0,2075.0,2059.0
2019-03-27,4610586,9502113981,1421,2082.0,2048.0,2061.0,2078.0,2050.0
2019-03-30,8001133,16609909571,1613,2110.0,2050.0,2076.0,2108.0,2061.0
2019-03-31,7041796,14810359029,1463,2140.0,2077.0,2103.0,2117.0,2076.0
2019-04-06,7741313,16243860630,1706,2120.0,2083.0,2098.0,2103.0,2103.0
2019-04-07,11394411,24138396748,1997,2140.0,2090.0,2118.0,2110.0,2098.0
2019-04-08,15215589,31988181237,1874,2130.0,2080.0,2102.0,2109.0,2118.0
2019-04-09,7577680,15760546162,1761,2117.0,2065.0,2080.0,2085.0,2102.0
2019-04-10,6319478,13260812660,1748,2119.0,2070.0,2098.0,2092.0,2080.0
2019-04-13,7731192,16053440348,1797,2100.0,2060.0,2076.0,2070.0,2098.0
2019-04-14,6715822,13934073745,1757,2095.0,2065.0,2075.0,2069.0,2076.0
2019-04-15,8834769,18540194842,2177,2120.0,2080.0,2099.0,2082.0,2075.0
2019-04-16,7199175,14953990019,1566,2095.0,2065.0,2077.0,2085.0,2099.0
2019-04-17,11569170,24068307463,1462,2090.0,2069.0,2080.0,2090.0,2077.0
2019-04-20,7240219,15268246901,1436,2128.0,2083.0,2109.0,2111.0,2080.0
2019-04-22,8400165,17426140789,1635,2111.0,2057.0,2074.0,2069.0,2109.0
2019-04-23,4726038,9828694861,1098,2095.0,2064.0,2080.0,2085.0,2074.0
2019-04-24,6442228,13508646022,1163,2110.0,2075.0,2097.0,2100.0,2080.0
2019-04-27,5492638,11502927332,1875,2109.0,2082.0,2094.0,2090.0,2097.0
2019-04-28,8370857,17378325689,2521,2094.0,2068.0,2076.0,2070.0,2094.0
2019-04-29,10023544,20745367418,4091,2090.0,2060.0,2070.0,2081.0,2076.0
2019-04-30,13656562,29246566183,2530,2173.0,2081.0,2142.0,2138.0,2070.0
