,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988681481911525376,988681481911525376,1524555008000,2018-04-24,12:00:08,430,986116312920453120,abandidgah,دیدگاه آبان,,"رکورد جدید بزرگ‌ترین‌ تامین مالی #بورس با۲۰ درصدسود/ اوراق۳۹۰ میلیاردی #سایپا
بورس پرس - شرکت تامین سرمایه #لوتوس پارسیان از بزرگ‌ترین‌ تامین مالی بازارسرمایه با پذیره نویسی اوراق ۸۰۰ میلیارد تومانی برای شرکت مخابرات و پذیره نویسی اوراق ۳۹۰ میلیاردی سایپا خبر داد.
#اخبار #اقتصادی",[],[],[],0,0,0,"['#بورس', '#سایپا', '#لوتوس', '#اخبار', '#اقتصادی']",[],https://twitter.com/abandidgah/status/988681481911525376,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1062880531690381312,1062880531690381312,1542245440000,2018-11-15,05:00:40,430,974356729856053248,farandwidecom,Far & Wide,,How many of these have you ever been to?,[],[],[],10,11,66,[],[],https://twitter.com/FarandWidecom/status/1062880531690381312,False,,0,,,,,,,"[{'user_id': '974356729856053248', 'username': 'FarandWidecom'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1062880531690381312,1062880531690381312,1542245440000,2018-11-15,05:00:40,430,974356729856053248,farandwidecom,Far & Wide,,How many of these have you ever been to?,[],[],[],10,11,66,[],[],https://twitter.com/FarandWidecom/status/1062880531690381312,False,,0,,,,,,,"[{'user_id': '974356729856053248', 'username': 'FarandWidecom'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1067503008752185345,1067503008752185345,1543347525000,2018-11-27,23:08:45,430,974356729856053248,farandwidecom,Far & Wide,,How many of these have you ever been to?,[],[],[],24,37,180,[],[],https://twitter.com/FarandWidecom/status/1067503008752185345,False,,0,,,,,,,"[{'user_id': '974356729856053248', 'username': 'FarandWidecom'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1087360156902412293,1087360156902412293,1548081838000,2019-01-21,18:13:58,430,277044855,saeedsarshar,سعید سرشار,,"آخ جون، چهارشنبه بازهم عرضه اولیه داریم ^_^
به به...
#لوتوس #بورس",[],[],[],0,0,2,"['#لوتوس', '#بورس']",[],https://twitter.com/SaeedSarshar/status/1087360156902412293,False,,0,,,,,,,"[{'user_id': '277044855', 'username': 'SaeedSarshar'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1087937630086549509,1087937630086549509,1548219518000,2019-01-23,08:28:38,430,3150346382,khabarizad,m.khabarizad,,"#عرضه_اولیه #بورس #سهام #لوتوس

امروز عرضه اولیه تامین سرمایه لوتوس در بازار بورس است. به نظر نقدینگی در حدود 300 هزر تومان نیاز باشد. بازدهی مناسبی نصیب خریداران خواهد شد. برای آشنایی با شرکت میتوانید روی لینک زیر کلیک نمایید:

  https://www.armoonbourse.com/default.aspx?tabid=4819&ArticleId=30906 …",[],['https://www.armoonbourse.com/default.aspx?tabid=4819&ArticleId=30906'],[],0,0,3,"['#عرضه_اولیه', '#بورس', '#سهام', '#لوتوس']",[],https://twitter.com/khabarizad/status/1087937630086549509,False,,0,,,,,,,"[{'user_id': '3150346382', 'username': 'khabarizad'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1089035638412783616,1089035638412783616,1548481304000,2019-01-26,09:11:44,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های خرید
#لوتوس 413 میلیون سهم
#زدشت 53.8میلیون سهم
#ستران 18.2میلیون سهم
#حآسا 16میلیون سهم
#غگرجی 12 میلیون سهم
#بورس",[],[],[],0,0,0,"['#لوتوس', '#زدشت', '#ستران', '#حآسا', '#غگرجی', '#بورس']",[],https://twitter.com/abandidgah/status/1089035638412783616,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1089396776807747584,1089396776807747584,1548567406000,2019-01-27,09:06:46,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های خرید
#وتجارت 374.5 میلیون سهم
#لوتوس 355 میلیون سهم
#وبصادر 131.9 میلیون سهم
#ممسنی 31.9 میلیون سهم
#زدشت 28.7 میلیون سهم
#بورس",[],[],[],0,0,0,"['#وتجارت', '#لوتوس', '#وبصادر', '#ممسنی', '#زدشت', '#بورس']",[],https://twitter.com/abandidgah/status/1089396776807747584,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1089761197652496385,1089761197652496385,1548654290000,2019-01-28,09:14:50,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های خرید
#لوتوس 393 میلیون سهم
#وپست 47 میلیون سهم
#پترول 13.1 میلیون سهم
#فرابورس 7.8 میلیون سهم
#چکاوه 6.1 میلیون سهم
#بورس",[],[],[],0,0,0,"['#لوتوس', '#وپست', '#پترول', '#فرابورس', '#چکاوه', '#بورس']",[],https://twitter.com/abandidgah/status/1089761197652496385,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1090123354168647680,1090123354168647680,1548740635000,2019-01-29,09:13:55,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های خرید
#لوتوس 261.4 ميليون سهم
#کماسه 22.2 ميليون سهم
#وسکاب 20.7 ميليون سهم
#فرابورس 8 ميليون سهم
#چکاوه 3.9 ميليون سهم
#بورس",[],[],[],0,0,0,"['#لوتوس', '#کماسه', '#وسکاب', '#فرابورس', '#چکاوه', '#بورس']",[],https://twitter.com/abandidgah/status/1090123354168647680,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1090483816320225280,1090483816320225280,1548826576000,2019-01-30,09:06:16,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های خرید
#لوتوس 153 میلیون سهم
#ستران 59.1 میلیون سهم
#اتکای 55.2 میلیون سهم
#های وب 29.2 میلیون سهم
#کماسه 10.8 میلیون سهم
#بورس",[],[],[],0,0,0,"['#لوتوس', '#ستران', '#اتکای', '#های', '#کماسه', '#بورس']",[],https://twitter.com/abandidgah/status/1090483816320225280,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
