Date,Close,Open,Low,High,Volume,Trades
2004-08-23,2600.0,2500.0,2500.0,2700.0,1000000,752
2004-08-29,2730.0,2730.0,2730.0,2730.0,401500,184
2004-09-01,2749.0,2866.0,2749.0,2866.0,4530,7
2004-09-11,2886.0,2886.0,2886.0,2886.0,408500,127
2004-09-12,3030.0,3030.0,3030.0,3030.0,420400,248
2004-09-14,3030.0,3181.0,3030.0,3181.0,610,3
2004-09-15,3037.0,3181.0,3037.0,3181.0,1510,3
2004-09-18,3188.0,3188.0,3188.0,3188.0,401600,242
2004-09-19,3231.0,3347.0,3231.0,3347.0,8730,10
2004-09-20,3290.0,3392.0,3290.0,3392.0,11858,17
2004-09-21,3454.0,3454.0,3454.0,3454.0,210622,125
2004-09-22,3454.0,3626.0,3454.0,3626.0,510,2
2004-09-25,3626.0,3626.0,3626.0,3626.0,56787,44
2004-09-26,3709.0,3807.0,3709.0,3807.0,14710,22
2004-09-27,3724.0,3894.0,3724.0,3894.0,2690,8
2004-09-28,3771.0,3910.0,3771.0,3910.0,8269,14
2004-09-29,3959.0,3959.0,3959.0,3959.0,43208,59
2004-10-02,4144.0,4156.0,3894.0,4156.0,1037134,620
2004-10-03,4351.0,4351.0,4351.0,4351.0,187405,151
2004-10-04,4568.0,4568.0,4568.0,4568.0,332123,244
2004-10-05,4796.0,4796.0,4796.0,4796.0,87768,81
2004-10-06,4988.0,5035.0,4800.0,5035.0,397648,188
2004-10-09,4764.0,4850.0,4739.0,4850.0,63744,64
2004-10-10,4658.0,4735.0,4599.0,4798.0,206023,147
2004-10-11,4787.0,4656.0,4610.0,4890.0,28040,31
2004-10-12,4966.0,5026.0,4966.0,5026.0,23980,23
2004-10-13,5148.0,5214.0,5148.0,5214.0,23610,35
2004-10-16,5384.0,5405.0,5160.0,5405.0,950798,240
2004-10-17,5523.0,5653.0,5523.0,5653.0,16614,16
2004-10-18,5789.0,5799.0,5655.0,5799.0,288352,165
2004-10-19,5858.0,5790.0,5698.0,6000.0,171199,83
2004-10-20,5679.0,5571.0,5566.0,6070.0,150075,108
2004-10-23,5962.0,5962.0,5962.0,5962.0,116609,49
2004-10-24,6259.0,6260.0,5964.0,6260.0,988450,279
2004-10-25,6568.0,6571.0,6560.0,6571.0,214150,113
2004-10-26,6860.0,6600.0,6600.0,6896.0,110257,60
2004-10-27,7203.0,7203.0,7203.0,7203.0,46632,40
2004-10-30,7503.0,7553.0,7207.0,7563.0,286538,169
2004-11-13,6911.0,7300.0,6559.0,7500.0,81143,41
2004-11-15,7230.0,7098.0,6900.0,7256.0,141458,75
2004-11-16,7376.0,7591.0,7376.0,7591.0,13011,22
2004-11-17,7741.0,7744.0,7741.0,7744.0,31807,38
2004-11-20,8128.0,8128.0,8128.0,8128.0,43522,50
2004-11-21,8514.0,8534.0,8200.0,8534.0,660011,359
2004-11-22,8613.0,8534.0,8196.0,8920.0,236957,167
2004-11-23,8185.0,8183.0,8183.0,8288.0,339184,200
2004-11-24,8474.0,8010.0,8010.0,8594.0,272631,146
2004-11-27,8892.0,8897.0,8812.0,8897.0,141221,96
2004-11-28,9336.0,9336.0,9336.0,9336.0,78562,63
2004-11-29,9275.0,9749.0,8870.0,9749.0,223095,148
2004-11-30,8891.0,8900.0,8812.0,8999.0,154734,114
2004-12-01,8454.0,8447.0,8447.0,8799.0,84339,68
2004-12-04,8110.0,8305.0,8032.0,8400.0,119718,84
2004-12-05,7926.0,7705.0,7705.0,8150.0,359131,232
2004-12-06,8253.0,8150.0,8150.0,8322.0,102288,97
2004-12-07,8665.0,8665.0,8665.0,8665.0,89785,90
2004-12-11,8974.0,9098.0,8665.0,9098.0,169334,147
2004-12-12,8539.0,8986.0,8526.0,8986.0,118320,71
2004-12-13,8635.0,8500.0,8224.0,8800.0,133298,121
2004-12-14,8415.0,8531.0,8300.0,8531.0,47441,52
2004-12-15,8142.0,8346.0,7995.0,8500.0,145286,117
2004-12-18,8532.0,8549.0,8500.0,8549.0,55621,45
2004-12-19,8897.0,8958.0,8301.0,8958.0,277970,146
2004-12-20,8922.0,9000.0,8758.0,9000.0,99829,100
2004-12-21,8878.0,8872.0,8800.0,8950.0,109211,93
2004-12-22,8645.0,8600.0,8441.0,8800.0,150441,118
2004-12-25,8420.0,8557.0,8250.0,8559.0,211435,145
2004-12-26,8517.0,8399.0,8012.0,8800.0,311264,222
2005-01-17,3645.0,3899.0,3500.0,3900.0,90150,52
2005-01-18,3624.0,3680.0,3527.0,3700.0,134127,71
2005-01-19,3728.0,3630.0,3630.0,3805.0,49109,47
2005-01-22,3914.0,3914.0,3914.0,3914.0,94003,35
2005-01-23,4109.0,4109.0,4109.0,4109.0,33097,18
2005-01-24,4226.0,4314.0,4226.0,4314.0,18352,29
2005-01-25,4437.0,4437.0,4437.0,4437.0,110199,72
2005-01-26,4322.0,4620.0,4216.0,4620.0,617925,265
2005-01-30,4176.0,4239.0,4106.0,4239.0,82584,52
2005-01-31,4004.0,4000.0,3968.0,4100.0,81065,68
2005-02-01,3975.0,3914.0,3914.0,4000.0,49971,45
2005-02-02,3937.0,3958.0,3915.0,3989.0,60902,59
2005-02-05,3965.0,3921.0,3804.0,4000.0,36245,33
2005-02-06,3826.0,3942.0,3767.0,3950.0,30182,23
2005-02-07,3635.0,3635.0,3635.0,3635.0,43378,20
2005-02-08,3454.0,3454.0,3454.0,3454.0,36171,17
2005-02-09,3461.0,3473.0,3291.0,3626.0,142306,73
2005-02-12,3634.0,3634.0,3634.0,3634.0,35360,15
2005-02-13,3784.0,3815.0,3622.0,3815.0,122148,58
2005-02-14,3632.0,3620.0,3595.0,3632.0,25871,22
2005-02-15,3614.0,3600.0,3451.0,3614.0,6046,10
2005-02-16,3572.0,3434.0,3434.0,3572.0,7468,9
2005-02-21,3394.0,3394.0,3394.0,3394.0,60035,38
2005-02-22,3225.0,3225.0,3225.0,3230.0,53226,26
2005-02-23,3142.0,3190.0,3064.0,3225.0,189698,54
2005-02-26,3296.0,3298.0,3296.0,3299.0,31772,17
2005-02-27,3406.0,3460.0,3406.0,3460.0,21601,19
2005-02-28,3570.0,3576.0,3460.0,3576.0,223094,118
2005-03-01,3436.0,3575.0,3392.0,3575.0,72850,55
2005-03-02,3451.0,3563.0,3420.0,3563.0,41808,36
2005-03-05,3451.0,3451.0,3451.0,3451.0,1438,1
2005-03-06,3344.0,3310.0,3301.0,3660.0,36605,19
2005-03-07,3273.0,3400.0,3179.0,3400.0,59261,33
2005-03-08,3229.0,3115.0,3115.0,3292.0,43236,33
2005-03-09,3271.0,3229.0,3217.0,3390.0,83997,52
2005-03-12,3372.0,3303.0,3300.0,3434.0,32610,25
2005-03-13,3532.0,3538.0,3380.0,3540.0,36909,35
2005-03-14,3646.0,3540.0,3539.0,3700.0,72176,45
2005-03-15,3752.0,3743.0,3698.0,3801.0,93685,51
2005-03-16,3615.0,3710.0,3565.0,3776.0,88870,54
2005-03-26,3667.0,3650.0,3650.0,3782.0,22717,19
2005-03-27,3733.0,3794.0,3733.0,3794.0,18000,13
2005-03-28,3754.0,3788.0,3660.0,3800.0,27568,21
2005-03-29,3744.0,3726.0,3726.0,3758.0,89852,29
2005-03-30,3800.0,3785.0,3785.0,3830.0,114420,64
2005-04-03,3966.0,3800.0,3800.0,3990.0,91633,58
2005-04-04,4065.0,4016.0,4015.0,4101.0,63962,43
2005-04-05,4163.0,4120.0,4120.0,4250.0,93391,63
2005-04-06,3982.0,4099.0,3955.0,4120.0,81762,61
2005-04-10,3974.0,3982.0,3900.0,4027.0,99469,46
2005-04-11,3888.0,3947.0,3850.0,3972.0,146528,74
2005-04-12,4053.0,3923.0,3851.0,4082.0,164751,72
2005-04-13,4255.0,4255.0,4255.0,4255.0,123181,50
2005-04-16,4464.0,4449.0,4439.0,4467.0,216547,91
2005-04-17,4600.0,4687.0,4458.0,4687.0,289929,129
2005-04-18,4374.0,4370.0,4370.0,4455.0,74996,37
2005-04-19,4225.0,4301.0,4156.0,4301.0,174200,75
2005-04-20,4196.0,4300.0,4167.0,4300.0,84171,46
2005-04-23,4184.0,4200.0,4150.0,4208.0,78242,44
2005-04-24,4184.0,4200.0,4150.0,4205.0,54707,37
2005-04-25,4129.0,4200.0,4001.0,4200.0,71990,40
2005-04-27,4126.0,4129.0,4091.0,4200.0,49619,33
2005-04-30,4044.0,4120.0,3965.0,4120.0,50256,29
2005-05-01,3916.0,3995.0,3886.0,3995.0,81979,55
2005-05-02,3892.0,3916.0,3810.0,3944.0,43596,27
2005-05-03,3863.0,3861.0,3800.0,4080.0,97688,52
2005-05-04,4042.0,3998.0,3865.0,4056.0,87010,53
2005-05-07,4152.0,4194.0,4016.0,4239.0,64581,41
2005-05-08,4055.0,4199.0,4000.0,4199.0,62047,27
2005-05-09,4031.0,4040.0,3998.0,4070.0,82700,44
2005-05-10,4220.0,4099.0,4099.0,4232.0,161336,89
2005-05-11,4289.0,4197.0,4197.0,4350.0,107632,80
2005-05-14,4202.0,4299.0,4151.0,4348.0,73760,51
2005-05-15,4189.0,4190.0,4169.0,4214.0,138250,64
2005-05-16,4368.0,4250.0,4250.0,4398.0,213965,102
2005-05-17,4489.0,4586.0,4489.0,4586.0,44496,42
2005-05-18,4586.0,4713.0,4586.0,4713.0,34944,33
2005-05-21,4815.0,4815.0,4815.0,4815.0,344849,141
2005-05-22,4621.0,4817.0,4575.0,4925.0,430491,243
2005-05-23,4828.0,4778.0,4623.0,4852.0,81128,54
2005-05-24,5016.0,5069.0,4900.0,5069.0,289311,132
2005-05-25,4927.0,4865.0,4865.0,4970.0,106541,93
2005-05-28,5148.0,5173.0,5021.0,5173.0,1158953,399
2005-05-29,5075.0,4920.0,4915.0,5160.0,271178,160
2005-05-30,5260.0,5101.0,5101.0,5328.0,287524,133
2005-05-31,5437.0,5500.0,5190.0,5523.0,458326,259
2005-06-01,5705.0,5451.0,5451.0,5708.0,340525,153
2005-06-06,5966.0,5900.0,5710.0,5990.0,172010,117
2005-06-07,6264.0,6264.0,6264.0,6264.0,421521,195
2005-06-08,6535.0,6500.0,6325.0,6577.0,444797,257
2005-06-11,6385.0,6840.0,6209.0,6840.0,572059,283
2005-06-12,6203.0,6383.0,6120.0,6500.0,698786,385
2005-06-13,6393.0,6299.0,6152.0,6513.0,608104,344
2005-06-14,6687.0,6666.0,6598.0,6712.0,760676,327
2005-06-15,6934.0,7021.0,6810.0,7021.0,569544,339
2005-06-18,6637.0,6821.0,6588.0,6896.0,577051,305
2005-06-19,6310.0,6309.0,6306.0,6350.0,331441,140
2005-06-20,6202.0,5995.0,5995.0,6500.0,1429354,756
2005-07-26,1975.0,1891.0,1890.0,2299.0,133247,49
