,Date,Trend
0,2015-08-23,0
1,2015-08-30,3
2,2015-09-06,0
3,2015-09-13,0
4,2015-09-20,3
5,2015-09-27,3
6,2015-10-04,0
7,2015-10-11,0
8,2015-10-18,3
9,2015-10-25,0
10,2015-11-01,3
11,2015-11-08,0
12,2015-11-15,0
13,2015-11-22,0
14,2015-11-29,0
15,2015-12-06,0
16,2015-12-13,0
17,2015-12-20,0
18,2015-12-27,3
19,2016-01-03,3
20,2016-01-10,3
21,2016-01-17,3
22,2016-01-24,0
23,2016-01-31,4
24,2016-02-07,3
25,2016-02-14,3
26,2016-02-21,7
27,2016-02-28,3
28,2016-03-06,3
29,2016-03-13,4
30,2016-03-20,0
31,2016-03-27,3
32,2016-04-03,3
33,2016-04-10,0
34,2016-04-17,5
35,2016-04-24,5
36,2016-05-01,3
37,2016-05-08,0
38,2016-05-15,3
39,2016-05-22,5
40,2016-05-29,0
41,2016-06-05,3
42,2016-06-12,4
43,2016-06-19,3
44,2016-06-26,3
45,2016-07-03,3
46,2016-07-10,4
47,2016-07-17,6
48,2016-07-24,3
49,2016-07-31,4
50,2016-08-07,5
51,2016-08-14,3
52,2016-08-21,3
53,2016-08-28,3
54,2016-09-04,3
55,2016-09-11,3
56,2016-09-18,0
57,2016-09-25,3
58,2016-10-02,0
59,2016-10-09,0
60,2016-10-16,4
61,2016-10-23,3
62,2016-10-30,0
63,2016-11-06,0
64,2016-11-13,3
65,2016-11-20,5
66,2016-11-27,2
67,2016-12-04,0
68,2016-12-11,5
69,2016-12-18,4
70,2016-12-25,3
71,2017-01-01,0
72,2017-01-08,0
73,2017-01-15,2
74,2017-01-22,2
75,2017-01-29,2
76,2017-02-05,3
77,2017-02-12,4
78,2017-02-19,3
79,2017-02-26,2
80,2017-03-05,2
81,2017-03-12,0
82,2017-03-19,2
83,2017-03-26,4
84,2017-04-02,5
85,2017-04-09,5
86,2017-04-16,2
87,2017-04-23,0
88,2017-04-30,2
89,2017-05-07,0
90,2017-05-14,3
91,2017-05-21,3
92,2017-05-28,4
93,2017-06-04,0
94,2017-06-11,3
95,2017-06-18,3
96,2017-06-25,0
97,2017-07-02,4
98,2017-07-09,0
99,2017-07-16,4
100,2017-07-23,3
101,2017-07-30,0
102,2017-08-06,2
103,2017-08-13,4
104,2017-08-20,4
105,2017-08-27,3
106,2017-09-03,5
107,2017-09-10,9
108,2017-09-17,2
109,2017-09-24,4
110,2017-10-01,5
111,2017-10-08,2
112,2017-10-15,2
113,2017-10-22,2
114,2017-10-29,5
115,2017-11-05,0
116,2017-11-12,2
117,2017-11-19,2
118,2017-11-26,5
119,2017-12-03,2
120,2017-12-10,4
121,2017-12-17,5
122,2017-12-24,4
123,2017-12-31,0
124,2018-01-07,0
125,2018-01-14,5
126,2018-01-21,0
127,2018-01-28,2
128,2018-02-04,2
129,2018-02-11,5
130,2018-02-18,2
131,2018-02-25,4
132,2018-03-04,2
133,2018-03-11,0
134,2018-03-18,2
135,2018-03-25,2
136,2018-04-01,2
137,2018-04-08,2
138,2018-04-15,2
139,2018-04-22,2
140,2018-04-29,5
141,2018-05-06,5
142,2018-05-13,0
143,2018-05-20,0
144,2018-05-27,2
145,2018-06-03,2
146,2018-06-10,7
147,2018-06-17,0
148,2018-06-24,2
149,2018-07-01,0
150,2018-07-08,3
151,2018-07-15,3
152,2018-07-22,2
153,2018-07-29,5
154,2018-08-05,5
155,2018-08-12,5
156,2018-08-19,2
157,2018-08-26,9
158,2018-09-02,3
159,2018-09-09,4
160,2018-09-16,3
161,2018-09-23,3
162,2018-09-30,4
163,2018-10-07,4
164,2018-10-14,2
165,2018-10-21,2
166,2018-10-28,2
167,2018-11-04,4
168,2018-11-11,4
169,2018-11-18,5
170,2018-11-25,2
171,2018-12-02,5
172,2018-12-09,2
173,2018-12-16,4
174,2018-12-23,3
175,2018-12-30,5
176,2019-01-06,3
177,2019-01-13,3
178,2019-01-20,5
179,2019-01-27,3
180,2019-02-03,3
181,2019-02-10,0
182,2019-02-17,3
183,2019-02-24,2
184,2019-03-03,4
185,2019-03-10,4
186,2019-03-17,2
187,2019-03-24,2
188,2019-03-31,4
189,2019-04-07,3
190,2019-04-14,5
191,2019-04-21,5
192,2019-04-28,3
193,2019-05-05,7
194,2019-05-12,7
195,2019-05-19,4
196,2019-05-26,5
197,2019-06-02,3
198,2019-06-09,6
199,2019-06-16,2
200,2019-06-23,4
201,2019-06-30,4
202,2019-07-07,7
203,2019-07-14,2
204,2019-07-21,3
205,2019-07-28,4
206,2019-08-04,3
207,2019-08-11,7
208,2019-08-18,5
209,2019-08-25,6
210,2019-09-01,8
211,2019-09-08,9
212,2019-09-15,5
213,2019-09-22,9
214,2019-09-29,6
215,2019-10-06,13
216,2019-10-13,7
217,2019-10-20,7
218,2019-10-27,4
219,2019-11-03,5
220,2019-11-10,16
221,2019-11-17,2
222,2019-11-24,10
223,2019-12-01,9
224,2019-12-08,4
225,2019-12-15,13
226,2019-12-22,9
227,2019-12-29,17
228,2020-01-05,9
229,2020-01-12,8
230,2020-01-19,21
231,2020-01-26,22
232,2020-02-02,24
233,2020-02-09,22
234,2020-02-16,12
235,2020-02-23,26
236,2020-03-01,22
237,2020-03-08,23
238,2020-03-15,23
239,2020-03-22,11
240,2020-03-29,30
241,2020-04-05,32
242,2020-04-12,39
243,2020-04-19,59
244,2020-04-26,73
245,2020-05-03,67
246,2020-05-10,58
247,2020-05-17,57
248,2020-05-24,46
249,2020-05-31,44
250,2020-06-07,67
251,2020-06-14,72
252,2020-06-21,79
253,2020-06-28,100
254,2020-07-05,64
255,2020-07-12,58
256,2020-07-19,66
257,2020-07-26,96
258,2020-08-02,75
259,2020-08-09,50
