,Date,Trend
0,2015-08-09,3
1,2015-08-16,2
2,2015-08-23,4
3,2015-08-30,5
4,2015-09-06,4
5,2015-09-13,6
6,2015-09-20,3
7,2015-09-27,4
8,2015-10-04,4
9,2015-10-11,7
10,2015-10-18,1
11,2015-10-25,7
12,2015-11-01,6
13,2015-11-08,6
14,2015-11-15,6
15,2015-11-22,8
16,2015-11-29,4
17,2015-12-06,3
18,2015-12-13,4
19,2015-12-20,5
20,2015-12-27,4
21,2016-01-03,5
22,2016-01-10,5
23,2016-01-17,2
24,2016-01-24,11
25,2016-01-31,11
26,2016-02-07,12
27,2016-02-14,7
28,2016-02-21,9
29,2016-02-28,9
30,2016-03-06,8
31,2016-03-13,6
32,2016-03-20,4
33,2016-03-27,5
34,2016-04-03,9
35,2016-04-10,5
36,2016-04-17,11
37,2016-04-24,13
38,2016-05-01,5
39,2016-05-08,12
40,2016-05-15,8
41,2016-05-22,8
42,2016-05-29,5
43,2016-06-05,8
44,2016-06-12,10
45,2016-06-19,5
46,2016-06-26,11
47,2016-07-03,11
48,2016-07-10,6
49,2016-07-17,5
50,2016-07-24,8
51,2016-07-31,10
52,2016-08-07,9
53,2016-08-14,9
54,2016-08-21,11
55,2016-08-28,8
56,2016-09-04,2
57,2016-09-11,6
58,2016-09-18,4
59,2016-09-25,5
60,2016-10-02,3
61,2016-10-09,6
62,2016-10-16,5
63,2016-10-23,16
64,2016-10-30,8
65,2016-11-06,4
66,2016-11-13,7
67,2016-11-20,6
68,2016-11-27,5
69,2016-12-04,9
70,2016-12-11,7
71,2016-12-18,3
72,2016-12-25,4
73,2017-01-01,4
74,2017-01-08,8
75,2017-01-15,5
76,2017-01-22,7
77,2017-01-29,8
78,2017-02-05,11
79,2017-02-12,5
80,2017-02-19,7
81,2017-02-26,5
82,2017-03-05,5
83,2017-03-12,4
84,2017-03-19,6
85,2017-03-26,10
86,2017-04-02,7
87,2017-04-09,9
88,2017-04-16,6
89,2017-04-23,4
90,2017-04-30,6
91,2017-05-07,7
92,2017-05-14,4
93,2017-05-21,2
94,2017-05-28,8
95,2017-06-04,4
96,2017-06-11,4
97,2017-06-18,2
98,2017-06-25,5
99,2017-07-02,5
100,2017-07-09,5
101,2017-07-16,4
102,2017-07-23,2
103,2017-07-30,5
104,2017-08-06,9
105,2017-08-13,4
106,2017-08-20,7
107,2017-08-27,7
108,2017-09-03,4
109,2017-09-10,7
110,2017-09-17,8
111,2017-09-24,8
112,2017-10-01,5
113,2017-10-08,6
114,2017-10-15,6
115,2017-10-22,9
116,2017-10-29,6
117,2017-11-05,5
118,2017-11-12,3
119,2017-11-19,7
120,2017-11-26,8
121,2017-12-03,6
122,2017-12-10,11
123,2017-12-17,4
124,2017-12-24,10
125,2017-12-31,5
126,2018-01-07,5
127,2018-01-14,9
128,2018-01-21,6
129,2018-01-28,13
130,2018-02-04,6
131,2018-02-11,7
132,2018-02-18,5
133,2018-02-25,5
134,2018-03-04,3
135,2018-03-11,5
136,2018-03-18,3
137,2018-03-25,5
138,2018-04-01,5
139,2018-04-08,4
140,2018-04-15,5
141,2018-04-22,8
142,2018-04-29,6
143,2018-05-06,5
144,2018-05-13,2
145,2018-05-20,7
146,2018-05-27,5
147,2018-06-03,1
148,2018-06-10,5
149,2018-06-17,12
150,2018-06-24,10
151,2018-07-01,9
152,2018-07-08,10
153,2018-07-15,9
154,2018-07-22,9
155,2018-07-29,7
156,2018-08-05,7
157,2018-08-12,7
158,2018-08-19,6
159,2018-08-26,8
160,2018-09-02,5
161,2018-09-09,7
162,2018-09-16,11
163,2018-09-23,9
164,2018-09-30,11
165,2018-10-07,14
166,2018-10-14,7
167,2018-10-21,9
168,2018-10-28,9
169,2018-11-04,7
170,2018-11-11,11
171,2018-11-18,6
172,2018-11-25,4
173,2018-12-02,8
174,2018-12-09,9
175,2018-12-16,7
176,2018-12-23,9
177,2018-12-30,6
178,2019-01-06,6
179,2019-01-13,6
180,2019-01-20,3
181,2019-01-27,4
182,2019-02-03,4
183,2019-02-10,6
184,2019-02-17,12
185,2019-02-24,6
186,2019-03-03,4
187,2019-03-10,6
188,2019-03-17,4
189,2019-03-24,4
190,2019-03-31,4
191,2019-04-07,8
192,2019-04-14,10
193,2019-04-21,8
194,2019-04-28,8
195,2019-05-05,5
196,2019-05-12,7
197,2019-05-19,7
198,2019-05-26,6
199,2019-06-02,7
200,2019-06-09,8
201,2019-06-16,11
202,2019-06-23,13
203,2019-06-30,8
204,2019-07-07,8
205,2019-07-14,9
206,2019-07-21,7
207,2019-07-28,8
208,2019-08-04,6
209,2019-08-11,5
210,2019-08-18,7
211,2019-08-25,12
212,2019-09-01,12
213,2019-09-08,10
214,2019-09-15,11
215,2019-09-22,14
216,2019-09-29,20
217,2019-10-06,18
218,2019-10-13,11
219,2019-10-20,13
220,2019-10-27,8
221,2019-11-03,12
222,2019-11-10,14
223,2019-11-17,2
224,2019-11-24,6
225,2019-12-01,6
226,2019-12-08,11
227,2019-12-15,16
228,2019-12-22,15
229,2019-12-29,13
230,2020-01-05,5
231,2020-01-12,12
232,2020-01-19,9
233,2020-01-26,15
234,2020-02-02,15
235,2020-02-09,14
236,2020-02-16,16
237,2020-02-23,24
238,2020-03-01,18
239,2020-03-08,17
240,2020-03-15,14
241,2020-03-22,14
242,2020-03-29,22
243,2020-04-05,26
244,2020-04-12,19
245,2020-04-19,31
246,2020-04-26,48
247,2020-05-03,56
248,2020-05-10,46
249,2020-05-17,47
250,2020-05-24,32
251,2020-05-31,27
252,2020-06-07,39
253,2020-06-14,44
254,2020-06-21,53
255,2020-06-28,47
256,2020-07-05,48
257,2020-07-12,100
258,2020-07-19,88
259,2020-07-26,61
260,2020-08-02,48
