Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,26952130.0,160879368808.0,1981.0,6028.0,5700.0,5969.0,5780.0,5741.0
2016-02-21,11002880.0,64330057385.0,1265.0,6028.0,5671.0,5847.0,5790.0,5969.0
2016-02-22,11235126.0,68670992033.0,1047.0,6139.0,5940.0,6112.0,6137.0,5847.0
2016-02-23,7707460.0,46887192403.0,763.0,6388.0,5899.0,6083.0,5940.0,6112.0
2016-02-24,6592202.0,40186667246.0,582.0,6180.0,5820.0,6096.0,6095.0,6083.0
2016-02-27,12380884.0,78891036704.0,1075.0,6400.0,6190.0,6372.0,6400.0,6096.0
2016-02-28,6967508.0,45113318122.0,686.0,6670.0,6154.0,6475.0,6471.0,6372.0
2016-02-29,19920929.0,134691455347.0,1374.0,6798.0,6550.0,6761.0,6797.0,6475.0
2016-03-01,16207563.0,112806387199.0,2303.0,7099.0,6600.0,6960.0,6790.0,6761.0
2016-03-02,2749529.0,18249378216.0,287.0,6750.0,6612.0,6637.0,6612.0,6960.0
2016-03-05,21007693.0,133111094562.0,2635.0,6480.0,6306.0,6336.0,6330.0,6637.0
2016-03-06,8978712.0,55925918437.0,1545.0,6533.0,6031.0,6229.0,6064.0,6336.0
2016-03-07,16566916.0,104841722920.0,1257.0,6499.0,6030.0,6328.0,6413.0,6229.0
2016-03-08,12680632.0,83183740021.0,1416.0,6644.0,6230.0,6560.0,6611.0,6328.0
2016-03-09,8544042.0,57226376953.0,821.0,6800.0,6501.0,6698.0,6520.0,6560.0
2016-03-12,6352333.0,42667875024.0,872.0,6901.0,6411.0,6717.0,6430.0,6698.0
2016-03-14,4532937.0,29209391473.0,885.0,6699.0,6382.0,6444.0,6382.0,6717.0
2016-03-15,4592504.0,28515619651.0,975.0,6500.0,6122.0,6209.0,6122.0,6444.0
2016-05-01,14645993.0,34739602080.0,1402.0,2449.0,2300.0,2372.0,2300.0,2172.0
2016-05-02,20904851.0,51724428461.0,1425.0,2490.0,2261.0,2474.0,2490.0,2372.0
2016-05-03,9191998.0,23300921270.0,803.0,2595.0,2470.0,2535.0,2490.0,2474.0
2016-05-04,7756212.0,18871479916.0,713.0,2540.0,2409.0,2433.0,2409.0,2535.0
2016-05-07,10627981.0,24584145637.0,700.0,2399.0,2312.0,2313.0,2312.0,2433.0
2016-05-08,5177985.0,12206789955.0,576.0,2397.0,2260.0,2357.0,2321.0,2313.0
2016-05-09,3079171.0,6994830571.0,336.0,2382.0,2240.0,2272.0,2260.0,2357.0
2016-05-10,1950400.0,4252514024.0,251.0,2280.0,2159.0,2201.0,2159.0,2272.0
2016-05-11,2569683.0,5384795866.0,285.0,2156.0,2091.0,2096.0,2091.0,2201.0
2016-05-14,3013020.0,6267313928.0,348.0,2129.0,2016.0,2080.0,2025.0,2096.0
2016-05-15,1694469.0,3504431813.0,217.0,2119.0,2031.0,2072.0,2110.0,2080.0
2016-05-16,5856915.0,11933677498.0,364.0,2115.0,2000.0,2038.0,2054.0,2072.0
2016-05-17,10956488.0,22417675188.0,987.0,2109.0,2011.0,2046.0,2100.0,2038.0
2016-05-18,75311511.0,161743166916.0,1926.0,2148.0,2053.0,2148.0,2148.0,2046.0
2016-05-21,16979963.0,36289515186.0,1190.0,2195.0,2080.0,2137.0,2080.0,2148.0
2016-05-23,15372710.0,32574293317.0,968.0,2179.0,2080.0,2119.0,2089.0,2137.0
2016-05-24,8192882.0,17314802676.0,644.0,2148.0,2086.0,2113.0,2135.0,2119.0
2016-05-25,20809307.0,45909567154.0,906.0,2218.0,2120.0,2206.0,2218.0,2113.0
2016-05-28,54206510.0,122852280196.0,2345.0,2316.0,2162.0,2266.0,2190.0,2206.0
2016-05-29,8913556.0,19267946324.0,637.0,2222.0,2153.0,2162.0,2153.0,2266.0
2016-05-30,10635017.0,23356297521.0,928.0,2247.0,2138.0,2196.0,2187.0,2162.0
2016-05-31,9018169.0,19369168269.0,639.0,2200.0,2090.0,2148.0,2120.0,2196.0
2016-06-01,26517428.0,59528937757.0,1279.0,2255.0,2148.0,2245.0,2255.0,2148.0
2016-06-05,3521371.0,8299871447.0,159.0,2357.0,2357.0,2357.0,2357.0,2245.0
2016-06-06,2713268.0,6712625032.0,123.0,2474.0,2474.0,2474.0,2474.0,2357.0
2016-06-07,106695569.0,274644653616.0,4907.0,2597.0,2361.0,2574.0,2597.0,2474.0
2016-06-08,21022822.0,56489062773.0,1221.0,2702.0,2602.0,2687.0,2702.0,2574.0
2016-06-11,64305935.0,177667343944.0,3491.0,2821.0,2600.0,2763.0,2691.0,2687.0
2016-06-12,48331766.0,137549458678.0,2857.0,2901.0,2698.0,2846.0,2900.0,2763.0
2016-06-13,12049634.0,35905413040.0,646.0,2988.0,2918.0,2980.0,2988.0,2846.0
2016-06-14,36935356.0,110113913959.0,2979.0,3100.0,2862.0,2981.0,2903.0,2980.0
2016-06-15,35655956.0,102077241984.0,2365.0,3010.0,2832.0,2863.0,2851.0,2981.0
2016-06-18,11842144.0,34296862647.0,953.0,2990.0,2823.0,2896.0,2899.0,2863.0
2016-06-19,16022657.0,46070643812.0,1168.0,2950.0,2760.0,2875.0,2810.0,2896.0
2016-06-20,7741404.0,21955973935.0,564.0,2886.0,2760.0,2836.0,2790.0,2875.0
2016-06-21,50262924.0,147788426553.0,2399.0,2977.0,2820.0,2940.0,2955.0,2836.0
2016-06-22,10491716.0,32265637481.0,573.0,3087.0,3038.0,3075.0,3087.0,2940.0
2016-06-25,32268454.0,103345391920.0,1687.0,3228.0,3120.0,3203.0,3228.0,3075.0
2016-06-26,17725340.0,59527156429.0,1013.0,3363.0,3260.0,3358.0,3363.0,3203.0
2016-06-28,43234617.0,145147427846.0,3305.0,3525.0,3191.0,3357.0,3268.0,3358.0
2016-06-29,26136003.0,88917909156.0,1854.0,3476.0,3222.0,3402.0,3375.0,3357.0
2016-07-02,11984434.0,38950186264.0,1057.0,3450.0,3232.0,3250.0,3232.0,3402.0
2016-07-03,20994047.0,65620588279.0,1656.0,3231.0,3088.0,3126.0,3119.0,3250.0
2016-07-04,17858390.0,57210392304.0,1399.0,3282.0,3112.0,3204.0,3129.0,3126.0
2016-07-05,19590697.0,63848690735.0,1051.0,3330.0,3132.0,3259.0,3241.0,3204.0
2016-07-09,7477414.0,24634159400.0,628.0,3390.0,3187.0,3294.0,3200.0,3259.0
2016-07-10,13657089.0,45322082360.0,678.0,3351.0,3185.0,3319.0,3280.0,3294.0
2016-07-11,17285756.0,56265658444.0,903.0,3348.0,3180.0,3255.0,3232.0,3319.0
2016-07-12,9370271.0,29514032012.0,905.0,3300.0,3093.0,3150.0,3130.0,3255.0
2016-07-13,25094799.0,78770133350.0,1135.0,3200.0,2995.0,3139.0,3080.0,3150.0
2016-07-16,19858666.0,62813235406.0,1169.0,3244.0,3045.0,3163.0,3100.0,3139.0
2016-07-17,9435855.0,29266931789.0,666.0,3161.0,3060.0,3102.0,3070.0,3163.0
2016-07-18,23057235.0,73319337021.0,1373.0,3230.0,3013.0,3180.0,3152.0,3102.0
2016-07-19,18324059.0,60170146303.0,938.0,3327.0,3210.0,3284.0,3247.0,3180.0
2016-07-20,17219876.0,57214134498.0,1246.0,3400.0,3230.0,3323.0,3259.0,3284.0
