,Date,Trend
0,2015-08-09,0
1,2015-08-16,0
2,2015-08-23,0
3,2015-08-30,5
4,2015-09-06,0
5,2015-09-13,0
6,2015-09-20,0
7,2015-09-27,0
8,2015-10-04,0
9,2015-10-11,5
10,2015-10-18,0
11,2015-10-25,4
12,2015-11-01,5
13,2015-11-08,5
14,2015-11-15,4
15,2015-11-22,5
16,2015-11-29,0
17,2015-12-06,0
18,2015-12-13,0
19,2015-12-20,0
20,2015-12-27,0
21,2016-01-03,0
22,2016-01-10,5
23,2016-01-17,8
24,2016-01-24,24
25,2016-01-31,5
26,2016-02-07,10
27,2016-02-14,9
28,2016-02-21,23
29,2016-02-28,6
30,2016-03-06,25
31,2016-03-13,12
32,2016-03-20,7
33,2016-03-27,6
34,2016-04-03,11
35,2016-04-10,9
36,2016-04-17,8
37,2016-04-24,9
38,2016-05-01,14
39,2016-05-08,13
40,2016-05-15,17
41,2016-05-22,12
42,2016-05-29,5
43,2016-06-05,10
44,2016-06-12,14
45,2016-06-19,10
46,2016-06-26,10
47,2016-07-03,8
48,2016-07-10,12
49,2016-07-17,5
50,2016-07-24,5
51,2016-07-31,5
52,2016-08-07,5
53,2016-08-14,11
54,2016-08-21,10
55,2016-08-28,0
56,2016-09-04,0
57,2016-09-11,0
58,2016-09-18,5
59,2016-09-25,7
60,2016-10-02,5
61,2016-10-09,5
62,2016-10-16,10
63,2016-10-23,10
64,2016-10-30,5
65,2016-11-06,11
66,2016-11-13,9
67,2016-11-20,5
68,2016-11-27,5
69,2016-12-04,7
70,2016-12-11,5
71,2016-12-18,0
72,2016-12-25,13
73,2017-01-01,5
74,2017-01-08,4
75,2017-01-15,0
76,2017-01-22,4
77,2017-01-29,4
78,2017-02-05,7
79,2017-02-12,14
80,2017-02-19,7
81,2017-02-26,9
82,2017-03-05,15
83,2017-03-12,4
84,2017-03-19,0
85,2017-03-26,9
86,2017-04-02,9
87,2017-04-09,9
88,2017-04-16,9
89,2017-04-23,6
90,2017-04-30,9
91,2017-05-07,9
92,2017-05-14,7
93,2017-05-21,9
94,2017-05-28,6
95,2017-06-04,9
96,2017-06-11,5
97,2017-06-18,5
98,2017-06-25,7
99,2017-07-02,5
100,2017-07-09,5
101,2017-07-16,7
102,2017-07-23,7
103,2017-07-30,0
104,2017-08-06,5
105,2017-08-13,9
106,2017-08-20,5
107,2017-08-27,0
108,2017-09-03,0
109,2017-09-10,9
110,2017-09-17,4
111,2017-09-24,7
112,2017-10-01,9
113,2017-10-08,4
114,2017-10-15,0
115,2017-10-22,4
116,2017-10-29,4
117,2017-11-05,9
118,2017-11-12,4
119,2017-11-19,4
120,2017-11-26,0
121,2017-12-03,4
122,2017-12-10,7
123,2017-12-17,4
124,2017-12-24,7
125,2017-12-31,7
126,2018-01-07,4
127,2018-01-14,4
128,2018-01-21,6
129,2018-01-28,4
130,2018-02-04,4
131,2018-02-11,6
132,2018-02-18,8
133,2018-02-25,12
134,2018-03-04,12
135,2018-03-11,7
136,2018-03-18,8
137,2018-03-25,4
138,2018-04-01,4
139,2018-04-08,4
140,2018-04-15,10
141,2018-04-22,10
142,2018-04-29,7
143,2018-05-06,8
144,2018-05-13,7
145,2018-05-20,15
146,2018-05-27,7
147,2018-06-03,8
148,2018-06-10,9
149,2018-06-17,4
150,2018-06-24,0
151,2018-07-01,4
152,2018-07-08,0
153,2018-07-15,4
154,2018-07-22,4
155,2018-07-29,8
156,2018-08-05,4
157,2018-08-12,4
158,2018-08-19,4
159,2018-08-26,8
160,2018-09-02,0
161,2018-09-09,4
162,2018-09-16,4
163,2018-09-23,7
164,2018-09-30,6
165,2018-10-07,8
166,2018-10-14,4
167,2018-10-21,8
168,2018-10-28,4
169,2018-11-04,0
170,2018-11-11,0
171,2018-11-18,8
172,2018-11-25,6
173,2018-12-02,8
174,2018-12-09,4
175,2018-12-16,0
176,2018-12-23,6
177,2018-12-30,7
178,2019-01-06,6
179,2019-01-13,5
180,2019-01-20,4
181,2019-01-27,4
182,2019-02-03,0
183,2019-02-10,4
184,2019-02-17,4
185,2019-02-24,6
186,2019-03-03,8
187,2019-03-10,9
188,2019-03-17,16
189,2019-03-24,11
190,2019-03-31,6
191,2019-04-07,20
192,2019-04-14,39
193,2019-04-21,26
194,2019-04-28,19
195,2019-05-05,11
196,2019-05-12,11
197,2019-05-19,6
198,2019-05-26,20
199,2019-06-02,9
200,2019-06-09,24
201,2019-06-16,16
202,2019-06-23,24
203,2019-06-30,27
204,2019-07-07,5
205,2019-07-14,6
206,2019-07-21,8
207,2019-07-28,10
208,2019-08-04,18
209,2019-08-11,22
210,2019-08-18,17
211,2019-08-25,20
212,2019-09-01,40
213,2019-09-08,18
214,2019-09-15,43
215,2019-09-22,56
216,2019-09-29,49
217,2019-10-06,43
218,2019-10-13,31
219,2019-10-20,34
220,2019-10-27,14
221,2019-11-03,20
222,2019-11-10,20
223,2019-11-17,0
224,2019-11-24,13
225,2019-12-01,27
226,2019-12-08,19
227,2019-12-15,28
228,2019-12-22,23
229,2019-12-29,29
