,Date,Trend
0,2015-08-09,3
1,2015-08-16,8
2,2015-08-23,3
3,2015-08-30,3
4,2015-09-06,6
5,2015-09-13,5
6,2015-09-20,3
7,2015-09-27,6
8,2015-10-04,4
9,2015-10-11,4
10,2015-10-18,4
11,2015-10-25,3
12,2015-11-01,4
13,2015-11-08,4
14,2015-11-15,4
15,2015-11-22,4
16,2015-11-29,2
17,2015-12-06,3
18,2015-12-13,2
19,2015-12-20,4
20,2015-12-27,3
21,2016-01-03,7
22,2016-01-10,4
23,2016-01-17,6
24,2016-01-24,11
25,2016-01-31,7
26,2016-02-07,11
27,2016-02-14,5
28,2016-02-21,7
29,2016-02-28,6
30,2016-03-06,6
31,2016-03-13,4
32,2016-03-20,3
33,2016-03-27,2
34,2016-04-03,6
35,2016-04-10,6
36,2016-04-17,6
37,2016-04-24,2
38,2016-05-01,4
39,2016-05-08,15
40,2016-05-15,6
41,2016-05-22,4
42,2016-05-29,3
43,2016-06-05,6
44,2016-06-12,2
45,2016-06-19,5
46,2016-06-26,4
47,2016-07-03,4
48,2016-07-10,6
49,2016-07-17,4
50,2016-07-24,6
51,2016-07-31,5
52,2016-08-07,5
53,2016-08-14,4
54,2016-08-21,3
55,2016-08-28,5
56,2016-09-04,8
57,2016-09-11,2
58,2016-09-18,5
59,2016-09-25,5
60,2016-10-02,3
61,2016-10-09,3
62,2016-10-16,4
63,2016-10-23,4
64,2016-10-30,4
65,2016-11-06,4
66,2016-11-13,4
67,2016-11-20,3
68,2016-11-27,4
69,2016-12-04,2
70,2016-12-11,5
71,2016-12-18,8
72,2016-12-25,5
73,2017-01-01,4
74,2017-01-08,3
75,2017-01-15,2
76,2017-01-22,4
77,2017-01-29,3
78,2017-02-05,2
79,2017-02-12,2
80,2017-02-19,3
81,2017-02-26,4
82,2017-03-05,3
83,2017-03-12,5
84,2017-03-19,4
85,2017-03-26,4
86,2017-04-02,3
87,2017-04-09,4
88,2017-04-16,2
89,2017-04-23,4
90,2017-04-30,3
91,2017-05-07,6
92,2017-05-14,6
93,2017-05-21,7
94,2017-05-28,2
95,2017-06-04,3
96,2017-06-11,4
97,2017-06-18,4
98,2017-06-25,3
99,2017-07-02,0
100,2017-07-09,3
101,2017-07-16,4
102,2017-07-23,5
103,2017-07-30,2
104,2017-08-06,5
105,2017-08-13,6
106,2017-08-20,2
107,2017-08-27,2
