,Date,Trend
0,2015-08-09,7
1,2015-08-16,7
2,2015-08-23,7
3,2015-08-30,7
4,2015-09-06,7
5,2015-09-13,0
6,2015-09-20,0
7,2015-09-27,0
8,2015-10-04,0
9,2015-10-11,0
10,2015-10-18,7
11,2015-10-25,0
12,2015-11-01,7
13,2015-11-08,0
14,2015-11-15,0
15,2015-11-22,0
16,2015-11-29,0
17,2015-12-06,7
18,2015-12-13,0
19,2015-12-20,15
20,2015-12-27,0
21,2016-01-03,0
22,2016-01-10,7
23,2016-01-17,0
24,2016-01-24,0
25,2016-01-31,7
26,2016-02-07,7
27,2016-02-14,0
28,2016-02-21,0
29,2016-02-28,0
30,2016-03-06,0
31,2016-03-13,0
32,2016-03-20,0
33,2016-03-27,0
34,2016-04-03,0
35,2016-04-10,7
36,2016-04-17,7
37,2016-04-24,0
38,2016-05-01,0
39,2016-05-08,0
40,2016-05-15,0
41,2016-05-22,0
42,2016-05-29,0
43,2016-06-05,0
44,2016-06-12,0
45,2016-06-19,0
46,2016-06-26,0
47,2016-07-03,0
48,2016-07-10,7
49,2016-07-17,8
50,2016-07-24,7
51,2016-07-31,8
52,2016-08-07,8
53,2016-08-14,8
54,2016-08-21,15
55,2016-08-28,0
56,2016-09-04,7
57,2016-09-11,0
58,2016-09-18,7
59,2016-09-25,11
60,2016-10-02,9
61,2016-10-09,7
62,2016-10-16,18
63,2016-10-23,11
64,2016-10-30,9
65,2016-11-06,14
66,2016-11-13,10
67,2016-11-20,0
68,2016-11-27,7
69,2016-12-04,7
70,2016-12-11,7
71,2016-12-18,17
72,2016-12-25,11
73,2017-01-01,9
74,2017-01-08,13
75,2017-01-15,26
76,2017-01-22,13
77,2017-01-29,13
78,2017-02-05,9
79,2017-02-12,6
80,2017-02-19,6
81,2017-02-26,9
82,2017-03-05,6
83,2017-03-12,6
84,2017-03-19,6
85,2017-03-26,6
86,2017-04-02,13
87,2017-04-09,13
88,2017-04-16,10
89,2017-04-23,0
90,2017-04-30,9
91,2017-05-07,10
92,2017-05-14,9
93,2017-05-21,14
94,2017-05-28,14
95,2017-06-04,7
96,2017-06-11,7
97,2017-06-18,20
98,2017-06-25,14
99,2017-07-02,7
100,2017-07-09,0
101,2017-07-16,11
102,2017-07-23,7
103,2017-07-30,10
104,2017-08-06,27
105,2017-08-13,20
106,2017-08-20,20
107,2017-08-27,13
108,2017-09-03,20
109,2017-09-10,10
