,Date,Trend
0,2015-08-23,17
1,2015-08-30,17
2,2015-09-06,14
3,2015-09-13,15
4,2015-09-20,16
5,2015-09-27,16
6,2015-10-04,14
7,2015-10-11,14
8,2015-10-18,12
9,2015-10-25,15
10,2015-11-01,14
11,2015-11-08,12
12,2015-11-15,12
13,2015-11-22,15
14,2015-11-29,14
15,2015-12-06,12
16,2015-12-13,11
17,2015-12-20,15
18,2015-12-27,13
19,2016-01-03,12
20,2016-01-10,13
21,2016-01-17,13
22,2016-01-24,14
23,2016-01-31,15
24,2016-02-07,12
25,2016-02-14,14
26,2016-02-21,11
27,2016-02-28,10
28,2016-03-06,10
29,2016-03-13,11
30,2016-03-20,10
31,2016-03-27,12
32,2016-04-03,12
33,2016-04-10,12
34,2016-04-17,11
35,2016-04-24,11
36,2016-05-01,13
37,2016-05-08,11
38,2016-05-15,12
39,2016-05-22,11
40,2016-05-29,11
41,2016-06-05,11
42,2016-06-12,11
43,2016-06-19,12
44,2016-06-26,12
45,2016-07-03,12
46,2016-07-10,12
47,2016-07-17,11
48,2016-07-24,11
49,2016-07-31,12
50,2016-08-07,13
51,2016-08-14,12
52,2016-08-21,11
53,2016-08-28,11
54,2016-09-04,11
55,2016-09-11,13
56,2016-09-18,12
57,2016-09-25,11
58,2016-10-02,12
59,2016-10-09,10
60,2016-10-16,12
61,2016-10-23,13
62,2016-10-30,12
63,2016-11-06,12
64,2016-11-13,12
65,2016-11-20,13
66,2016-11-27,14
67,2016-12-04,13
68,2016-12-11,14
69,2016-12-18,15
70,2016-12-25,14
71,2017-01-01,12
72,2017-01-08,11
73,2017-01-15,13
74,2017-01-22,12
75,2017-01-29,12
76,2017-02-05,12
77,2017-02-12,11
78,2017-02-19,11
79,2017-02-26,10
80,2017-03-05,9
81,2017-03-12,10
82,2017-03-19,8
83,2017-03-26,9
84,2017-04-02,12
85,2017-04-09,12
86,2017-04-16,10
87,2017-04-23,11
88,2017-04-30,11
89,2017-05-07,10
90,2017-05-14,11
91,2017-05-21,11
92,2017-05-28,10
93,2017-06-04,9
94,2017-06-11,9
95,2017-06-18,11
96,2017-06-25,9
97,2017-07-02,10
98,2017-07-09,10
99,2017-07-16,11
100,2017-07-23,11
101,2017-07-30,10
102,2017-08-06,11
103,2017-08-13,12
104,2017-08-20,11
105,2017-08-27,9
106,2017-09-03,9
107,2017-09-10,10
108,2017-09-17,11
109,2017-09-24,10
110,2017-10-01,11
111,2017-10-08,10
112,2017-10-15,11
113,2017-10-22,10
114,2017-10-29,10
115,2017-11-05,9
116,2017-11-12,10
117,2017-11-19,10
118,2017-11-26,10
119,2017-12-03,9
