Date,Close,Open,Low,High,Volume,Trades
2001-03-26,5151.0,5151.0,5151.0,5151.0,664,6
2001-03-27,5151.0,5151.0,5151.0,5151.0,10000,6
2001-03-28,5151.0,5150.0,5150.0,5151.0,554778,17
2001-03-31,5151.0,5151.0,5151.0,5151.0,216,1
2001-04-03,5151.0,5151.0,5151.0,5151.0,76,2
2001-04-07,5250.0,5151.0,5151.0,5250.0,1625,3
2001-04-08,5350.0,5350.0,5350.0,5350.0,1500,1
2001-04-09,5420.0,5420.0,5420.0,5420.0,2000,1
2001-04-10,5420.0,5639.0,5420.0,5679.0,909388,15
2001-04-15,5420.0,5420.0,5420.0,5420.0,2586,8
2001-04-16,5422.0,5422.0,5421.0,5422.0,357,3
2001-04-18,5422.0,5422.0,5422.0,5422.0,223,1
2001-04-21,5430.0,5422.0,5420.0,5430.0,1072,4
2001-04-22,5431.0,5430.0,5430.0,5431.0,2325,5
2001-04-23,5434.0,5433.0,5433.0,5434.0,754,4
2001-04-24,5436.0,5436.0,5436.0,5436.0,182,2
2001-04-28,5436.0,5436.0,5434.0,5436.0,2542,10
2001-04-29,5438.0,5438.0,5438.0,5438.0,218,2
2001-04-30,5438.0,5438.0,5438.0,5438.0,1626,5
2001-05-01,5438.0,5434.0,5434.0,5438.0,3253,6
2001-05-02,5438.0,5438.0,5438.0,5438.0,225,1
2001-05-05,5441.0,5442.0,5441.0,5443.0,5000,5
2001-05-06,5445.0,5444.0,5443.0,5446.0,1992,5
2001-05-07,5447.0,5445.0,5445.0,5447.0,644,2
2001-05-08,5447.0,5450.0,5447.0,5450.0,3025,2
2001-05-09,5447.0,5447.0,5447.0,5447.0,1500,1
2001-05-12,5438.0,5447.0,5438.0,5447.0,557,3
2001-05-13,5434.0,5438.0,5434.0,5439.0,2421,9
2001-05-15,5434.0,5434.0,5434.0,5434.0,101,1
2001-05-20,5419.0,5419.0,5419.0,5419.0,161,3
2001-05-21,5413.0,5413.0,5413.0,5413.0,1295,3
2001-05-23,5450.0,5449.0,5410.0,5450.0,12190,23
2001-05-26,5460.0,5450.0,5450.0,5460.0,705,4
2001-05-27,5462.0,5462.0,5462.0,5733.0,10728,10
2001-05-28,5700.0,5484.0,5482.0,5700.0,4662,10
2001-05-29,5700.0,5701.0,5700.0,5702.0,8959,10
2001-05-30,5850.0,5850.0,5750.0,5851.0,6500,9
2001-06-02,5979.0,5899.0,5899.0,5979.0,3832,5
2001-06-03,5979.0,5979.0,5979.0,5979.0,500,2
2001-06-16,6029.0,5947.0,5944.0,6029.0,10049,17
2001-06-17,5941.0,5941.0,5941.0,5941.0,200,1
2001-06-18,5930.0,5930.0,5930.0,5930.0,571,1
2001-06-19,5890.0,5898.0,5890.0,5898.0,1256,3
2001-06-26,5828.0,5788.0,5736.0,5830.0,56316,27
2001-06-27,5778.0,5783.0,5778.0,5796.0,4445,8
2001-06-30,5778.0,5778.0,5778.0,5778.0,1465,7
2001-07-09,5490.0,5490.0,5490.0,5490.0,1092,2
2001-07-10,5216.0,5400.0,5216.0,5400.0,2572,2
2001-07-14,5045.0,5086.0,4956.0,5086.0,3218,9
2001-07-15,5030.0,5028.0,5028.0,5044.0,753,4
2001-07-16,4989.0,4990.0,4989.0,4990.0,2776,5
2001-08-28,4100.0,4000.0,4000.0,4101.0,3191,4
2001-08-29,4100.0,4105.0,4100.0,4110.0,466304,6
2001-09-01,4100.0,4100.0,4100.0,4100.0,16726,8
2001-09-02,4100.0,4100.0,4100.0,4100.0,2049,6
2001-09-03,4101.0,4100.0,4100.0,4101.0,1551,6
2001-09-04,4100.0,4101.0,4100.0,4101.0,1634,6
2001-09-05,4100.0,4100.0,4100.0,4100.0,2447,9
2001-09-08,4100.0,4100.0,4100.0,4100.0,459,4
2001-09-09,4102.0,4101.0,4101.0,4102.0,373,3
2001-09-10,4102.0,4102.0,4102.0,4102.0,344,4
2001-09-11,4102.0,4102.0,4102.0,4102.0,268,3
2001-09-12,4102.0,4102.0,4102.0,4102.0,95,2
2001-09-16,4190.0,4105.0,4105.0,4190.0,5228,5
2001-09-17,4190.0,4111.0,4102.0,4190.0,3666,9
2001-09-19,4200.0,4180.0,4180.0,4200.0,3000,3
2001-09-22,4400.0,4200.0,4200.0,4400.0,6878,4
2001-09-23,4400.0,4400.0,4400.0,4400.0,172,1
2001-09-24,4400.0,4390.0,4390.0,4400.0,470,3
2001-10-03,4180.0,4180.0,4180.0,4180.0,2000,2
2001-10-07,4169.0,4169.0,4169.0,4169.0,3000,1
2001-10-10,4100.0,4100.0,4100.0,4100.0,129000,1
2001-10-20,3901.0,3900.0,3900.0,3901.0,4683,14
2001-10-21,3904.0,3901.0,3901.0,3904.0,946,4
2001-10-22,4050.0,3905.0,3905.0,4050.0,3838,17
2001-10-23,4060.0,4060.0,4060.0,4060.0,153,1
2001-10-24,4102.0,4102.0,4102.0,4102.0,732,2
2001-10-27,4111.0,4111.0,4111.0,4111.0,115,1
2001-10-28,4112.0,4112.0,4112.0,4112.0,38,1
2001-10-29,4117.0,4117.0,4117.0,4117.0,229,4
2001-10-30,4118.0,4117.0,4117.0,4118.0,687,4
2001-10-31,4160.0,4123.0,4120.0,4160.0,1773,4
2001-11-03,4168.0,4162.0,4162.0,4168.0,1424,4
2001-11-04,4168.0,4168.0,4168.0,4168.0,764,1
2001-11-05,4172.0,4172.0,4172.0,4172.0,498,1
2001-11-06,4185.0,4181.0,4181.0,4185.0,708,3
2001-11-07,4210.0,4189.0,4189.0,4210.0,1069,3
2001-11-10,4229.0,4217.0,4217.0,4229.0,1865,4
2001-11-11,4290.0,4246.0,4246.0,4290.0,2066,3
2001-11-12,4290.0,4301.0,4200.0,4302.0,594513,8
2001-11-13,4290.0,4300.0,4290.0,4300.0,5227,5
2001-11-14,4300.0,4301.0,4298.0,4303.0,44134,21
2001-11-17,4300.0,4300.0,4300.0,4300.0,250,1
