Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,112747.0,707834560.0,44.0,6549.0,5928.0,6255.0,5952.0,6239.0
2016-02-21,28634.0,173998422.0,17.0,6255.0,5950.0,6236.0,6010.0,6255.0
2016-02-22,87559.0,537325585.0,51.0,6500.0,5925.0,6204.0,5933.0,6236.0
2016-02-23,78313.0,484118402.0,28.0,6398.0,5894.0,6198.0,5961.0,6204.0
2016-02-24,20862.0,125401918.0,10.0,6050.0,5903.0,6184.0,6050.0,6198.0
2016-02-27,33739.0,200890045.0,33.0,6002.0,5915.0,6156.0,5923.0,6184.0
2016-02-28,19745.0,116848480.0,17.0,5980.0,5900.0,6139.0,5900.0,6156.0
2016-02-29,88515.0,529418838.0,19.0,6040.0,5839.0,6088.0,5900.0,6139.0
2016-03-01,43296.0,253807380.0,9.0,5994.0,5790.0,6052.0,5994.0,6088.0
2016-03-02,63276.0,364384458.0,26.0,5903.0,5750.0,5984.0,5903.0,6052.0
2016-03-05,44564.0,267976740.0,24.0,6200.0,5711.0,5989.0,5999.0,5984.0
2016-03-06,44977.0,261696043.0,21.0,5900.0,5720.0,5961.0,5734.0,5989.0
2016-03-07,56858.0,322317970.0,31.0,5702.0,5663.0,5900.0,5664.0,5961.0
2016-03-08,13703.0,78345574.0,8.0,5820.0,5611.0,5891.0,5820.0,5900.0
2016-03-09,156159.0,926615445.0,47.0,6180.0,5622.0,5916.0,5711.0,5891.0
2016-03-12,231836.0,1432414505.0,83.0,6211.0,5900.0,6140.0,6211.0,5916.0
2016-03-14,120025.0,758849276.0,36.0,6440.0,6100.0,6220.0,6150.0,6140.0
2016-03-15,92872.0,567439985.0,48.0,6440.0,5925.0,6182.0,5926.0,6220.0
2016-03-16,1572.0,9371220.0,3.0,5970.0,5960.0,6181.0,5962.0,6182.0
2016-03-26,9446.0,56842755.0,6.0,6150.0,5960.0,6175.0,6140.0,6181.0
2016-03-27,1054.0,6474020.0,2.0,6150.0,6140.0,6175.0,6150.0,6175.0
