,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707087520371179520,707087520371179520,1457417776000,2016-03-08,09:46:16,430,2463165061,bourseiness,بورسینس,,#خاور، #خمحور، #خموتور تنها نمادهای سبز پوش #گروه خودرو قیمت #سنگ آهن با رشد…  http://goo.gl/fb/OVOJEI  #اقتصاد,[],['http://goo.gl/fb/OVOJEI'],[],0,0,1,"['#خاور', '#خمحور', '#خموتور', '#گروه', '#سنگ', '#اقتصاد']",[],https://twitter.com/bourseiness/status/707087520371179520,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,736475974364200960,736475974364200960,1464424530000,2016-05-28,13:05:30,430,2463165061,bourseiness,بورسینس,,#خموتور پیشنهاد هیئت مدیره به مجمع عمومی فوق العاده در خصوص افزایش سرمایه شرکت…  http://goo.gl/fb/TPJzQu  #اقتصاد,[],['http://goo.gl/fb/TPJzQu'],[],0,0,0,"['#خموتور', '#اقتصاد']",[],https://twitter.com/bourseiness/status/736475974364200960,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,736506118898388993,736506118898388993,1464431717000,2016-05-28,15:05:17,430,2463165061,bourseiness,بورسینس,,درخواست افزایش سرمایه ۱۵۰ درصدی #خموتور اعلام شد موتورسازان تراکتورسازی ایران که سود…  http://goo.gl/fb/LzL9mA  #اقتصاد,[],['http://goo.gl/fb/LzL9mA'],[],0,0,0,"['#خموتور', '#اقتصاد']",[],https://twitter.com/bourseiness/status/736506118898388993,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,737155725105958912,737155725105958912,1464586595000,2016-05-30,10:06:35,430,2463165061,bourseiness,بورسینس,,توقف نمادهاي معاملاتي #كاما،#خموتور،#زمگسا،#ختراك،#فخاس،#دارو  http://goo.gl/fb/sxmN9z  #اقتصاد,[],['http://goo.gl/fb/sxmN9z'],[],0,0,0,"['#كاما', '#خموتور', '#زمگسا', '#ختراك', '#فخاس', '#دارو', '#اقتصاد']",[],https://twitter.com/bourseiness/status/737155725105958912,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,739714029938151424,739714029938151424,1465196542000,2016-06-06,11:32:22,430,2463165061,bourseiness,بورسینس,,بازگشايي نمادهاي معاملاتي #خموتور،#زمگسا،#كاما،#سدور،#شلعاب،#دلر،#سدشت #دسانکو پس از…  http://goo.gl/fb/prqrRo  #اقتصاد,[],['http://goo.gl/fb/prqrRo'],[],0,0,0,"['#خموتور', '#زمگسا', '#كاما', '#سدور', '#شلعاب', '#دلر', '#سدشت', '#دسانکو', '#اقتصاد']",[],https://twitter.com/bourseiness/status/739714029938151424,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,740046789647159296,740046789647159296,1465275878000,2016-06-07,09:34:38,430,2463165061,bourseiness,بورسینس,,حراج مجدد نمادهاي معاملاتي #خموتور،#دلر،#زمگسا،#سدشت،#سدور،#شلعاب،#غچين،#كبافق…  http://goo.gl/fb/TJI22Z  #اقتصاد,[],['http://goo.gl/fb/TJI22Z'],[],0,0,0,"['#خموتور', '#دلر', '#زمگسا', '#سدشت', '#سدور', '#شلعاب', '#غچين', '#كبافق', '#اقتصاد']",[],https://twitter.com/bourseiness/status/740046789647159296,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,918171446173515776,918171446173515776,1507744106000,2017-10-11,21:18:26,430,830770031705206788,radiosaham_ir,radiosaham,,"وضعیت مطلوب فروش و بازدهی خارق العاده #خموتور در نیمه ابتدایی سال
 http://radiosaham.ir/183521/ ",[],['http://radiosaham.ir/183521/'],[],0,0,0,['#خموتور'],[],https://twitter.com/radiosaham_ir/status/918171446173515776,False,,0,,,,,,,"[{'user_id': '830770031705206788', 'username': 'radiosaham_ir'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,987563338774269952,987563338774269952,1524288422000,2018-04-21,09:57:02,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه متعادل #خودرویی، تشکیل صف خرید نماد #ختوقا و ادامه صف فروش نماد #خموتور نمایان تر از معاملات سایر هم گروهی ها می باشد.
#بورس",[],[],[],0,0,0,"['#خودرویی', '#ختوقا', '#خموتور', '#بورس']",[],https://twitter.com/abandidgah/status/987563338774269952,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,987566836807032832,987566836807032832,1524289256000,2018-04-21,10:10:56,430,986116312920453120,abandidgah,دیدگاه آبان,,"#خموتور
بررسی اطلاعیه
*موتورسازان تراکتورسازي ايران*
پیشنهاد هیئت مدیره به مجمع عمومی فوق العاده در خصوص افزایش سرمایه  
ازمبلغ 204,120 میلیون ریال به مبلغ 714,420 میلیون  ریال (معادل 250 درصد)
از محل آورده نقدي و مطالبات حال شده سهامداران و با موضوع اصلاح ساختار مالي شرکت.
#بورس",[],[],[],0,0,0,"['#خموتور', '#بورس']",[],https://twitter.com/abandidgah/status/987566836807032832,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,987632609239949312,987632609239949312,1524304938000,2018-04-21,14:32:18,430,986116312920453120,abandidgah,دیدگاه آبان,,"نماد #خموتور با درج خبر افزایش سرمایه، از صف فروش به صف خرید تبدیل شد تا نوسان 10 درصدی را تجربه کرده باشد.
#بورس",[],[],[],0,0,0,"['#خموتور', '#بورس']",[],https://twitter.com/abandidgah/status/987632609239949312,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
