,Date,Trend
0,2015-08-09,8
1,2015-08-16,11
2,2015-08-23,6
3,2015-08-30,8
4,2015-09-06,10
5,2015-09-13,12
6,2015-09-20,19
7,2015-09-27,5
8,2015-10-04,4
9,2015-10-11,7
10,2015-10-18,7
11,2015-10-25,4
12,2015-11-01,11
13,2015-11-08,7
14,2015-11-15,6
15,2015-11-22,32
16,2015-11-29,16
17,2015-12-06,4
18,2015-12-13,4
19,2015-12-20,6
20,2015-12-27,10
21,2016-01-03,7
22,2016-01-10,6
23,2016-01-17,14
24,2016-01-24,11
25,2016-01-31,14
26,2016-02-07,17
27,2016-02-14,27
28,2016-02-21,11
29,2016-02-28,15
30,2016-03-06,16
31,2016-03-13,9
32,2016-03-20,6
33,2016-03-27,9
34,2016-04-03,8
35,2016-04-10,28
36,2016-04-17,15
37,2016-04-24,41
38,2016-05-01,16
39,2016-05-08,10
40,2016-05-15,9
41,2016-05-22,9
42,2016-05-29,9
43,2016-06-05,18
44,2016-06-12,8
45,2016-06-19,17
46,2016-06-26,10
47,2016-07-03,6
48,2016-07-10,9
49,2016-07-17,12
50,2016-07-24,27
51,2016-07-31,20
52,2016-08-07,14
53,2016-08-14,8
54,2016-08-21,9
55,2016-08-28,11
56,2016-09-04,13
57,2016-09-11,11
58,2016-09-18,4
59,2016-09-25,4
60,2016-10-02,7
61,2016-10-09,20
62,2016-10-16,15
63,2016-10-23,24
64,2016-10-30,6
65,2016-11-06,7
66,2016-11-13,10
67,2016-11-20,10
68,2016-11-27,12
69,2016-12-04,16
70,2016-12-11,11
71,2016-12-18,38
72,2016-12-25,30
73,2017-01-01,7
74,2017-01-08,17
75,2017-01-15,17
76,2017-01-22,13
77,2017-01-29,20
78,2017-02-05,6
79,2017-02-12,8
80,2017-02-19,9
81,2017-02-26,13
82,2017-03-05,25
83,2017-03-12,4
84,2017-03-19,8
85,2017-03-26,12
86,2017-04-02,9
87,2017-04-09,9
88,2017-04-16,17
89,2017-04-23,10
90,2017-04-30,10
91,2017-05-07,17
92,2017-05-14,11
93,2017-05-21,7
94,2017-05-28,4
95,2017-06-04,7
96,2017-06-11,8
97,2017-06-18,6
98,2017-06-25,6
99,2017-07-02,7
100,2017-07-09,13
101,2017-07-16,53
102,2017-07-23,24
103,2017-07-30,13
104,2017-08-06,32
105,2017-08-13,13
106,2017-08-20,6
107,2017-08-27,10
108,2017-09-03,9
109,2017-09-10,10
110,2017-09-17,8
111,2017-09-24,12
112,2017-10-01,9
113,2017-10-08,6
114,2017-10-15,24
115,2017-10-22,12
116,2017-10-29,23
117,2017-11-05,10
118,2017-11-12,6
119,2017-11-19,14
120,2017-11-26,12
121,2017-12-03,9
122,2017-12-10,18
123,2017-12-17,35
124,2017-12-24,16
125,2017-12-31,24
126,2018-01-07,16
127,2018-01-14,10
128,2018-01-21,7
129,2018-01-28,22
130,2018-02-04,18
131,2018-02-11,9
132,2018-02-18,10
133,2018-02-25,7
134,2018-03-04,9
135,2018-03-11,3
136,2018-03-18,4
137,2018-03-25,23
138,2018-04-01,7
139,2018-04-08,5
140,2018-04-15,6
141,2018-04-22,10
142,2018-04-29,9
143,2018-05-06,4
144,2018-05-13,5
145,2018-05-20,6
146,2018-05-27,3
147,2018-06-03,3
