Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,3462179.0,3738662721.0,349.0,1130.0,1060.0,1080.0,1060.0,1102.0
2016-02-21,3395679.0,3516523278.0,408.0,1081.0,1026.0,1036.0,1030.0,1080.0
2016-02-22,2782909.0,2961733676.0,386.0,1080.0,1030.0,1064.0,1050.0,1036.0
2016-02-23,2337100.0,2417941208.0,319.0,1087.0,1021.0,1035.0,1045.0,1064.0
2016-02-24,1220280.0,1265658913.0,202.0,1060.0,1010.0,1037.0,1035.0,1035.0
2016-02-27,1786354.0,1890489834.0,263.0,1069.0,1035.0,1058.0,1050.0,1037.0
2016-02-28,1931725.0,2019302204.0,247.0,1070.0,1030.0,1045.0,1040.0,1058.0
2016-02-29,2314034.0,2428509355.0,292.0,1076.0,1026.0,1049.0,1050.0,1045.0
2016-03-01,1848006.0,1947886152.0,184.0,1069.0,1040.0,1054.0,1042.0,1049.0
2016-03-02,4082236.0,4183511347.0,299.0,1060.0,1020.0,1025.0,1021.0,1054.0
2016-03-05,2329491.0,2413844007.0,278.0,1050.0,1028.0,1036.0,1028.0,1025.0
2016-03-06,4130975.0,4171752052.0,486.0,1045.0,999.0,1010.0,999.0,1036.0
2016-03-07,3494846.0,3460072906.0,430.0,1015.0,970.0,990.0,970.0,1010.0
2016-03-08,3251878.0,3165956223.0,437.0,985.0,951.0,974.0,972.0,990.0
2016-03-09,3482188.0,3508889447.0,433.0,1022.0,970.0,1008.0,1017.0,974.0
2016-03-12,5812982.0,6126388112.0,528.0,1058.0,1018.0,1054.0,1058.0,1008.0
2016-03-14,3450533.0,3720770613.0,462.0,1101.0,1060.0,1078.0,1073.0,1054.0
2016-03-15,3222743.0,3332952913.0,339.0,1080.0,1025.0,1034.0,1025.0,1078.0
2016-03-16,4581123.0,4536409333.0,537.0,1022.0,983.0,990.0,999.0,1034.0
2016-03-26,2029854.0,2066647564.0,223.0,1029.0,1000.0,1018.0,1029.0,990.0
2016-03-27,1250418.0,1278407626.0,162.0,1057.0,1011.0,1022.0,1033.0,1018.0
2016-03-28,3143352.0,3299382576.0,368.0,1069.0,1021.0,1050.0,1060.0,1022.0
2016-03-29,2420113.0,2511624624.0,222.0,1079.0,1010.0,1038.0,1020.0,1050.0
2016-03-30,2764614.0,2863570090.0,243.0,1050.0,1020.0,1036.0,1037.0,1038.0
2016-04-02,2958899.0,3110127585.0,359.0,1068.0,1028.0,1051.0,1042.0,1036.0
2016-04-03,1548889.0,1594293554.0,195.0,1058.0,1021.0,1029.0,1030.0,1051.0
2016-04-04,2190639.0,2255751426.0,223.0,1050.0,1024.0,1030.0,1029.0,1029.0
2016-04-05,5463253.0,5804517742.0,573.0,1070.0,1035.0,1062.0,1062.0,1030.0
2016-04-06,4997393.0,5504057623.0,411.0,1115.0,1070.0,1101.0,1115.0,1062.0
2016-04-09,1366324.0,1579470544.0,114.0,1156.0,1156.0,1156.0,1156.0,1101.0
2016-04-10,12954427.0,15561508988.0,1064.0,1213.0,1160.0,1201.0,1185.0,1156.0
2016-04-11,11233599.0,13261999371.0,1249.0,1230.0,1141.0,1181.0,1171.0,1201.0
2016-04-12,8909147.0,10730328326.0,1034.0,1230.0,1160.0,1204.0,1197.0,1181.0
2016-04-13,4481119.0,5164299160.0,446.0,1200.0,1144.0,1152.0,1146.0,1204.0
2016-04-16,1439817.0,1591131423.0,150.0,1145.0,1095.0,1105.0,1095.0,1152.0
2016-04-17,4108075.0,4375929627.0,426.0,1090.0,1050.0,1065.0,1088.0,1105.0
2016-04-18,2628069.0,2931029145.0,261.0,1118.0,1093.0,1115.0,1118.0,1065.0
2016-04-19,4233217.0,4658473382.0,363.0,1139.0,1065.0,1100.0,1102.0,1115.0
2016-04-20,1651646.0,1830636608.0,223.0,1140.0,1087.0,1108.0,1095.0,1100.0
2016-04-23,3681296.0,4025917701.0,377.0,1135.0,1060.0,1094.0,1105.0,1108.0
2016-04-24,1766758.0,1926565726.0,366.0,1116.0,1076.0,1090.0,1110.0,1094.0
2016-04-25,1647064.0,1830691121.0,213.0,1125.0,1100.0,1111.0,1101.0,1090.0
2016-04-26,1444755.0,1589838839.0,174.0,1130.0,1090.0,1100.0,1096.0,1111.0
2016-04-27,2830115.0,3126976541.0,271.0,1120.0,1085.0,1105.0,1100.0,1100.0
2016-04-30,1809088.0,2006311677.0,233.0,1130.0,1080.0,1109.0,1120.0,1105.0
2016-05-01,4645463.0,5300620494.0,510.0,1164.0,1091.0,1141.0,1164.0,1109.0
2016-05-02,6831633.0,8169715239.0,743.0,1198.0,1163.0,1196.0,1198.0,1141.0
2016-05-03,13668550.0,16858595835.0,1146.0,1255.0,1154.0,1233.0,1255.0,1196.0
2016-05-04,7753809.0,10028704290.0,508.0,1294.0,1266.0,1293.0,1294.0,1233.0
2016-05-07,19359099.0,25915036783.0,1780.0,1357.0,1270.0,1339.0,1300.0,1293.0
2016-05-08,8411715.0,10756847784.0,737.0,1310.0,1273.0,1279.0,1273.0,1339.0
2016-05-09,8417961.0,10605062628.0,933.0,1299.0,1240.0,1260.0,1250.0,1279.0
2016-05-10,9726172.0,11747103048.0,954.0,1251.0,1197.0,1208.0,1210.0,1260.0
2016-05-11,3945259.0,4743489960.0,520.0,1250.0,1155.0,1202.0,1203.0,1208.0
2016-05-14,2838950.0,3495229731.0,350.0,1250.0,1203.0,1231.0,1216.0,1202.0
2016-05-15,4744243.0,5575493195.0,528.0,1210.0,1170.0,1175.0,1170.0,1231.0
2016-05-16,4009253.0,4922380456.0,356.0,1233.0,1180.0,1228.0,1233.0,1175.0
2016-05-17,3734030.0,4661323635.0,483.0,1280.0,1210.0,1248.0,1229.0,1228.0
2016-05-18,2941660.0,3535733858.0,407.0,1249.0,1191.0,1202.0,1206.0,1248.0
2016-05-21,1159729.0,1385918589.0,199.0,1220.0,1171.0,1195.0,1200.0,1202.0
2016-05-23,2300438.0,2756273696.0,344.0,1237.0,1170.0,1198.0,1182.0,1195.0
2016-05-24,2735152.0,3210009519.0,364.0,1212.0,1161.0,1174.0,1180.0,1198.0
2016-05-25,4607097.0,5617316223.0,610.0,1232.0,1176.0,1219.0,1230.0,1174.0
2016-05-28,3628863.0,4506795670.0,504.0,1271.0,1212.0,1242.0,1218.0,1219.0
2016-05-29,1999759.0,2405508935.0,307.0,1247.0,1193.0,1203.0,1196.0,1242.0
2016-05-30,1034013.0,1231579095.0,145.0,1220.0,1181.0,1191.0,1187.0,1203.0
2016-05-31,1733932.0,2027239400.0,192.0,1210.0,1160.0,1169.0,1170.0,1191.0
2016-06-01,2073516.0,2413226370.0,306.0,1178.0,1140.0,1164.0,1169.0,1169.0
2016-06-05,3065838.0,3652700250.0,301.0,1222.0,1150.0,1191.0,1222.0,1164.0
2016-06-06,7508791.0,9352958474.0,774.0,1250.0,1200.0,1246.0,1246.0,1191.0
2016-06-07,10617291.0,13675240895.0,1071.0,1303.0,1204.0,1288.0,1277.0,1246.0
2016-06-08,4236253.0,5341926198.0,445.0,1303.0,1230.0,1261.0,1250.0,1288.0
2016-06-11,5003566.0,6279922456.0,593.0,1280.0,1233.0,1255.0,1250.0,1261.0
2016-06-12,1408927.0,1698734391.0,196.0,1240.0,1200.0,1206.0,1201.0,1255.0
2016-06-13,1149078.0,1359820547.0,179.0,1230.0,1165.0,1183.0,1178.0,1206.0
2016-06-14,1170927.0,1351304710.0,178.0,1181.0,1145.0,1154.0,1180.0,1183.0
2016-06-15,714814.0,846141294.0,109.0,1197.0,1151.0,1184.0,1192.0,1154.0
2016-06-18,1100595.0,1266642472.0,205.0,1199.0,1130.0,1151.0,1130.0,1184.0
2016-06-19,1064455.0,1190978163.0,162.0,1159.0,1105.0,1119.0,1130.0,1151.0
2016-06-20,512074.0,569472881.0,106.0,1131.0,1101.0,1112.0,1103.0,1119.0
2016-06-21,1322148.0,1461195839.0,199.0,1130.0,1079.0,1105.0,1123.0,1112.0
2016-06-22,1379840.0,1594815346.0,192.0,1160.0,1121.0,1156.0,1160.0,1105.0
2016-06-25,773671.0,866452685.0,116.0,1160.0,1111.0,1120.0,1125.0,1156.0
