Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,6045276.0,16602948650.0,529.0,2823.0,2724.0,2746.0,2724.0,2867.0
2016-02-21,3912712.0,10242973894.0,384.0,2685.0,2609.0,2618.0,2609.0,2746.0
2016-02-22,10609659.0,29075029933.0,715.0,2748.0,2627.0,2740.0,2740.0,2618.0
2016-02-23,6639244.0,17378151243.0,762.0,2800.0,2603.0,2617.0,2603.0,2740.0
2016-02-24,3622990.0,9241798318.0,513.0,2617.0,2487.0,2551.0,2569.0,2617.0
2016-02-27,2434636.0,6124478162.0,484.0,2649.0,2457.0,2516.0,2470.0,2551.0
2016-02-28,6654708.0,16104470747.0,870.0,2560.0,2396.0,2420.0,2400.0,2516.0
2016-02-29,8005578.0,20129463795.0,804.0,2541.0,2301.0,2514.0,2541.0,2420.0
2016-03-01,8430150.0,22210703879.0,732.0,2639.0,2600.0,2635.0,2639.0,2514.0
2016-03-02,3656296.0,9634831175.0,564.0,2700.0,2551.0,2635.0,2639.0,2635.0
2016-03-05,6107208.0,16599997692.0,786.0,2765.0,2561.0,2718.0,2720.0,2635.0
2016-03-06,12768806.0,35986417912.0,1235.0,2853.0,2651.0,2818.0,2853.0,2718.0
2016-03-07,10963508.0,30011831692.0,1145.0,2898.0,2678.0,2737.0,2678.0,2818.0
2016-03-08,8353260.0,22151386937.0,861.0,2770.0,2601.0,2652.0,2625.0,2737.0
2016-03-09,5752258.0,15797067091.0,590.0,2784.0,2580.0,2746.0,2784.0,2652.0
2016-03-12,949354.0,2736987582.0,98.0,2883.0,2883.0,2883.0,2883.0,2746.0
2016-03-14,378651.0,1146176577.0,59.0,3027.0,3027.0,3017.0,3027.0,2883.0
2016-03-15,14594409.0,45878353679.0,1432.0,3167.0,3040.0,3144.0,3167.0,3017.0
2016-03-16,8502492.0,25974209662.0,1251.0,3229.0,2987.0,3055.0,3076.0,3144.0
2016-03-26,6998718.0,20702719823.0,1262.0,3130.0,2903.0,2958.0,3047.0,3055.0
2016-03-27,5280046.0,16028048892.0,859.0,3087.0,2954.0,3036.0,3038.0,2958.0
2016-03-28,5661784.0,17402351000.0,912.0,3187.0,2971.0,3074.0,3187.0,3036.0
2016-03-29,713269.0,2301719063.0,87.0,3227.0,3227.0,3227.0,3227.0,3074.0
2016-03-30,1336770.0,4528976760.0,110.0,3388.0,3388.0,3388.0,3388.0,3227.0
2016-04-02,9911293.0,32208124457.0,1566.0,3400.0,3219.0,3250.0,3219.0,3388.0
2016-04-03,8703370.0,26973262158.0,1051.0,3235.0,3088.0,3099.0,3122.0,3250.0
2016-04-04,4502942.0,14049728547.0,734.0,3230.0,3044.0,3120.0,3080.0,3099.0
2016-04-05,4571189.0,14476156417.0,773.0,3220.0,3070.0,3167.0,3134.0,3120.0
2016-04-06,4201839.0,12998694648.0,789.0,3219.0,3021.0,3094.0,3066.0,3167.0
2016-04-09,3119957.0,9659080003.0,640.0,3150.0,3031.0,3096.0,3089.0,3094.0
2016-04-10,3744176.0,11140880508.0,685.0,3052.0,2942.0,2976.0,2942.0,3096.0
2016-04-11,1977381.0,5846440582.0,486.0,3049.0,2900.0,2957.0,2919.0,2976.0
2016-04-12,2764745.0,7860855920.0,608.0,3019.0,2810.0,2843.0,2810.0,2957.0
2016-04-13,1175124.0,3185502090.0,196.0,2764.0,2701.0,2711.0,2701.0,2843.0
2016-04-16,332557.0,856681742.0,68.0,2579.0,2576.0,2601.0,2576.0,2711.0
2016-04-17,3391050.0,8399986958.0,428.0,2560.0,2471.0,2477.0,2471.0,2601.0
2016-04-18,2089341.0,5333982041.0,373.0,2600.0,2400.0,2553.0,2572.0,2477.0
