,Date,Trend
0,2015-08-09,0
1,2015-08-16,0
2,2015-08-23,0
3,2015-08-30,0
4,2015-09-06,0
5,2015-09-13,1
6,2015-09-20,1
7,2015-09-27,0
8,2015-10-04,2
9,2015-10-11,1
10,2015-10-18,0
11,2015-10-25,1
12,2015-11-01,0
13,2015-11-08,1
14,2015-11-15,1
15,2015-11-22,0
16,2015-11-29,1
17,2015-12-06,3
18,2015-12-13,1
19,2015-12-20,0
20,2015-12-27,2
21,2016-01-03,2
22,2016-01-10,0
23,2016-01-17,1
24,2016-01-24,1
25,2016-01-31,0
26,2016-02-07,1
27,2016-02-14,2
28,2016-02-21,1
29,2016-02-28,6
30,2016-03-06,1
31,2016-03-13,1
32,2016-03-20,2
33,2016-03-27,0
34,2016-04-03,1
35,2016-04-10,2
36,2016-04-17,2
37,2016-04-24,1
38,2016-05-01,2
39,2016-05-08,1
40,2016-05-15,0
41,2016-05-22,2
42,2016-05-29,2
43,2016-06-05,2
44,2016-06-12,1
45,2016-06-19,0
46,2016-06-26,0
47,2016-07-03,0
48,2016-07-10,0
49,2016-07-17,3
50,2016-07-24,2
51,2016-07-31,2
52,2016-08-07,0
53,2016-08-14,5
54,2016-08-21,2
55,2016-08-28,0
56,2016-09-04,2
57,2016-09-11,0
58,2016-09-18,0
59,2016-09-25,2
60,2016-10-02,1
61,2016-10-09,3
62,2016-10-16,0
63,2016-10-23,0
64,2016-10-30,2
65,2016-11-06,2
66,2016-11-13,0
67,2016-11-20,0
68,2016-11-27,2
69,2016-12-04,0
70,2016-12-11,1
71,2016-12-18,3
72,2016-12-25,0
73,2017-01-01,1
74,2017-01-08,0
75,2017-01-15,0
76,2017-01-22,1
77,2017-01-29,0
78,2017-02-05,0
79,2017-02-12,0
80,2017-02-19,2
81,2017-02-26,3
82,2017-03-05,1
83,2017-03-12,0
84,2017-03-19,0
85,2017-03-26,3
86,2017-04-02,1
87,2017-04-09,0
88,2017-04-16,0
89,2017-04-23,1
90,2017-04-30,1
91,2017-05-07,1
92,2017-05-14,1
93,2017-05-21,1
94,2017-05-28,0
95,2017-06-04,3
96,2017-06-11,0
97,2017-06-18,1
98,2017-06-25,0
99,2017-07-02,0
100,2017-07-09,0
101,2017-07-16,0
102,2017-07-23,0
103,2017-07-30,0
104,2017-08-06,0
105,2017-08-13,0
106,2017-08-20,0
107,2017-08-27,0
108,2017-09-03,1
109,2017-09-10,1
110,2017-09-17,0
111,2017-09-24,1
112,2017-10-01,0
113,2017-10-08,1
114,2017-10-15,1
115,2017-10-22,0
116,2017-10-29,1
117,2017-11-05,0
118,2017-11-12,0
119,2017-11-19,1
120,2017-11-26,0
121,2017-12-03,0
122,2017-12-10,0
123,2017-12-17,0
124,2017-12-24,0
125,2017-12-31,0
126,2018-01-07,1
127,2018-01-14,0
128,2018-01-21,1
129,2018-01-28,0
130,2018-02-04,0
131,2018-02-11,1
132,2018-02-18,1
133,2018-02-25,1
134,2018-03-04,1
135,2018-03-11,0
136,2018-03-18,1
137,2018-03-25,0
138,2018-04-01,0
139,2018-04-08,1
140,2018-04-15,1
141,2018-04-22,0
142,2018-04-29,1
143,2018-05-06,0
144,2018-05-13,1
145,2018-05-20,0
146,2018-05-27,1
147,2018-06-03,0
148,2018-06-10,0
149,2018-06-17,0
150,2018-06-24,0
151,2018-07-01,4
152,2018-07-08,0
153,2018-07-15,1
154,2018-07-22,1
155,2018-07-29,2
156,2018-08-05,0
157,2018-08-12,1
158,2018-08-19,3
159,2018-08-26,0
160,2018-09-02,0
161,2018-09-09,0
162,2018-09-16,1
163,2018-09-23,2
164,2018-09-30,4
165,2018-10-07,2
166,2018-10-14,1
167,2018-10-21,3
168,2018-10-28,4
169,2018-11-04,0
170,2018-11-11,3
171,2018-11-18,1
172,2018-11-25,0
173,2018-12-02,0
174,2018-12-09,1
175,2018-12-16,1
176,2018-12-23,2
177,2018-12-30,3
178,2019-01-06,0
179,2019-01-13,1
180,2019-01-20,0
181,2019-01-27,1
182,2019-02-03,1
183,2019-02-10,1
184,2019-02-17,0
185,2019-02-24,2
186,2019-03-03,0
187,2019-03-10,0
188,2019-03-17,2
189,2019-03-24,0
190,2019-03-31,0
191,2019-04-07,0
192,2019-04-14,1
193,2019-04-21,1
194,2019-04-28,3
195,2019-05-05,1
196,2019-05-12,3
197,2019-05-19,1
198,2019-05-26,1
199,2019-06-02,0
200,2019-06-09,2
201,2019-06-16,1
202,2019-06-23,2
203,2019-06-30,0
204,2019-07-07,0
205,2019-07-14,3
206,2019-07-21,1
207,2019-07-28,1
208,2019-08-04,1
209,2019-08-11,1
210,2019-08-18,3
211,2019-08-25,2
212,2019-09-01,4
213,2019-09-08,4
214,2019-09-15,13
215,2019-09-22,20
216,2019-09-29,22
217,2019-10-06,20
218,2019-10-13,16
219,2019-10-20,17
220,2019-10-27,12
221,2019-11-03,19
222,2019-11-10,20
223,2019-11-17,2
224,2019-11-24,10
225,2019-12-01,18
226,2019-12-08,15
227,2019-12-15,19
228,2019-12-22,22
229,2019-12-29,21
