,Date,Trend
0,2015-08-09,0
1,2015-08-16,9
2,2015-08-23,0
3,2015-08-30,8
4,2015-09-06,0
5,2015-09-13,0
6,2015-09-20,8
7,2015-09-27,0
8,2015-10-04,0
9,2015-10-11,8
10,2015-10-18,0
11,2015-10-25,8
12,2015-11-01,0
13,2015-11-08,8
14,2015-11-15,8
15,2015-11-22,24
16,2015-11-29,0
17,2015-12-06,16
18,2015-12-13,0
19,2015-12-20,0
20,2015-12-27,0
21,2016-01-03,9
22,2016-01-10,0
23,2016-01-17,0
24,2016-01-24,8
25,2016-01-31,8
26,2016-02-07,8
27,2016-02-14,0
28,2016-02-21,8
29,2016-02-28,8
30,2016-03-06,0
31,2016-03-13,8
32,2016-03-20,0
33,2016-03-27,0
34,2016-04-03,0
35,2016-04-10,8
36,2016-04-17,8
37,2016-04-24,8
38,2016-05-01,0
39,2016-05-08,17
40,2016-05-15,0
41,2016-05-22,0
42,2016-05-29,13
43,2016-06-05,8
44,2016-06-12,0
45,2016-06-19,9
46,2016-06-26,9
47,2016-07-03,9
48,2016-07-10,0
49,2016-07-17,9
50,2016-07-24,0
51,2016-07-31,0
52,2016-08-07,9
53,2016-08-14,14
54,2016-08-21,0
55,2016-08-28,9
56,2016-09-04,9
57,2016-09-11,9
58,2016-09-18,0
59,2016-09-25,9
60,2016-10-02,9
61,2016-10-09,13
62,2016-10-16,9
63,2016-10-23,9
64,2016-10-30,17
65,2016-11-06,0
66,2016-11-13,0
67,2016-11-20,0
68,2016-11-27,8
69,2016-12-04,8
70,2016-12-11,8
71,2016-12-18,9
72,2016-12-25,9
73,2017-01-01,0
74,2017-01-08,0
75,2017-01-15,0
76,2017-01-22,0
77,2017-01-29,0
78,2017-02-05,0
79,2017-02-12,15
80,2017-02-19,0
81,2017-02-26,0
82,2017-03-05,8
83,2017-03-12,0
84,2017-03-19,0
85,2017-03-26,16
86,2017-04-02,8
87,2017-04-09,8
88,2017-04-16,8
89,2017-04-23,0
90,2017-04-30,8
91,2017-05-07,0
92,2017-05-14,0
93,2017-05-21,0
94,2017-05-28,8
95,2017-06-04,0
96,2017-06-11,8
97,2017-06-18,0
98,2017-06-25,0
99,2017-07-02,13
100,2017-07-09,8
101,2017-07-16,8
102,2017-07-23,0
103,2017-07-30,0
104,2017-08-06,8
105,2017-08-13,0
106,2017-08-20,8
107,2017-08-27,8
108,2017-09-03,0
109,2017-09-10,0
110,2017-09-17,12
111,2017-09-24,0
112,2017-10-01,8
113,2017-10-08,0
114,2017-10-15,8
115,2017-10-22,0
116,2017-10-29,8
117,2017-11-05,8
118,2017-11-12,0
119,2017-11-19,8
120,2017-11-26,0
121,2017-12-03,0
122,2017-12-10,30
123,2017-12-17,12
124,2017-12-24,0
125,2017-12-31,8
126,2018-01-07,0
127,2018-01-14,0
128,2018-01-21,29
129,2018-01-28,15
130,2018-02-04,7
131,2018-02-11,15
132,2018-02-18,11
133,2018-02-25,18
134,2018-03-04,7
135,2018-03-11,0
136,2018-03-18,7
137,2018-03-25,8
138,2018-04-01,0
139,2018-04-08,7
140,2018-04-15,0
141,2018-04-22,7
142,2018-04-29,8
143,2018-05-06,7
144,2018-05-13,22
145,2018-05-20,0
146,2018-05-27,15
147,2018-06-03,7
148,2018-06-10,0
149,2018-06-17,0
150,2018-06-24,15
151,2018-07-01,7
152,2018-07-08,0
153,2018-07-15,8
154,2018-07-22,7
155,2018-07-29,7
156,2018-08-05,15
157,2018-08-12,7
158,2018-08-19,7
159,2018-08-26,11
160,2018-09-02,15
161,2018-09-09,29
162,2018-09-16,7
163,2018-09-23,11
164,2018-09-30,14
165,2018-10-07,18
166,2018-10-14,15
167,2018-10-21,18
168,2018-10-28,22
169,2018-11-04,7
170,2018-11-11,11
171,2018-11-18,14
172,2018-11-25,7
173,2018-12-02,0
174,2018-12-09,7
175,2018-12-16,30
176,2018-12-23,0
177,2018-12-30,8
178,2019-01-06,7
179,2019-01-13,0
180,2019-01-20,0
181,2019-01-27,7
