,Date,Trend
0,2015-08-09,4
1,2015-08-16,0
2,2015-08-23,6
3,2015-08-30,7
4,2015-09-06,6
5,2015-09-13,4
6,2015-09-20,4
7,2015-09-27,4
8,2015-10-04,6
9,2015-10-11,7
10,2015-10-18,6
11,2015-10-25,4
12,2015-11-01,7
13,2015-11-08,8
14,2015-11-15,6
15,2015-11-22,7
16,2015-11-29,7
17,2015-12-06,7
18,2015-12-13,6
19,2015-12-20,4
20,2015-12-27,4
21,2016-01-03,4
22,2016-01-10,6
23,2016-01-17,9
24,2016-01-24,11
25,2016-01-31,7
26,2016-02-07,10
27,2016-02-14,13
28,2016-02-21,15
29,2016-02-28,7
30,2016-03-06,7
31,2016-03-13,6
32,2016-03-20,6
33,2016-03-27,11
34,2016-04-03,6
35,2016-04-10,7
36,2016-04-17,12
37,2016-04-24,7
38,2016-05-01,5
39,2016-05-08,5
40,2016-05-15,5
41,2016-05-22,8
42,2016-05-29,4
43,2016-06-05,6
44,2016-06-12,4
45,2016-06-19,6
46,2016-06-26,8
47,2016-07-03,4
48,2016-07-10,5
49,2016-07-17,4
50,2016-07-24,8
51,2016-07-31,4
52,2016-08-07,10
53,2016-08-14,8
54,2016-08-21,12
55,2016-08-28,5
56,2016-09-04,4
57,2016-09-11,4
58,2016-09-18,10
59,2016-09-25,4
60,2016-10-02,6
61,2016-10-09,6
62,2016-10-16,9
63,2016-10-23,4
64,2016-10-30,9
65,2016-11-06,7
66,2016-11-13,12
67,2016-11-20,4
68,2016-11-27,7
69,2016-12-04,5
70,2016-12-11,4
71,2016-12-18,4
72,2016-12-25,16
73,2017-01-01,5
74,2017-01-08,5
75,2017-01-15,9
76,2017-01-22,6
77,2017-01-29,6
78,2017-02-05,5
79,2017-02-12,0
80,2017-02-19,3
81,2017-02-26,6
82,2017-03-05,5
83,2017-03-12,0
84,2017-03-19,3
85,2017-03-26,7
86,2017-04-02,7
87,2017-04-09,7
88,2017-04-16,5
89,2017-04-23,3
90,2017-04-30,8
91,2017-05-07,3
92,2017-05-14,7
93,2017-05-21,7
94,2017-05-28,4
95,2017-06-04,5
96,2017-06-11,5
97,2017-06-18,4
98,2017-06-25,4
99,2017-07-02,8
100,2017-07-09,9
101,2017-07-16,7
102,2017-07-23,7
103,2017-07-30,9
104,2017-08-06,4
105,2017-08-13,4
106,2017-08-20,10
107,2017-08-27,6
108,2017-09-03,7
109,2017-09-10,5
110,2017-09-17,7
111,2017-09-24,5
112,2017-10-01,5
113,2017-10-08,14
114,2017-10-15,5
115,2017-10-22,8
116,2017-10-29,7
117,2017-11-05,6
118,2017-11-12,6
119,2017-11-19,6
120,2017-11-26,3
121,2017-12-03,6
122,2017-12-10,7
123,2017-12-17,5
124,2017-12-24,6
125,2017-12-31,7
126,2018-01-07,5
127,2018-01-14,3
128,2018-01-21,5
129,2018-01-28,5
130,2018-02-04,8
131,2018-02-11,13
132,2018-02-18,15
133,2018-02-25,8
134,2018-03-04,6
135,2018-03-11,16
136,2018-03-18,3
137,2018-03-25,3
138,2018-04-01,7
139,2018-04-08,5
140,2018-04-15,23
141,2018-04-22,12
142,2018-04-29,10
143,2018-05-06,7
144,2018-05-13,11
145,2018-05-20,17
146,2018-05-27,19
147,2018-06-03,12
148,2018-06-10,12
149,2018-06-17,13
150,2018-06-24,8
151,2018-07-01,10
152,2018-07-08,8
153,2018-07-15,12
154,2018-07-22,4
155,2018-07-29,17
156,2018-08-05,10
157,2018-08-12,3
158,2018-08-19,7
159,2018-08-26,6
160,2018-09-02,6
161,2018-09-09,16
162,2018-09-16,10
163,2018-09-23,11
164,2018-09-30,7
165,2018-10-07,15
166,2018-10-14,12
167,2018-10-21,5
168,2018-10-28,11
169,2018-11-04,9
170,2018-11-11,7
171,2018-11-18,9
172,2018-11-25,9
173,2018-12-02,7
174,2018-12-09,11
175,2018-12-16,14
176,2018-12-23,7
177,2018-12-30,13
178,2019-01-06,7
179,2019-01-13,8
180,2019-01-20,5
181,2019-01-27,11
182,2019-02-03,8
183,2019-02-10,10
184,2019-02-17,15
185,2019-02-24,7
186,2019-03-03,7
187,2019-03-10,9
188,2019-03-17,3
189,2019-03-24,16
190,2019-03-31,15
191,2019-04-07,18
192,2019-04-14,14
193,2019-04-21,14
194,2019-04-28,6
195,2019-05-05,19
196,2019-05-12,17
197,2019-05-19,23
198,2019-05-26,18
199,2019-06-02,16
200,2019-06-09,20
201,2019-06-16,17
202,2019-06-23,7
203,2019-06-30,19
204,2019-07-07,14
205,2019-07-14,18
206,2019-07-21,17
207,2019-07-28,16
208,2019-08-04,24
209,2019-08-11,35
210,2019-08-18,26
211,2019-08-25,31
212,2019-09-01,31
213,2019-09-08,31
214,2019-09-15,46
215,2019-09-22,35
216,2019-09-29,36
217,2019-10-06,47
218,2019-10-13,37
219,2019-10-20,48
220,2019-10-27,19
221,2019-11-03,22
222,2019-11-10,28
223,2019-11-17,0
224,2019-11-24,13
225,2019-12-01,31
226,2019-12-08,43
227,2019-12-15,48
228,2019-12-22,55
229,2019-12-29,50
230,2020-01-05,19
231,2020-01-12,52
232,2020-01-19,47
233,2020-01-26,45
234,2020-02-02,51
