,Date,Trend
0,2015-08-09,6
1,2015-08-16,6
2,2015-08-23,7
3,2015-08-30,6
4,2015-09-06,8
5,2015-09-13,7
6,2015-09-20,11
7,2015-09-27,8
8,2015-10-04,8
9,2015-10-11,7
10,2015-10-18,8
11,2015-10-25,9
12,2015-11-01,8
13,2015-11-08,7
14,2015-11-15,6
15,2015-11-22,7
16,2015-11-29,8
17,2015-12-06,8
18,2015-12-13,7
19,2015-12-20,7
20,2015-12-27,8
21,2016-01-03,9
22,2016-01-10,8
23,2016-01-17,8
24,2016-01-24,8
25,2016-01-31,9
26,2016-02-07,9
27,2016-02-14,8
28,2016-02-21,7
29,2016-02-28,7
30,2016-03-06,7
31,2016-03-13,8
32,2016-03-20,12
33,2016-03-27,11
34,2016-04-03,16
35,2016-04-10,14
36,2016-04-17,13
37,2016-04-24,10
38,2016-05-01,12
39,2016-05-08,11
40,2016-05-15,11
41,2016-05-22,10
42,2016-05-29,11
43,2016-06-05,66
44,2016-06-12,23
45,2016-06-19,23
46,2016-06-26,20
47,2016-07-03,12
48,2016-07-10,9
49,2016-07-17,9
50,2016-07-24,9
51,2016-07-31,10
52,2016-08-07,9
53,2016-08-14,10
54,2016-08-21,11
55,2016-08-28,11
56,2016-09-04,10
57,2016-09-11,9
58,2016-09-18,14
59,2016-09-25,13
60,2016-10-02,11
61,2016-10-09,11
62,2016-10-16,10
63,2016-10-23,11
64,2016-10-30,10
65,2016-11-06,10
66,2016-11-13,10
67,2016-11-20,11
68,2016-11-27,12
69,2016-12-04,11
70,2016-12-11,10
71,2016-12-18,11
72,2016-12-25,13
73,2017-01-01,13
74,2017-01-08,11
75,2017-01-15,11
76,2017-01-22,12
77,2017-01-29,10
78,2017-02-05,11
79,2017-02-12,12
80,2017-02-19,12
81,2017-02-26,12
82,2017-03-05,10
83,2017-03-12,10
84,2017-03-19,15
85,2017-03-26,17
86,2017-04-02,14
87,2017-04-09,17
88,2017-04-16,12
89,2017-04-23,14
90,2017-04-30,10
91,2017-05-07,12
92,2017-05-14,11
93,2017-05-21,54
94,2017-05-28,39
95,2017-06-04,27
96,2017-06-11,28
97,2017-06-18,21
98,2017-06-25,11
99,2017-07-02,11
100,2017-07-09,11
101,2017-07-16,12
102,2017-07-23,11
103,2017-07-30,12
104,2017-08-06,11
105,2017-08-13,11
106,2017-08-20,12
107,2017-08-27,15
108,2017-09-03,12
109,2017-09-10,12
110,2017-09-17,17
111,2017-09-24,15
112,2017-10-01,14
113,2017-10-08,12
114,2017-10-15,13
115,2017-10-22,12
116,2017-10-29,13
117,2017-11-05,14
118,2017-11-12,14
119,2017-11-19,14
120,2017-11-26,12
121,2017-12-03,13
122,2017-12-10,13
123,2017-12-17,14
124,2017-12-24,15
125,2017-12-31,15
126,2018-01-07,12
127,2018-01-14,14
128,2018-01-21,14
129,2018-01-28,13
130,2018-02-04,12
131,2018-02-11,13
132,2018-02-18,16
133,2018-02-25,14
134,2018-03-04,13
135,2018-03-11,13
136,2018-03-18,18
137,2018-03-25,21
138,2018-04-01,19
139,2018-04-08,20
140,2018-04-15,18
141,2018-04-22,16
142,2018-04-29,16
143,2018-05-06,16
144,2018-05-13,90
145,2018-05-20,48
146,2018-05-27,38
147,2018-06-03,41
148,2018-06-10,23
149,2018-06-17,11
150,2018-06-24,12
151,2018-07-01,12
152,2018-07-08,12
153,2018-07-15,14
154,2018-07-22,14
155,2018-07-29,13
156,2018-08-05,14
157,2018-08-12,14
158,2018-08-19,16
159,2018-08-26,13
160,2018-09-02,14
161,2018-09-09,16
162,2018-09-16,20
163,2018-09-23,17
164,2018-09-30,16
165,2018-10-07,14
166,2018-10-14,14
167,2018-10-21,15
168,2018-10-28,15
169,2018-11-04,16
170,2018-11-11,13
171,2018-11-18,16
172,2018-11-25,17
173,2018-12-02,17
174,2018-12-09,15
175,2018-12-16,16
176,2018-12-23,18
177,2018-12-30,17
178,2019-01-06,17
179,2019-01-13,15
180,2019-01-20,15
181,2019-01-27,16
182,2019-02-03,16
183,2019-02-10,17
184,2019-02-17,17
185,2019-02-24,14
186,2019-03-03,17
187,2019-03-10,15
188,2019-03-17,20
189,2019-03-24,23
190,2019-03-31,23
191,2019-04-07,21
192,2019-04-14,19
193,2019-04-21,18
194,2019-04-28,21
195,2019-05-05,100
196,2019-05-12,50
197,2019-05-19,49
198,2019-05-26,45
199,2019-06-02,26
200,2019-06-09,16
201,2019-06-16,17
202,2019-06-23,17
203,2019-06-30,18
204,2019-07-07,17
205,2019-07-14,17
206,2019-07-21,20
207,2019-07-28,19
208,2019-08-04,19
209,2019-08-11,19
210,2019-08-18,18
211,2019-08-25,18
212,2019-09-01,20
213,2019-09-08,21
214,2019-09-15,19
215,2019-09-22,24
216,2019-09-29,21
217,2019-10-06,20
218,2019-10-13,20
219,2019-10-20,20
220,2019-10-27,19
221,2019-11-03,19
222,2019-11-10,17
223,2019-11-17,2
224,2019-11-24,11
225,2019-12-01,17
226,2019-12-08,17
227,2019-12-15,17
228,2019-12-22,18
229,2019-12-29,19
230,2020-01-05,19
231,2020-01-12,24
232,2020-01-19,19
233,2020-01-26,17
234,2020-02-02,18
235,2020-02-09,16
236,2020-02-16,16
237,2020-02-23,19
238,2020-03-01,17
239,2020-03-08,22
240,2020-03-15,23
241,2020-03-22,27
242,2020-03-29,24
243,2020-04-05,27
244,2020-04-12,23
245,2020-04-19,66
246,2020-04-26,65
247,2020-05-03,54
248,2020-05-10,59
249,2020-05-17,44
250,2020-05-24,18
251,2020-05-31,19
252,2020-06-07,19
253,2020-06-14,20
254,2020-06-21,22
255,2020-06-28,22
256,2020-07-05,23
257,2020-07-12,27
258,2020-07-19,27
259,2020-07-26,24
260,2020-08-02,26
