Date,Close,Open,Low,High,Volume,Trades
2004-03-17,1750.0,1750.0,1750.0,1750.0,349000,209
2004-03-29,1837.0,1837.0,1837.0,1837.0,11000,4
2004-03-30,1839.0,1928.0,1839.0,1928.0,250,2
2004-04-05,1849.0,1930.0,1849.0,1930.0,1500,2
2004-04-12,1853.0,1941.0,1853.0,1941.0,600,3
2004-04-13,1873.0,1945.0,1873.0,1945.0,3000,2
2004-04-17,1892.0,1966.0,1892.0,1966.0,2800,4
2004-04-18,1922.0,1986.0,1922.0,1986.0,4410,2
2004-04-21,1966.0,2018.0,1966.0,2018.0,6350,6
2004-04-27,1966.0,2064.0,1966.0,2064.0,500,2
2004-05-01,1971.0,2064.0,1971.0,2064.0,770,2
2004-05-03,1981.0,2069.0,1981.0,2069.0,1500,2
2004-05-04,2080.0,2080.0,2080.0,2080.0,14000,17
2004-05-05,2184.0,2184.0,2184.0,2184.0,14000,19
2004-05-08,2264.0,2293.0,2264.0,2293.0,10000,4
2004-05-09,2266.0,2377.0,2266.0,2377.0,300,2
2004-05-10,2379.0,2379.0,2379.0,2379.0,14600,12
2004-05-11,2497.0,2497.0,2497.0,2497.0,14600,4
2004-05-12,2621.0,2621.0,2621.0,2621.0,14600,9
2004-05-15,2752.0,2752.0,2752.0,2752.0,14600,8
2004-05-16,2889.0,2889.0,2889.0,2889.0,14600,11
2004-05-17,3033.0,3033.0,3033.0,3033.0,18100,11
2004-05-18,3184.0,3184.0,3184.0,3184.0,14600,5
2004-05-19,3343.0,3343.0,3343.0,3343.0,14600,10
2004-05-22,3432.0,3510.0,3432.0,3510.0,7300,13
2004-05-24,3603.0,3603.0,3603.0,3603.0,14600,10
2004-05-25,3783.0,3783.0,3783.0,3783.0,15600,12
2004-05-26,3972.0,3972.0,3972.0,3972.0,14600,13
2004-05-29,4170.0,4170.0,4170.0,4170.0,14600,9
2004-05-30,4378.0,4378.0,4378.0,4378.0,14600,13
2004-05-31,4596.0,4596.0,4596.0,4596.0,14600,18
2004-06-01,4825.0,4825.0,4825.0,4825.0,33619,29
2004-06-02,5066.0,5066.0,5066.0,5066.0,13600,11
2004-06-05,5319.0,5319.0,5319.0,5319.0,20910,16
2004-06-06,5369.0,5584.0,5369.0,5584.0,2580,3
2004-06-07,5564.0,5637.0,5564.0,5637.0,9925,15
2004-06-08,5765.0,5842.0,5765.0,5842.0,9848,16
2004-06-09,6053.0,6053.0,6053.0,6053.0,14000,12
2004-06-12,6348.0,6355.0,6348.0,6355.0,13323,18
2004-06-13,6663.0,6665.0,6053.0,6665.0,267670,198
2004-06-14,6833.0,6996.0,6833.0,6996.0,6957,9
2004-06-15,6858.0,7174.0,6858.0,7174.0,1025,7
2004-06-16,6950.0,7200.0,6950.0,7200.0,3679,7
2004-06-19,7031.0,7297.0,7031.0,7297.0,3210,5
2004-06-20,7374.0,7382.0,7297.0,7382.0,103814,49
2004-06-21,7521.0,7736.0,7500.0,7739.0,30170,25
2004-06-22,7513.0,7521.0,7400.0,7700.0,26995,37
2004-06-23,7506.0,7487.0,7383.0,7506.0,3056,7
2004-06-26,7131.0,7131.0,7131.0,7131.0,51550,33
2004-06-27,7130.0,7127.0,7127.0,7130.0,216,2
2004-06-28,7095.0,6774.0,6774.0,7095.0,1364,4
2004-06-30,7077.0,6741.0,6741.0,7077.0,672,2
2004-07-03,6783.0,6724.0,6724.0,6783.0,11308,11
2004-07-04,6770.0,6444.0,6444.0,6770.0,528,2
2004-07-05,6432.0,6432.0,6432.0,6432.0,28801,19
2004-07-06,6435.0,6429.0,6429.0,6451.0,38303,19
2004-07-07,6541.0,6461.0,6435.0,6697.0,13907,8
2004-07-10,6716.0,6747.0,6680.0,6753.0,40819,19
2004-07-11,6743.0,6744.0,6742.0,6748.0,23100,10
2004-07-13,6770.0,6727.0,6727.0,7080.0,26509,15
2004-07-14,6730.0,6699.0,6699.0,6730.0,7660,6
2004-07-17,6716.0,6600.0,6600.0,6730.0,4360,7
2004-07-18,6684.0,6600.0,6600.0,6716.0,13853,13
2004-07-19,6633.0,6600.0,6600.0,6684.0,8210,5
2004-07-24,6589.0,6520.0,6500.0,6589.0,4481,6
2004-07-25,6588.0,6584.0,6584.0,6588.0,2195,2
2004-07-26,6571.0,6500.0,6500.0,6574.0,2643,8
2004-07-27,6519.0,6570.0,6400.0,6573.0,14505,13
2004-07-28,6518.0,6518.0,6518.0,6519.0,12830,8
2004-07-31,6518.0,6520.0,6518.0,6599.0,462,3
2004-08-01,6518.0,6518.0,6518.0,6520.0,23768,12
2004-08-03,6518.0,6518.0,6518.0,6518.0,19267,18
2004-08-04,6518.0,6518.0,6518.0,6518.0,12174,14
2004-08-07,6518.0,6518.0,6518.0,6518.0,14070,6
2004-08-11,6518.0,6518.0,6518.0,6518.0,17268,10
2004-08-14,6517.0,6517.0,6517.0,6518.0,2204,7
2004-08-15,6516.0,6518.0,6516.0,6519.0,11070,10
2004-08-16,6516.0,6519.0,6516.0,6519.0,1200,5
2004-08-17,6526.0,6520.0,6519.0,6601.0,93039,24
2004-08-22,6528.0,6540.0,6528.0,6540.0,2160,4
2004-08-23,6542.0,6542.0,6542.0,6544.0,21346,8
2004-08-24,6542.0,6542.0,6542.0,6543.0,1548,3
2004-08-25,6542.0,6545.0,6542.0,6545.0,1710,3
2004-08-31,6545.0,6562.0,6545.0,6607.0,1010,3
2004-09-01,6546.0,6565.0,6546.0,6575.0,560,3
2004-09-04,6618.0,6873.0,6618.0,6873.0,3010,2
2004-09-05,6625.0,6948.0,6625.0,6948.0,310,2
2004-09-07,6652.0,6956.0,6652.0,6956.0,1160,4
2004-09-08,6666.0,6984.0,6666.0,6984.0,610,3
2004-09-11,6675.0,6999.0,6675.0,6999.0,410,2
2004-09-12,6717.0,7008.0,6717.0,7008.0,1729,3
2004-09-22,4750.0,3500.0,3500.0,5000.0,610,3
2004-09-25,4797.0,4987.0,4797.0,4987.0,2710,4
2004-09-26,4816.0,5036.0,4816.0,5036.0,1110,5
2004-09-27,4989.0,5056.0,4989.0,5056.0,9971,6
2004-09-28,4990.0,4990.0,4989.0,5030.0,1722,4
2004-10-02,5108.0,5011.0,5011.0,5120.0,13070,8
2004-10-03,5115.0,5120.0,5115.0,5120.0,8777,5
2004-10-04,5115.0,5140.0,5115.0,5140.0,510,2
2004-10-06,5105.0,5000.0,5000.0,5105.0,1159,5
2004-10-09,5080.0,5126.0,5001.0,5128.0,43132,18
2004-10-13,5078.0,5059.0,5059.0,5078.0,1089,3
2004-10-16,5037.0,5050.0,5000.0,5050.0,20751,7
2004-10-17,5043.0,5035.0,4999.0,5180.0,245565,52
2004-10-18,5063.0,5100.0,5063.0,5180.0,2434,4
2004-10-20,5066.0,5083.0,5066.0,5084.0,2400,8
2004-10-23,5108.0,5084.0,5072.0,5140.0,20136,8
2004-10-24,5143.0,5300.0,5108.0,5300.0,3105,7
2004-10-25,5169.0,5108.0,5100.0,5300.0,94892,29
2004-10-26,5421.0,5400.0,5400.0,5427.0,15133,6
2004-10-27,5692.0,5692.0,5692.0,5692.0,46230,21
2004-10-30,5706.0,5976.0,5706.0,5976.0,700,6
2004-10-31,5987.0,5991.0,5690.0,5991.0,175503,52
2004-11-01,5928.0,5950.0,5900.0,5980.0,59344,25
2004-11-02,6191.0,6150.0,6099.0,6224.0,45124,22
2004-11-03,6500.0,6500.0,6500.0,6500.0,20132,8
2004-11-06,6723.0,6825.0,6480.0,6825.0,118387,58
2004-11-07,6696.0,6720.0,6679.0,6720.0,45664,25
2004-11-08,6709.0,6697.0,6696.0,6996.0,25418,17
2004-11-09,6770.0,6709.0,6709.0,6999.0,7924,12
2004-11-10,6774.0,6760.0,6760.0,6800.0,2748,6
2004-11-13,6448.0,6760.0,6436.0,6760.0,27703,11
2004-11-15,6515.0,6746.0,6515.0,6746.0,3118,5
2004-11-16,6261.0,6515.0,6200.0,6515.0,13745,9
2004-11-17,6363.0,6203.0,6201.0,6574.0,13797,23
2004-11-20,6165.0,6100.0,6067.0,6201.0,16002,14
2004-11-22,6056.0,5951.0,5951.0,6056.0,6936,5
2004-11-23,6201.0,6071.0,6071.0,6358.0,12253,13
2004-11-24,6226.0,6358.0,6225.0,6358.0,5158,9
2004-11-27,6221.0,6227.0,6082.0,6228.0,1834,5
2004-11-28,6232.0,6355.0,6232.0,6355.0,1208,6
2004-11-29,6232.0,6232.0,6232.0,6320.0,1031,3
2004-12-01,6223.0,6280.0,5921.0,6280.0,374,3
2004-12-04,6222.0,6210.0,6210.0,6222.0,110,2
2004-12-05,6163.0,5921.0,5921.0,6163.0,2656,3
2004-12-06,6117.0,5855.0,5855.0,6117.0,2010,2
2004-12-11,5850.0,5813.0,5812.0,6090.0,123420,46
2004-12-12,5971.0,6079.0,5971.0,6142.0,6314,11
2004-12-13,6019.0,6180.0,6000.0,6180.0,13447,8
2004-12-14,6019.0,6020.0,6019.0,6021.0,29839,17
2004-12-15,6037.0,6024.0,6024.0,6088.0,3919,4
2004-12-18,6037.0,6037.0,6037.0,6037.0,5000,1
2004-12-26,6096.0,6100.0,6000.0,6100.0,25360,11
2004-12-27,6195.0,6199.0,6081.0,6400.0,39914,16
2005-01-08,6176.0,5999.0,5999.0,6504.0,2649,6
2005-01-09,6463.0,6394.0,6394.0,6484.0,32783,23
2005-01-10,6689.0,6403.0,6401.0,6786.0,28024,19
2005-01-11,6654.0,6599.0,6599.0,6680.0,8758,13
2005-01-12,6835.0,6967.0,6654.0,6980.0,31033,13
2005-01-15,7090.0,7022.0,7022.0,7176.0,23040,14
2005-01-16,7129.0,7090.0,7090.0,7140.0,43516,23
2005-01-17,7125.0,7128.0,7125.0,7128.0,1192,7
2005-01-22,7200.0,7200.0,7200.0,7200.0,1500,2
2005-01-23,7235.0,7100.0,7100.0,7339.0,11796,12
2005-01-24,7338.0,7237.0,7237.0,7500.0,8883,7
2005-01-25,7342.0,7341.0,7340.0,7346.0,9951,12
2005-01-26,7346.0,7351.0,7342.0,7351.0,23155,9
2005-01-30,7360.0,7500.0,7360.0,7500.0,11536,5
2005-01-31,7360.0,7360.0,7360.0,7360.0,14310,4
2005-02-01,7360.0,7361.0,7360.0,7361.0,3510,2
2005-02-02,7355.0,7356.0,7260.0,7500.0,3281,7
2005-02-05,7354.0,7354.0,7354.0,7355.0,3043,4
2005-02-06,7383.0,7354.0,7354.0,7400.0,30166,14
2005-02-07,7372.0,7361.0,7350.0,7450.0,10512,11
2005-02-08,7391.0,7446.0,7391.0,7447.0,3510,4
2005-02-09,7388.0,7390.0,7350.0,7390.0,3565,9
2005-02-12,7433.0,7448.0,7433.0,7449.0,10720,12
