,Date,Trend
0,2015-08-23,0
1,2015-08-30,2
2,2015-09-06,3
3,2015-09-13,0
4,2015-09-20,2
5,2015-09-27,2
6,2015-10-04,3
7,2015-10-11,2
8,2015-10-18,0
9,2015-10-25,3
10,2015-11-01,2
11,2015-11-08,0
12,2015-11-15,2
13,2015-11-22,0
14,2015-11-29,2
15,2015-12-06,0
16,2015-12-13,0
17,2015-12-20,2
18,2015-12-27,2
19,2016-01-03,0
20,2016-01-10,2
21,2016-01-17,2
22,2016-01-24,3
23,2016-01-31,2
24,2016-02-07,0
25,2016-02-14,0
26,2016-02-21,2
27,2016-02-28,2
28,2016-03-06,0
29,2016-03-13,0
30,2016-03-20,2
31,2016-03-27,0
32,2016-04-03,0
33,2016-04-10,0
34,2016-04-17,0
35,2016-04-24,0
36,2016-05-01,4
37,2016-05-08,0
38,2016-05-15,0
39,2016-05-22,0
40,2016-05-29,0
41,2016-06-05,2
42,2016-06-12,2
43,2016-06-19,2
44,2016-06-26,2
45,2016-07-03,0
46,2016-07-10,2
47,2016-07-17,2
48,2016-07-24,2
49,2016-07-31,2
50,2016-08-07,4
51,2016-08-14,0
52,2016-08-21,2
53,2016-08-28,0
54,2016-09-04,2
55,2016-09-11,3
56,2016-09-18,2
57,2016-09-25,2
58,2016-10-02,3
59,2016-10-09,2
60,2016-10-16,2
61,2016-10-23,2
62,2016-10-30,0
63,2016-11-06,0
64,2016-11-13,2
65,2016-11-20,2
66,2016-11-27,2
67,2016-12-04,2
68,2016-12-11,2
69,2016-12-18,0
70,2016-12-25,2
71,2017-01-01,0
72,2017-01-08,3
73,2017-01-15,2
74,2017-01-22,2
75,2017-01-29,2
76,2017-02-05,3
77,2017-02-12,2
78,2017-02-19,2
79,2017-02-26,2
80,2017-03-05,3
81,2017-03-12,2
82,2017-03-19,3
83,2017-03-26,2
84,2017-04-02,4
85,2017-04-09,2
86,2017-04-16,5
87,2017-04-23,2
88,2017-04-30,2
89,2017-05-07,3
90,2017-05-14,0
91,2017-05-21,3
92,2017-05-28,3
93,2017-06-04,2
94,2017-06-11,4
95,2017-06-18,2
96,2017-06-25,3
97,2017-07-02,2
98,2017-07-09,3
