,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727741316524871680,727741316524871680,1462342025000,2016-05-04,10:37:05,430,2463165061,bourseiness,بورسینس,,#شاخص در ابتدای این تایم حدود 30 واحد منفی است #وغدیر #وامید و #خودرو…  http://goo.gl/fb/AbTBqs  #اقتصاد,[],['http://goo.gl/fb/AbTBqs'],[],0,0,0,"['#شاخص', '#وغدیر', '#وامید', '#خودرو', '#اقتصاد']",[],https://twitter.com/bourseiness/status/727741316524871680,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,729594541360201729,729594541360201729,1462783868000,2016-05-09,13:21:08,430,2463165061,bourseiness,بورسینس,,#وامید زمانبندی پرداخت سود سهام سال مالی ۹۴  http://goo.gl/fb/EFIeqL  #اقتصاد,[],['http://goo.gl/fb/EFIeqL'],[],0,0,0,"['#وامید', '#اقتصاد']",[],https://twitter.com/bourseiness/status/729594541360201729,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,732078518465626113,732078518465626113,1463376094000,2016-05-16,09:51:34,430,2463165061,bourseiness,بورسینس,,نمادهای #فولاد #ومعادن #دی #وامید #کگل #وپارس #وپاسار در پائین ترین قیمت ماهانه خود…  http://goo.gl/fb/nyPL8w  #اقتصاد,[],['http://goo.gl/fb/nyPL8w'],[],0,0,0,"['#فولاد', '#ومعادن', '#دی', '#وامید', '#کگل', '#وپارس', '#وپاسار', '#اقتصاد']",[],https://twitter.com/bourseiness/status/732078518465626113,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,734997715478818816,734997715478818816,1464072085000,2016-05-24,11:11:25,430,2463165061,bourseiness,بورسینس,,بازگشايي نماد معاملاتي #واميد  http://goo.gl/fb/IiqNgG  #اقتصاد,[],['http://goo.gl/fb/IiqNgG'],[],0,0,0,"['#واميد', '#اقتصاد']",[],https://twitter.com/bourseiness/status/734997715478818816,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,736817405788192768,736817405788192768,1464505933000,2016-05-29,11:42:13,430,2463165061,bourseiness,بورسینس,,معامله بلوکی در نماد #وامید به حجم 31.3 میلیون سهم در قیمت 1454 ریال…  http://goo.gl/fb/Zfe7gC  #اقتصاد,[],['http://goo.gl/fb/Zfe7gC'],[],0,0,0,"['#وامید', '#اقتصاد']",[],https://twitter.com/bourseiness/status/736817405788192768,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,824939020585148416,824939020585148416,1485515763000,2017-01-27,14:46:03,430,765759077477744640,agahi10,www.espeli.ir,,"افتتاح طرح‌ها در #دولت تدبیر #وامید همراه با بهره‌برداری است
ادامه:  http://www.espeli.ir/element/254565/%D8%A7%D9%81%D8%AA%D8%AA%D8%A7%D8%AD+%D8%B7%D8%B1%D8%AD%E2%80%8C%D9%87%D8%A7+%D8%AF%D8%B1+%D8%AF%D9%88%D9%84%D8%AA+%D8%AA%D8%AF%D8%A8%DB%8C%D8%B1+%D9%88%D8%A7%D9%85%DB%8C%D8%AF+%D9%87%D9%85%D8%B1%D8%A7%D9%87+%D8%A8%D8%A7+%D8%A8%D9%87%D8%B1%D9%87%E2%80%8C%D8%A8%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C+%D8%A7%D8%B3%D8%AA … pic.twitter.com/ikA6qZAIuQ",[],['http://www.espeli.ir/element/254565/%D8%A7%D9%81%D8%AA%D8%AA%D8%A7%D8%AD+%D8%B7%D8%B1%D8%AD%E2%80%8C%D9%87%D8%A7+%D8%AF%D8%B1+%D8%AF%D9%88%D9%84%D8%AA+%D8%AA%D8%AF%D8%A8%DB%8C%D8%B1+%D9%88%D8%A7%D9%85%DB%8C%D8%AF+%D9%87%D9%85%D8%B1%D8%A7%D9%87+%D8%A8%D8%A7+%D8%A8%D9%87%D8%B1%D9%87%E2%80%8C%D8%A8%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C+%D8%A7%D8%B3%D8%AA'],['https://pbs.twimg.com/media/C3LFqqqXUAAWH02.jpg'],0,0,0,"['#دولت', '#وامید']",[],https://twitter.com/Agahi10/status/824939020585148416,False,,0,,,,,,,"[{'user_id': '765759077477744640', 'username': 'Agahi10'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,962820766457892865,962820766457892865,1518389333000,2018-02-12,02:18:53,430,4808572055,me_metals,ME-METALS  |   می متالز,,"ابراهیمی صندلی مدیرعاملی «وامید» را تحویل گرفت 
 http://me-metals.ir/News/NewsDetails.aspx?NID=10787 …
@me_metals #مي_متالز #واميد #علي_عسكري #مديريت_سرمايه_گذاري_اميد pic.twitter.com/Xfwn1sRWVX",['me_metals'],['http://me-metals.ir/News/NewsDetails.aspx?NID=10787'],['https://pbs.twimg.com/media/DVygYM6V4AAUI5d.jpg'],0,0,0,"['#مي_متالز', '#واميد', '#علي_عسكري', '#مديريت_سرمايه_گذاري_اميد']",[],https://twitter.com/me_metals/status/962820766457892865,False,,0,,,,,,,"[{'user_id': '4808572055', 'username': 'me_metals'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,987565207210905601,987565207210905601,1524288868000,2018-04-21,10:04:28,430,986116312920453120,abandidgah,دیدگاه آبان,,"نمادهای تاثیر گذار در شاخص
#شپنا 22 واحد مثبت
#فولاد 22 واحد منفی
#فملی ‍13 واحد مثبت
#فاسمین 9 واحد مثبت
#حکشتی 9 واحد منفی
#رانفور 5 واحد مثبت
#وامید 5 واحد منفی
#بورس",[],[],[],0,0,0,"['#شپنا', '#فولاد', '#فملی', '#فاسمین', '#حکشتی', '#رانفور', '#وامید', '#بورس']",[],https://twitter.com/abandidgah/status/987565207210905601,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,987580659546951681,987580659546951681,1524292552000,2018-04-21,11:05:52,430,986116312920453120,abandidgah,دیدگاه آبان,,"نمادهای تاثیر گذار در شاخص
#فولاد 64 واحد منفی
#شپنا 23 واحد مثبت
#رانفور ‍16 واحد مثبت
#همراه 9 واحد منفی
#فاسمین 9 واحد مثبت
#حکشتی 9 واحد منفی
#وامید 7 واحد منفی
#بورس",[],[],[],0,0,0,"['#فولاد', '#شپنا', '#رانفور', '#همراه', '#فاسمین', '#حکشتی', '#وامید', '#بورس']",[],https://twitter.com/abandidgah/status/987580659546951681,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,987917078127677441,987917078127677441,1524372760000,2018-04-22,09:22:40,430,986116312920453120,abandidgah,دیدگاه آبان,,"* توقف نماد * 
بورس
#واميد
با توجه به افشاي اطلاعات با اهميت
#بورس",[],[],[],0,0,0,"['#واميد', '#بورس']",[],https://twitter.com/abandidgah/status/987917078127677441,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
