Date,Close,Open,Low,High,Volume,Trades
2017-12-20,1600.0,1600.0,1600.0,1600.0,489993786,156905
2017-12-23,1617.0,1680.0,1680.0,1680.0,425609,230
2017-12-24,1697.0,1697.0,1697.0,1697.0,1969518,517
2017-12-25,1781.0,1781.0,1781.0,1781.0,2001605,802
2017-12-26,1869.0,1870.0,1851.0,1870.0,145583897,51426
2017-12-27,1906.0,1890.0,1886.0,1940.0,155975328,52173
2017-12-30,1855.0,1880.0,1830.0,1885.0,53607956,16948
2017-12-31,1792.0,1822.0,1763.0,1835.0,61528384,14390
2018-01-01,1828.0,1800.0,1800.0,1853.0,17700631,4446
2018-01-02,1841.0,1824.0,1810.0,1869.0,19538397,4601
2018-01-03,1846.0,1850.0,1835.0,1860.0,16048372,3698
2018-01-06,1856.0,1852.0,1840.0,1868.0,17417209,3940
2018-01-07,1863.0,1861.0,1851.0,1875.0,14592301,3623
2018-01-08,1901.0,1861.0,1861.0,1917.0,15858223,3754
2018-01-09,1900.0,1887.0,1875.0,1917.0,18767224,3712
2018-01-10,1870.0,1889.0,1863.0,1890.0,9329183,1815
2018-01-13,1884.0,1900.0,1870.0,1906.0,20167440,2021
2018-01-14,1876.0,1880.0,1869.0,1889.0,12344444,4075
2018-01-15,1869.0,1876.0,1857.0,1889.0,20740752,5235
2018-01-16,1890.0,1876.0,1872.0,1904.0,11493211,4701
2018-01-17,1886.0,1876.0,1866.0,1893.0,44962145,4484
2018-01-20,1873.0,1881.0,1866.0,1885.0,13620440,4912
2018-01-21,1857.0,1875.0,1840.0,1875.0,10400338,2752
2018-01-22,1850.0,1866.0,1836.0,1880.0,10311924,2769
2018-01-23,1883.0,1880.0,1862.0,1890.0,22291959,1758
2018-01-24,1890.0,1875.0,1860.0,1905.0,14926274,2400
2018-01-27,1898.0,1895.0,1890.0,1906.0,11117119,5246
2018-01-28,1889.0,1890.0,1877.0,1900.0,10351212,4245
2018-01-29,1924.0,1890.0,1890.0,1950.0,19743561,2858
2018-01-30,1935.0,1925.0,1911.0,1956.0,26526439,3687
2018-01-31,1922.0,1940.0,1892.0,1940.0,9558740,1127
2018-02-03,1889.0,1910.0,1877.0,1915.0,5771122,1398
2018-02-04,1889.0,1895.0,1859.0,1900.0,8359091,3570
2018-02-05,1901.0,1870.0,1870.0,1920.0,11511233,4986
2018-02-06,1882.0,1900.0,1871.0,1910.0,8221383,4258
2018-02-07,1871.0,1872.0,1862.0,1890.0,3020853,1158
2018-02-10,1857.0,1861.0,1848.0,1879.0,3929040,1473
2018-02-12,1864.0,1863.0,1850.0,1875.0,3859925,2591
2018-02-13,1835.0,1850.0,1825.0,1868.0,6440467,930
2018-02-14,1825.0,1821.0,1810.0,1840.0,5171360,1845
2018-02-17,1829.0,1812.0,1812.0,1848.0,3813498,2776
2018-02-18,1789.0,1821.0,1771.0,1821.0,6755095,2642
2018-02-19,1775.0,1771.0,1768.0,1798.0,3869264,905
2018-02-21,1761.0,1771.0,1755.0,1777.0,2967913,741
2018-02-24,1718.0,1752.0,1710.0,1752.0,5683710,1280
2018-02-25,1720.0,1711.0,1707.0,1732.0,2799417,1228
2018-02-26,1715.0,1728.0,1702.0,1730.0,6110014,630
2018-02-27,1687.0,1700.0,1660.0,1717.0,5365742,991
2018-02-28,1669.0,1680.0,1652.0,1695.0,5631738,933
2018-03-03,1701.0,1690.0,1676.0,1739.0,4509084,825
2018-03-04,1714.0,1700.0,1689.0,1730.0,2124604,709
2018-03-05,1745.0,1705.0,1705.0,1766.0,3873966,665
2018-03-06,1750.0,1744.0,1718.0,1794.0,4892748,1274
2018-03-07,1723.0,1738.0,1701.0,1761.0,3677432,1388
2018-03-10,1754.0,1710.0,1689.0,1777.0,9132291,2278
2018-03-11,1790.0,1780.0,1750.0,1808.0,16794670,4111
2018-03-12,1827.0,1800.0,1791.0,1835.0,16014834,3060
2018-03-13,1820.0,1795.0,1740.0,1879.0,29659734,3817
2018-03-19,1591.0,1599.0,1572.0,1599.0,2447782,185
2018-03-25,1583.0,1590.0,1554.0,1606.0,1018384,228
2018-03-26,1625.0,1570.0,1516.0,1640.0,32457530,959
2018-03-27,1633.0,1592.0,1580.0,1637.0,47901167,798
2018-03-28,1620.0,1579.0,1571.0,1612.0,517306,192
2018-04-03,1578.0,1572.0,1562.0,1609.0,1797737,1743
2018-04-04,1589.0,1599.0,1550.0,1605.0,3707403,1203
2018-04-07,1579.0,1607.0,1553.0,1607.0,670189,157
2018-04-08,1543.0,1555.0,1530.0,1580.0,3314689,698
2018-04-09,1529.0,1558.0,1505.0,1558.0,5786915,1031
2018-04-10,1509.0,1539.0,1492.0,1539.0,1388143,388
2018-04-11,1454.0,1471.0,1435.0,1477.0,1707507,291
2018-04-15,1446.0,1469.0,1432.0,1469.0,1353489,382
2018-04-16,1439.0,1425.0,1425.0,1443.0,1228133,175
2018-04-17,1440.0,1440.0,1430.0,1450.0,1280244,358
2018-04-18,1471.0,1450.0,1437.0,1500.0,1640896,449
2018-04-21,1459.0,1472.0,1441.0,1475.0,1332561,227
2018-04-22,1425.0,1445.0,1415.0,1450.0,2080347,273
2018-04-23,1422.0,1430.0,1407.0,1438.0,3379160,346
2018-04-24,1427.0,1412.0,1412.0,1440.0,1194109,147
2018-04-25,1456.0,1440.0,1440.0,1469.0,2551752,289
2018-04-28,1510.0,1460.0,1457.0,1528.0,14172594,969
2018-04-29,1584.0,1532.0,1532.0,1585.0,30998332,1239
2018-04-30,1655.0,1625.0,1600.0,1663.0,44111305,2550
2018-05-01,1673.0,1631.0,1622.0,1694.0,18251741,1440
2018-05-05,1645.0,1607.0,1590.0,1689.0,13710735,1190
2018-05-06,1579.0,1609.0,1563.0,1610.0,4964767,426
2018-05-07,1601.0,1610.0,1591.0,1619.0,3844982,707
2018-05-08,1586.0,1610.0,1570.0,1617.0,2302352,440
2018-05-09,1540.0,1555.0,1520.0,1598.0,2136353,235
2018-05-12,1500.0,1521.0,1474.0,1540.0,2935486,293
2018-05-13,1520.0,1522.0,1511.0,1538.0,2855730,235
2018-05-14,1536.0,1536.0,1530.0,1547.0,2220656,765
2018-05-15,1542.0,1550.0,1539.0,1555.0,7456627,685
2018-05-16,1550.0,1555.0,1553.0,1561.0,1138094,591
2018-05-19,1570.0,1570.0,1568.0,1579.0,10904302,503
2018-05-20,1576.0,1580.0,1575.0,1588.0,1080939,222
2018-05-21,1591.0,1588.0,1587.0,1612.0,5684711,496
2018-05-22,1606.0,1607.0,1598.0,1610.0,6496415,301
2018-05-23,1614.0,1611.0,1611.0,1650.0,1054693,198
2018-05-26,1619.0,1634.0,1616.0,1634.0,6775790,384
2018-05-27,1626.0,1626.0,1625.0,1631.0,1662120,228
2018-05-28,1630.0,1632.0,1632.0,1638.0,1007873,342
2018-05-29,1633.0,1636.0,1636.0,1645.0,602513,202
2018-05-30,1638.0,1640.0,1638.0,1648.0,1416461,360
2018-06-02,1644.0,1645.0,1643.0,1648.0,2037277,369
2018-06-03,1649.0,1652.0,1644.0,1654.0,6485201,833
2018-06-09,1653.0,1654.0,1652.0,1660.0,2072694,274
2018-06-10,1654.0,1655.0,1655.0,1660.0,1085158,202
2018-06-11,1656.0,1657.0,1654.0,1658.0,2448825,190
2018-06-12,1657.0,1658.0,1656.0,1659.0,4901764,311
2018-06-13,1660.0,1659.0,1657.0,1675.0,4638387,553
2018-06-17,1664.0,1662.0,1660.0,1676.0,2950282,351
2018-06-18,1665.0,1668.0,1600.0,1728.0,11394122,643
2018-06-19,1677.0,1680.0,1667.0,1697.0,2423821,250
2018-06-20,1679.0,1680.0,1677.0,1695.0,2561870,300
2018-06-23,1683.0,1681.0,1679.0,1702.0,2496120,230
