,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386208714350280704,386208714350280704,1380914307000,2013-10-04,22:48:27,430,244423173,milad_memco,سوسمار سوم وظیفه,,#سهام پیشنهادی برای فردا : #دیران #سمگا #شپاکسا #بورس,[],[],[],0,0,3,"['#سهام', '#دیران', '#سمگا', '#شپاکسا', '#بورس']",[],https://twitter.com/milad_memco/status/386208714350280704,False,,0,,,,,,,"[{'user_id': '244423173', 'username': 'milad_memco'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,694792480340971520,694792480340971520,1454486410000,2016-02-03,11:30:10,430,2463165061,bourseiness,بورسینس,,عملکرد “#شپاکسا” در سال مالی منتهی به 94/09/30: بورسینس دات‌کام: شرکت پاکسان ( شپاکسا ) در…  http://goo.gl/fb/rOclRT ,[],['http://goo.gl/fb/rOclRT'],[],0,0,0,['#شپاکسا'],[],https://twitter.com/bourseiness/status/694792480340971520,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,703450038186471425,703450038186471425,1456550533000,2016-02-27,08:52:13,430,2463165061,bourseiness,بورسینس,,✍ شایعات امروز شنبه ۸ اسفند #شپاكسا شنيده ها حكايت ان دارد كه برنامه…  http://goo.gl/fb/h4QwRB  #اقتصاد,[],['http://goo.gl/fb/h4QwRB'],[],0,0,0,"['#شپاكسا', '#اقتصاد']",[],https://twitter.com/bourseiness/status/703450038186471425,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,717599594201423872,717599594201423872,1459924050000,2016-04-06,10:57:30,430,2463165061,bourseiness,بورسینس,,#شفارس در حال افزایش قیمت #شپاکسا برای دومین روز صف خرید تشکیل داده است  http://goo.gl/fb/yJtMVE  #اقتصاد,[],['http://goo.gl/fb/yJtMVE'],[],0,0,0,"['#شفارس', '#شپاکسا', '#اقتصاد']",[],https://twitter.com/bourseiness/status/717599594201423872,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,977838341675765761,977832656934195200,1521969802000,2018-03-25,13:53:22,430,786370050,ateimouri,علی‌ رضا,,"بیشترین افزایش قیمت
1-#شلعابح: قیمت: ۸۳۵ تغییر قیمت: ۹/۲۹
2-#ونیروح: قیمت: ۲۴۰ تغییر قیمت: ۹/۰۹
3-#تکنو: قیمت: ۲،۲۷۰ تغییر قیمت: ۴/۹۵
4-#وبصادر: قیمت: ۶۱۸ تغییر قیمت: ۴/۹۲
5-#شپاکسا: قیمت: ۴،۲۳۰ تغییر قیمت: ۴/۸۱",[],[],[],1,0,0,"['#شلعابح', '#ونیروح', '#تکنو', '#وبصادر', '#شپاکسا']",[],https://twitter.com/Ateimouri/status/977838341675765761,False,,0,,,,,,,"[{'user_id': '786370050', 'username': 'Ateimouri'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,990860953104322560,990860953104322560,1525074635000,2018-04-30,12:20:35,430,986116312920453120,abandidgah,دیدگاه آبان,,"#شاوان، #شپاکسا، #شپارس، #تاپیکو، #زاگرس، #شپترو، #شکلر، #شپاس، #شبریز و #شراز نمادهای پرتقاضا و مثبت تر و #شرانل، #پترول، #جم، #شخارک، #خراسان، #شفن، #شیراز، #شدوص، #شفارا و #شوینده نمادهای منفی تر گروه های متعادل #شیمیایی، #پالایشگاهی و #روانکارها از بازار امروز می باشند.
#بورس",[],[],[],0,0,0,"['#شاوان', '#شپاکسا', '#شپارس', '#تاپیکو', '#زاگرس', '#شپترو', '#شکلر', '#شپاس', '#شبریز', '#شراز', '#شرانل', '#پترول', '#جم', '#شخارک', '#خراسان', '#شفن', '#شیراز', '#شدوص', '#شفارا', '#شوینده', '#شیمیایی', '#پالایشگاهی', '#روانکارها', '#بورس']",[],https://twitter.com/abandidgah/status/990860953104322560,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1010777253926428672,1010777253926428672,1529823051000,2018-06-24,11:20:51,430,986116312920453120,abandidgah,دیدگاه آبان,,"تنها نمادهای #شنفت، #شبریز، #وسدید، #فلوله، #کازرو، #شگل، #پاکشو، #زنجان و #شپاکسا معاملاتی متعادل و منفی را تجربه می کنند.
#بورس",[],[],[],0,0,0,"['#شنفت', '#شبریز', '#وسدید', '#فلوله', '#کازرو', '#شگل', '#پاکشو', '#زنجان', '#شپاکسا', '#بورس']",[],https://twitter.com/abandidgah/status/1010777253926428672,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1029635175074869249,1029635175074869249,1534319130000,2018-08-15,12:15:30,430,986116312920453120,abandidgah,دیدگاه آبان,,"امروز نمادهای #شوینده، #شپاکسا و #پاکشو با اقبال بازار مواجه هستند و صف خرید سنگین نماد #شوینده نیز جالب توجه می باشد.
#بورس",[],[],[],0,0,0,"['#شوینده', '#شپاکسا', '#پاکشو', '#شوینده', '#بورس']",[],https://twitter.com/abandidgah/status/1029635175074869249,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1030678006149181440,1030678006149181440,1534567760000,2018-08-18,09:19:20,430,986116312920453120,abandidgah,دیدگاه آبان,,"گروه محصولات شیمیایی رشد قیمت جهانی اوره و زمزمه های افزایش نرخ شوینده ها اقبال به این دو طیف از نمادهای گروه را در پی داشته است. #شیراز، #کرماشا، #شپارس، #ساینا، #شوینده، #شپاکسا و  #شغدیر با افزایش تقاضا به صف خرید رسیده اند، صف خرید سنگین نماد #شوینده قابل توجه می باشد.
#بورس",[],[],[],0,0,0,"['#شیراز', '#کرماشا', '#شپارس', '#ساینا', '#شوینده', '#شپاکسا', '#شغدیر', '#شوینده', '#بورس']",[],https://twitter.com/abandidgah/status/1030678006149181440,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1031051420886130690,1031051420886130690,1534656789000,2018-08-19,10:03:09,430,986116312920453120,abandidgah,دیدگاه آبان,,"گروه محصولات شیمیایی نیز در اکثر نمادهای مطرح با معاملاتی پر تقاضا روبرو هستند. در نمادهای #پارس، #شاراک، #فارس، #تاپیکو، #شخارک، #پارسان، #زاگرس، داد و ستد ها در محدوده های مثبت ادامه دارد. نمادهای #شوینده، #شپاکسا هم چنان با اقبال بازار مواجهند.
#بورس",[],[],[],0,0,1,"['#پارس', '#شاراک', '#فارس', '#تاپیکو', '#شخارک', '#پارسان', '#زاگرس', '#شوینده', '#شپاکسا', '#بورس']",[],https://twitter.com/abandidgah/status/1031051420886130690,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
